age,mass,luminosity,temperature,gravity,radius
6.0,0.01,-7.1610000000000005,289.0,4.397,0.1048
6.0,0.011000000000000001,-7.067,306.0,4.446000000000001,0.1039
6.0,0.012,-6.946000000000001,329.0,4.489,0.1033
6.0,0.013000000000000001,-6.912999999999999,337.0,4.532,0.1022
6.0,0.013999999999999999,-6.862,349.0,4.572,0.1013
6.0,0.015,-6.8020000000000005,363.0,4.609,0.1005
6.0,0.016,-6.7410000000000005,377.0,4.644,0.0997
6.0,0.017,-6.685,391.0,4.677,0.099
6.0,0.018000000000000002,-6.629,405.0,4.708,0.0982
6.0,0.019,-6.581,418.0,4.738,0.0975
6.0,0.02,-6.529,432.0,4.7669999999999995,0.0968
6.0,0.022000000000000002,-6.432,461.0,4.82,0.0955
6.0,0.024,-6.3389999999999995,489.0,4.869,0.0942
6.0,0.026000000000000002,-6.257999999999999,516.0,4.915,0.093
6.0,0.027999999999999997,-6.178999999999999,543.0,4.958,0.0919
6.0,0.03,-6.106,569.0,4.997,0.0909
6.0,0.033,-6.004,609.0,5.053,0.0895
6.0,0.035,-5.932,638.0,5.087,0.0886
6.0,0.038,-5.836,679.0,5.135,0.0873
6.0,0.04,-5.775,706.0,5.165,0.0866
6.0,0.043,-5.69,746.0,5.207000000000001,0.0855
6.0,0.045,-5.6339999999999995,774.0,5.234,0.0848
6.0,0.048,-5.553,815.0,5.272,0.0838
6.0,0.05,-5.497000000000001,845.0,5.296,0.0833
6.0,0.053,-5.414,890.0,5.329,0.0825
6.0,0.055,-5.358,922.0,5.35,0.082
6.0,0.057999999999999996,-5.266,976.0,5.38,0.0814
6.0,0.06,-5.194,1019.0,5.397,0.0811
6.0,0.063,-5.067,1097.0,5.42,0.081
6.0,0.064,-5.0169999999999995,1129.0,5.4270000000000005,0.081
6.0,0.065,-4.959,1167.0,5.433,0.0811
6.0,0.066,-4.894,1210.0,5.437,0.0813
6.0,0.067,-4.821000000000001,1260.0,5.441,0.0816
6.0,0.068,-4.739,1317.0,5.442,0.082
6.0,0.069,-4.648,1382.0,5.443,0.0826
6.0,0.07,-4.548,1458.0,5.441,0.0834
6.0,0.071,-4.441,1541.0,5.436,0.0844
6.0,0.07200000000000001,-4.3260000000000005,1635.0,5.43,0.0856
6.0,0.073,-4.209,1732.0,5.42,0.0872
6.0,0.07400000000000001,-4.098,1829.0,5.409,0.0889
6.0,0.075,-3.997,1920.0,5.398,0.0907
6.0,0.077,-3.8280000000000003,2075.0,5.376,0.0942
6.0,0.08,-3.6439999999999997,2249.0,5.348,0.0992
6.0,0.085,-3.438,2444.0,5.312,0.1065
