age,mass,luminosity,temperature,gravity,radius
0.003,0.002,-4.763999999999999,933.0,3.338,0.1586
0.003,0.003,-4.365,1157.0,3.488,0.1634
0.003,0.004,-4.107,1319.0,3.583,0.1692
0.003,0.005,-3.895,1468.0,3.653,0.1744
0.003,0.006,-3.785,1545.0,3.7110000000000003,0.1787
0.003,0.006999999999999999,-3.6460000000000004,1659.0,3.763,0.1819
0.003,0.008,-3.466,1820.0,3.802,0.1859
0.003,0.009000000000000001,-3.315,1959.0,3.8310000000000004,0.1908
0.003,0.01,-3.216,2048.0,3.8539999999999996,0.1959
0.003,0.011000000000000001,-3.1210000000000004,2134.0,3.872,0.201
0.003,0.012,-3.0439999999999996,2203.0,3.888,0.2063
0.003,0.013000000000000001,-2.9760000000000004,2262.0,3.9010000000000002,0.2115
0.003,0.013999999999999999,-2.9139999999999997,2315.0,3.911,0.2169
0.003,0.015,-2.8569999999999998,2363.0,3.92,0.2223
0.003,0.016,-2.801,2408.0,3.925,0.2283
