age,mass,luminosity,temperature,gravity,radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
0.005,0.008,-3.579,1786,3.874,0.171,19.86,16.61,14.38,11.33,10.95,10.52,9.4,9.97
0.005,0.009,-3.46,1885,3.9,0.176,19.43,16.22,13.96,11.04,10.68,10.24,9.22,9.76
0.005,0.01,-3.363,1965,3.921,0.181,19.05,15.87,13.61,10.8,10.44,10,9.06,9.57
0.005,0.012,-3.194,2102,3.948,0.192,18.36,15.28,12.98,10.39,10.03,9.61,8.77,9.21
0.005,0.015,-2.981,2264,3.96,0.212,17.38,14.6,12.3,9.92,9.53,9.14,8.39,8.72
0.005,0.02,-2.661,2452,3.905,0.261,15.91,13.59,11.34,9.18,8.79,8.42,7.77,8
0.005,0.03,-2.262,2616,3.795,0.363,14.29,12.34,10.21,8.23,7.85,7.5,6.91,7.07
0.005,0.04,-2.068,2754,3.814,0.41,13.26,11.59,9.65,7.82,7.42,7.08,6.54,6.63
0.005,0.05,-1.846,2806,3.722,0.51,12.56,10.96,9.07,7.28,6.88,6.55,6.03,6.11
0.005,0.06,-1.902,2875,3.899,0.455,12.48,10.96,9.16,7.45,7.03,6.72,6.22,6.3
0.005,0.07,-1.829,2916,3.917,0.481,12.19,10.72,8.95,7.28,6.85,6.55,6.07,6.14
0.005,0.072,-1.814,2921,3.918,0.488,12.14,10.67,8.91,7.24,6.82,6.51,6.03,6.11
0.005,0.075,-1.716,2912,3.832,0.55,11.94,10.46,8.68,6.99,6.57,6.27,5.78,5.86
0.005,0.08,-1.76,2946,3.925,0.51,11.95,10.51,8.77,7.11,6.68,6.39,5.92,6
0.005,0.09,-1.696,2974,3.928,0.54,11.73,10.31,8.59,6.96,6.53,6.24,5.78,5.85
0.005,0.1,-1.582,2983,3.865,0.611,11.45,10.03,8.31,6.67,6.24,5.95,5.5,5.58
0.01,0.0005,-6.38,394,2.847,0.14,30.74,26.62,23.47,20.7,20.16,23.4,15.83,14.61
0.01,0.001,-5.87,540,3.184,0.134,28.5,24.15,21.21,18.12,17.79,19.05,14.48,13.5
0.01,0.002,-5.298,746,3.474,0.136,26.99,22.47,19.71,16.02,15.79,15.86,13.02,12.47
