age,mass,luminosity,temperature,gravity,radius,log_li,log_tc,log_rhoc
0.001,0.01,-2.696669918,2346.443361,3.569752439,0.27208252,0,5.47227832,0.51277817
0.001,0.015,-2.419774032,2503.929633,3.581703665,0.3277889,0,5.5742111,0.468451435
0.001,0.02,-2.242391598,2598.36084,3.593752439,0.373443361,0,5.64291748,0.437225582
0.001,0.03,-1.971,2710,3.571,0.47,0,5.722,0.3389
0.001,0.04,-1.811370012,2779,3.580370012,0.536377993,0,5.785748005,0.299193615
0.001,0.05,-1.643021627,2823.557959,3.537021627,0.63109429,0,5.812673876,0.198818687
0.001,0.06,-1.524662457,2864,3.522662457,0.702253158,0,5.844831228,0.146635878
0.001,0.07,-1.411902831,2895.902831,3.495354247,0.782645753,0,5.866451416,0.08064453
0.001,0.072,-1.389451416,2894.902831,3.484354247,0.804097169,0,5.868451416,0.061579955
0.001,0.075,-1.359994267,2896.497134,3.473994267,0.830508599,0,5.872497134,0.039140541
0.001,0.08,-1.310794488,2897.397244,3.453191733,0.878808267,0,5.876397244,-0.00374937
0.001,0.09,-1.227330271,2907.330271,3.426660543,0.960339457,0,5.890330271,-0.06377524
0.001,0.1,-1.172164568,2935.082284,3.434164568,1.003835432,0,5.915,-0.075002519
0.001,0.11,-1.097497134,2954.497134,3.411994267,1.080005733,0,5.925497134,-0.124056593
0.001,0.13,-0.961284098,3012,3.381568196,1.215431804,0,5.947284098,-0.200674985
0.001,0.15,-0.846989578,3078,3.366989578,1.328515633,0,5.970494789,-0.251239851
0.001,0.17,-0.72559588,3142,3.33559588,1.46570721,0,5.98179794,-0.320765768
0.001,0.2,-0.657989716,3226,3.384989716,1.503218512,0,6.037395886,-0.287455015
0.001,0.3,-0.479,3428,3.487,1.636,0,6.168,-0.2284
0.001,0.4,-0.316156141,3634.084386,3.551156141,1.754603332,0,6.257578071,-0.198456086
0.001,0.5,-0.178391598,3802.72168,3.589391598,1.877577643,0,6.321556639,-0.19114351
0.001,0.6,-0.063703665,3955.859267,3.622633299,1.980451937,0,6.375351833,-0.181821905
0.001,0.7,0.038862973,4078.143829,3.639280856,2.097725945,0,6.415712342,-0.190606801
0.001,0.8,0.130890117,4192.289012,3.653109883,2.207225294,0,6.450554941,-0.199603967
0.001,0.9,0.213152795,4290,3.662847205,2.315166708,0,6.480138882,-0.210956969
0.001,1,0.286436842,4377.287368,3.669563158,2.420023159,0,6.506425263,-0.223211579
0.001,1.1,0.352719144,4456.143829,3.675280856,2.522013603,0,6.529568514,-0.235121184
0.001,1.2,0.414890117,4529.289012,3.680109883,2.620381341,-0.0004,6.549843953,-0.247075066
0.001,1.3,0.471170183,4596.217018,3.683829817,2.71651055,-0.000791491,6.568131927,-0.258525064
0.001,1.4,0.525,4658,3.685,2.813,-0.0009,6.582,-0.2685
0.005,0.01,-3.385946176,1961.047096,3.947986544,0.176003364,0,5.541,1.028680825
0.005,0.015,-2.950366273,2333.219272,3.98897591,0.204804818,0,5.689195182,1.03199061
0.005,0.02,-2.62287771,2531.040763,3.928918473,0.254040763,0,5.755959237,0.900445099
0.005,0.03,-2.201166041,2705,3.797444027,0.362,0,5.812722014,0.652221638
0.005,0.04,-1.979483253,2785,3.752483253,0.440258373,0,5.857741627,0.538079904
0.005,0.05,-1.853959632,2840.996636,3.757959632,0.489023548,0,5.90798318,0.506644494
0.005,0.06,-1.810647172,2889.791873,3.823543109,0.496832509,0,5.976375618,0.56830832
0.005,0.07,-1.76276874,2927.810575,3.864674028,0.511757699,0,6.029337014,0.601096282
0.005,0.072,-1.746831969,2933.870219,3.864831969,0.518778688,0,6.036480875,0.597573909
0.005,0.075,-1.728576068,2943.627087,3.870389611,0.526491651,0,6.047881262,0.597889519
0.005,0.08,-1.691946619,2958.65777,3.871604389,0.542540036,0,6.060973309,0.586311921
0.005,0.09,-1.63596175,2991.740437,3.885702187,0.566778688,0,6.093480875,0.585373909
0.005,0.1,-1.633156191,3026.590265,3.948156191,0.555229206,0,6.144975662,0.656134287
0.005,0.11,-1.580167491,3051.687809,3.950959363,0.580728446,0,6.166583745,0.642084734
0.005,0.13,-1.486309416,3097.654708,3.955309416,0.627690584,0,6.205654708,0.616708743
0.005,0.15,-1.409309416,3135.654708,3.96213677,0.669517938,0,6.239654708,0.598208743
0.005,0.17,-1.334045556,3167.522778,3.958306945,0.715954444,0,6.265522778,0.567766654
0.005,0.2,-1.254640474,3219.660118,3.978300592,0.759359526,0,6.309320237,0.564154817
0.005,0.3,-1.022978424,3379.004315,4.006978424,0.899021576,0,6.41099137,0.524670225
0.005,0.4,-0.841978424,3546,4.033982739,1.006021576,-0.0009,6.486987054,0.507071088
0.005,0.5,-0.69397579,3696.506052,4.055469738,1.098036315,-0.010342132,6.544987895,0.493158843
0.005,0.6,-0.574242301,3830.189425,4.076337014,1.173852411,-0.077540326,6.594715863,0.486133934
0.005,0.7,-0.466978782,3960.003031,4.093981814,1.24302728,-0.261920586,6.634990907,0.482270599
0.005,0.8,-0.370259241,4081.148152,4.108259241,1.307037063,-0.284662917,6.663703696,0.4882296
0.005,0.9,-0.279845511,4198.630898,4.117845511,1.370416284,-0.240217202,6.686738205,0.50071119
0.005,1,-0.195095981,4310,4.124095981,1.434082033,-0.177988475,6.705910993,0.517920059
0.005,1.1,-0.111727025,4421.532432,4.127259457,1.500078382,-0.119949188,6.724129729,0.541611077
0.005,1.2,-0.029984914,4530.994971,4.125979885,1.569030172,-0.074694971,6.741989943,0.570456251
0.005,1.3,0.053006027,4643.987945,4.119981918,1.643030137,-0.043797589,6.758987945,0.604247561
0.005,1.4,0.139811543,4767.753828,4.110971143,1.722651943,-0.024837691,6.777782686,0.644539576
0.01,0.01,-3.85980847,1581.037857,4.046846327,0.156788418,0,5.542,1.176857908
0.01,0.015,-3.071645335,2263.90311,4.058548445,0.189725777,0,5.704,1.134506579
0.01,0.02,-2.66317973,2519.910135,3.96117973,0.244910135,0,5.766,0.946378581
0.01,0.03,-2.426572372,2682.779006,4.009039776,0.283934808,0,5.891909391,0.954915465
0.01,0.04,-2.346,2768,4.108,0.292,0,6.002,1.052
0.01,0.05,-2.233878647,2843.112135,4.138990782,0.315336406,0,6.069551459,1.059086173
0.01,0.06,-2.141989655,2900,4.16089069,0.336703103,0,6.123395862,1.060655828
0.01,0.07,-2.0595228,2946,4.1725228,0.359100978,0,6.164899022,1.050729152
0.01,0.072,-2.0422782,2954.302422,4.1722782,0.364209689,0,6.171790311,1.047056815
0.01,0.075,-2.017808783,2967,4.173808783,0.370640541,0,6.182359459,1.041622161
0.01,0.08,-1.977989621,2987,4.173090659,0.383404152,0,6.19649481,1.027715781
0.01,0.09,-1.910183384,3021,4.176183384,0.405807385,0,6.224990769,1.010834706
0.01,0.1,-1.870161873,3050,4.198329499,0.416335251,0,6.258664749,1.024443385
0.01,0.11,-1.813972329,3074.663592,4.197972329,0.43668204,0,6.28031796,1.00562393
0.01,0.13,-1.716161873,3118,4.197161873,0.475502876,0,6.317664749,0.972260148
0.01,0.15,-1.631,3158,4.196,0.511,0,6.35,0.944
0.01,0.17,-1.55250654,3196.611838,4.19250654,0.546328973,0,6.375447351,0.913704545
0.01,0.2,-1.463202017,3239.689113,4.198202017,0.589176209,0,6.413756452,0.88937867
0.01,0.3,-1.231850554,3363,4.207563193,0.714149446,-0.008941375,6.507137916,0.82188847
0.01,0.4,-1.054692759,3507.901034,4.227692759,0.805406207,-0.17847576,6.580197931,0.794030276
0.01,0.5,-0.908,3651,4.248,0.88,-1.6253,6.638,0.7782
0.01,0.6,-0.784291032,3782.011537,4.26396539,0.945371789,-1.657645189,6.677988463,0.778373727
0.01,0.7,-0.672563193,3908.287361,4.277563193,1.006436807,-1.43531703,6.708425277,0.796099956
0.01,0.8,-0.565424624,4041.143844,4.285424624,1.06471922,-1.061605283,6.733856156,0.827148558
0.01,0.9,-0.455,4190,4.29,1.125,-0.7055,6.76,0.8702
0.01,1,-0.337,4363,4.288,1.189,-0.4168,6.786,0.9237
0.01,1.1,-0.213,4549.975777,4.277790311,1.260814534,-0.223334671,6.813790311,0.988237852
0.01,1.2,-0.074,4768,4.258,1.347,-0.1113,6.847,1.0675
0.01,1.3,0.088,5029,4.223,1.459,-0.0555,6.885,1.1635
0.01,1.4,0.288,5353,4.164,1.622,-0.0278,6.935,1.2885
0.05,0.015,-3.726516104,1768.806475,4.283645158,0.146,0,5.722,1.474535479
0.05,0.02,-3.708757097,1845.509859,4.465266956,0.137,0,5.851,1.697327129
0.05,0.03,-3.281965448,2304.021595,4.599982724,0.144,0,6.048,1.83387495
0.05,0.04,-3.042914632,2528.912022,4.648522647,0.156869338,0,6.174130662,1.858240503
0.05,0.05,-2.875250035,2671.583322,4.672833357,0.170291661,0,6.261708339,1.856033371
0.05,0.06,-2.729505977,2805.164674,4.690670652,0.182582337,-0.0004,6.327126494,1.852085692
0.05,0.07,-2.621218639,2883.738677,4.697087978,0.195869338,-0.003108798,6.376695993,1.834962367
0.05,0.072,-2.601218639,2897.304007,4.698087978,0.198869338,-0.004408798,6.386695993,1.832362367
0.05,0.075,-2.572541696,2916.291661,4.698833357,0.202291661,-0.007637505,6.398708339,1.826475039
0.05,0.08,-2.528088314,2945.582337,4.699379483,0.209582337,-0.016651793,6.416835326,1.814427458
0.05,0.09,-2.449976432,2996.003367,4.700979799,0.221006734,-0.064468014,6.449993266,1.795968014
0.05,0.1,-2.384973065,3037.003367,4.704979799,0.232006734,-0.224684178,6.479993266,1.782167341
0.05,0.11,-2.32197573,3073.003034,4.704978764,0.244006067,-0.605206035,6.505990899,1.76416936
0.05,0.13,-2.213978764,3133.003034,4.702978764,0.266006067,-3.05700894,6.547990899,1.72966936
0.05,0.15,-2.121653309,3182.434669,4.700087978,0.286304007,-5.170625145,6.582261323,1.6983885
0.05,0.17,-2.040485707,3225.390477,4.69709523,0.306171431,-6.084996947,6.611438092,1.669089512
0.05,0.2,-1.937181135,3280,4.693181135,0.333252829,-7.57329331,6.648433964,1.632077741
0.05,0.3,-1.685825822,3407.434836,4.684260657,0.412304507,-9.616229108,6.736130329,1.539869183
0.05,0.4,-1.501541696,3511.708339,4.676833357,0.479874982,-9.737829209,6.779416678,1.520091718
0.05,0.5,-1.335482052,3616.827351,4.659309403,0.548345299,-9.737880003,6.814654701,1.557397951
0.05,0.6,-1.131,3818.959094,4.628724434,0.62176534,-8.61327458,6.860724434,1.644886541
0.05,0.7,-0.8338404,4261.478799,4.588782686,0.702811543,-4.955434982,6.930565371,1.787267079
0.05,0.8,-0.49283396,4931.328322,4.558610067,0.777389933,-2.3072,7.045498121,1.920549436
0.05,0.9,-0.360694808,5237.678104,4.58306772,0.802745824,-1.0825,7.104,1.895844063
0.05,1,-0.169205852,5536.617556,4.534205852,0.894794148,-0.5129,7.131205852,1.886267607
0.05,1.1,0.025855503,5828.711005,4.469429665,1.011570335,-0.2411,7.156285168,1.87842622
0.05,1.2,0.222259664,6123.275127,4.395748067,1.149251933,-0.1135,7.186503866,1.902317782
0.05,1.3,0.403043683,6430.218413,4.335,1.283956317,-0.0555,7.217043683,1.933809206
0.05,1.4,0.55815137,6758.15137,4.298,1.389,-0.0278,7.24715137,1.939890822
0.1,0.015,-4.427847939,1260.470038,4.397105992,0.128,0,5.693447004,1.642780187
0.1,0.02,-4.258279566,1408.620298,4.546159946,0.125,0,5.829420027,1.815287902
0.1,0.03,-3.725965499,1920.696567,4.7279931,0.124,0,6.037,2.021822753
0.1,0.04,-3.357605558,2313.640122,4.807491359,0.13037716,0,6.188,2.09411247
0.1,0.05,-3.146949207,2527.700529,4.847839577,0.139270053,-0.0004,6.294729947,2.11603236
0.1,0.06,-2.995150207,2672.424897,4.871766804,0.148404149,-0.019606722,6.374191701,2.121407717
0.1,0.07,-2.866,2794,4.887,0.158,-0.2277,6.435,2.1175
0.1,0.072,-2.843791737,2813.604131,4.889593803,0.159901033,-0.3513228,6.446098967,2.117370911
0.1,0.075,-2.812791737,2838.703098,4.891593803,0.161901033,-0.634117976,6.460197934,2.113520395
0.1,0.08,-2.762791737,2878.703098,4.894593803,0.166901033,-1.546112368,6.482197934,2.104910498
0.1,0.09,-2.677597789,2942.311602,4.897909392,0.176311602,-4.817700094,6.520688398,2.089108286
0.1,0.1,-2.605109887,2993.867034,4.901398898,0.185578023,-5.966583344,6.554132966,2.07465615
0.1,0.11,-2.53839151,3039.082547,4.901752359,0.194721698,-7.150348125,6.582556604,2.057964623
0.1,0.13,-2.423398898,3112.289011,4.901398898,0.211578023,-9.253901152,6.629132966,2.025098348
0.1,0.15,-2.327847271,3167.430546,4.898277817,0.227430546,-9.83254479,6.667138909,1.993572289
0.1,0.17,-2.24499079,3214,4.894488487,0.243502303,-9.987211087,6.697995395,1.963784343
0.1,0.2,-2.137958505,3272,4.889362655,0.265808299,-9.97964556,6.736383402,1.924303567
0.1,0.3,-1.870495961,3408.87399,4.869369951,0.33325202,-9.8928,6.81674798,1.828030532
0.1,0.4,-1.652092736,3528.697579,4.836487893,0.399604843,-9.922292323,6.856092736,1.834880628
0.1,0.5,-1.408606179,3702.243251,4.772424715,0.480787642,-10.0249506,6.906637073,1.89300156
0.1,0.6,-1.092595842,4100,4.712696882,0.564202079,-9.488428982,6.990696882,1.933942495
0.1,0.7,-0.881781346,4403.562691,4.692781346,0.623218654,-5.062921253,7.030781346,1.884190673
0.1,0.8,-0.613156442,4826.312884,4.642156442,0.706843558,-2.329361962,7.065,1.886784356
0.1,0.9,-0.372878285,5209.878285,4.585878285,0.800121715,-1.0846,7.098,1.8993
0.1,1,-0.162086971,5538.282573,4.526543485,0.902456515,-0.5129,7.128,1.890715195
0.1,1.1,0.049016134,5882.064537,4.462,1.02,-0.2411,7.161,1.917966151
0.1,1.2,0.237277711,6167.416567,4.393861144,1.152138856,-0.1135,7.191138856,1.934291597
0.1,1.3,0.409856315,6452.712631,4.334143685,1.283856315,-0.0555,7.222856315,1.94491321
0.1,1.4,0.563,6767.185588,4.296592794,1.392407206,-0.0278,7.250407206,1.945277838
0.12,0.02,-4.392479812,1315.680126,4.561331411,0.122834295,0,5.821834295,1.838046828
0.12,0.03,-3.872681352,1789.94991,4.751946892,0.120684369,0,6.030684369,2.057257212
0.12,0.04,-3.459898019,2225.918318,4.843632673,0.125091832,0,6.186,2.147485742
0.12,0.05,-3.226164415,2472.77224,4.888582208,0.133,-0.0013,6.299,2.177873311
0.12,0.06,-3.063380846,2635.412769,4.916587231,0.141103192,-0.045000742,6.382896808,2.188460208
0.12,0.07,-2.937143365,2756.910397,4.935089603,0.148982079,-0.613994222,6.447017921,2.189054117
