age,mass,luminosity,temperature,gravity,radius,metallicity,cloud
0.003,0.002,-4.764,933,3.338,0.1586,0,f2
0.003,0.003,-4.365,1157,3.488,0.1634,0,f2
0.003,0.004,-4.107,1319,3.583,0.1692,0,f2
0.003,0.005,-3.895,1468,3.653,0.1744,0,f2
0.003,0.006,-3.785,1545,3.711,0.1787,0,f2
0.003,0.007,-3.646,1659,3.763,0.1819,0,f2
0.003,0.008,-3.466,1820,3.802,0.1859,0,f2
0.003,0.009,-3.315,1959,3.831,0.1908,0,f2
0.003,0.01,-3.216,2048,3.854,0.1959,0,f2
0.003,0.011,-3.121,2134,3.872,0.201,0,f2
0.003,0.012,-3.044,2203,3.888,0.2063,0,f2
0.003,0.013,-2.976,2262,3.901,0.2115,0,f2
0.003,0.014,-2.914,2315,3.911,0.2169,0,f2
0.003,0.015,-2.857,2363,3.92,0.2223,0,f2
0.003,0.016,-2.801,2408,3.925,0.2283,0,f2
0.004,0.002,-4.92,864,3.359,0.1549,0,f2
0.004,0.003,-4.538,1063,3.514,0.1586,0,f2
0.004,0.004,-4.255,1232,3.613,0.1635,0,f2
0.004,0.005,-4.049,1369,3.686,0.1679,0,f2
0.004,0.006,-3.883,1489,3.745,0.172,0,f2
0.004,0.007,-3.79,1556,3.796,0.1752,0,f2
0.004,0.008,-3.623,1700,3.841,0.1778,0,f2
0.004,0.009,-3.505,1803,3.876,0.1811,0,f2
0.004,0.01,-3.356,1943,3.903,0.1851,0,f2
0.004,0.011,-3.263,2027,3.925,0.1893,0,f2
0.004,0.012,-3.171,2112,3.942,0.1937,0,f2
0.004,0.013,-3.094,2183,3.956,0.1984,0,f2
0.004,0.014,-3.02,2247,3.966,0.2037,0,f2
0.004,0.015,-2.949,2307,3.971,0.2097,0,f2
0.004,0.016,-2.878,2364,3.969,0.2169,0,f2
0.004,0.017,-2.804,2419,3.962,0.2255,0,f2
0.006,0.002,-5.114,783,3.383,0.1505,0,f2
0.006,0.003,-4.755,954,3.543,0.1534,0,f2
0.006,0.004,-4.458,1119,3.648,0.1569,0,f2
0.006,0.005,-4.249,1248,3.726,0.1605,0,f2
0.006,0.006,-4.082,1360,3.788,0.1637,0,f2
0.006,0.007,-3.941,1462,3.839,0.1666,0,f2
0.006,0.008,-3.845,1535,3.885,0.169,0,f2
0.006,0.009,-3.722,1638,3.926,0.1709,0,f2
0.006,0.01,-3.598,1747,3.96,0.1733,0,f2
0.006,0.011,-3.468,1867,3.987,0.1762,0,f2
0.006,0.012,-3.37,1958,4.01,0.1793,0,f2
0.006,0.013,-3.268,2052,4.024,0.1836,0,f2
0.006,0.014,-3.163,2146,4.028,0.1896,0,f2
0.006,0.015,-3.053,2238,4.021,0.1979,0,f2
0.006,0.016,-2.947,2322,4.007,0.2076,0,f2
0.006,0.017,-2.848,2394,3.987,0.2189,0,f2
0.006,0.018,-2.76,2456,3.969,0.2302,0,f2
0.008,0.002,-5.216,746,3.401,0.1474,0,f2
0.008,0.003,-4.895,890,3.563,0.1499,0,f2
0.008,0.004,-4.64,1022,3.672,0.1527,0,f2
0.008,0.005,-4.4,1162,3.752,0.1557,0,f2
