mass,age,temperature,luminosity,radius,gravity,metallicity
0.0005,0.001,598.31821926,-5.44534603,0.17655689,2.64361673,0.0
0.0005,0.00126638017,573.58170683,-5.54359364,0.17156841,2.66850978,0.0
0.0005,0.00160371874,548.47255472,-5.6455699,0.16685346,2.69271568,0.0
0.0005,0.00203091762,523.77650221,-5.74912343,0.16239988,2.7162152,0.0
0.0005,0.00257191381,498.83091454,-5.85651383,0.15822252,2.738848,0.0
0.0005,0.00325702066,476.09368684,-5.95951318,0.15426862,2.76082974,0.0
0.0005,0.00412462638,453.07421029,-6.06683651,0.1505488,2.78203075,0.0
0.0005,0.00522334507,432.43059893,-6.16847779,0.1470136,2.80266924,0.0
0.0005,0.00661474064,411.66116789,-6.2740527,0.14365686,2.82273277,0.0
0.0005,0.0083767764,393.77499372,-6.37078787,0.14045523,2.84230856,0.0
0.0005,0.0106081836,379.3124676,-6.45568163,0.13727613,2.86219518,0.0
0.0005,0.0134339933,364.18249809,-6.54637816,0.13415288,2.88218484,0.0
0.0005,0.0170125428,349.05002838,-6.63993273,0.1311249,2.90201453,0.0
0.0005,0.0215443469,337.66345967,-6.71743585,0.12815521,2.92191271,0.0
0.0005,0.0272833338,325.27227241,-6.8026755,0.1251953,2.94220902,0.0
0.0005,0.0345510729,311.77256552,-6.89666051,0.12229826,2.96254454,0.0
0.0005,0.0437547938,297.913057,-6.99554565,0.11952786,2.98244622,0.0
0.0005,0.0554102033,286.11222746,-7.08493534,0.11691885,3.00161579,0.0
0.0005,0.0701703829,273.68833236,-7.18112303,0.11438277,3.02066353,0.0
0.0005,0.0888623816,260.46958995,-7.285721,0.11195755,3.03927774,0.0
0.0005,0.112533558,247.94277158,-7.38918389,0.10967923,3.05713631,0.0
0.0005,0.142510267,238.74862318,-7.47266532,0.10745056,3.07496689,0.0
0.0005,0.180472177,228.62484376,-7.56590485,0.10525295,3.09291639,0.0
0.0005,0.228546386,217.41007511,-7.67093518,0.10313445,3.11057735,0.0
0.0005,0.289426612,205.44788419,-7.78610106,0.10115094,3.12744459,0.0
0.001,0.001,865.42799351,-4.81854079,0.17365881,2.95902313,0.0
0.001,0.00126638017,829.69605935,-4.9188196,0.16833265,2.98607805,0.0
0.001,0.00160371874,791.89359273,-5.02588386,0.16336695,3.01208774,0.0
0.001,0.00203091762,749.86563713,-5.14501282,0.15884219,3.03648459,0.0
0.001,0.00257191381,708.16856041,-5.26703327,0.15475566,3.0591222,0.0
0.001,0.00325702066,669.5729072,-5.38547139,0.15104341,3.08021235,0.0
0.001,0.00412462638,631.32207116,-5.50738911,0.1476481,3.09995943,0.0
0.001,0.00522334507,594.83556078,-5.62911347,0.14456944,3.1182628,0.0
0.001,0.00661474064,565.04774105,-5.73590495,0.14167681,3.13581724,0.0
0.001,0.0083767764,534.56688534,-5.84907425,0.13896059,3.15263154,0.0
0.001,0.0106081836,503.75350709,-5.96813753,0.13643706,3.1685504,0.0
0.001,0.0134339933,475.31987199,-6.08417855,0.13408046,3.18368382,0.0
0.001,0.0170125428,447.83871629,-6.20196113,0.1318846,3.19802625,0.0
0.001,0.0215443469,425.11567308,-6.30634546,0.12978918,3.21193784,0.0
0.001,0.0272833338,402.5102534,-6.41478244,0.12778669,3.22544345,0.0
0.001,0.0345510729,385.91578253,-6.50142185,0.1258144,3.23895396,0.0
0.001,0.0437547938,369.04705714,-6.59279962,0.12384143,3.25268274,0.0
0.001,0.0554102033,351.38956346,-6.69166967,0.12190148,3.26639663,0.0
0.001,0.0701703829,338.06217823,-6.77255577,0.11999113,3.28011613,0.0
0.001,0.0888623816,324.0703819,-6.86002714,0.11806652,3.29416106,0.0
0.001,0.112533558,309.42394319,-6.95448344,0.11616531,3.30826162,0.0
0.001,0.142510267,295.1253659,-7.0505618,0.11432382,3.32214153,0.0
0.001,0.180472177,281.63817729,-7.14549695,0.11253677,3.33582577,0.0
0.001,0.228546386,267.22079415,-7.25026428,0.11080247,3.34931538,0.0
0.001,0.289426612,252.1900897,-7.36387453,0.10915377,3.36233692,0.0
0.001,0.366524124,241.54334778,-7.45159319,0.107558,3.37512903,0.0
0.001,0.464158883,230.54403979,-7.54551782,0.10596379,3.38809953,0.0
0.001,0.587801607,218.50963891,-7.65146507,0.10441299,3.40090535,0.0
0.001,0.744380301,205.57878638,-7.76977792,0.10294057,3.41324131,0.0
0.002,0.001,1222.89413177,-4.1957232,0.17815133,3.23786838,0.0
0.002,0.00126638017,1165.85170523,-4.3087435,0.17209348,3.26791616,0.0
0.002,0.00160371874,1107.51280853,-4.42601728,0.16661924,3.29599535,0.0
0.002,0.00203091762,1053.89844129,-4.53857024,0.16163999,3.32234876,0.0
0.002,0.00257191381,998.64168417,-4.65696758,0.15708389,3.34718266,0.0
0.002,0.00325702066,944.66631617,-4.77659741,0.15296067,3.3702863,0.0
0.002,0.00412462638,892.36529053,-4.89693742,0.14924011,3.39167511,0.0
0.002,0.00522334507,848.3067222,-5.00522687,0.14578274,3.41203212,0.0
0.002,0.00661474064,801.96734861,-5.12214475,0.14257706,3.43134651,0.0
0.002,0.0083767764,754.80790687,-5.24558016,0.13962572,3.44951444,0.0
0.002,0.0106081836,708.12414233,-5.37328123,0.13695136,3.46631194,0.0
0.002,0.0134339933,661.15969363,-5.50784677,0.13455522,3.48164396,0.0
0.002,0.0170125428,615.37456488,-5.64637876,0.13242544,3.49550199,0.0
0.002,0.0215443469,578.68756341,-5.76590652,0.13049266,3.50827251,0.0
0.002,0.0272833338,545.71305828,-5.88014016,0.12865898,3.52056465,0.0
0.002,0.0345510729,512.40641509,-6.00122833,0.12693711,3.53226744,0.0
0.002,0.0437547938,481.21757244,-6.12132575,0.12533942,3.54326915,0.0
0.002,0.0554102033,452.36949235,-6.23915203,0.12384318,3.55370034,0.0
0.002,0.0701703829,427.66094085,-6.34687921,0.12240349,3.56385679,0.0
0.002,0.0888623816,402.21090828,-6.46324329,0.12103131,3.57364895,0.0
0.002,0.112533558,383.34369235,-6.55637669,0.11969131,3.58331903,0.0
0.002,0.142510267,363.91859311,-6.65637013,0.11836545,3.59299441,0.0
0.002,0.180472177,346.26560429,-6.75226631,0.11707975,3.60248077,0.0
0.002,0.228546386,332.9076654,-6.8303268,0.11577672,3.61220187,0.0
0.002,0.289426612,318.20359238,-6.91886436,0.11444278,3.62226758,0.0
0.002,0.366524124,302.43897811,-7.01729604,0.11311134,3.63243192,0.0
0.002,0.464158883,288.07936591,-7.11177616,0.11181951,3.64240952,0.0
0.002,0.587801607,273.26982558,-7.21340016,0.11054579,3.65235996,0.0
0.002,0.744380301,257.56009946,-7.3259954,0.10931213,3.66210773,0.0
0.002,0.942668455,244.71002658,-7.42435051,0.1081307,3.67154646,0.0
0.002,1.19377664,233.84816866,-7.51288592,0.10693374,3.68121492,0.0
0.002,1.51177507,221.76933848,-7.61477636,0.10573929,3.69097152,0.0
0.002,1.91448198,208.72421315,-7.7295863,0.10458866,3.70047506,0.0
0.003,0.001,1492.05269067,-3.80730137,0.18716201,3.37110135,0.0
0.003,0.00126638017,1424.22180184,-3.92343734,0.17970434,3.40642051,0.0
0.003,0.00160371874,1352.78023303,-4.04543885,0.17308199,3.43903364,0.0
0.003,0.00203091762,1283.33708892,-4.16686149,0.16723065,3.46890569,0.0
0.003,0.00257191381,1222.90417427,-4.27870924,0.16191775,3.49694837,0.0
0.003,0.00325702066,1161.10124741,-4.3951459,0.15707861,3.52330355,0.0
0.003,0.00412462638,1097.81413219,-4.51712518,0.1526931,3.54789737,0.0
0.003,0.00522334507,1038.21799114,-4.63692847,0.14872447,3.57077089,0.0
0.003,0.00661474064,979.14880571,-4.75985084,0.1451473,3.59191799,0.0
0.003,0.0083767764,921.88050787,-4.88410791,0.1419174,3.61146575,0.0
0.003,0.0106081836,868.67060501,-5.00555237,0.13897762,3.6296467,0.0
0.003,0.0134339933,816.62663784,-5.12994331,0.13627081,3.64673031,0.0
0.003,0.0170125428,766.37956222,-5.25609367,0.13381418,3.66253222,0.0
