# Baraffe et al. 2003 models for t=0.120 Gyr
#--------------------------------------------------------
# M/Ms	Teff (K)    log L/Ls   log g (cgs)	R/Rs
#--------------------------------------------------------
0.0005	227.	-7.526	3.032	0.113
0.0010	295.	-7.043	3.307	0.116
0.0020	403.	-6.481	3.588	0.119
0.0030	475.	-6.183	3.753	0.120
0.0040	537.	-5.970	3.876	0.121
0.0050	599.	-5.781	3.974	0.121
0.0060	665.	-5.602	4.055	0.120
0.0070	716.	-5.477	4.127	0.120
0.0080	783.	-5.326	4.188	0.119
0.0090	835.	-5.219	4.243	0.119
0.0100	900.	-5.088	4.290	0.119
0.0120	1273.	-4.432	4.314	0.126
0.0150	1298.	-4.436	4.450	0.121
0.0200	1484.	-4.218	4.590	0.119
0.0300	1905.	-3.764	4.745	0.122
0.0400	2204.	-3.472	4.831	0.127
0.0500	2441.	-3.244	4.878	0.135
0.0600	2606.	-3.083	4.909	0.142
0.0700	2733.	-2.944	4.921	0.152
0.0720	2753.	-2.922	4.923	0.153
0.0750	2783.	-2.886	4.923	0.157
0.0800	2824.	-2.838	4.929	0.161
0.0900	2894.	-2.753	4.937	0.169
0.1000	2949.	-2.673	4.936	0.178
#--------------------------------------------------------
