age,mass,luminosity,temperature,gravity,radius
0.01,0.0005,-6.380240000000001,375.73900000000003,2.77723,0.151516
0.01,0.001,-5.87365,515.807,3.1264,0.143347
0.01,0.002,-5.29517,732.1439999999999,3.4586099999999997,0.138292
0.01,0.003,-4.961,884.692,3.62675,0.13956400000000002
0.01,0.004,-4.70796,1018.8,3.74151,0.141209
0.01,0.005,-4.5096300000000005,1137.21,3.8293800000000005,0.14268599999999998
0.01,0.006,-4.3474699999999995,1243.44,3.9009300000000002,0.14394500000000002
0.01,0.007,-4.19885,1346.79,3.95939,0.145359
0.01,0.008,-4.06021,1452.4,4.00784,0.146964
0.01,0.009,-3.94634,1546.37,4.05389,0.14783
0.01,0.01,-3.8374,1644.23,4.09462,0.14868800000000001
0.01,0.012,-3.5517199999999995,1908.18,4.15207,0.152455
0.01,0.015,-3.03265,2366.88,4.10224,0.180516
0.01,0.02,-2.58728,2641.23,3.96872,0.243075
0.01,0.03,-2.27276,2801.92,3.9331,0.310167
0.01,0.04,-2.23924,2886.07,4.0757900000000005,0.303894
0.01,0.05,-2.1566099999999997,2951.09,4.12871,0.319683
0.01,0.06,-2.08731,3014.08,4.17525,0.331925
0.01,0.07,-2.02323,3062.09,4.20578,0.346136
0.01,0.072,-2.01084,3072.07,4.21095,0.348963
0.01,0.075,-1.9944099999999998,3084.9,4.21931,0.352747
0.01,0.08,-1.9677099999999998,3104.08,4.23166,0.359171
0.01,0.09,-1.91868,3137.28,4.25239,0.371973
0.01,0.1,-1.87295,3164.98,4.26788,0.385166
0.01,0.11,-1.8283900000000002,3192.07,4.27913,0.398767
0.01,0.12,-1.78581,3216.54,4.28809,0.41222299999999995
0.01,0.15,-1.67405,3290.91,4.312880000000001,0.44791400000000003
0.01,0.2,-1.5213700000000001,3426.08,4.35484,0.49281099999999994
