#  Table pcf814wsys.tab  Mon 12:21:20 02-Jun-97
#      WAVELENGTH      THROUGHPUT
#       angstroms                
0.686904   1.171307E-4
0.687517   1.517038E-4
0.688130   1.894030E-4
0.688745   2.306137E-4
0.689359   2.760369E-4
0.689974   3.244995E-4
0.690590   3.728065E-4
0.691206   4.209376E-4
0.691823   4.689545E-4
0.692440   5.631674E-4
0.693057   6.954143E-4
0.693676   8.597066E-4
0.694294   0.001057965
0.694914   0.001294747
0.695534   0.001583663
0.696155   0.00193232
0.696776   0.002365532
0.697397   0.002873156
0.698020   0.003498908
0.698642   0.004258233
0.699266   0.005161788
0.699890   0.006243938
0.700514   0.007569612
0.701139   0.009156797
0.701765   0.01105696
0.702390   0.01333717
0.703017   0.01609407
0.703645   0.01934379
0.704272   0.02318273
0.704901   0.0275738
0.705529   0.03259678
0.706159   0.03825082
0.706789   0.04440038
0.707420   0.0510407
0.708051   0.0579566
0.708683   0.06499326
0.709315   0.07178605
0.709948   0.07813452
0.710581   0.08384982
0.711215   0.08874396
0.711850   0.09273364
0.712485   0.09600579
0.713121   0.09851987
0.713757   0.1003788
0.714393   0.1016574
0.715031   0.1025045
0.715669   0.1030421
0.716307   0.1033805
0.716947   0.1035554
0.717586   0.1036698
0.718226   0.1037023
0.718867   0.1037082
0.719508   0.103749
0.720151   0.103837
0.720793   0.1039129
0.721436   0.1039746
0.722080   0.1040359
0.722724   0.104166
0.723369   0.1042473
0.724014   0.1043428
0.724660   0.1043903
0.725307   0.1043782
0.725954   0.1043807
0.726602   0.1043217
0.727250   0.1041885
0.727899   0.1039916
0.728548   0.1037849
0.729198   0.1034986
0.729849   0.1031016
0.730500   0.1027264
0.731152   0.1022681
0.731804   0.1017701
0.732457   0.1012291
0.733110   0.1006853
0.733765   0.100076
0.734419   0.09943353
0.735075   0.09886904
0.735730   0.09823886
0.736387   0.09760527
0.737044   0.09694848
0.737701   0.09637544
0.738359   0.09579733
0.739018   0.09523616
0.739677   0.09466667
0.740337   0.09414787
0.740998   0.0936617
0.741659   0.0931721
0.742321   0.09275494
0.742983   0.09233786
0.743646   0.09198058
0.744310   0.09165637
0.744974   0.0913392
0.745638   0.09106907
0.746304   0.09078696
0.746969   0.09056868
0.747636   0.09037466
0.748303   0.09021007
0.748970   0.09006936
0.749639   0.08990012
0.750308   0.08974723
0.750977   0.08965293
0.751647   0.08957196
0.752317   0.08949181
0.752989   0.0894354
0.753661   0.08931813
0.754333   0.08918592
0.755006   0.08913468
0.755679   0.08907938
0.756354   0.08898529
0.757029   0.08891707
0.757704   0.08883552
0.758380   0.08868881
0.759057   0.08857815
0.759734   0.08844095
0.760412   0.08832001
0.761091   0.08818494
