#LAM	FLX
1.00040	0.712270
1.00060	0.712510
1.00080	0.712710
1.00100	0.712940
1.00120	0.713030
1.00140	0.713130
1.00160	0.713200
1.00180	0.713260
1.00200	0.713300
1.00220	0.713350
1.00240	0.713420
1.00260	0.713470
1.00280	0.713500
1.00300	0.713500
1.00320	0.713360
1.00340	0.713360
1.00360	0.713380
1.00380	0.713320
1.00400	0.713330
1.00420	0.713180
1.00440	0.713120
1.00460	0.713070
1.00480	0.713010
1.00500	0.713010
1.00520	0.712840
1.00540	0.712690
1.00560	0.712660
1.00580	0.712590
1.00600	0.712340
1.00620	0.712170
1.00640	0.712020
1.00660	0.711870
1.00680	0.711670
1.00700	0.711460
1.00720	0.711260
1.00740	0.711150
1.00760	0.711000
1.00780	0.710710
1.00800	0.710480
1.00820	0.710270
1.00840	0.710050
1.00860	0.709810
1.00880	0.709560
1.00900	0.709260
1.00920	0.709050
1.00940	0.708790
1.00960	0.708630
1.00980	0.708370
1.01000	0.708110
1.01020	0.707870
1.01040	0.707660
1.01060	0.707440
1.01080	0.707290
1.01100	0.707180
1.01120	0.707030
1.01140	0.706880
1.01160	0.706800
1.01180	0.706710
1.01200	0.706540
1.01220	0.706480
1.01240	0.706480
1.01260	0.706470
1.01280	0.706380
1.01300	0.706410
1.01320	0.706440
1.01340	0.706540
1.01360	0.706590
1.01380	0.706630
1.01400	0.706570
1.01420	0.706620
1.01440	0.706700
1.01460	0.706740
1.01480	0.706860
1.01500	0.707000
1.01520	0.707180
1.01540	0.707340
1.01560	0.707460
1.01580	0.707660
1.01600	0.707920
1.01620	0.708150
1.01640	0.708440
1.01660	0.708760
1.01680	0.709030
1.01700	0.709400
1.01720	0.709870
1.01740	0.710310
1.01760	0.710710
1.01780	0.711150
1.01800	0.711530
1.01820	0.712020
1.01840	0.712490
1.01860	0.713030
1.01880	0.713620
1.01900	0.714220
1.01920	0.714740
1.01940	0.715270
1.01960	0.715790
1.01980	0.716370
1.02000	0.717040
1.02020	0.717590
1.02040	0.718250
1.02060	0.718800
1.02080	0.719440
1.02100	0.720030
1.02120	0.720660
1.02140	0.721270
1.02160	0.721830
1.02180	0.722440
1.02200	0.723040
1.02220	0.723560
1.02240	0.724170
1.02260	0.724780
1.02280	0.725390
1.02300	0.725950
1.02320	0.726500
1.02340	0.727160
1.02360	0.727680
1.02380	0.728290
1.02400	0.728850
1.02420	0.729540
1.02440	0.730130
1.02460	0.730710
1.02480	0.731350
1.02500	0.731920
1.02520	0.732500
1.02540	0.733120
1.02560	0.733750
1.02580	0.734340
1.02600	0.734940
1.02620	0.735460
1.02640	0.735990
1.02660	0.736510
1.02680	0.736980
1.02700	0.737470
1.02720	0.737930
1.02740	0.738310
1.02760	0.738800
1.02780	0.739210
1.02800	0.739590
1.02820	0.740010
1.02840	0.740360
1.02860	0.740630
1.02880	0.740880
1.02900	0.741120
1.02920	0.741320
1.02940	0.741580
1.02960	0.741780
1.02980	0.741970
1.03000	0.742170
1.03020	0.742370
1.03040	0.742570
1.03060	0.742720
1.03080	0.742810
1.03100	0.742870
1.03120	0.742970
1.03140	0.742970
1.03160	0.742970
1.03180	0.742980
1.03200	0.743000
1.03220	0.743040
1.03240	0.743030
1.03260	0.743000
1.03280	0.742950
1.03300	0.742840
1.03320	0.742750
1.03340	0.742550
1.03360	0.742280
1.03380	0.742080
1.03400	0.741820
1.03420	0.741620
1.03440	0.741360
1.03460	0.741130
1.03480	0.740830
1.03500	0.740550
1.03520	0.740230
1.03540	0.739840
1.03560	0.739500
1.03580	0.739140
1.03600	0.738740
1.03620	0.738400
1.03640	0.738010
1.03660	0.737690
1.03680	0.737350
1.03700	0.737000
1.03720	0.736630
1.03740	0.736270
1.03760	0.735860
1.03780	0.735440
1.03800	0.735060
1.03820	0.734650
1.03840	0.734190
1.03860	0.733800
1.03880	0.733380
1.03900	0.732960
1.03920	0.732560
1.03940	0.732090
1.03960	0.731640
1.03980	0.731160
1.04000	0.730730
1.04020	0.730210
1.04040	0.729680
1.04060	0.729200
1.04080	0.728740
1.04100	0.728230
1.04120	0.727690
1.04140	0.727230
1.04160	0.726780
1.04180	0.726270
1.04200	0.725750
1.04220	0.725250
1.04240	0.724730
1.04260	0.724180
1.04280	0.723740
1.04300	0.723270
1.04320	0.722720
1.04340	0.722270
1.04360	0.721770
1.04380	0.721210
