#LAM	TRANSMISSION
0.885	0.0001
0.89	0.0009
0.895	0.0044
0.9	0.0178
0.905	0.0594
0.91	0.1639
0.915	0.3771
0.92	0.7298
0.925	1.2022
0.93	1.7158
0.935	2.169
0.94	2.4908
0.945	2.6763
0.95	2.7617
0.955	2.7932
0.96	2.8025
0.965	2.8019
0.97	2.8006
0.975	2.797
0.98	2.7948
0.985	2.7912
0.99	2.7872
0.995	2.785
1.0	2.7816
1.005	2.7799
1.01	2.7784
1.015	2.777
1.02	2.7757
1.025	2.7745
1.03	2.7735
1.035	2.7711
1.04	2.7706
1.045	2.7701
1.05	2.7699
1.055	2.77
1.06	2.7703
1.065	2.7708
1.07	2.7715
1.075	2.7723
1.08	2.7732
1.085	2.7756
1.09	2.7763
1.095	2.7771
1.1	2.7792
1.105	2.7778
1.11	2.7778
1.115	2.7791
1.12	2.7803
1.125	2.78
1.13	2.7815
1.135	2.7821
1.14	2.7827
1.145	2.7823
1.15	2.7815
1.155	2.7748
1.16	2.7566
1.165	2.7157
1.17	2.6306
1.175	2.4822
1.18	2.2517
1.185	1.9366
1.19	1.5604
1.195	1.1637
1.2	0.7949
1.205	0.4936
1.21	0.2771
1.215	0.1398
1.22	0.0631
1.225	0.0254
1.23	0.0091
1.235	0.0029
1.24	0.0008
1.245	0.0002
