#lam	trans
0.773	0.0
0.7755	0.0
0.778	0.0001
0.7805	0.0001
0.783	0.0001
0.7855	0.0002
0.788	0.0002
0.7905	0.0003
0.793	0.0005
0.7955	0.0007
0.798	0.0011
0.8005	0.0017
0.803	0.0027
0.8055	0.004
0.808	0.0057
0.8105	0.0079
0.813	0.0106
0.8155	0.0139
0.818	0.0178
0.8205	0.0222
0.823	0.0271
0.8255	0.0324
0.828	0.0382
0.8305	0.0446
0.833	0.0511
0.8355	0.0564
0.838	0.0603
0.8405	0.0637
0.843	0.0667
0.8455	0.0694
0.848	0.0717
0.8505	0.0736
0.853	0.0752
0.8555	0.0765
0.858	0.0775
0.8605	0.0782
0.863	0.0786
0.8655	0.0787
0.868	0.0785
0.8705	0.078
0.873	0.0772
0.8755	0.0763
0.878	0.0751
0.8805	0.0738
0.883	0.0723
0.8855	0.0708
0.888	0.0693
0.8905	0.0674
0.893	0.0632
0.8955	0.0581
0.898	0.0543
0.9005	0.0526
0.903	0.0523
0.9055	0.0522
0.908	0.0512
0.9105	0.0496
0.913	0.0481
0.9155	0.0473
0.918	0.0476
0.9205	0.0482
0.923	0.0476
0.9255	0.0447
0.928	0.0391
0.9305	0.0329
0.933	0.0283
0.9355	0.0264
0.938	0.0271
0.9405	0.0283
0.943	0.0275
0.9455	0.0254
0.948	0.0252
0.9505	0.0256
0.953	0.0246
0.9555	0.0244
0.958	0.0252
0.9605	0.0258
0.963	0.0265
0.9655	0.0274
0.968	0.0279
0.9705	0.0271
0.973	0.0252
0.9755	0.0236
0.978	0.0227
0.9805	0.0222
0.983	0.0216
0.9855	0.0208
0.988	0.0196
0.9905	0.0183
0.993	0.0171
0.9955	0.016
0.998	0.0149
1.0005	0.0138
1.003	0.0128
1.0055	0.0118
1.008	0.0108
1.0105	0.0099
1.013	0.0091
1.0155	0.0083
1.018	0.0075
1.0205	0.0068
1.023	0.0061
1.0255	0.0055
1.028	0.005
1.0305	0.0045
1.033	0.0041
1.0355	0.0037
1.038	0.0033
1.0405	0.003
1.043	0.0027
1.0455	0.0025
1.048	0.0023
1.0505	0.0021
1.053	0.0019
1.0555	0.0018
1.058	0.0017
1.0605	0.0016
1.063	0.0015
1.0655	0.0014
1.068	0.0013
1.0705	0.0012
1.073	0.0011
1.0755	0.001
1.078	0.0009
1.0805	0.0008
1.083	0.0008
1.0855	0.0007
1.088	0.0006
1.0905	0.0006
1.093	0.0006
1.0955	0.0005
1.098	0.0005
1.1005	0.0004
1.103	0.0004
1.1055	0.0003
1.108	0.0003
1.1105	0.0002
1.113	0.0002
1.1155	0.0001
1.118	0.0001
1.1205	0.0
1.123	0.0
