#wavelength	surface flux
0.6450077295303345	5499999.887536126
0.6472567915916443	8087301.618958949
0.6494921445846558	9378381.106833428
0.6517150402069092	9730457.031534338
0.6539263725280762	10202605.97270659
0.6561272740364075	10471170.140799355
0.6583186388015747	10726055.311124897
0.6605015397071838	11068553.832101407
0.6626768708229065	11281640.120057294
0.6648455858230591	11197820.176549897
0.6670085787773132	10938579.290729789
0.6691668033599854	10606949.03012128
0.6713210344314575	10342106.66013356
0.6734722256660461	10452507.358145744
0.6756211519241333	10753514.077903708
0.6777685880661011	10943542.484723072
0.6799154281616211	11044590.140250564
0.6820623278617859	11114219.114238746
0.6842101216316223	11106221.695891714
0.6863595843315125	10588516.330236789
0.688511312007904	9787555.77162853
0.6906660795211792	10033574.982557483
0.6928245425224304	11180217.116186913
0.6949873566627502	12707464.262200253
0.6971551775932312	14625985.210646417
0.6993286609649658	15867760.408063417
0.7015084028244019	16958474.889595307
0.7036949396133423	18265128.686892707
0.7058889269828796	17554088.559901092
0.7080909013748169	15754355.42796695
0.710301399230957	15195263.000402918
0.712520956993103	15159003.562463881
0.7147500514984131	15183578.64003374
0.7169892191886902	15821627.146323068
0.7192389369010925	16774131.563723017
0.7214996814727783	17774545.247967895
0.723771870136261	19255411.561797027
0.7260559797286987	20979739.83803707
0.7283523678779602	23058023.416020393
0.7306615710258484	25762425.542724177
0.7329838871955872	26558095.364276085
0.7353196740150452	24828168.525720026
0.7376693487167358	23183242.988034233
0.7400332689285278	20453200.626635242
0.7424117922782898	17204204.23879208
0.7448052167892456	15552265.192093523
0.7472138404846191	15737574.857755814
0.7496379613876343	17923379.764724486
0.7520779371261597	20876111.92116706
0.7545340061187744	24861062.542997498
0.7570064663887024	28058120.302199047
0.7594954967498779	27369367.618333176
0.7620013952255249	24666969.97310224
0.7645244002342224	19765026.904686283
0.7670646905899048	13850334.319519917
0.7696225643157959	13671360.64499654
0.7721980810165405	20491656.80603894
0.7747915983200073	27565049.70464223
0.7774031162261963	30384247.04893404
0.7800329327583313	32113023.18298709
0.7826811671257019	34554791.084068276
0.7853479981422424	36849551.9231475
0.7880334854125977	39411572.48772644
0.7907378077507019	39894861.878302544
0.7934610247612	38347756.89728982
0.7962033748626709	39708647.90661356
0.7989648580551147	42465075.73406397
0.801745593547821	44968686.33405962
0.8045456409454346	49493923.622645624
0.8073651194572449	60247236.63718312
0.8102040886878967	83567684.78348586
0.8130625486373901	113538730.67761038
0.8159406185150146	124646194.08432882
0.8188382983207703	108276742.06297639
0.8217556476593018	96326965.31567855
0.8246926665306091	97531958.07998277
0.8276493549346924	88141572.33256502
0.8306257724761963	72541288.70666857
0.8336219191551208	69232255.00415409
0.8366377949714661	74754067.33413914
0.8396733403205872	78315668.330437
0.8427285552024841	72772105.87836249
0.8458034992218018	58486398.118987545
0.8488980531692505	49502170.86300714
0.8520121574401855	48702680.80866612
0.8551458716392517	49228467.38388562
0.8582990765571594	49566115.30512062
0.8614717125892639	49521690.78550874
0.8646637797355652	49636742.93522012
0.8678751587867737	49556227.34377001
0.8711057901382446	51497400.56662774
0.8743556141853333	59428668.825940475
0.87762451171875	73075254.19477192
0.8809124231338501	88106188.85865723
0.8842192888259888	93674313.61894533
0.8875449895858765	83320759.76755796
0.8908893465995789	74600039.74242108
0.894252359867096	78711144.12693767
0.8976338505744934	88776205.85029921
0.9010337591171265	101399549.5823764
0.9044519662857056	118254460.54332349
0.9078882932662964	149770603.78586078
0.9113426208496094	192476106.33882308
0.914814829826355	227055272.35920328
0.9183048605918884	229993145.39959404
0.9218124747276306	185312461.68250903
0.925337553024292	130845947.82471965
0.9288799166679382	104696539.48475762
0.9324395060539246	101503283.24051431
0.9360161423683167	110303707.13588963
0.9396095871925354	123676478.92717479
0.943219780921936	136891934.40014908
0.9468464851379395	152006153.24221495
0.9504896402359009	172448288.72227156
0.9541489481925964	196093464.24184006
0.9578243494033813	221991251.84747002
0.9615156054496765	240384905.94907862
0.9652225375175476	259476760.3322198
0.9689450263977051	280118593.1136852
0.9726828336715698	270918050.38943076
0.9764357805252075	242202755.50184438
0.9802037477493286	219653611.38109544
0.983986496925354	206618147.4622307
0.9877838492393494	187015881.00455803
0.9915955662727356	140594641.8800674
0.9954215884208679	108022698.93862598
0.9992615580558777	108793666.44644664
1.0031154155731201	113600601.91671018
1.0069829225540161	118896561.81606504
1.0108637809753418	126725233.4860178
1.0147579908370972	131003117.9072179
1.018665075302124	133289356.61100613
1.022585153579712	136109973.72009075
1.0265177488327026	133192199.15542537
1.0304628610610962	132278956.58507603
1.0344202518463135	143016812.57291457
1.0383895635604858	158455549.33137706
1.0423706769943237	170189764.20751792
1.0463634729385376	178990327.83621833
1.0503677129745483	189941722.57812876
1.0543830394744873	202301567.30622533
1.058409333229065	211254840.19344753
1.0624464750289917	224022684.6711207
1.0664942264556885	237802161.76382282
1.0705522298812866	256474442.12118414
1.0746204853057861	311454343.503027
1.0786986351013184	387707770.2056985
1.0827864408493042	430925988.6728152
1.086883783340454	429006525.53038496
1.0909905433654785	424842673.90218157
1.0951062440872192	421756397.43697923
1.0992310047149658	388771443.81065255
1.10336434841156	338821561.8710984
1.1075061559677124	307645153.02542657
1.1116561889648438	326491310.101653
1.115814208984375	355392906.24707687
1.1199802160263062	356073974.4467762
1.124153733253479	364558282.6416696
1.1283347606658936	383306376.3382231
1.1325229406356812	378720042.83728117
1.1367181539535522	343345419.476837
1.1409201622009277	322362058.2891556
1.145128846168518	349359917.5446
1.1493438482284546	393410905.356527
1.1535650491714478	423563190.0160289
