# Data obtained 2000 March 5  Burgasser, Kirkpatrick
# lamdbda (A) F_lam (erg/cm2/s/A)
6294.2270507812  -2.143379E-19
6296.09134984012  -3.120476E-19
6297.95564889903  -1.796461E-19
6299.81994795794  -2.554203E-19
6301.68424701686  -9.339434E-20
6303.54854607577  2.698139E-18
6305.41284513469  1.772865E-18
6307.2771441936  7.198350E-20
6309.14144325251  3.626390E-19
6311.00574231143  3.618146E-19
6312.87004137034  1.260680E-19
6314.73434042926  4.920421E-20
6316.59863948817  -2.205679E-19
6318.46293854708  -2.414240E-19
6320.327237606  -3.548655E-19
6322.19153666491  -2.552628E-19
6324.05583572383  9.651063E-20
6325.92013478274  -3.524604E-21
6327.78443384166  -2.424505E-19
6329.64873290057  -8.123892E-20
6331.51303195948  4.190572E-19
6333.3773310184  4.322975E-19
6335.24163007731  2.269096E-19
6337.10592913623  1.442382E-19
6338.97022819514  -3.679335E-19
;6340.83452725406  2.008161E-17
;6342.69882631297  7.430864E-18
6344.56312537188  -7.268064E-19
6346.4274244308  5.779111E-19
6348.29172348971  1.761109E-20
6350.15602254863  -1.874871E-20
6352.02032160754  -6.329118E-20
6353.88462066646  7.858442E-22
6355.74891972537  -1.106290E-19
6357.61321878428  1.057218E-19
6359.4775178432  7.575064E-19
6361.34181690211  3.205590E-19
6363.20611596103  6.821547E-19
6365.07041501994  3.796784E-19
6366.93471407886  -4.959942E-19
6368.79901313777  -7.482604E-19
6370.66331219668  -2.465606E-19
6372.5276112556  -7.980496E-21
6374.39191031451  4.015986E-20
6376.25620937343  -1.020275E-19
6378.12050843234  -1.318282E-19
6379.98480749125  1.817606E-19
6381.84910655017  1.766854E-19
6383.71340560908  2.110649E-19
6385.577704668  -1.826178E-19
6387.44200372691  -8.402599E-20
6389.30630278582  2.578330E-20
6391.17060184474  7.144011E-20
6393.03490090365  1.730940E-19
6394.89919996257  -9.199328E-20
6396.76349902148  1.629999E-19
6398.6277980804  5.232729E-19
6400.49209713931  1.308702E-19
6402.35639619822  1.739417E-19
6404.22069525714  4.850726E-19
6406.08499431605  5.609416E-19
6407.94929337497  4.460098E-20
6409.81359243388  -1.042353E-19
6411.6778914928  1.252899E-19
6413.54219055171  -1.906368E-19
6415.40648961062  -3.181205E-19
6417.27078866954  1.679826E-19
6419.13508772845  6.152012E-19
6420.99938678737  6.942939E-20
6422.86368584628  -2.036260E-19
6424.72798490519  4.361554E-20
6426.59228396411  -9.109606E-20
6428.45658302302  2.278905E-19
6430.32088208194  1.964110E-19
6432.18518114085  2.848509E-19
6434.04948019977  -8.658541E-20
6435.91377925868  5.211548E-20
6437.77807831759  8.039587E-20
6439.64237737651  -9.053187E-20
6441.50667643542  1.236263E-19
6443.37097549434  -1.779495E-19
6445.23527455325  -4.433308E-19
6447.09957361216  1.556612E-19
6448.96387267108  1.286033E-21
6450.82817172999  -3.550249E-19
6452.69247078891  -8.190956E-20
6454.55676984782  -9.212204E-20
6456.42106890674  -2.143095E-19
6458.28536796565  2.258487E-19
6460.14966702456  2.882154E-19
6462.01396608348  4.158728E-19
6463.87826514239  2.835030E-19
6465.74256420131  -4.966001E-19
6467.60686326022  4.409435E-19
6469.47116231914  3.486077E-19
6471.33546137805  2.997637E-19
6473.19976043696  3.175714E-21
6475.06405949588  -1.417157E-19
6476.92835855479  4.420871E-20
6478.79265761371  1.292063E-20
6480.65695667262  5.210183E-20
6482.52125573153  -6.897338E-20
6484.38555479045  2.869350E-20
6486.24985384936  -5.820769E-19
6488.11415290828  -1.865454E-19
6489.97845196719  3.009844E-19
6491.84275102611  6.741100E-19
6493.70705008502  6.574545E-20
6495.57134914393  -2.222591E-19
6497.43564820285  2.195126E-19
6499.29994726176  7.188624E-19
6501.16424632068  1.457136E-19
6503.02854537959  1.316942E-19
6504.8928444385  1.010921E-19
6506.75714349742  2.790123E-20
6508.62144255633  1.009867E-19
6510.48574161525  -2.281317E-19
6512.35004067416  -3.475868E-20
6514.21433973308  1.130637E-20
6516.07863879199  6.177698E-20
6517.94293785091  6.238178E-19
6519.80723690982  5.241734E-19
6521.67153596873  1.900982E-19
6523.53583502765  -3.034536E-19
6525.40013408656  -5.436496E-21
6527.26443314548  1.996594E-19
6529.12873220439  -8.491907E-21
6530.99303126331  -4.902814E-19
6532.85733032222  3.640577E-19
