FILENAME,SPT
11335_10505.fits,M0.0
11364_10806.fits,M1.0
11181_10187.fits,M2.0
10823_11422.fits,M3.0
12004_10444.fits,M4.0
10829_10104.fits,M5.0
11182_10188.fits,M6.0
10822_11283.fits,M7.0
10824_11423.fits,M8.0
10821_11058.fits,M9.0
10107_10315.fits,L0.0
11072_11527.fits,L1.0
10600_10957.fits,L2.0
10592_11111.fits,L3.0
10675_11572.fits,L4.0
10351_10583.fits,L5.0
10375_10696.fits,L6.0
10678_10105.fits,L7.0
10115_11254.fits,L8.0
10268_10237.fits,L9.0
10771_10871.fits,T0.0
10767_10591.fits,T1.0
10017_10945.fits,T2.0
10034_10874.fits,T3.0
10143_11632.fits,T4.0
10021_11106.fits,T5.0
10200_11236.fits,T6.0
10159_10513.fits,T7.0
10126_10349.fits,T8.0
11536_10509.fits,T9.0
