# Baraffe et al. 2003 models for t=0.005 Gyr
#--------------------------------------------------------
# M/Ms	Teff (K)    log L/Ls   log g (cgs)	R/Rs
#--------------------------------------------------------
0.0005	455.	-6.079	2.794	0.148
0.0010	644.	-5.522	3.141	0.141
0.0020	901.	-4.920	3.425	0.143
0.0030	1098.	-4.552	3.576	0.148
0.0040	1263.	-4.283	3.675	0.152
0.0050	1413.	-4.061	3.745	0.157
0.0060	1543.	-3.886	3.802	0.161
0.0070	1668.	-3.725	3.843	0.166
0.0080	1786.	-3.579	3.874	0.171
0.0090	1885.	-3.460	3.900	0.176
0.0100	1965.	-3.363	3.921	0.181
0.0120	2102.	-3.194	3.948	0.192
0.0150	2264.	-2.981	3.960	0.212
0.0200	2452.	-2.661	3.905	0.261
0.0300	2616.	-2.262	3.795	0.363
0.0400	2754.	-2.068	3.814	0.410
0.0500	2806.	-1.846	3.722	0.510
0.0600	2875.	-1.902	3.899	0.455
0.0700	2916.	-1.829	3.917	0.481
0.0720	2921.	-1.814	3.918	0.488
0.0750	2912.	-1.716	3.832	0.550
0.0800	2946.	-1.760	3.925	0.510
0.0900	2974.	-1.696	3.928	0.540
0.1000	2983.	-1.582	3.865	0.611
#--------------------------------------------------------
