# Baraffe et al. 2003 models for t=0.100 Gyr
#--------------------------------------------------------
# M/Ms	Teff (K)    log L/Ls   log g (cgs)	R/Rs
#--------------------------------------------------------
0.0005	240.	-7.418	3.020	0.114
0.0010	309.	-6.957	3.300	0.117
0.0020	425.	-6.383	3.580	0.120
0.0030	493.	-6.112	3.746	0.121
0.0040	563.	-5.880	3.869	0.122
0.0050	630.	-5.686	3.965	0.122
0.0060	688.	-5.534	4.048	0.121
0.0070	760.	-5.365	4.117	0.121
0.0080	816.	-5.246	4.180	0.120
0.0090	886.	-5.103	4.232	0.120
0.0100	953.	-4.978	4.279	0.120
0.0120	1335.	-4.332	4.297	0.129
0.0150	1399.	-4.281	4.424	0.124
0.0200	1561.	-4.110	4.569	0.122
0.0300	1979.	-3.668	4.715	0.126
0.0400	2270.	-3.386	4.797	0.132
0.0500	2493.	-3.167	4.837	0.141
0.0600	2648.	-3.008	4.863	0.150
0.0700	2762.	-2.879	4.874	0.160
0.0720	2782.	-2.856	4.875	0.162
0.0750	2809.	-2.821	4.875	0.166
0.0800	2846.	-2.776	4.880	0.170
0.0900	2910.	-2.689	4.884	0.180
0.1000	2960.	-2.617	4.887	0.189
#--------------------------------------------------------
