# Baraffe et al. 2003 models for t=0.001 Gyr
#--------------------------------------------------------
# M/Ms	Teff (K)    log L/Ls   log g (cgs)	R/Rs
#--------------------------------------------------------
0.0005	628.	-5.370	2.645	0.176
0.0010	942.	-4.715	2.996	0.166
0.0020	1285.	-4.137	3.259	0.174
0.0030	1553.	-3.746	3.372	0.187
0.0040	1747.	-3.482	3.438	0.200
0.0050	1901.	-3.273	3.472	0.215
0.0060	2004.	-3.129	3.499	0.228
0.0070	2098.	-2.998	3.515	0.242
0.0080	2159.	-2.893	3.517	0.258
0.0090	2207.	-2.811	3.525	0.271
0.0100	2251.	-2.735	3.529	0.285
0.0120	2321.	-2.615	3.541	0.307
0.0150	2400.	-2.455	3.537	0.345
0.0200	2484.	-2.280	3.546	0.395
0.0300	2598.	-2.174	3.694	0.408
0.0400	2746.	-1.939	3.681	0.478
0.0500	2768.	-1.637	3.489	0.666
0.0600	2824.	-1.604	3.570	0.665
0.0700	2853.	-1.478	3.529	0.753
0.0720	2858.	-1.455	3.520	0.771
0.0750	2833.	-1.389	3.457	0.847
0.0800	2869.	-1.373	3.492	0.840
0.0900	2867.	-1.289	3.457	0.927
0.1000	2856.	-1.187	3.394	1.051
#--------------------------------------------------------
