# Baraffe et al. 2003 models for t=10.000 Gyr
#--------------------------------------------------------
# M/Ms	Teff (K)    log L/Ls   log g (cgs)	R/Rs
#--------------------------------------------------------
0.0030	125.	-8.629	3.879	0.104
0.0040	149.	-8.325	4.006	0.104
0.0050	172.	-8.087	4.109	0.103
0.0060	193.	-7.888	4.195	0.102
0.0070	213.	-7.724	4.270	0.102
0.0080	232.	-7.584	4.335	0.101
0.0090	249.	-7.469	4.393	0.100
0.0100	265.	-7.368	4.445	0.099
0.0120	293.	-7.204	4.536	0.098
0.0150	330.	-7.016	4.650	0.096
0.0200	389.	-6.759	4.802	0.093
0.0300	504.	-6.358	5.029	0.088
0.0400	634.	-6.004	5.200	0.083
0.0500	776.	-5.695	5.338	0.079
0.0600	941.	-5.393	5.450	0.076
0.0700	1289.	-4.832	5.503	0.078
0.0720	1556.	-4.472	5.481	0.081
0.0750	1997.	-3.954	5.415	0.089
0.0800	2322.	-3.602	5.353	0.099
0.0900	2624.	-3.274	5.289	0.113
0.1000	2786.	-3.082	5.246	0.125
#--------------------------------------------------------
