# Baraffe et al. 2003 models for t=5.00000 Gyr
#--------------------------------------------------------
# M/Ms	Teff (K)    log L/Ls   log g (cgs)	R/Rs
#--------------------------------------------------------
0.0020	129.	-8.570	3.698	0.105
0.0030	162.	-8.166	3.868	0.105
0.0040	193.	-7.867	3.994	0.105
0.0050	220.	-7.644	4.095	0.105
0.0060	244.	-7.469	4.180	0.104
0.0070	265.	-7.328	4.254	0.103
0.0080	284.	-7.217	4.318	0.103
0.0090	301.	-7.124	4.376	0.102
0.0100	322.	-7.015	4.429	0.101
0.0120	361.	-6.823	4.519	0.100
0.0150	399.	-6.671	4.634	0.098
0.0200	473.	-6.401	4.786	0.095
0.0300	610.	-6.008	5.011	0.090
0.0400	760.	-5.670	5.179	0.085
0.0500	931.	-5.353	5.313	0.082
0.0600	1120.	-5.058	5.418	0.079
0.0700	1524.	-4.504	5.466	0.081
0.0720	1712.	-4.278	5.453	0.083
0.0750	2006.	-3.942	5.411	0.089
0.0800	2320.	-3.603	5.353	0.099
0.0900	2622.	-3.275	5.289	0.113
0.1000	2785.	-3.083	5.247	0.125
#--------------------------------------------------------
