teff	logg	z	fsed	cld	MKO_J	NICMOS_F090M	WIRC_BRGAMMA	HAWK_J	IRAC_CH4	FOURSTAR_H	MKO_K_ATM	NICMOS_F165M	WFCAM_K	FOURSTAR_J1	WISE_W2	NICMOS_F095N	NICMOS_F170M	IRAC_CH3	NICMOS_F097N	FOURSTAR_J3	WIRC_CH4L	SDSS_Z	HAWK_CH4	NIRC2_LP	WFCAM_Y	WIRC_J	WIRCAM_H	PANSTARRS_Z	WIRC_H	WFCAM_H	NIRC2_H	NIRC2_FE2	FOURSTAR_K	WFCAM_BRG	NICMOS_F166N	WIRCAM_KS	HAWK_H2	VISTA_J	IRAC_CH2	HAWK_BRG	IRAC_CH1	NIRC2_K	WIRC_K	NICMOS_F160W	WFC3_F164N	WISE_W3	WFC3_F127M	UKIDSS_K	NICMOS_F113N	WIRCAM_KCONT	MKO_J_ATM	WFC3_F139M	WFCAM_Z	MKO_LP	WIRCAM_Y	FOURSTAR_J	MKO_H	2MASS_Ks	HAWK_NB2090	NICMOS_F110M	NICMOS_F140W	HAWK_H	WISE_W4	MKO_MP	NIRC2_J	NICMOS_F110W	SDSS_R	HAWK_Y	WFC3_F167N	NIRC2_HCONT	NICMOS_F190N	HAWK_KS	NIRC2_KCONT	WIRCAM_CH4_ON	UKIDSS_H	WIRC_PABETA	NICMOS_F145M	VISTA_H	PANSTARRS_R	NICMOS_F187N	WIRC_CH4S	WIRC_CO	VISTA_Z	FOURSTAR_J2	WFCAM_H2	VISTA_Y	SDSS_I	UKIDSS_Z	SDSS_G	PANSTARRS_I	2MASS_H	FOURSTAR_H_LONG	VISTA_KS	UKIDSS_J	MKO_H_ATM	2MASS_J	WIRC_FE2	WFCAM_J	HAWK_NB1060	FOURSTAR_KS	WIRCAM_J	BESSEL_I	WISE_W1	NIRC2_KS	MKO_K	PANSTARRS_Y	UKIDSS_Y	HAWK_NB1190	PANSTARRS_G	NIRC2_KP	MKO_KP	NICMOS_F164N	FOURSTAR_H_SHORT	2MASS_KS	PANSTARRS_W	NIRC2_M	SDSS_U	NICMOS_F108N	2MASS_K	WIRCAM_CH4_OFF
1000.0	4.0	0.0	eq	a1-fe	-32.17248365831481	-29.646637957854658	-34.566174210067004	-32.217564408581346	-36.35208909267672	-33.42142542477382	-34.34234078024052	-33.60762258488667	-34.303944761044704	-31.042317623338853	-36.03790506388901	-30.14121605214751	-33.55992705224427	-35.867217177584536	-30.141053868849276	-32.20290770957447	-33.68385752321087	-29.679988439164816	-33.3954271382158	-35.87752831427936	-30.90972887981023	-32.04140424816319	-33.44127825145709	-29.450352393001914	-33.47388643595235	-33.455087520317505	-33.423644707421396	-33.74207341757118	-31.945661921560426	-34.64374191109171	-33.682478656704454	-34.345315124814626	-34.68185044562204	-32.14311238145727	-36.08699806315015	-34.73763346074328	-35.22754380091026	-34.348035638715984	-33.8962489858797	-33.10021301570463	-33.7493578824066	-37.33699598821882	-32.394741479701366	-34.32945485169152	-30.979203149655063	-34.28556783283874	-32.150471993401965	-30.804048670123777	-29.583041300346128	-35.872307412919085	-30.800555847961377	-31.945661921560426	-33.42575676915301	-34.365173885886016	-34.607209052005665	-31.13690039591761	-32.21462126655929	-33.41604942099609	-37.381045620008294	-35.64912897620262	-32.16859974264446	-30.967966360811907	-25.059165440139573	-30.751494647083696	-33.7125136317845	-33.497481674828435	-32.77194602084788	-34.33948410269456	-33.902882712361205	-33.718933886927516	-33.440967145612106	-32.45877627449106	-32.09851043340356	-33.457332560813626	-25.29195232757322	-32.74030839812599	-33.55620084623906	-33.672594557889596	-29.551025938748158	-31.35582549869339	-34.69825239533973	-30.762986363824755	-27.48831924408128	-29.594915845915352	-22.18552518710858	-27.52896428966592	-33.503801351270816	-33.633003062532346	-34.36372907919444	-32.18198657309933	-33.459670546816156	-31.78928879321778	-33.73138564024694	-32.19552179984091	-31.134167784712858	-31.945661921560426	-32.20057378547064		-34.72305412774902	-34.37108058686474	-34.345541104413066	-30.170269649673926	-30.86557758570536	-31.728983955759432	-22.530017969557928	-34.234630294355235	-34.21390872667082	-33.75911278625115	-33.204104384771284	-34.365173885886016	-25.94833588160594	-35.63270108751166		-31.28344135453158	-34.365173885886016	-33.48391918673899
1100.0	4.0	0.0	eq	a1-fe	-32.72473169118762	-30.399471306638436	-35.049646974572475	-32.76708655600068	-36.63836800123673	-33.88264785975335	-34.83396379988858	-34.07084282195299	-34.81132459456567	-31.674632467148477	-36.153823529391154	-30.888550027059424	-34.033792038843956	-36.188732852590626	-30.865299735331455	-32.75427587636833	-34.15674170027698	-30.424628184194976	-33.84111029587839	-36.2370703340532	-31.54537338784508	-32.59957302827982	-33.90186453536238	-30.22279447157166	-33.91242176488219	-33.91753126839808	-33.88476853133853	-34.20308435724503	-32.5120522013374	-35.088672143955385	-34.161820946870904	-34.796761512536875	-35.03882356509249	-32.69635929129847	-36.20771934241454	-35.13445837257685	-35.702619706169834	-34.82529770472672	-34.63755975574054	-33.57323509261758	-34.2108169368947	-37.48263928772658	-32.93930688595024	-34.81398150419793	-31.653866245446885	-34.94126992273098	-32.70244470324365	-31.544009723389543	-30.341857812465594	-36.232411369541516	-31.44387847139789	-32.5120522013374	-33.88697302772704	-34.82490566440568	-34.9415141409863	-31.765404239784125	-32.7368323585135	-33.87746005208463	-37.52414464717863	-35.6100397775925	-32.720927918268245	-31.58496831577029	-26.110784111392107	-31.39680968793599	-34.202008759022824	-33.93760923121423	-33.34164070707268	-34.794235915694884	-34.65160664376957	-34.19400214311533	-33.90274283896949	-33.00336376667806	-32.61404797257753	-33.91930094871673	-26.318615824063865	-33.30658698837524	-34.01253132895022	-34.27836881137616	-30.313969360995735	-31.973492918194374	-35.07205574981014	-31.406274337528146	-28.414133038268098	-30.352363571616145	-23.391137241235565	-28.448654625001765	-33.96310973472468	-34.105431613916465	-34.81637118769925	-32.733822732773795	-33.9138434592266	-32.36751023805023	-34.195142469984006	-32.74643171695145	-31.76811175659847	-32.5120522013374	-32.75109868915234		-35.27692541265342	-34.821220769984	-34.82444207465861	-30.879458096859103	-31.503794942469927	-32.30412210356469	-23.73960840089349	-34.68566404105594	-34.66212675089916	-34.21964904488518	-33.65584176947292	-34.82490566440568	-26.90072275248252	-35.588188238631574		-31.913055914450545	-34.82490566440568	-33.932822358372995
1200.0	4.0	0.0	eq	a1-fe	-33.23495413310398	-31.09014456934778	-35.43750940592586	-33.27480227083928	-36.87396485087034	-34.294130828060304	-35.23036304625332	-34.48411939020826	-35.214168137729274	-32.24810742009894	-36.2404197515549	-31.567232247934513	-34.44753492672543	-36.4276689347914	-31.526229680831158	-33.261570318186415	-34.56966166345717	-31.109527610073833	-34.25099847339076	-36.55855226294531	-32.120460022787114	-33.114854642351546	-34.3123084784868	-30.936217410903076	-34.32003208734115	-34.32890773298256	-34.29548860961085	-34.61763756294118	-33.031815338734894	-35.457270219992566	-34.58449634677122	-35.169263514619125	-35.361935362957624	-33.206537126152355	-36.3017191871439	-35.4783565040599	-36.136894693220164	-35.21244250922906	-35.13801118131178	-33.99234429630102	-34.62595969486066	-37.60456413714286	-33.44471597871193	-35.205059734540356	-32.254995028352184	-35.407652267380655	-33.21203454328909	-32.1399064620593	-31.04059938725353	-36.55469974722705	-32.02636102219483	-33.031815338734894	-34.297902860631794	-35.20212284289492	-35.247985312247124	-32.334545168170706	-33.20867947446046	-34.28888565399052	-37.63462142724947	-35.59240947525326	-33.231141446297	-32.15132118728911	-27.05831300766473	-31.980652511928906	-34.62880001154028	-34.34655210577032	-33.796187320097246	-35.16867073350899	-35.155260828178115	-34.6073487233922	-34.313966046712466	-33.508551539724195	-33.068312409540106	-34.33007610085732	-27.240489508866965	-33.75345921388451	-34.427778642397584	-34.717555623697976	-31.017210556878197	-32.534692393848346	-35.40445266665457	-31.987832567640837	-29.277126056035854	-31.049571132925976	-24.458564745656957	-29.307272321408906	-34.372723479410965	-34.51618263260093	-35.189780481877335	-33.24366117627729	-34.32188795028495	-32.89470061203395	-34.6107400510211	-33.25532610185618	-32.344862113310576	-33.031815338734894	-33.25976195141613		-35.76644073545571	-35.193220080140996	-35.212486326081404	-31.523230331498592	-32.08122020122669	-32.832320982734316	-24.809003856459746	-35.05843110554017	-35.03360320647927	-34.634308514533615	-34.06832723810908	-35.20212284289492	-27.782960009231736	-35.566640660091615		-32.4873051780386	-35.20212284289492	-34.34555127654204
1300.0	4.0	0.0	eq	a1-fe	-33.70299465687803	-31.724818197651167	-35.76365914578244	-33.740506667811644	-37.05185600654375	-34.66365219697825	-35.55815599878783	-34.85477193087518	-35.54527725517815	-32.7662344566419	-36.35267654651962	-32.185356283323834	-34.81589369145097	-36.60558478189986	-32.1311293028016	-33.725865276002864	-34.93762799431776	-31.741062799103123	-34.62242276985191	-36.83073151573035	-32.639367090981104	-33.58633971180288	-34.680739530992085	-31.595176554440826	-34.6906019808798	-34.697715339147756	-34.664105250876545	-34.99219413448591	-33.507156793041936	-35.77517349821476	-34.96264902873888	-35.484747377786036	-35.65541433730643	-33.67414106397825	-36.42253988022298	-35.78505887101666	-36.49929457074995	-35.53563030500385	-35.50892444978531	-34.36784089552786	-35.00084155208685	-37.705979116388306	-33.90930400780033	-35.53025217610841	-32.79639451268594	-35.765730994022185	-33.67950143914197	-32.65049737469618	-31.685048346707255	-36.827735207534865	-32.55293266367011	-33.507156793041936	-34.66671995552368	-35.51995421894886	-35.527025902506075	-32.84994536840691	-33.63776465885023	-34.65828970189903	-37.71360371797784	-35.65692176775595	-33.69915192730226	-32.670832220202236	-27.911366040571398	-32.508484590330255	-35.00876817768216	-34.71824045201202	-34.178707695216104	-35.48522458056127	-35.52736495699233	-34.97522329035099	-34.68289873003112	-33.97367169081608	-33.475520232061726	-34.698391386692805	-28.069933047375805	-34.13148702065109	-34.80264892332593	-35.06618383173911	-31.666238600217866	-33.04485097674966	-35.70469773032147	-32.513177169697784	-30.074676581381723	-31.692358214559945	-25.416215260900188	-30.10190887712655	-34.740651387626926	-34.8817463880557	-35.50580128424275	-33.71134839742828	-34.68931970856073	-33.37510073353649	-34.98569847754892	-33.72208896492947	-32.866716462235615	-33.507156793041936	-33.726344652947965		-36.16090082483246	-35.50838130731997	-35.53614014489407	-32.10899771859638	-32.602485956074545	-33.31686382731394	-25.764827061580945	-35.37482057678937	-35.3497428174821	-35.00890227737964	-34.44159003964897	-35.51995421894886	-28.594612518771356	-35.63132090531945		-33.00706896955846	-35.51995421894886	-34.719118088709116
1400.0	4.0	0.0	eq	a1-fe	-34.12977415971716	-32.30256415741563	-36.048798281605336	-34.165174476369096	-37.19262639573759	-34.9975657937899	-35.84131783249189	-35.1890301810931	-35.83121149670481	-33.22911515344432	-36.47453914618522	-32.74432765601003	-35.147952259210015	-36.75507888665517	-32.68159968345152	-34.149439103716716	-35.26946702430637	-32.31800577355252	-34.958176752048765	-37.0533232024699	-33.102953290403285	-34.01319730568813	-35.013652906689714	-32.197593850393986	-35.02518926245117	-35.030776055653064	-34.99718338812969	-35.331740968023844	-33.94005154611218	-36.05702136229151	-35.30429180688343	-35.76130500659648	-35.9222058333748	-34.10036278508016	-36.552025121033246	-36.06188896730725	-36.786097221723125	-35.816936839036735	-35.81157854790399	-34.70734654316926	-35.34046179037313	-37.79429263274852	-34.33453408143666	-35.81272205408058	-33.284448869739364	-36.06323513415698	-34.10601982056274	-33.105370790848845	-32.273008617621485	-37.05097862343398	-33.024825710133406	-33.94005154611218	-34.999960175740156	-35.797594719949956	-35.78101763437068	-33.313294861547334	-34.02870965009273	-34.99209443178264	-37.77717927352159	-35.760828101078275	-34.12589236569107	-33.144666440983144	-28.66206659335851	-32.981844916873854	-35.351421726877426	-35.05362923566993	-34.51757889054056	-35.76238889129161	-35.830198314126676	-35.30685906741431	-35.01617015492053	-34.40091943807988	-33.8457868655758	-35.031064221524886	-28.800775479676638	-34.46816761505709	-35.141018770912765	-35.36978982426057	-32.25923395339865	-33.50578424875123	-35.9771449273989	-32.98393014822803	-30.79316280825608	-32.27841828748003	-26.262940164188578	-30.818368022266935	-35.07318280141575	-35.21152643995003	-35.78256243854302	-34.1378710736256	-35.02173224093656	-33.8118875128599	-35.325444539960635	-34.14774134775037	-33.33263582385303	-33.94005154611218	-34.15176423013594		-36.46554755452473	-35.78449358338374	-35.81772765539738	-32.63771017172669	-33.068648177274675	-33.75722808081197	-26.60317271263001	-35.65266689485991	-35.62783690918487	-35.34823750959974	-34.77935104402504	-35.797594719949956	-29.322514717790682	-35.73617411860769		-33.4710460910083	-35.797594719949956	-35.05623135679532
1500.0	4.0	0.0	eq	a1-fe	-34.516520611842346	-32.828234420527444	-36.300307375829306	-34.55015585196009	-37.31188861826827	-35.298377254256124	-36.09127967435105	-35.489337678196605	-36.084162393027185	-33.642503699410796	-36.601058613381454	-33.248419733899325	-35.447253393407436	-36.89298917636035	-33.180257084045614	-34.53423300556507	-35.56869317729986	-32.84495205898182	-35.25925553972226	-37.23608996095691	-33.518106810284664	-34.39662863289903	-35.313580672639745	-32.74866151441658	-35.32399369903096	-35.33071931266275	-35.297274732948786	-35.63844817396597	-34.331757267289696	-36.307330319130116	-35.61316479108416	-36.00734723228943	-36.162455284538076	-34.48651229351927	-36.68403867905397	-36.30997895381849	-37.009777823881855	-36.06665198209797	-36.07449489193573	-35.01389921948601	-35.64694176806297	-37.87387112635229	-34.72214644454931	-36.06322310933568	-33.72061611499072	-36.31942330488252	-34.492837693629475	-33.51573657296866	-32.80931177022866	-37.23414229625261	-33.44878950736738	-34.331757267289696	-35.30017738255654	-36.04401614821059	-36.01098907431836	-33.727996194761396	-34.38357947057692	-35.292831217672855	-37.835438433367884	-35.887356969415954	-34.512586993135315	-33.575424906610486	-29.317909589372842	-33.40773192337223	-35.66161190330359	-35.35293993007875	-34.82331975235197	-36.008767110943715	-36.09274603430951	-35.60594898390851	-35.31635123776934	-34.79202376909267	-34.18324369102697	-35.33072032723622	-29.439970365227943	-34.772671558339866	-35.44448836927585	-35.64679907828743	-32.80138999116205	-33.91853400439533	-36.22200326192018	-33.40731725813426	-31.43441678221944	-32.81255358004375	-27.01360086881976	-31.457534226999417	-35.37270318216374	-35.50922373669427	-36.02851166726774	-34.524517721868484	-35.3212326958156	-34.20673755863082	-35.63239657480183	-34.533612426502806	-33.74783531465348	-34.331757267289696	-34.537327950814365		-36.69956080257081	-36.0298792992677	-36.06765180141537	-33.1141160726461	-33.486681322421504	-34.15275148417212	-27.338481141000592	-35.90018684039113	-35.87576696546738	-35.65435194010111	-35.08308330364768	-36.04401614821059	-29.968927778339424	-35.86360096106611		-33.883880173728386	-36.04401614821059	-35.35789096134952
1600.0	4.0	0.0	eq	a1-fe	-34.86344094215945	-33.30557495419888	-36.52076234355335	-34.89561923586655	-37.419236926777245	-35.56839810080432	-36.312244129456445	-35.757982946265734	-36.30851502731586	-34.0132103483664	-36.73769461319762	-33.701648788685176	-35.716340591118076	-37.02647229716006	-33.629447030907265	-34.880038078551046	-35.837532025673966	-33.32393792758962	-35.52793313334075	-37.389601202652784	-33.89204203306547	-34.73976373160911	-35.58283008867661	-33.24944729216968	-35.589176139051794	-35.59990316034369	-35.5667224140686	-35.91394726387129	-34.68327076063843	-36.527385962530815	-35.89135065934224	-36.226008868573615	-36.375505475039496	-34.83303189366244	-36.82332375071532	-36.529094287451514	-37.18607315832162	-36.28847116130544	-36.307637710444986	-35.290247072758895	-35.92197478133526	-37.947101071655226	-35.07014644601349	-36.285653750675394	-34.1103682534898	-36.54159775785369	-34.84027400837449	-33.88966746485143	-33.29609466107013	-37.387870935422534	-33.83159012370595	-34.68327076063843	-35.56971226544512	-36.262568325000515	-36.21694717398909	-34.09970113004211	-34.704527144355055	-35.56282675508851	-37.89496672720796	-36.03949313528222	-34.85946686958451	-33.965894912526664	-29.90415620042651	-33.792849304628746	-35.94165217589119	-35.61839524861858	-35.101808289316	-36.227575171592264	-36.32517216296722	-35.87465269148448	-35.58578466562076	-35.144307360113494	-34.491733196509614	-35.599697352097934	-30.01180715704021	-35.05070923327536	-35.71539298390099	-35.9023580667957	-33.29421328462566	-34.28748764670965	-36.438627126682114	-33.790296176003864	-32.01204389182536	-33.297205639436264	-27.691348434983443	-32.032617341688166	-35.64145051750957	-35.77714706865254	-36.24679243602054	-34.87142886671226	-35.590038501850046	-34.56139450867312	-35.90825560394628	-34.87985229577454	-34.11855926821099	-34.68327076063843	-34.88323930811245		-36.88298882006149	-36.24764907376041	-36.28964721955094	-33.544080564448855	-33.86368482328333	-34.507014031702	-27.99849701683156	-36.120546413916685	-36.09659177111616	-35.92894382649991	-35.35527984408264	-36.262568325000515	-30.5500305636089	-36.01675468509048		-34.251361570080256	-36.262568325000515	-35.62651671612691
1700.0	4.0	0.0	eq	a1-fe	-35.182488286920226	-33.7457636723491	-36.71157876382664	-35.21387073261729	-37.51724828952244	-35.811651573652924	-36.50519938503287	-36.00034611808164	-36.50497794926097	-34.34371940305994	-36.872815406595876	-34.11855006024548	-35.96099123060293	-37.15374692106324	-34.0429242620866	-35.20023160149253	-36.08248766563896	-33.76585650469002	-35.766915323507895	-37.52132523168334	-34.22644155266636	-35.05043711187858	-35.82534586661162	-33.713222497012325	-35.82174631219549	-35.84246108581172	-35.8093844637937	-36.167694471009355	-35.004445522025335	-36.7180973416781	-36.14878005233704	-36.41785857694306	-36.561121930548154	-35.15135516138549	-36.95881312431035	-36.71933383802221	-37.32942732913131	-36.482920203028485	-36.510748025687256	-35.539796807730696	-36.17500850091437	-38.014393048047246	-35.395379612492086	-36.480634065901945	-34.45670035025759	-36.73292235254604	-35.15953126884506	-34.226801061201385	-33.74504855511446	-37.51971022049159	-34.17583391228628	-35.004445522025335	-35.81248090648895	-36.45387605936024	-36.39912133920835	-34.43078223806806	-34.99630317855906	-35.80605068796245	-37.95637607434614	-36.207531971172756	-35.17839903466098	-34.32399090100034	-30.419918862116337	-34.13947559584867	-36.202528256786564	-35.85160645470862	-35.353951428379816	-36.419423309599416	-36.5273250144473	-36.11963814153264	-35.82853210867358	-35.475763890287425	-34.77020234004677	-35.842047027022645	-30.51445898247693	-35.30314026356382	-35.959404774719516	-36.13411701414049	-33.75014027769817	-34.61626322887444	-36.626754566820885	-34.13457506446778	-32.53408636010309	-33.743786762301504	-28.290917651858727	-32.55117674107761	-35.88375470695623	-36.02116134525649	-36.43802214451024	-35.1907837255682	-35.83223579177515	-34.88432957579946	-36.16252060688511	-35.198706074252385	-34.44948177469597	-35.004445522025335	-35.20168139180906		-37.03218374401129	-36.43842708209227	-36.48424674675673	-33.93489778913034	-34.20157656489971	-34.82372237211675	-28.575562043745077	-36.3143703476226	-36.29094629695623	-36.1814001588953	-35.5978821425342	-36.45387605936024	-31.07056478458962	-36.18608469708563		-34.580660954852654	-36.45387605936024	-35.86589122376566
700.0	4.0	0.0	eq	a1-fe	-29.976296127940913	-26.711377881770343	-32.12060107542979	-30.031629452776535	-35.24442389641743	-31.2673270580679	-32.233419254823765	-31.455583745742913	-32.09036465532429	-28.56663102119277	-35.23609497768002	-27.091498033467673	-31.232195868317604	-34.43444676741392	-27.214216648215107	-30.00795648701443	-31.326181760427282	-26.80400105318595	-31.47507296025846	-34.33275733130919	-28.420028650829224	-29.84720633000922	-31.286509400683585	-26.526521975778522	-31.669156100699837	-31.298997646983537	-31.266091679266435	-31.590306295431112	-29.665106456837446	-32.35526390799928	-31.42175279367891	-32.32760862544368	-32.940414800999726	-29.933607262830954	-35.267345838260404	-32.646195341680695	-33.37946594637331	-32.26359189837453	-30.132636360883854	-30.892804843134606	-31.601635986945542	-36.67743848685941	-30.26275369636551	-32.21238070452532	-27.857078393430392	-30.837913903510348	-29.94862592810303	-26.870837351596414	-26.68379339981534	-34.326692942662675	-28.275730710017	-29.665106456837446	-31.270342652780286	-32.323036395777066	-33.03902607739709	-28.57050581999119	-29.93951528476763	-31.25945073787443	-36.85128351314226	-35.26437989701601	-29.970529870002686	-28.53266602334862	-21.151199298978746	-28.215234058739725	-31.338476392598178	-31.684660332225427	-30.00210827425178	-32.31243785099461	-30.10453401990874	-31.323514475050697	-31.285283866123027	-30.29114424004311	-29.76868430782541	-31.295231358139546	-21.457467468537693	-29.871245924526924	-31.54640329998387	-30.450170527134823	-26.64545083469568	-28.791110877576177	-32.80873104095845	-28.232656442685613	-24.087799278814863	-26.698488198043655	-17.506365915364103	-24.148518544664345	-31.354665369974356	-31.256946981101073	-32.34614728472405	-29.988165904891183	-31.359509645986996	-29.458431122832884	-31.555895092866336	-30.004754938898298	-28.685823435458527	-29.665106456837446	-30.01176485499054		-32.681356109370306	-32.36392512361532	-32.25583438998446	-27.332905116870847	-28.364379785312742	-29.361596657224126	-17.87531461146416	-32.21581378209662	-32.201952690242116	-31.615218305868616	-31.22156765195073	-32.323036395777066	-22.45855713187232	-35.26887081576588		-28.85644547673587	-32.323036395777066	-31.55755919116119
800.0	4.0	0.0	eq	a1-fe	-30.87191148887408	-27.88888300779785	-33.117686110344366	-30.923426303493127	-35.65640206225971	-32.191164011836484	-33.067695761415706	-32.376217796076716	-32.95823736163883	-29.55939154504383	-35.60696619273645	-28.339830348574594	-32.23827536514995	-34.98516646644349	-28.40813542543783	-30.8993521075383	-32.35366062344997	-27.953485124361382	-32.290447158257045	-34.94838856960846	-29.417619443957545	-30.73754688070131	-32.210292999579906	-27.686115759186997	-32.425995631682284	-32.22058724595473	-32.19063558646517	-32.522860838149455	-30.5929492685221	-33.317047557617066	-32.39027961239409	-33.14871918977385	-33.712474831830306	-30.83474191305382	-35.647991785889566	-33.567207036763676	-34.081207444106894	-33.09562282109721	-31.547935446304507	-31.83252336484061	-32.53123561123915	-36.94285557906839	-31.12863367747845	-33.05438217585747	-29.198658608446184	-32.1383206963708	-30.847457138075004	-28.522401174844457	-27.837375794227967	-34.94251323514276	-29.28805249502326	-30.5929492685221	-32.19370310534735	-33.150662544356464	-33.73121668951923	-29.615255360144527	-30.888451858750123	-32.184156472234704	-37.038638345917164	-35.52183274064349	-30.86708504177703	-29.51186886312183	-22.668944065943116	-29.232528103038895	-32.35875072241184	-32.44544785570623	-31.122647646195368	-33.135172552840785	-31.525978675907304	-32.37076220044112	-32.20800379843293	-31.17904479452519	-30.738516404698352	-32.22052947037266	-22.94707134102913	-31.022240862703853	-32.40007149075324	-31.754342786256405	-27.800180038241034	-29.84274781548889	-33.6458118341552	-29.247756342195018	-25.42329418958603	-27.85124598975477	-19.314500473871455	-25.477727359499806	-32.27651277557186	-32.29238376749248	-33.16632695674999	-30.882633644139325	-32.26068416610949	-30.401316573494444	-32.49860986434451	-30.89807880396888	-29.662267159194855	-30.5929492685221	-30.904497590177865		-33.43140407076717	-33.18117576767691	-33.08888396593531	-28.479573876504233	-29.3667146750955	-30.341065720360486	-19.6695654255435	-33.03746265771785	-33.022490969372626	-32.543883305270256	-32.06448184903916	-33.150662544356464	-23.823163468277706	-35.518782891567284		-29.82506476168071	-33.150662544356464	-32.373355596364284
