mass	age	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	metallicity	cloud	y	l_mix
0.079	0.002	3177	3.666	8.08	10.41	9.35	7.87	6.23	5.61	5.31	-0.5	nc	0.25	1
0.079	0.00254	3187	3.78	8.35	10.63	9.58	8.12	6.51	5.89	5.59	-0.5	nc	0.25	1
0.079	0.00317	3200	3.882	8.59	10.81	9.76	8.33	6.75	6.14	5.84	-0.5	nc	0.25	1
0.079	0.00402	3214	3.979	8.81	10.98	9.94	8.53	6.98	6.38	6.08	-0.5	nc	0.25	1
0.079	0.00505	3217	4.067	9.03	11.18	10.14	8.74	7.2	6.6	6.3	-0.5	nc	0.25	1
0.079	0.00636	3214	4.15	9.24	11.39	10.35	8.94	7.41	6.81	6.52	-0.5	nc	0.25	1
0.079	0.00798	3211	4.228	9.44	11.59	10.54	9.14	7.61	7.01	6.72	-0.5	nc	0.25	1
0.079	0.01012	3207	4.306	9.64	11.79	10.74	9.33	7.81	7.21	6.92	-0.5	nc	0.25	1
0.079	0.01272	3204	4.38	9.83	11.97	10.92	9.52	8	7.4	7.11	-0.5	nc	0.25	1
0.079	0.01607	3199	4.453	10.02	12.17	11.11	9.71	8.19	7.59	7.3	-0.5	nc	0.25	1
0.079	0.02009	3190	4.521	10.2	12.37	11.31	9.89	8.37	7.77	7.48	-0.5	nc	0.25	1
0.079	0.02526	3174	4.589	10.39	12.6	11.53	10.09	8.55	7.95	7.67	-0.5	nc	0.25	1
0.079	0.03193	3156	4.656	10.59	12.84	11.76	10.29	8.74	8.14	7.86	-0.5	nc	0.25	1
0.079	0.03988	3135	4.719	10.77	13.08	11.98	10.49	8.92	8.31	8.03	-0.5	nc	0.25	1
0.079	0.05083	3111	4.786	10.97	13.35	12.23	10.71	9.11	8.5	8.23	-0.5	nc	0.25	1
0.079	0.06402	3084	4.849	11.17	13.63	12.48	10.92	9.3	8.69	8.41	-0.5	nc	0.25	1
0.079	0.07947	3054	4.906	11.35	13.91	12.74	11.13	9.47	8.86	8.59	-0.5	nc	0.25	1
0.079	0.10049	3015	4.967	11.56	14.24	13.03	11.37	9.66	9.05	8.78	-0.5	nc	0.25	1
0.079	0.12733	2970	5.027	11.78	14.62	13.36	11.63	9.86	9.24	8.98	-0.5	nc	0.25	1
0.079	0.15881	2919	5.08	11.98	15.02	13.69	11.89	10.04	9.43	9.17	-0.5	nc	0.25	1
0.079	0.20297	2858	5.136	12.22	15.5	14.09	12.19	10.25	9.64	9.4	-0.5	nc	0.25	1
0.079	0.2543	2793	5.184	12.44	15.99	14.48	12.49	10.44	9.83	9.6	-0.5	nc	0.25	1
0.079	0.31773	2720	5.228	12.66	16.55	14.91	12.82	10.64	10.03	9.82	-0.5	nc	0.25	1
0.079	0.40553	2634	5.271	12.91	17.19	15.41	13.2	10.85	10.25	10.07	-0.5	nc	0.25	1
0.079	0.50614	2555	5.305	13.12	17.77	15.86	13.55	11.03	10.44	10.29	-0.5	nc	0.25	1
0.079	0.64237	2470	5.336	13.35	18.4	16.35	13.93	11.23	10.65	10.53	-0.5	nc	0.25	1
0.079	0.80573	2388	5.361	13.56	19.01	16.81	14.29	11.4	10.85	10.76	-0.5	nc	0.25	1
0.079	1.02971	2304	5.383	13.77	19.65	17.3	14.67	11.58	11.05	10.99	-0.5	nc	0.25	1
0.079	1.28322	2238	5.4	13.94	20.13	17.66	14.97	11.73	11.22	11.18	-0.5	nc	0.25	1
0.079	1.6001	2180	5.413	14.08	20.56	17.97	15.23	11.86	11.37	11.34	-0.5	nc	0.25	1
0.079	2.01204	2130	5.423	14.21	20.95	18.25	15.46	11.97	11.51	11.48	-0.5	nc	0.25	1
0.079	2.51905	2091	5.431	14.31	21.25	18.46	15.64	12.06	11.61	11.59	-0.5	nc	0.25	1
0.079	3.1845	2061	5.438	14.39	21.49	18.62	15.78	12.13	11.7	11.68	-0.5	nc	0.25	1
0.079	4.00839	2039	5.442	14.45	21.66	18.74	15.88	12.18	11.76	11.74	-0.5	nc	0.25	1
0.079	5.02241	2025	5.445	14.48	21.76	18.81	15.94	12.21	11.8	11.78	-0.5	nc	0.25	1
0.079	6.32162	2017	5.446	14.5	21.82	18.85	15.98	12.23	11.82	11.8	-0.5	nc	0.25	1
0.079	7.96941	2014	5.447	14.51	21.85	18.87	16	12.24	11.83	11.81	-0.5	nc	0.25	1
0.079	10.0291	2013	5.447	14.51	21.86	18.87	16	12.24	11.83	11.82	-0.5	nc	0.25	1
0.079	12.5959	2014	5.447	14.51	21.85	18.87	16	12.24	11.83	11.81	-0.5	nc	0.25	1
0.08	0.002	3180	3.667	8.07	10.39	9.33	7.85	6.22	5.6	5.3	-0.5	nc	0.25	1
0.08	0.00253	3190	3.781	8.34	10.61	9.56	8.1	6.49	5.88	5.58	-0.5	nc	0.25	1
0.08	0.00317	3203	3.882	8.57	10.79	9.75	8.31	6.74	6.13	5.83	-0.5	nc	0.25	1
0.08	0.00402	3217	3.98	8.8	10.96	9.92	8.51	6.97	6.36	6.07	-0.5	nc	0.25	1
0.08	0.00506	3220	4.068	9.01	11.16	10.12	8.72	7.19	6.58	6.29	-0.5	nc	0.25	1
0.08	0.00637	3217	4.151	9.23	11.37	10.33	8.93	7.4	6.79	6.5	-0.5	nc	0.25	1
0.08	0.00801	3214	4.229	9.42	11.57	10.52	9.12	7.6	7	6.7	-0.5	nc	0.25	1
0.08	0.01	3211	4.303	9.61	11.75	10.7	9.3	7.78	7.18	6.89	-0.5	nc	0.25	1
0.08	0.01276	3208	4.38	9.81	11.95	10.9	9.5	7.98	7.38	7.1	-0.5	nc	0.25	1
0.08	0.01589	3203	4.449	9.99	12.13	11.08	9.67	8.16	7.56	7.27	-0.5	nc	0.25	1
0.08	0.02016	3194	4.522	10.18	12.34	11.28	9.87	8.35	7.75	7.47	-0.5	nc	0.25	1
0.08	0.02535	3179	4.59	10.37	12.57	11.5	10.07	8.54	7.94	7.65	-0.5	nc	0.25	1
0.08	0.03204	3162	4.658	10.57	12.81	11.73	10.27	8.72	8.12	7.84	-0.5	nc	0.25	1
0.08	0.04002	3141	4.72	10.75	13.05	11.95	10.47	8.9	8.3	8.02	-0.5	nc	0.25	1
0.08	0.05016	3119	4.783	10.94	13.3	12.18	10.67	9.08	8.47	8.2	-0.5	nc	0.25	1
0.08	0.06316	3093	4.846	11.13	13.56	12.43	10.88	9.26	8.65	8.38	-0.5	nc	0.25	1
0.08	0.0797	3061	4.908	11.33	13.87	12.7	11.1	9.45	8.84	8.57	-0.5	nc	0.25	1
