mass	age	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	metallicity	cloud	y	l_mix
0.08	0.10077	3023	4.968	11.54	14.19	12.99	11.34	9.64	9.03	8.76	-0.5	nc	0.25	1
0.08	0.12771	2979	5.028	11.75	14.56	13.31	11.6	9.84	9.22	8.96	-0.5	nc	0.25	1
0.08	0.15932	2930	5.082	11.96	14.95	13.64	11.85	10.02	9.41	9.15	-0.5	nc	0.25	1
0.08	0.19993	2874	5.134	12.17	15.39	14	12.13	10.21	9.6	9.36	-0.5	nc	0.25	1
0.08	0.2549	2807	5.186	12.4	15.9	14.41	12.44	10.42	9.8	9.58	-0.5	nc	0.25	1
0.08	0.31881	2737	5.23	12.63	16.44	14.83	12.76	10.61	10	9.79	-0.5	nc	0.25	1
0.08	0.39823	2661	5.269	12.84	17.01	15.27	13.09	10.8	10.19	10.01	-0.5	nc	0.25	1
0.08	0.51151	2576	5.307	13.08	17.64	15.76	13.47	11	10.41	10.25	-0.5	nc	0.25	1
0.08	0.638	2503	5.336	13.28	18.17	16.17	13.79	11.17	10.59	10.45	-0.5	nc	0.25	1
0.08	0.81173	2423	5.362	13.48	18.76	16.63	14.15	11.34	10.78	10.68	-0.5	nc	0.25	1
0.08	1.01991	2352	5.381	13.66	19.3	17.03	14.47	11.49	10.95	10.87	-0.5	nc	0.25	1
0.08	1.27342	2291	5.397	13.81	19.75	17.38	14.74	11.62	11.1	11.04	-0.5	nc	0.25	1
0.08	1.5903	2241	5.409	13.94	20.12	17.65	14.97	11.73	11.23	11.18	-0.5	nc	0.25	1
0.08	2.00225	2200	5.418	14.04	20.42	17.87	15.15	11.82	11.33	11.29	-0.5	nc	0.25	1
0.08	2.54094	2168	5.425	14.12	20.67	18.05	15.3	11.89	11.42	11.38	-0.5	nc	0.25	1
0.08	3.1747	2148	5.429	14.18	20.82	18.16	15.39	11.94	11.47	11.44	-0.5	nc	0.25	1
0.08	3.9986	2136	5.432	14.21	20.92	18.22	15.44	11.97	11.51	11.48	-0.5	nc	0.25	1
0.08	5.01261	2130	5.434	14.22	20.96	18.26	15.47	11.98	11.52	11.49	-0.5	nc	0.25	1
0.08	6.31183	2127	5.434	14.23	20.99	18.27	15.49	11.99	11.53	11.5	-0.5	nc	0.25	1
0.08	7.95961	2127	5.434	14.23	20.99	18.27	15.49	11.99	11.53	11.5	-0.5	nc	0.25	1
0.08	10.0193	2128	5.434	14.23	20.98	18.27	15.48	11.99	11.53	11.5	-0.5	nc	0.25	1
0.08	12.6178	2129	5.434	14.23	20.97	18.26	15.48	11.98	11.53	11.5	-0.5	nc	0.25	1
0.09	0.002	3208	3.684	7.94	10.2	9.16	7.7	6.1	5.48	5.19	-0.5	nc	0.25	1
0.09	0.00252	3217	3.793	8.2	10.42	9.38	7.95	6.37	5.75	5.46	-0.5	nc	0.25	1
0.09	0.00317	3227	3.891	8.43	10.6	9.57	8.15	6.6	5.99	5.7	-0.5	nc	0.25	1
0.09	0.00401	3243	3.983	8.64	10.75	9.73	8.34	6.82	6.21	5.92	-0.5	nc	0.25	1
0.09	0.00502	3249	4.067	8.84	10.93	9.91	8.53	7.02	6.42	6.13	-0.5	nc	0.25	1
0.09	0.00636	3249	4.15	9.05	11.13	10.1	8.73	7.23	6.63	6.34	-0.5	nc	0.25	1
0.09	0.00801	3248	4.228	9.25	11.32	10.29	8.92	7.43	6.83	6.55	-0.5	nc	0.25	1
0.09	0.01002	3246	4.302	9.43	11.5	10.47	9.11	7.62	7.02	6.73	-0.5	nc	0.25	1
0.09	0.01262	3245	4.375	9.62	11.68	10.65	9.29	7.8	7.21	6.92	-0.5	nc	0.25	1
0.09	0.01596	3243	4.449	9.81	11.86	10.83	9.47	7.99	7.39	7.11	-0.5	nc	0.25	1
0.09	0.01996	3239	4.517	9.98	12.04	11.01	9.64	8.17	7.57	7.29	-0.5	nc	0.25	1
0.09	0.02544	3226	4.59	10.18	12.27	11.23	9.85	8.36	7.76	7.48	-0.5	nc	0.25	1
0.09	0.03211	3211	4.658	10.37	12.49	11.44	10.04	8.55	7.95	7.67	-0.5	nc	0.25	1
0.09	0.04007	3196	4.721	10.55	12.71	11.64	10.22	8.72	8.12	7.84	-0.5	nc	0.25	1
0.09	0.05013	3177	4.784	10.73	12.94	11.86	10.42	8.9	8.29	8.02	-0.5	nc	0.25	1
0.09	0.06395	3154	4.851	10.93	13.21	12.11	10.63	9.09	8.48	8.21	-0.5	nc	0.25	1
0.09	0.08063	3129	4.914	11.13	13.47	12.35	10.84	9.27	8.66	8.39	-0.5	nc	0.25	1
0.09	0.10022	3102	4.972	11.31	13.72	12.58	11.04	9.44	8.83	8.56	-0.5	nc	0.25	1
0.09	0.12703	3066	5.032	11.51	14.04	12.87	11.27	9.63	9.02	8.75	-0.5	nc	0.25	1
0.09	0.15916	3029	5.088	11.7	14.36	13.15	11.49	9.81	9.19	8.94	-0.5	nc	0.25	1
0.09	0.20066	2985	5.142	11.9	14.72	13.45	11.73	9.99	9.37	9.12	-0.5	nc	0.25	1
0.09	0.25172	2937	5.19	12.09	15.09	13.76	11.97	10.16	9.54	9.3	-0.5	nc	0.25	1
0.09	0.31765	2889	5.234	12.27	15.46	14.07	12.2	10.32	9.7	9.47	-0.5	nc	0.25	1
0.09	0.39859	2842	5.27	12.43	15.82	14.35	12.41	10.46	9.85	9.62	-0.5	nc	0.25	1
0.09	0.5113	2798	5.3	12.58	16.15	14.61	12.61	10.58	9.97	9.76	-0.5	nc	0.25	1
0.09	0.63316	2765	5.319	12.67	16.39	14.8	12.76	10.67	10.06	9.86	-0.5	nc	0.25	1
0.09	0.80684	2738	5.333	12.75	16.59	14.95	12.87	10.73	10.13	9.93	-0.5	nc	0.25	1
0.09	1.00697	2725	5.341	12.79	16.69	15.03	12.93	10.77	10.16	9.97	-0.5	nc	0.25	1
0.09	1.26047	2716	5.344	12.81	16.75	15.07	12.96	10.79	10.18	10	-0.5	nc	0.25	1
0.09	1.60904	2713	5.346	12.82	16.78	15.09	12.98	10.8	10.19	10.01	-0.5	nc	0.25	1
0.09	2.02099	2713	5.347	12.83	16.78	15.09	12.98	10.8	10.19	10.01	-0.5	nc	0.25	1
0.09	2.52799	2713	5.347	12.83	16.78	15.09	12.98	10.8	10.19	10.01	-0.5	nc	0.25	1
0.09	3.19344	2713	5.347	12.83	16.78	15.09	12.98	10.8	10.19	10.01	-0.5	nc	0.25	1
0.09	3.98565	2713	5.347	12.83	16.78	15.09	12.98	10.8	10.19	10.01	-0.5	nc	0.25	1
0.09	5.03135	2714	5.347	12.82	16.77	15.09	12.98	10.8	10.19	10.01	-0.5	nc	0.25	1
0.09	6.33057	2715	5.346	12.82	16.77	15.08	12.97	10.8	10.19	10	-0.5	nc	0.25	1
0.09	7.94666	2715	5.346	12.82	16.76	15.08	12.97	10.79	10.19	10	-0.5	nc	0.25	1
0.09	10.0064	2716	5.346	12.82	16.76	15.08	12.97	10.79	10.19	10	-0.5	nc	0.25	1
0.09	12.6048	2718	5.346	12.82	16.75	15.07	12.96	10.79	10.18	10	-0.5	nc	0.25	1
0.1	0.00201	3230	3.701	7.84	10.06	9.02	7.59	6.01	5.39	5.1	-0.5	nc	0.25	1
0.1	0.00254	3240	3.804	8.09	10.25	9.23	7.81	6.26	5.64	5.35	-0.5	nc	0.25	1
0.1	0.00319	3252	3.897	8.3	10.42	9.4	8.01	6.48	5.87	5.58	-0.5	nc	0.25	1
0.1	0.00402	3269	3.985	8.5	10.56	9.55	8.18	6.68	6.08	5.79	-0.5	nc	0.25	1
0.1	0.00505	3275	4.069	8.7	10.73	9.72	8.37	6.89	6.29	6	-0.5	nc	0.25	1
0.1	0.00633	3278	4.147	8.89	10.91	9.9	8.55	7.08	6.48	6.2	-0.5	nc	0.25	1
0.1	0.008	3279	4.226	9.09	11.09	10.08	8.74	7.28	6.68	6.4	-0.5	nc	0.25	1
0.1	0.01002	3279	4.3	9.27	11.27	10.26	8.92	7.46	6.87	6.59	-0.5	nc	0.25	1
0.1	0.01262	3279	4.373	9.46	11.45	10.43	9.1	7.65	7.05	6.77	-0.5	nc	0.25	1
0.1	0.01597	3279	4.447	9.64	11.62	10.61	9.28	7.83	7.24	6.96	-0.5	nc	0.25	1
0.1	0.01997	3276	4.516	9.82	11.8	10.78	9.45	8.01	7.42	7.14	-0.5	nc	0.25	1
0.1	0.02547	3265	4.589	10.01	12.02	10.99	9.65	8.2	7.61	7.33	-0.5	nc	0.25	1
0.1	0.03211	3253	4.657	10.2	12.23	11.2	9.84	8.39	7.79	7.52	-0.5	nc	0.25	1
0.1	0.04001	3240	4.72	10.38	12.44	11.4	10.02	8.56	7.96	7.69	-0.5	nc	0.25	1
0.1	0.05084	3224	4.788	10.57	12.66	11.61	10.22	8.74	8.15	7.87	-0.5	nc	0.25	1
0.1	0.06374	3206	4.851	10.75	12.89	11.82	10.41	8.92	8.32	8.05	-0.5	nc	0.25	1
0.1	0.08013	3185	4.914	10.93	13.13	12.05	10.6	9.1	8.49	8.23	-0.5	nc	0.25	1
0.1	0.10128	3160	4.976	11.12	13.38	12.29	10.81	9.28	8.67	8.41	-0.5	nc	0.25	1
0.1	0.12651	3135	5.034	11.3	13.63	12.51	11	9.45	8.84	8.58	-0.5	nc	0.25	1
0.1	0.15907	3106	5.091	11.48	13.9	12.76	11.2	9.62	9.01	8.75	-0.5	nc	0.25	1
0.1	0.20301	3070	5.146	11.67	14.21	13.03	11.42	9.79	9.18	8.93	-0.5	nc	0.25	1
0.1	0.25511	3036	5.192	11.84	14.49	13.27	11.61	9.94	9.33	9.08	-0.5	nc	0.25	1
0.1	0.31748	3006	5.228	11.97	14.73	13.47	11.77	10.06	9.45	9.21	-0.5	nc	0.25	1
0.1	0.40136	2978	5.257	12.08	14.95	13.65	11.91	10.16	9.55	9.31	-0.5	nc	0.25	1
0.1	0.51152	2958	5.276	12.16	15.1	13.78	12.01	10.23	9.62	9.39	-0.5	nc	0.25	1
0.1	0.63399	2948	5.286	12.2	15.18	13.85	12.06	10.27	9.66	9.42	-0.5	nc	0.25	1
0.1	0.81971	2942	5.291	12.22	15.23	13.88	12.09	10.29	9.67	9.44	-0.5	nc	0.25	1
0.1	1.00984	2940	5.293	12.23	15.24	13.9	12.09	10.29	9.68	9.45	-0.5	nc	0.25	1
0.1	1.26334	2940	5.294	12.23	15.25	13.9	12.1	10.3	9.68	9.45	-0.5	nc	0.25	1
0.1	1.61191	2940	5.294	12.23	15.25	13.9	12.1	10.3	9.68	9.45	-0.5	nc	0.25	1
0.1	2.02386	2940	5.293	12.23	15.25	13.9	12.1	10.3	9.68	9.45	-0.5	nc	0.25	1
0.1	2.53087	2940	5.293	12.23	15.25	13.9	12.1	10.3	9.68	9.45	-0.5	nc	0.25	1
0.1	3.16463	2940	5.293	12.23	15.24	13.9	12.09	10.29	9.68	9.45	-0.5	nc	0.25	1
0.1	3.98852	2940	5.293	12.23	15.24	13.89	12.09	10.29	9.68	9.45	-0.5	nc	0.25	1
0.1	5.03423	2941	5.293	12.23	15.24	13.89	12.09	10.29	9.68	9.45	-0.5	nc	0.25	1
0.1	6.33344	2942	5.293	12.23	15.24	13.89	12.09	10.29	9.68	9.45	-0.5	nc	0.25	1
0.1	7.94953	2942	5.293	12.23	15.23	13.89	12.09	10.29	9.68	9.45	-0.5	nc	0.25	1
0.1	10.0093	2943	5.292	12.22	15.23	13.88	12.08	10.29	9.68	9.44	-0.5	nc	0.25	1
0.1	12.6077	2944	5.292	12.22	15.22	13.88	12.08	10.29	9.67	9.44	-0.5	nc	0.25	1
0.11	0.00201	3249	3.711	7.74	9.91	8.89	7.47	5.91	5.28	5	-0.5	nc	0.25	1
0.11	0.00253	3262	3.81	7.97	10.09	9.07	7.68	6.14	5.53	5.24	-0.5	nc	0.25	1
0.11	0.00317	3275	3.898	8.17	10.24	9.23	7.86	6.35	5.74	5.46	-0.5	nc	0.25	1
0.11	0.00402	3293	3.986	8.37	10.38	9.37	8.03	6.56	5.95	5.67	-0.5	nc	0.25	1
0.11	0.00506	3299	4.07	8.57	10.55	9.55	8.22	6.76	6.16	5.88	-0.5	nc	0.25	1
0.11	0.00637	3303	4.148	8.76	10.73	9.73	8.4	6.96	6.36	6.08	-0.5	nc	0.25	1
0.11	0.00796	3307	4.223	8.94	10.89	9.89	8.58	7.14	6.54	6.26	-0.5	nc	0.25	1
0.11	0.01013	3309	4.301	9.13	11.07	10.07	8.76	7.34	6.74	6.46	-0.5	nc	0.25	1
0.11	0.01276	3309	4.375	9.32	11.25	10.24	8.94	7.52	6.93	6.65	-0.5	nc	0.25	1
0.11	0.01591	3311	4.444	9.49	11.41	10.4	9.11	7.69	7.1	6.82	-0.5	nc	0.25	1
0.11	0.0202	3309	4.517	9.67	11.59	10.58	9.29	7.88	7.29	7.01	-0.5	nc	0.25	1
0.11	0.02537	3301	4.586	9.86	11.78	10.78	9.47	8.06	7.47	7.19	-0.5	nc	0.25	1
0.11	0.03199	3290	4.655	10.04	11.99	10.98	9.66	8.24	7.65	7.38	-0.5	nc	0.25	1
0.11	0.03983	3278	4.718	10.22	12.19	11.17	9.84	8.41	7.82	7.55	-0.5	nc	0.25	1
0.11	0.05055	3264	4.786	10.4	12.41	11.38	10.03	8.59	8	7.73	-0.5	nc	0.25	1
0.11	0.06336	3249	4.849	10.58	12.62	11.58	10.21	8.77	8.17	7.9	-0.5	nc	0.25	1
0.11	0.07962	3231	4.912	10.76	12.85	11.79	10.4	8.94	8.34	8.08	-0.5	nc	0.25	1
0.11	0.10049	3211	4.975	10.95	13.07	12.01	10.59	9.12	8.52	8.25	-0.5	nc	0.25	1
0.11	0.12795	3189	5.038	11.13	13.32	12.24	10.79	9.3	8.69	8.43	-0.5	nc	0.25	1
0.11	0.15913	3167	5.09	11.3	13.55	12.45	10.97	9.45	8.85	8.59	-0.5	nc	0.25	1
0.11	0.20175	3141	5.142	11.46	13.8	12.67	11.15	9.61	9	8.75	-0.5	nc	0.25	1
0.11	0.25429	3117	5.184	11.6	14.01	12.86	11.31	9.74	9.13	8.88	-0.5	nc	0.25	1
0.11	0.31868	3097	5.216	11.71	14.17	13	11.42	9.83	9.22	8.98	-0.5	nc	0.25	1
0.11	0.40436	3082	5.237	11.78	14.3	13.11	11.51	9.9	9.29	9.05	-0.5	nc	0.25	1
0.11	0.51008	3074	5.249	11.82	14.37	13.17	11.56	9.94	9.33	9.08	-0.5	nc	0.25	1
0.11	0.65105	3070	5.253	11.84	14.4	13.2	11.58	9.96	9.35	9.1	-0.5	nc	0.25	1
0.11	0.80949	3068	5.255	11.84	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	1.0313	3068	5.255	11.85	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	1.28481	3068	5.255	11.85	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	1.60169	3068	5.255	11.85	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	2.01363	3069	5.256	11.85	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	2.52064	3069	5.255	11.84	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	3.18609	3069	5.255	11.84	14.41	13.21	11.59	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	4.00998	3070	5.255	11.84	14.4	13.2	11.58	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	5.024	3070	5.255	11.84	14.4	13.2	11.58	9.96	9.35	9.11	-0.5	nc	0.25	1
0.11	6.32321	3070	5.255	11.84	14.4	13.2	11.58	9.96	9.35	9.1	-0.5	nc	0.25	1
0.11	7.971	3071	5.255	11.84	14.4	13.2	11.58	9.96	9.35	9.1	-0.5	nc	0.25	1
0.11	10.0307	3072	5.254	11.84	14.39	13.19	11.58	9.96	9.35	9.1	-0.5	nc	0.25	1
0.11	12.5975	3073	5.254	11.84	14.39	13.19	11.57	9.95	9.34	9.1	-0.5	nc	0.25	1
0.13	0.002	3287	3.729	7.55	9.65	8.64	7.26	5.73	5.11	4.83	-0.5	nc	0.25	1
0.13	0.00252	3303	3.819	7.75	9.79	8.8	7.44	5.94	5.32	5.05	-0.5	nc	0.25	1
0.13	0.0032	3319	3.908	7.95	9.94	8.95	7.62	6.15	5.54	5.26	-0.5	nc	0.25	1
0.13	0.00399	3341	3.987	8.12	10.05	9.06	7.76	6.33	5.73	5.45	-0.5	nc	0.25	1
0.13	0.00507	3346	4.071	8.33	10.23	9.25	7.96	6.54	5.94	5.66	-0.5	nc	0.25	1
0.13	0.00632	3348	4.145	8.51	10.4	9.41	8.13	6.72	6.12	5.85	-0.5	nc	0.25	1
0.13	0.00803	3352	4.223	8.7	10.57	9.59	8.31	6.92	6.32	6.05	-0.5	nc	0.25	1
0.13	0.01013	3358	4.298	8.88	10.73	9.75	8.48	7.1	6.5	6.23	-0.5	nc	0.25	1
0.13	0.01262	3362	4.367	9.05	10.88	9.9	8.64	7.27	6.68	6.41	-0.5	nc	0.25	1
0.13	0.01597	3365	4.441	9.23	11.04	10.06	8.82	7.45	6.86	6.59	-0.5	nc	0.25	1
0.13	0.01997	3366	4.51	9.4	11.21	10.23	8.98	7.62	7.04	6.77	-0.5	nc	0.25	1
0.13	0.02546	3357	4.584	9.59	11.42	10.43	9.18	7.82	7.23	6.96	-0.5	nc	0.25	1
0.13	0.03211	3349	4.653	9.78	11.62	10.62	9.36	8	7.41	7.14	-0.5	nc	0.25	1
0.13	0.04001	3340	4.717	9.95	11.8	10.81	9.54	8.16	7.58	7.31	-0.5	nc	0.25	1
0.13	0.05077	3330	4.785	10.13	12.01	11	9.72	8.35	7.76	7.49	-0.5	nc	0.25	1
0.13	0.06355	3319	4.849	10.31	12.2	11.19	9.9	8.51	7.92	7.66	-0.5	nc	0.25	1
0.13	0.07989	3307	4.912	10.48	12.4	11.38	10.07	8.68	8.09	7.83	-0.5	nc	0.25	1
0.13	0.1011	3292	4.975	10.66	12.61	11.58	10.26	8.86	8.26	8	-0.5	nc	0.25	1
0.13	0.12713	3276	5.033	10.82	12.81	11.78	10.43	9.02	8.42	8.16	-0.5	nc	0.25	1
0.13	0.16017	3260	5.086	10.98	13.01	11.96	10.59	9.17	8.57	8.31	-0.5	nc	0.25	1
0.13	0.20088	3246	5.13	11.11	13.17	12.11	10.73	9.29	8.69	8.44	-0.5	nc	0.25	1
0.13	0.25733	3233	5.165	11.21	13.31	12.24	10.84	9.39	8.79	8.54	-0.5	nc	0.25	1
0.13	0.32267	3226	5.185	11.27	13.39	12.31	10.9	9.45	8.85	8.6	-0.5	nc	0.25	1
0.13	0.41041	3221	5.195	11.3	13.43	12.35	10.93	9.48	8.88	8.63	-0.5	nc	0.25	1
0.13	0.51184	3220	5.199	11.31	13.45	12.37	10.94	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	0.63859	3219	5.2	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	0.79703	3219	5.201	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	1.01885	3219	5.201	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	1.27235	3219	5.201	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	1.58923	3219	5.201	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	2.00118	3220	5.201	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	2.53988	3220	5.201	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	3.17364	3220	5.2	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	3.99753	3220	5.2	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	5.04324	3220	5.2	11.32	13.45	12.37	10.95	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	6.31076	3221	5.2	11.32	13.44	12.36	10.94	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	7.95854	3221	5.2	11.31	13.44	12.36	10.94	9.49	8.89	8.64	-0.5	nc	0.25	1
0.13	10.0183	3222	5.199	11.31	13.44	12.36	10.94	9.49	8.89	8.63	-0.5	nc	0.25	1
0.13	12.6167	3223	5.199	11.31	13.43	12.35	10.94	9.48	8.88	8.63	-0.5	nc	0.25	1
0.15	0.00201	3319	3.745	7.39	9.43	8.44	7.08	5.58	4.96	4.69	-0.5	nc	0.25	1
0.15	0.00254	3334	3.83	7.59	9.57	8.59	7.25	5.79	5.16	4.89	-0.5	nc	0.25	1
0.15	0.00319	3356	3.911	7.76	9.68	8.7	7.4	5.97	5.35	5.08	-0.5	nc	0.25	1
0.15	0.00401	3388	3.991	7.92	9.75	8.79	7.53	6.14	5.53	5.27	-0.5	nc	0.25	1
0.15	0.00505	3392	4.07	8.11	9.92	8.96	7.71	6.33	5.73	5.47	-0.5	nc	0.25	1
0.15	0.00632	3392	4.144	8.29	10.1	9.13	7.89	6.52	5.92	5.66	-0.5	nc	0.25	1
