age	mass	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	Ml	Mm	metallicity	cloud	y	l_mix
0.001	0.7	3862	3.639	-0.06	6.52	5.82	4.48	3.02	2.32	2.2	2.16	2.42	0	nc	0.282	1.9
0.001	0.75	3973	3.655	0	5.83	5.08	4.15	3	2.33	2.22	2.17	2.38	0	nc	0.282	1.9
0.001	0.8	4099	3.678	0.06	5.39	4.64	3.92	2.93	2.3	2.2	2.15	2.33	0	nc	0.282	1.9
0.001	0.85	4200	3.69	0.12	5.12	4.39	3.75	2.83	2.22	2.13	2.09	2.26	0	nc	0.282	1.9
0.001	0.9	4253	3.694	0.16	4.97	4.25	3.64	2.74	2.15	2.06	2.02	2.19	0	nc	0.282	1.9
0.001	0.95	4303	3.698	0.2	4.82	4.12	3.53	2.66	2.08	2	1.96	2.12	0	nc	0.282	1.9
0.001	1	4350	3.705	0.23	4.7	4.01	3.44	2.59	2.02	1.94	1.91	2.07	0	nc	0.282	1.9
0.001	1.05	4395	3.706	0.27	4.56	3.88	3.33	2.51	1.96	1.88	1.84	2	0	nc	0.282	1.9
0.001	1.1	4438	3.713	0.3	4.45	3.79	3.25	2.45	1.91	1.83	1.8	1.96	0	nc	0.282	1.9
0.001	1.15	4480	3.715	0.34	4.34	3.69	3.17	2.38	1.85	1.78	1.75	1.9	0	nc	0.282	1.9
0.001	1.2	4521	3.717	0.37	4.23	3.59	3.08	2.31	1.79	1.72	1.69	1.84	0	nc	0.282	1.9
0.001258925	0.7	3859	3.696	-0.12	6.65	5.93	4.61	3.17	2.47	2.35	2.3	2.56	0	nc	0.282	1.9
0.001258925	0.75	3967	3.713	-0.06	6.03	5.28	4.31	3.13	2.46	2.35	2.3	2.51	0	nc	0.282	1.9
0.001258925	0.8	4086	3.735	0	5.6	4.84	4.09	3.08	2.43	2.33	2.28	2.46	0	nc	0.282	1.9
0.001258925	0.85	4176	3.747	0.05	5.35	4.61	3.93	2.98	2.36	2.26	2.22	2.4	0	nc	0.282	1.9
0.001258925	0.9	4239	3.751	0.1	5.16	4.44	3.8	2.89	2.28	2.19	2.15	2.33	0	nc	0.282	1.9
0.001258925	0.95	4288	3.76	0.13	5.03	4.32	3.71	2.82	2.23	2.14	2.1	2.27	0	nc	0.282	1.9
0.001258925	1	4337	3.762	0.17	4.89	4.19	3.6	2.73	2.16	2.07	2.04	2.21	0	nc	0.282	1.9
0.001258925	1.05	4382	3.768	0.2	4.76	4.07	3.51	2.66	2.1	2.02	1.99	2.15	0	nc	0.282	1.9
0.001258925	1.1	4427	3.77	0.24	4.63	3.96	3.41	2.59	2.04	1.96	1.93	2.09	0	nc	0.282	1.9
0.001258925	1.15	4469	3.777	0.27	4.53	3.87	3.34	2.53	1.99	1.92	1.89	2.05	0	nc	0.282	1.9
0.001258925	1.2	4510	3.779	0.3	4.42	3.77	3.25	2.46	1.94	1.86	1.84	1.99	0	nc	0.282	1.9
0.001584893	0.7	3856	3.754	-0.18	6.78	6.05	4.75	3.32	2.62	2.5	2.45	2.7	0	nc	0.282	1.9
0.001584893	0.75	3955	3.77	-0.12	6.27	5.52	4.49	3.27	2.59	2.47	2.43	2.65	0	nc	0.282	1.9
0.001584893	0.8	4074	3.792	-0.06	5.8	5.04	4.25	3.22	2.57	2.46	2.41	2.6	0	nc	0.282	1.9
0.001584893	0.85	4156	3.804	-0.02	5.57	4.82	4.1	3.13	2.5	2.4	2.35	2.54	0	nc	0.282	1.9
0.001584893	0.9	4223	3.813	0.03	5.38	4.65	3.98	3.04	2.43	2.33	2.29	2.48	0	nc	0.282	1.9
0.001584893	0.95	4275	3.818	0.07	5.23	4.51	3.87	2.96	2.36	2.27	2.23	2.41	0	nc	0.282	1.9
0.001584893	1	4323	3.824	0.1	5.09	4.39	3.77	2.89	2.3	2.21	2.18	2.36	0	nc	0.282	1.9
0.001584893	1.05	4368	3.83	0.14	4.97	4.27	3.68	2.82	2.24	2.16	2.13	2.3	0	nc	0.282	1.9
0.001584893	1.1	4413	3.832	0.17	4.83	4.15	3.58	2.74	2.18	2.1	2.07	2.24	0	nc	0.282	1.9
0.001584893	1.15	4458	3.834	0.21	4.71	4.04	3.49	2.67	2.12	2.05	2.02	2.19	0	nc	0.282	1.9
0.001584893	1.2	4500	3.841	0.24	4.61	3.95	3.42	2.62	2.08	2	1.98	2.14	0	nc	0.282	1.9
0.001995262	0.7	3849	3.815	-0.24	6.92	6.18	4.9	3.49	2.78	2.66	2.61	2.85	0	nc	0.282	1.9
0.001995262	0.75	3932	3.831	-0.19	6.55	5.81	4.7	3.42	2.73	2.61	2.56	2.8	0	nc	0.282	1.9
0.001995262	0.8	4059	3.853	-0.13	6.03	5.26	4.43	3.37	2.71	2.6	2.55	2.75	0	nc	0.282	1.9
0.001995262	0.85	4136	3.866	-0.09	5.8	5.05	4.29	3.28	2.64	2.54	2.5	2.69	0	nc	0.282	1.9
0.001995262	0.9	4204	3.875	-0.04	5.6	4.86	4.16	3.2	2.57	2.48	2.44	2.63	0	nc	0.282	1.9
0.001995262	0.95	4258	3.879	0	5.44	4.71	4.05	3.12	2.5	2.41	2.37	2.56	0	nc	0.282	1.9
0.001995262	1	4308	3.886	0.04	5.3	4.59	3.95	3.04	2.45	2.36	2.32	2.51	0	nc	0.282	1.9
0.001995262	1.05	4355	3.887	0.07	5.16	4.45	3.84	2.96	2.38	2.29	2.26	2.44	0	nc	0.282	1.9
0.001995262	1.1	4399	3.894	0.11	5.03	4.34	3.76	2.9	2.33	2.24	2.21	2.39	0	nc	0.282	1.9
0.001995262	1.15	4446	3.896	0.14	4.91	4.23	3.66	2.83	2.27	2.19	2.16	2.34	0	nc	0.282	1.9
0.001995262	1.2	4492	3.898	0.17	4.79	4.12	3.57	2.76	2.21	2.13	2.11	2.28	0	nc	0.282	1.9
0.002511886	0.7	3842	3.871	-0.3	7.06	6.3	5.04	3.65	2.93	2.81	2.75	2.99	0	nc	0.282	1.9
0.002511886	0.75	3899	3.892	-0.27	6.86	6.12	4.92	3.58	2.87	2.75	2.71	2.95	0	nc	0.282	1.9
