mass	age	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	Ml	Mm	metallicity	cloud	y	l_mix
0.7	0.00102	3763	3.603	-0.07	6.76	6	4.57	3.01	2.29	2.16	2.1	2.36	0	nc	0.275	1.5
0.7	0.00112	3764	3.627	-0.09	6.8	6.04	4.63	3.07	2.35	2.22	2.16	2.42	0	nc	0.275	1.5
0.7	0.00128	3767	3.66	-0.13	6.86	6.1	4.7	3.16	2.43	2.3	2.24	2.5	0	nc	0.275	1.5
0.7	0.00143	3769	3.689	-0.15	6.91	6.15	4.76	3.23	2.51	2.38	2.32	2.57	0	nc	0.275	1.5
0.7	0.0016	3770	3.717	-0.18	6.97	6.2	4.82	3.3	2.58	2.45	2.39	2.64	0	nc	0.275	1.5
0.7	0.00181	3771	3.75	-0.21	7.03	6.26	4.89	3.39	2.67	2.53	2.47	2.72	0	nc	0.275	1.5
0.7	0.00201	3771	3.779	-0.24	7.09	6.31	4.96	3.47	2.74	2.61	2.54	2.79	0	nc	0.275	1.5
0.7	0.00227	3771	3.811	-0.28	7.16	6.37	5.03	3.55	2.82	2.69	2.63	2.87	0	nc	0.275	1.5
0.7	0.00252	3771	3.84	-0.3	7.21	6.42	5.1	3.63	2.9	2.76	2.7	2.94	0	nc	0.275	1.5
0.7	0.00284	3770	3.872	-0.34	7.28	6.49	5.17	3.71	2.98	2.85	2.78	3.02	0	nc	0.275	1.5
0.7	0.0032	3769	3.905	-0.37	7.35	6.55	5.25	3.8	3.07	2.93	2.87	3.1	0	nc	0.275	1.5
0.7	0.0036	3767	3.938	-0.4	7.42	6.61	5.32	3.89	3.16	3.02	2.95	3.18	0	nc	0.275	1.5
0.7	0.00399	3765	3.966	-0.43	7.48	6.67	5.39	3.96	3.23	3.09	3.02	3.25	0	nc	0.275	1.5
0.7	0.00449	3762	3.998	-0.47	7.56	6.74	5.47	4.05	3.32	3.18	3.11	3.33	0	nc	0.275	1.5
0.7	0.00505	3767	4.031	-0.5	7.61	6.79	5.54	4.13	3.4	3.26	3.19	3.41	0	nc	0.275	1.5
0.7	0.00567	3771	4.063	-0.53	7.67	6.85	5.6	4.21	3.49	3.35	3.27	3.49	0	nc	0.275	1.5
0.7	0.00636	3773	4.096	-0.56	7.72	6.9	5.67	4.3	3.58	3.43	3.35	3.57	0	nc	0.275	1.5
0.7	0.00713	3775	4.128	-0.59	7.78	6.96	5.74	4.38	3.67	3.52	3.44	3.65	0	nc	0.275	1.5
0.7	0.00801	3776	4.161	-0.62	7.85	7.02	5.81	4.46	3.76	3.61	3.52	3.72	0	nc	0.275	1.5
0.7	0.009	3777	4.193	-0.66	7.91	7.08	5.88	4.54	3.84	3.69	3.6	3.8	0	nc	0.275	1.5
0.7	0.01013	3777	4.226	-0.69	7.97	7.15	5.96	4.63	3.93	3.78	3.68	3.88	0	nc	0.275	1.5
0.7	0.01141	3777	4.258	-0.72	8.04	7.21	6.03	4.71	4.02	3.87	3.77	3.96	0	nc	0.275	1.5
0.7	0.0126	3778	4.285	-0.75	8.09	7.26	6.09	4.78	4.1	3.94	3.83	4.03	0	nc	0.275	1.5
0.7	0.01434	3780	4.319	-0.78	8.16	7.32	6.16	4.87	4.19	4.03	3.92	4.11	0	nc	0.275	1.5
0.7	0.01601	3781	4.347	-0.81	8.21	7.37	6.23	4.94	4.27	4.1	3.99	4.18	0	nc	0.275	1.5
0.7	0.01781	3784	4.374	-0.83	8.26	7.42	6.28	5.01	4.34	4.17	4.06	4.24	0	nc	0.275	1.5
0.7	0.02005	3788	4.403	-0.86	8.31	7.47	6.34	5.08	4.41	4.25	4.13	4.31	0	nc	0.275	1.5
0.7	0.02248	3795	4.43	-0.88	8.34	7.51	6.39	5.14	4.48	4.31	4.2	4.38	0	nc	0.275	1.5
0.7	0.02544	3807	4.457	-0.91	8.37	7.53	6.43	5.2	4.54	4.38	4.26	4.44	0	nc	0.275	1.5
0.7	0.02829	3823	4.478	-0.92	8.38	7.54	6.46	5.24	4.58	4.42	4.31	4.49	0	nc	0.275	1.5
0.7	0.03173	3847	4.5	-0.93	8.36	7.53	6.48	5.28	4.62	4.46	4.35	4.53	0	nc	0.275	1.5
