age	mass	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	Ml	Mm	metallicity	cloud	y	l_mix
0.001	0.7	3763	3.603	-0.07	6.76	6	4.57	3.01	2.29	2.16	2.1	2.36	0	nc	0.275	1.5
0.001	0.75	3812	3.608	-0.02	6.54	5.81	4.42	2.9	2.19	2.07	2.02	2.29	0	nc	0.275	1.5
0.001	0.8	3864	3.62	0.02	6.33	5.63	4.28	2.82	2.12	2.01	1.96	2.23	0	nc	0.275	1.5
0.001	0.85	3936	3.627	0.07	5.9	5.18	4.06	2.77	2.09	1.98	1.93	2.17	0	nc	0.275	1.5
0.001	0.9	4055	3.645	0.13	5.27	4.52	3.77	2.76	2.12	2.01	1.96	2.14	0	nc	0.275	1.5
0.001	0.95	4142	3.659	0.17	5.05	4.31	3.63	2.68	2.06	1.96	1.91	2.08	0	nc	0.275	1.5
0.001	1	4212	3.664	0.22	4.84	4.12	3.49	2.58	1.98	1.89	1.85	2.02	0	nc	0.275	1.5
0.001	1.05	4253	3.668	0.25	4.73	4.01	3.4	2.52	1.93	1.84	1.8	1.96	0	nc	0.275	1.5
0.001	1.1	4292	3.67	0.29	4.6	3.9	3.31	2.44	1.86	1.78	1.74	1.9	0	nc	0.275	1.5
0.001	1.15	4329	3.671	0.32	4.49	3.8	3.22	2.37	1.81	1.72	1.68	1.84	0	nc	0.275	1.5
0.001	1.2	4364	3.673	0.35	4.38	3.7	3.14	2.31	1.75	1.67	1.63	1.79	0	nc	0.275	1.5
0.001258925	0.7	3767	3.66	-0.13	6.86	6.1	4.7	3.16	2.43	2.3	2.24	2.5	0	nc	0.275	1.5
0.001258925	0.75	3816	3.666	-0.08	6.64	5.91	4.54	3.05	2.34	2.22	2.16	2.43	0	nc	0.275	1.5
0.001258925	0.8	3866	3.673	-0.04	6.43	5.72	4.4	2.96	2.26	2.14	2.09	2.36	0	nc	0.275	1.5
0.001258925	0.85	3946	3.685	0.01	5.96	5.23	4.16	2.92	2.24	2.13	2.08	2.31	0	nc	0.275	1.5
0.001258925	0.9	4056	3.703	0.07	5.45	4.69	3.91	2.89	2.24	2.14	2.09	2.27	0	nc	0.275	1.5
0.001258925	0.95	4133	3.716	0.11	5.24	4.5	3.79	2.82	2.19	2.09	2.04	2.22	0	nc	0.275	1.5
0.001258925	1	4202	3.726	0.15	5.05	4.32	3.66	2.74	2.13	2.03	1.99	2.16	0	nc	0.275	1.5
0.001258925	1.05	4244	3.726	0.19	4.91	4.19	3.56	2.66	2.06	1.97	1.93	2.1	0	nc	0.275	1.5
0.001258925	1.1	4284	3.732	0.22	4.8	4.09	3.48	2.59	2.01	1.92	1.88	2.05	0	nc	0.275	1.5
0.001258925	1.15	4322	3.734	0.25	4.68	3.98	3.39	2.52	1.95	1.86	1.83	1.99	0	nc	0.275	1.5
0.001258925	1.2	4357	3.735	0.28	4.57	3.88	3.31	2.46	1.89	1.81	1.77	1.94	0	nc	0.275	1.5
0.001584893	0.7	3770	3.717	-0.18	6.97	6.2	4.82	3.3	2.58	2.45	2.39	2.64	0	nc	0.275	1.5
0.001584893	0.75	3819	3.728	-0.14	6.76	6.02	4.68	3.21	2.5	2.38	2.32	2.58	0	nc	0.275	1.5
0.001584893	0.8	3870	3.735	-0.1	6.55	5.83	4.54	3.12	2.42	2.3	2.25	2.51	0	nc	0.275	1.5
0.001584893	0.85	3958	3.747	-0.04	6.05	5.3	4.28	3.08	2.4	2.29	2.24	2.46	0	nc	0.275	1.5
0.001584893	0.9	4057	3.765	0.01	5.64	4.87	4.08	3.04	2.38	2.28	2.23	2.41	0	nc	0.275	1.5
0.001584893	0.95	4126	3.779	0.05	5.45	4.7	3.96	2.97	2.33	2.23	2.18	2.37	0	nc	0.275	1.5
0.001584893	1	4189	3.783	0.09	5.25	4.51	3.83	2.88	2.26	2.16	2.12	2.3	0	nc	0.275	1.5
0.001584893	1.05	4234	3.788	0.12	5.11	4.39	3.73	2.81	2.2	2.11	2.07	2.25	0	nc	0.275	1.5
0.001584893	1.1	4275	3.794	0.16	5	4.28	3.65	2.74	2.15	2.06	2.02	2.2	0	nc	0.275	1.5
0.001584893	1.15	4313	3.796	0.19	4.88	4.17	3.56	2.68	2.09	2	1.97	2.14	0	nc	0.275	1.5
0.001584893	1.2	4350	3.798	0.22	4.76	4.07	3.48	2.61	2.03	1.95	1.92	2.09	0	nc	0.275	1.5
0.001995262	0.7	3771	3.779	-0.24	7.09	6.31	4.96	3.47	2.74	2.61	2.54	2.79	0	nc	0.275	1.5
