age	mass	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	Ml	Mm	metallicity	cloud	y	l_mix
0.001995262	0.75	3820	3.785	-0.2	6.88	6.12	4.81	3.36	2.65	2.52	2.47	2.72	0	nc	0.275	1.5
0.001995262	0.8	3872	3.792	-0.15	6.66	5.93	4.67	3.27	2.56	2.44	2.4	2.65	0	nc	0.275	1.5
0.001995262	0.85	3966	3.809	-0.1	6.17	5.41	4.42	3.23	2.55	2.44	2.39	2.6	0	nc	0.275	1.5
0.001995262	0.9	4056	3.827	-0.06	5.83	5.06	4.24	3.18	2.52	2.41	2.37	2.56	0	nc	0.275	1.5
0.001995262	0.95	4120	3.836	-0.01	5.63	4.88	4.12	3.1	2.46	2.36	2.31	2.5	0	nc	0.275	1.5
0.001995262	1	4177	3.845	0.02	5.46	4.72	4	3.03	2.4	2.3	2.26	2.45	0	nc	0.275	1.5
0.001995262	1.05	4225	3.85	0.06	5.32	4.58	3.9	2.96	2.34	2.25	2.21	2.39	0	nc	0.275	1.5
0.001995262	1.1	4266	3.856	0.09	5.2	4.47	3.82	2.9	2.29	2.2	2.16	2.35	0	nc	0.275	1.5
0.001995262	1.15	4305	3.858	0.12	5.07	4.36	3.73	2.83	2.23	2.14	2.11	2.29	0	nc	0.275	1.5
0.001995262	1.2	4343	3.86	0.15	4.96	4.25	3.64	2.76	2.18	2.09	2.06	2.24	0	nc	0.275	1.5
0.002511886	0.7	3771	3.84	-0.3	7.21	6.42	5.1	3.63	2.9	2.76	2.7	2.94	0	nc	0.275	1.5
0.002511886	0.75	3819	3.846	-0.26	7	6.24	4.95	3.52	2.8	2.68	2.62	2.87	0	nc	0.275	1.5
0.002511886	0.8	3871	3.853	-0.21	6.79	6.05	4.81	3.43	2.72	2.6	2.55	2.8	0	nc	0.275	1.5
0.002511886	0.85	3968	3.871	-0.16	6.33	5.57	4.57	3.38	2.7	2.58	2.53	2.75	0	nc	0.275	1.5
0.002511886	0.9	4053	3.889	-0.12	6.02	5.26	4.4	3.33	2.66	2.55	2.51	2.7	0	nc	0.275	1.5
0.002511886	0.95	4113	3.898	-0.08	5.84	5.08	4.29	3.25	2.6	2.5	2.45	2.65	0	nc	0.275	1.5
0.002511886	1	4167	3.907	-0.04	5.67	4.92	4.18	3.18	2.55	2.44	2.4	2.6	0	nc	0.275	1.5
0.002511886	1.05	4216	3.912	-0.01	5.52	4.78	4.07	3.11	2.48	2.39	2.35	2.54	0	nc	0.275	1.5
0.002511886	1.1	4259	3.914	0.03	5.38	4.65	3.97	3.04	2.42	2.33	2.29	2.48	0	nc	0.275	1.5
0.002511886	1.15	4299	3.92	0.06	5.27	4.54	3.89	2.98	2.37	2.28	2.25	2.44	0	nc	0.275	1.5
0.002511886	1.2	4339	3.922	0.09	5.14	4.43	3.8	2.91	2.32	2.23	2.19	2.38	0	nc	0.275	1.5
0.003162278	0.7	3769	3.905	-0.37	7.35	6.55	5.25	3.8	3.07	2.93	2.87	3.1	0	nc	0.275	1.5
0.003162278	0.75	3817	3.912	-0.33	7.15	6.37	5.11	3.7	2.98	2.85	2.79	3.03	0	nc	0.275	1.5
0.003162278	0.8	3868	3.919	-0.28	6.94	6.18	4.96	3.61	2.89	2.77	2.72	2.96	0	nc	0.275	1.5
0.003162278	0.85	3962	3.932	-0.23	6.52	5.76	4.74	3.53	2.84	2.73	2.68	2.89	0	nc	0.275	1.5
0.003162278	0.9	4049	3.95	-0.18	6.22	5.45	4.57	3.48	2.8	2.69	2.64	2.84	0	nc	0.275	1.5
0.003162278	0.95	4105	3.964	-0.15	6.06	5.3	4.47	3.41	2.75	2.65	2.6	2.8	0	nc	0.275	1.5
0.003162278	1	4157	3.969	-0.11	5.88	5.13	4.35	3.33	2.69	2.58	2.54	2.74	0	nc	0.275	1.5
0.003162278	1.05	4206	3.974	-0.07	5.72	4.97	4.24	3.26	2.63	2.53	2.49	2.69	0	nc	0.275	1.5
0.003162278	1.1	4253	3.976	-0.03	5.57	4.84	4.14	3.18	2.56	2.46	2.43	2.63	0	nc	0.275	1.5
0.003162278	1.15	4296	3.98	0	5.45	4.72	4.05	3.12	2.51	2.41	2.38	2.58	0	nc	0.275	1.5
0.003162278	1.2	4339	3.98	0.03	5.31	4.59	3.95	3.05	2.44	2.36	2.32	2.52	0	nc	0.275	1.5
0.003981072	0.7	3765	3.966	-0.43	7.48	6.67	5.39	3.96	3.23	3.09	3.02	3.25	0	nc	0.275	1.5
0.003981072	0.75	3812	3.973	-0.39	7.29	6.49	5.25	3.86	3.14	3.01	2.95	3.18	0	nc	0.275	1.5
0.003981072	0.8	3865	3.98	-0.34	7.08	6.3	5.11	3.77	3.05	2.93	2.88	3.11	0	nc	0.275	1.5
0.003981072	0.85	3950	3.997	-0.3	6.75	5.98	4.93	3.7	3	2.88	2.83	3.05	0	nc	0.275	1.5
0.003981072	0.9	4041	4.016	-0.25	6.43	5.66	4.75	3.64	2.96	2.85	2.8	3	0	nc	0.275	1.5
0.003981072	0.95	4097	4.025	-0.21	6.25	5.49	4.63	3.57	2.9	2.79	2.75	2.95	0	nc	0.275	1.5
0.003981072	1	4150	4.031	-0.17	6.07	5.31	4.52	3.49	2.84	2.73	2.69	2.89	0	nc	0.275	1.5
0.003981072	1.05	4201	4.035	-0.14	5.89	5.14	4.4	3.41	2.77	2.67	2.63	2.84	0	nc	0.275	1.5
0.003981072	1.1	4252	4.038	-0.1	5.74	5	4.3	3.34	2.71	2.61	2.58	2.78	0	nc	0.275	1.5
0.003981072	1.15	4301	4.036	-0.06	5.59	4.85	4.19	3.25	2.64	2.55	2.51	2.71	0	nc	0.275	1.5
0.003981072	1.2	4349	4.038	-0.02	5.44	4.72	4.08	3.18	2.58	2.49	2.46	2.66	0	nc	0.275	1.5
0.005011872	0.7	3767	4.031	-0.5	7.61	6.79	5.54	4.13	3.4	3.26	3.19	3.41	0	nc	0.275	1.5
0.005011872	0.75	3816	4.038	-0.45	7.41	6.61	5.39	4.03	3.31	3.18	3.11	3.34	0	nc	0.275	1.5
0.005011872	0.8	3868	4.045	-0.41	7.2	6.42	5.25	3.94	3.22	3.1	3.04	3.27	0	nc	0.275	1.5
0.005011872	0.85	3947	4.058	-0.36	6.9	6.13	5.08	3.86	3.16	3.04	2.99	3.2	0	nc	0.275	1.5
0.005011872	0.9	4034	4.077	-0.32	6.6	5.83	4.91	3.8	3.12	3	2.95	3.15	0	nc	0.275	1.5
0.005011872	0.95	4092	4.086	-0.28	6.42	5.65	4.79	3.72	3.06	2.95	2.9	3.1	0	nc	0.275	1.5
0.005011872	1	4148	4.089	-0.23	6.22	5.46	4.66	3.63	2.98	2.88	2.84	3.04	0	nc	0.275	1.5
0.005011872	1.05	4202	4.09	-0.19	6.03	5.28	4.54	3.55	2.91	2.81	2.77	2.97	0	nc	0.275	1.5
0.005011872	1.1	4260	4.095	-0.15	5.87	5.13	4.43	3.47	2.85	2.75	2.72	2.92	0	nc	0.275	1.5
0.005011872	1.15	4316	4.094	-0.11	5.7	4.97	4.31	3.39	2.78	2.69	2.66	2.85	0	nc	0.275	1.5
0.005011872	1.2	4370	4.093	-0.07	5.54	4.82	4.2	3.3	2.71	2.62	2.59	2.79	0	nc	0.275	1.5
0.006309573	0.7	3773	4.096	-0.56	7.72	6.9	5.67	4.3	3.58	3.43	3.35	3.57	0	nc	0.275	1.5
0.006309573	0.75	3822	4.103	-0.51	7.53	6.72	5.53	4.2	3.48	3.35	3.28	3.49	0	nc	0.275	1.5
0.006309573	0.8	3873	4.106	-0.47	7.32	6.53	5.39	4.09	3.38	3.26	3.2	3.42	0	nc	0.275	1.5
0.006309573	0.85	3946	4.119	-0.42	7.04	6.26	5.22	4.01	3.32	3.2	3.14	3.35	0	nc	0.275	1.5
0.006309573	0.9	4028	4.136	-0.38	6.76	5.98	5.06	3.95	3.27	3.15	3.1	3.3	0	nc	0.275	1.5
0.006309573	0.95	4091	4.142	-0.33	6.56	5.79	4.93	3.86	3.2	3.09	3.04	3.24	0	nc	0.275	1.5
0.006309573	1	4151	4.146	-0.29	6.36	5.6	4.8	3.77	3.13	3.02	2.98	3.18	0	nc	0.275	1.5
0.006309573	1.05	4213	4.149	-0.24	6.16	5.41	4.67	3.69	3.05	2.95	2.92	3.11	0	nc	0.275	1.5
0.006309573	1.1	4279	4.149	-0.2	5.97	5.23	4.54	3.6	2.98	2.88	2.85	3.05	0	nc	0.275	1.5
0.006309573	1.15	4345	4.149	-0.15	5.78	5.05	4.41	3.51	2.9	2.81	2.78	2.98	0	nc	0.275	1.5
0.006309573	1.2	4411	4.146	-0.1	5.59	4.88	4.28	3.41	2.83	2.74	2.72	2.91	0	nc	0.275	1.5
0.007943282	0.7	3776	4.161	-0.62	7.85	7.02	5.81	4.46	3.76	3.61	3.52	3.72	0	nc	0.275	1.5
0.007943282	0.75	3825	4.163	-0.57	7.64	6.84	5.67	4.35	3.65	3.51	3.43	3.64	0	nc	0.275	1.5
0.007943282	0.8	3876	4.171	-0.53	7.45	6.66	5.53	4.26	3.56	3.43	3.36	3.57	0	nc	0.275	1.5
0.007943282	0.85	3948	4.182	-0.48	7.18	6.4	5.37	4.17	3.48	3.36	3.3	3.51	0	nc	0.275	1.5
0.007943282	0.9	4028	4.194	-0.44	6.9	6.13	5.21	4.09	3.42	3.3	3.25	3.45	0	nc	0.275	1.5
0.007943282	0.95	4099	4.201	-0.39	6.68	5.91	5.06	4	3.34	3.23	3.19	3.38	0	nc	0.275	1.5
0.007943282	1	4167	4.201	-0.34	6.46	5.7	4.91	3.9	3.26	3.15	3.11	3.31	0	nc	0.275	1.5
0.007943282	1.05	4240	4.203	-0.29	6.24	5.49	4.77	3.8	3.18	3.08	3.04	3.24	0	nc	0.275	1.5
0.007943282	1.1	4316	4.199	-0.23	6.02	5.28	4.62	3.7	3.09	3	2.97	3.16	0	nc	0.275	1.5
0.007943282	1.15	4396	4.197	-0.18	5.8	5.07	4.47	3.59	3	2.92	2.89	3.08	0	nc	0.275	1.5
0.007943282	1.2	4480	4.193	-0.12	5.59	4.89	4.32	3.48	2.92	2.84	2.81	3	0	nc	0.275	1.5
0.01	0.7	3777	4.226	-0.69	7.97	7.15	5.96	4.63	3.93	3.78	3.68	3.88	0	nc	0.275	1.5
0.01	0.75	3826	4.228	-0.64	7.77	6.96	5.81	4.51	3.82	3.68	3.59	3.8	0	nc	0.275	1.5
0.01	0.8	3880	4.232	-0.59	7.57	6.78	5.67	4.41	3.72	3.58	3.51	3.72	0	nc	0.275	1.5
0.01	0.85	3954	4.239	-0.54	7.29	6.51	5.5	4.31	3.63	3.5	3.44	3.65	0	nc	0.275	1.5
0.01	0.9	4038	4.25	-0.49	7.02	6.24	5.33	4.23	3.56	3.44	3.39	3.58	0	nc	0.275	1.5
0.01	0.95	4119	4.252	-0.43	6.76	6	5.16	4.12	3.46	3.35	3.31	3.51	0	nc	0.275	1.5
0.01	1	4198	4.251	-0.37	6.51	5.76	5	4	3.37	3.26	3.23	3.42	0	nc	0.275	1.5
0.01	1.05	4292	4.251	-0.31	6.25	5.51	4.83	3.89	3.28	3.18	3.15	3.34	0	nc	0.275	1.5
0.01	1.1	4385	4.245	-0.25	5.99	5.26	4.65	3.77	3.18	3.09	3.06	3.25	0	nc	0.275	1.5
0.01	1.15	4487	4.239	-0.19	5.74	5.04	4.48	3.64	3.08	3	2.98	3.16	0	nc	0.275	1.5
0.01	1.2	4591	4.23	-0.12	5.48	4.81	4.3	3.51	2.97	2.9	2.88	3.05	0	nc	0.275	1.5
0.012589254	0.7	3778	4.285	-0.75	8.09	7.26	6.09	4.78	4.1	3.94	3.83	4.03	0	nc	0.275	1.5
0.012589254	0.75	3832	4.288	-0.69	7.88	7.07	5.94	4.66	3.98	3.83	3.74	3.94	0	nc	0.275	1.5
0.012589254	0.8	3888	4.288	-0.64	7.67	6.87	5.79	4.55	3.86	3.73	3.65	3.86	0	nc	0.275	1.5
0.012589254	0.85	3971	4.297	-0.59	7.38	6.59	5.61	4.45	3.77	3.64	3.59	3.78	0	nc	0.275	1.5
0.012589254	0.9	4065	4.302	-0.53	7.08	6.3	5.42	4.34	3.67	3.56	3.51	3.7	0	nc	0.275	1.5
0.012589254	0.95	4160	4.301	-0.46	6.79	6.02	5.23	4.21	3.57	3.46	3.42	3.61	0	nc	0.275	1.5
0.012589254	1	4266	4.297	-0.39	6.48	5.74	5.03	4.08	3.46	3.36	3.33	3.52	0	nc	0.275	1.5
0.012589254	1.05	4384	4.293	-0.32	6.16	5.43	4.82	3.94	3.35	3.26	3.23	3.42	0	nc	0.275	1.5
0.012589254	1.1	4508	4.284	-0.24	5.86	5.17	4.61	3.79	3.23	3.15	3.13	3.31	0	nc	0.275	1.5
0.012589254	1.15	4634	4.271	-0.16	5.56	4.91	4.4	3.63	3.1	3.04	3.02	3.19	0	nc	0.275	1.5
0.012589254	1.2	4775	4.253	-0.07	5.25	4.64	4.17	3.45	2.96	2.91	2.89	3.05	0	nc	0.275	1.5
0.015848932	0.7	3781	4.347	-0.81	8.21	7.37	6.23	4.94	4.27	4.1	3.99	4.18	0	nc	0.275	1.5
0.015848932	0.75	3841	4.345	-0.75	7.98	7.16	6.06	4.81	4.13	3.98	3.89	4.08	0	nc	0.275	1.5
0.015848932	0.8	3906	4.344	-0.69	7.74	6.94	5.89	4.68	4	3.86	3.79	3.99	0	nc	0.275	1.5
0.015848932	0.85	4000	4.346	-0.62	7.41	6.62	5.68	4.56	3.88	3.76	3.7	3.89	0	nc	0.275	1.5
0.015848932	0.9	4117	4.348	-0.55	7.07	6.3	5.46	4.41	3.76	3.65	3.61	3.8	0	nc	0.275	1.5
0.015848932	0.95	4245	4.345	-0.47	6.7	5.95	5.23	4.26	3.64	3.54	3.51	3.7	0	nc	0.275	1.5
0.015848932	1	4390	4.338	-0.38	6.32	5.59	4.98	4.1	3.51	3.42	3.4	3.58	0	nc	0.275	1.5
0.015848932	1.05	4540	4.326	-0.29	5.96	5.27	4.73	3.92	3.37	3.3	3.28	3.45	0	nc	0.275	1.5
0.015848932	1.1	4702	4.308	-0.19	5.6	4.96	4.47	3.73	3.22	3.16	3.14	3.3	0	nc	0.275	1.5
0.015848932	1.15	4901	4.283	-0.08	5.2	4.62	4.17	3.5	3.05	2.99	2.98	3.12	0	nc	0.275	1.5
0.015848932	1.2	5133	4.252	0.05	4.77	4.26	3.85	3.25	2.85	2.8	2.8	2.92	0	nc	0.275	1.5
0.019952623	0.7	3788	4.403	-0.86	8.31	7.47	6.34	5.08	4.41	4.25	4.13	4.31	0	nc	0.275	1.5
0.019952623	0.75	3859	4.398	-0.79	8.05	7.23	6.15	4.93	4.26	4.11	4.02	4.2	0	nc	0.275	1.5
0.019952623	0.8	3945	4.394	-0.72	7.74	6.94	5.94	4.78	4.1	3.97	3.9	4.1	0	nc	0.275	1.5
0.019952623	0.85	4067	4.391	-0.64	7.36	6.58	5.7	4.62	3.96	3.84	3.79	3.99	0	nc	0.275	1.5
0.019952623	0.9	4218	4.388	-0.55	6.93	6.18	5.43	4.45	3.82	3.71	3.68	3.87	0	nc	0.275	1.5
0.019952623	0.95	4395	4.379	-0.45	6.47	5.74	5.13	4.26	3.66	3.58	3.55	3.74	0	nc	0.275	1.5
0.019952623	1	4585	4.365	-0.33	6.03	5.36	4.84	4.05	3.51	3.43	3.42	3.58	0	nc	0.275	1.5
0.019952623	1.05	4789	4.34	-0.21	5.6	4.99	4.52	3.81	3.32	3.26	3.25	3.41	0	nc	0.275	1.5
0.019952623	1.1	5063	4.309	-0.07	5.09	4.56	4.14	3.52	3.11	3.06	3.05	3.18	0	nc	0.275	1.5
0.019952623	1.15	5357	4.267	0.09	4.6	4.13	3.76	3.22	2.87	2.83	2.83	2.94	0	nc	0.275	1.5
0.019952623	1.2	5665	4.207	0.27	4.09	3.68	3.35	2.89	2.59	2.56	2.57	2.65	0	nc	0.275	1.5
0.025118864	0.7	3807	4.457	-0.91	8.37	7.53	6.43	5.2	4.54	4.38	4.26	4.44	0	nc	0.275	1.5
0.025118864	0.75	3895	4.448	-0.83	8.06	7.25	6.22	5.02	4.35	4.21	4.13	4.32	0	nc	0.275	1.5
0.025118864	0.8	4014	4.437	-0.74	7.66	6.87	5.95	4.84	4.17	4.05	3.99	4.18	0	nc	0.275	1.5
0.025118864	0.85	4187	4.43	-0.63	7.17	6.41	5.63	4.63	4	3.89	3.85	4.05	0	nc	0.275	1.5
0.025118864	0.9	4416	4.421	-0.5	6.59	5.87	5.27	4.41	3.82	3.74	3.71	3.89	0	nc	0.275	1.5
0.025118864	0.95	4639	4.401	-0.37	6.09	5.43	4.93	4.16	3.63	3.57	3.55	3.71	0	nc	0.275	1.5
0.025118864	1	4907	4.372	-0.22	5.56	4.99	4.54	3.87	3.42	3.36	3.35	3.49	0	nc	0.275	1.5
0.025118864	1.05	5237	4.335	-0.05	5	4.51	4.12	3.55	3.17	3.13	3.12	3.24	0	nc	0.275	1.5
0.025118864	1.1	5590	4.29	0.13	4.46	4.04	3.7	3.22	2.92	2.88	2.89	2.98	0	nc	0.275	1.5
0.025118864	1.15	5909	4.294	0.24	4.14	3.77	3.46	3.06	2.8	2.77	2.78	2.85	0	nc	0.275	1.5
0.025118864	1.2	6035	4.342	0.24	4.11	3.76	3.46	3.08	2.84	2.82	2.83	2.89	0	nc	0.275	1.5
0.031622777	0.7	3847	4.5	-0.93	8.36	7.53	6.48	5.28	4.62	4.46	4.35	4.53	0	nc	0.275	1.5
0.031622777	0.75	3970	4.486	-0.83	7.96	7.16	6.2	5.07	4.4	4.27	4.2	4.39	0	nc	0.275	1.5
0.031622777	0.8	4156	4.472	-0.71	7.41	6.65	5.84	4.82	4.18	4.07	4.03	4.22	0	nc	0.275	1.5
0.031622777	0.85	4413	4.459	-0.57	6.76	6.03	5.43	4.56	3.98	3.89	3.87	4.05	0	nc	0.275	1.5
0.031622777	0.9	4700	4.439	-0.41	6.15	5.51	5.02	4.27	3.77	3.7	3.69	3.84	0	nc	0.275	1.5
0.031622777	0.95	5029	4.407	-0.24	5.54	5	4.58	3.94	3.52	3.47	3.46	3.59	0	nc	0.275	1.5
0.031622777	1	5421	4.377	-0.06	4.95	4.5	4.14	3.62	3.28	3.24	3.24	3.34	0	nc	0.275	1.5
0.031622777	1.05	5674	4.392	0.03	4.69	4.28	3.95	3.49	3.2	3.16	3.17	3.26	0	nc	0.275	1.5
0.031622777	1.1	5770	4.439	0.03	4.67	4.28	3.96	3.52	3.24	3.21	3.22	3.3	0	nc	0.275	1.5
0.031622777	1.15	5876	4.429	0.09	4.5	4.13	3.82	3.41	3.14	3.11	3.13	3.2	0	nc	0.275	1.5
0.031622777	1.2	5983	4.401	0.17	4.3	3.94	3.64	3.25	3	2.97	2.99	3.05	0	nc	0.275	1.5
0.039810717	0.7	3929	4.536	-0.93	8.25	7.44	6.45	5.3	4.64	4.5	4.41	4.6	0	nc	0.275	1.5
0.039810717	0.75	4130	4.516	-0.79	7.65	6.88	6.06	5.02	4.38	4.27	4.22	4.41	0	nc	0.275	1.5
0.039810717	0.8	4420	4.5	-0.63	6.92	6.19	5.59	4.73	4.14	4.06	4.04	4.21	0	nc	0.275	1.5
0.039810717	0.85	4733	4.478	-0.46	6.26	5.63	5.15	4.41	3.91	3.85	3.84	3.99	0	nc	0.275	1.5
0.039810717	0.9	5107	4.453	-0.28	5.62	5.1	4.68	4.08	3.67	3.62	3.62	3.74	0	nc	0.275	1.5
0.039810717	0.95	5368	4.482	-0.2	5.33	4.87	4.49	3.96	3.61	3.57	3.57	3.67	0	nc	0.275	1.5
0.039810717	1	5476	4.499	-0.16	5.2	4.76	4.4	3.9	3.57	3.53	3.54	3.63	0	nc	0.275	1.5
0.039810717	1.05	5616	4.49	-0.09	4.99	4.57	4.23	3.76	3.46	3.42	3.43	3.51	0	nc	0.275	1.5
0.039810717	1.1	5745	4.463	0	4.75	4.36	4.03	3.59	3.31	3.27	3.29	3.36	0	nc	0.275	1.5
0.039810717	1.15	5868	4.431	0.09	4.51	4.14	3.83	3.41	3.15	3.12	3.13	3.2	0	nc	0.275	1.5
0.039810717	1.2	5998	4.397	0.18	4.27	3.92	3.62	3.23	2.99	2.96	2.98	3.04	0	nc	0.275	1.5
0.050118723	0.7	4097	4.563	-0.88	7.92	7.14	6.29	5.24	4.6	4.48	4.43	4.61	0	nc	0.275	1.5
0.050118723	0.75	4399	4.543	-0.71	7.13	6.4	5.79	4.92	4.33	4.24	4.22	4.4	0	nc	0.275	1.5
0.050118723	0.8	4739	4.525	-0.53	6.44	5.81	5.32	4.59	4.1	4.03	4.02	4.17	0	nc	0.275	1.5
0.050118723	0.85	5044	4.53	-0.41	5.95	5.41	4.99	4.36	3.95	3.89	3.89	4.01	0	nc	0.275	1.5
0.050118723	0.9	5131	4.559	-0.38	5.86	5.34	4.93	4.33	3.93	3.88	3.88	3.99	0	nc	0.275	1.5
0.050118723	0.95	5278	4.544	-0.29	5.59	5.1	4.72	4.16	3.79	3.75	3.75	3.85	0	nc	0.275	1.5
0.050118723	1	5458	4.518	-0.19	5.27	4.83	4.46	3.95	3.62	3.58	3.59	3.68	0	nc	0.275	1.5
0.050118723	1.05	5605	4.492	-0.09	5.01	4.59	4.24	3.77	3.47	3.43	3.44	3.52	0	nc	0.275	1.5
0.050118723	1.1	5749	4.461	0	4.74	4.35	4.02	3.58	3.3	3.27	3.28	3.36	0	nc	0.275	1.5
0.050118723	1.15	5895	4.426	0.1	4.48	4.11	3.8	3.39	3.13	3.1	3.12	3.18	0	nc	0.275	1.5
0.050118723	1.2	6044	4.393	0.2	4.22	3.88	3.59	3.2	2.97	2.94	2.96	3.01	0	nc	0.275	1.5
0.063095734	0.7	4344	4.591	-0.81	7.45	6.7	6.05	5.15	4.54	4.45	4.43	4.61	0	nc	0.275	1.5
0.063095734	0.75	4671	4.588	-0.65	6.77	6.12	5.62	4.86	4.34	4.28	4.26	4.42	0	nc	0.275	1.5
0.063095734	0.8	4806	4.605	-0.59	6.53	5.92	5.46	4.75	4.27	4.21	4.2	4.35	0	nc	0.275	1.5
0.063095734	0.85	4927	4.6	-0.52	6.29	5.71	5.27	4.6	4.16	4.1	4.09	4.22	0	nc	0.275	1.5
0.063095734	0.9	5103	4.573	-0.4	5.93	5.4	4.99	4.38	3.97	3.92	3.92	4.04	0	nc	0.275	1.5
0.063095734	0.95	5284	4.545	-0.29	5.58	5.1	4.71	4.16	3.79	3.75	3.75	3.85	0	nc	0.275	1.5
0.063095734	1	5451	4.518	-0.19	5.28	4.83	4.47	3.96	3.62	3.59	3.59	3.68	0	nc	0.275	1.5
0.063095734	1.05	5608	4.49	-0.09	5	4.58	4.24	3.76	3.46	3.42	3.43	3.52	0	nc	0.275	1.5
0.063095734	1.1	5762	4.459	0.01	4.72	4.33	4.01	3.57	3.29	3.26	3.27	3.35	0	nc	0.275	1.5
0.063095734	1.15	5924	4.423	0.11	4.45	4.08	3.78	3.37	3.12	3.09	3.1	3.17	0	nc	0.275	1.5
0.063095734	1.2	6077	4.391	0.21	4.19	3.85	3.56	3.19	2.95	2.93	2.95	3	0	nc	0.275	1.5
