age	mass	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	Ml	Mm	metallicity	cloud	y	l_mix
0.001	0.02	2542	3.794	-2.49	15.5	14.08	11.87	8.78	8.18	7.76	7.16	7.43	0	nc	0.275	1
0.001	0.03	2706	3.772	-2.18	14	12.67	10.71	8.06	7.47	7.08	6.55	6.76	0	nc	0.275	1
0.001	0.04	2794	3.688	-1.92	13.02	11.74	9.88	7.42	6.83	6.45	5.97	6.15	0	nc	0.275	1
0.001	0.05	2844	3.626	-1.73	12.41	11.15	9.34	6.97	6.36	6	5.54	5.71	0	nc	0.275	1
0.001	0.055	2865	3.601	-1.65	12.15	10.9	9.12	6.77	6.17	5.81	5.36	5.53	0	nc	0.275	1
0.001	0.06	2887	3.579	-1.57	11.91	10.67	8.91	6.59	5.99	5.63	5.19	5.36	0	nc	0.275	1
0.001	0.07	2920	3.538	-1.45	11.52	10.29	8.55	6.28	5.67	5.32	4.9	5.07	0	nc	0.275	1
0.001	0.072	2925	3.532	-1.43	11.45	10.23	8.49	6.23	5.62	5.27	4.85	5.02	0	nc	0.275	1
0.001	0.075	2932	3.521	-1.39	11.36	10.14	8.41	6.15	5.54	5.19	4.77	4.94	0	nc	0.275	1
0.001	0.08	2943	3.504	-1.34	11.21	9.99	8.27	6.03	5.41	5.06	4.65	4.82	0	nc	0.275	1
0.001	0.09	2972	3.477	-1.25	10.92	9.71	8.01	5.79	5.17	4.83	4.43	4.6	0	nc	0.275	1
0.001	0.1	3002	3.453	-1.16	10.64	9.44	7.76	5.58	4.95	4.62	4.24	4.41	0	nc	0.275	1
0.001	0.11	3023	3.432	-1.08	10.42	9.24	7.56	5.4	4.76	4.44	4.07	4.24	0	nc	0.275	1
0.001	0.13	3072	3.405	-0.96	10.03	8.86	7.21	5.09	4.44	4.13	3.79	3.97	0	nc	0.275	1
0.001	0.15	3120	3.39	-0.85	9.7	8.56	6.92	4.84	4.18	3.88	3.56	3.75	0	nc	0.275	1
0.001	0.175	3163	3.387	-0.76	9.42	8.3	6.66	4.62	3.93	3.65	3.36	3.55	0	nc	0.275	1
0.001	0.2	3193	3.401	-0.7	9.24	8.13	6.5	4.47	3.77	3.5	3.23	3.43	0	nc	0.275	1
0.001	0.25	3242	3.434	-0.61	8.97	7.89	6.26	4.26	3.53	3.28	3.04	3.25	0	nc	0.275	1
0.001	0.3	3281	3.455	-0.53	8.74	7.68	6.05	4.07	3.32	3.09	2.87	3.09	0	nc	0.275	1
0.001	0.35	3318	3.47	-0.46	8.53	7.48	5.86	3.89	3.13	2.91	2.72	2.95	0	nc	0.275	1
