#wavelength (micron)	surface_flux (erg / (cm2 micron s))
0.7	6525263059.482642
0.7008749999999999	9724017930.983936
0.70175109375	11452084009.039394
0.7026282826171873	11674160357.00595
0.7035065679704589	11892845153.33942
0.7043859511804219	12158298395.921951
0.7052664336193974	12172053722.520565
0.7061480166614217	11923315244.51374
0.7070307016822485	11829799846.777552
0.7079144900593511	11847443467.794079
0.7087993831719255	11676150969.147736
0.7096853824008903	11507629507.995832
0.7105724891288914	11532202675.291332
0.7114607047403024	11571891021.853336
0.7123500306212278	11410283450.42705
0.7132404681595043	11085821422.084957
0.7141320187447037	10848485216.279705
0.7150246837681346	10790446986.46767
0.7159184646228446	11013583283.977571
0.7168133627036232	11318479240.89844
0.7177093794070027	11431043403.850811
0.7186065161312616	11427296523.225744
0.7195047742764256	11384911661.832819
0.7204041552442711	11294093511.711475
0.7213046604383263	11337280491.9589
0.7222062912638743	11608304478.616568
0.723109049127954	11826994821.569569
0.7240129354393641	11867928146.6894
0.7249179516086632	11837547207.460249
0.725824099048174	11900705557.065096
0.7267313791719842	12036587731.459064
0.7276397933959492	12111008050.479708
0.728549343137694	12132876192.823343
0.7294600298166162	12171466797.166994
0.730371854853887	12219903365.675093
0.7312848196724542	12207134566.06329
0.7321989256970448	12079505894.952194
0.7331141743541661	12037166559.386553
0.7340305670721088	12208489694.557722
0.7349481052809489	12274607333.333485
0.7358667904125501	12168023870.587229
0.7367866239005658	12229314160.526722
0.7377076071804415	12413282347.941923
0.738629741689417	12421512589.572887
0.7395530288665286	12333721181.374714
0.7404774701526119	12314108499.415419
0.7414030669903027	12330032047.318941
0.7423298208240404	12371149520.255312
0.7432577331000705	12429326794.732712
0.7441868052664457	12407565482.01359
0.7451170387730286	12352635793.440042
0.7460484350714948	12351882626.546852
0.7469809956153342	12404314615.725779
0.7479147218598534	12478041684.56769
0.7488496152621781	12445969322.09349
0.7497856772812559	12364806031.059555
0.7507229093778575	12375703648.140303
0.7516613130145797	12423127954.062183
0.7526008896558479	12467113198.309025
0.7535416407679177	12516326791.59877
0.7544835678188776	12549483044.239088
0.7554266722786511	12540257723.494295
0.7563709556189995	12514278979.977613
0.7573164193135232	12494392480.732489
0.758263064837665	12437666530.379753
0.7592108936687122	12389527084.946688
0.760159907285798	12396386243.07786
0.7611101071699052	12365124719.291409
0.7620614948038675	12310197804.614977
0.7630140716723723	12327171014.481873
0.7639678392619629	12349907061.37734
0.7649227990610402	12273581948.621159
0.7658789525598665	11956853195.715736
0.7668363012505663	11674342276.165802
0.7677948466271296	11862689359.687403
0.7687545901854135	12056225084.301022
0.7697155334231451	11893608231.839958
0.7706776778399241	11827115299.727388
0.771641024937224	11966029267.952456
0.7726055762183955	12068428475.682049
0.7735713331886686	12113809487.712008
0.7745382973551542	12059072215.23467
0.7755064702268482	12002660021.596367
0.7764758533146318	12068223398.447191
0.7774464481312751	12105096700.890097
0.7784182561914391	12057880542.873827
0.7793912790116784	12037799890.706337
0.780365518110443	12087724910.868433
0.781340975008081	12144934148.919174
0.782317651226841	12121576078.172726
0.7832955482908746	12017082339.436836
0.7842746677262382	11997340109.087387
0.7852550110608959	12078913308.338118
0.7862365798247221	12136796746.524265
0.7872193755495029	12163068222.003187
0.7882033997689398	12171364338.00111
0.7891886540186509	12172891795.5824
0.7901751398361742	12153113723.842642
0.7911628587609694	12097879034.09201
0.7921518123344207	12080951653.221375
0.7931420020998386	12068506789.154617
0.7941334296024635	11987209493.112179
0.7951260963894664	11979810488.635595
0.7961200040099533	12095192895.676163
0.7971151540149657	12162223990.840178
0.7981115479574844	12142581732.68384
0.7991091873924312	12110804501.052706
0.8001080738766717	12094456140.566124
0.8011082089690176	12131720574.098394
0.8021095942302288	12148226780.125856
0.8031122312230166	12117464869.851156
0.8041161215120453	12095370750.826023
0.8051212666639354	12082279441.19733
0.8061276682472652	12098861334.532413
0.8071353278325744	12075473675.730665
0.808144246992365	12042182628.46671
0.8091544273011054	12064439176.921864
0.8101658703352317	12096066565.221601
0.8111785776731507	12113130856.573484
0.8121925508952421	12120956063.699482
0.8132077915838613	12141007300.261112
0.8142243013233411	12150794175.899067
0.8152420816999951	12138280124.294323
0.8162611343021202	12116091932.619764
0.8172814607199979	11989367055.231306
0.8183030625458978	11588618098.234753
0.8193259413740802	11218903139.935955
0.8203500988007977	11378121368.458738
0.8213755364242987	11765733149.71353
0.8224022558448291	11929809964.373472
0.8234302586646352	11965220849.045778
0.8244595464879658	11981238537.359158
0.8254901209210758	11991026838.499142
0.8265219835722272	12016525633.993221
0.8275551360516924	12028335776.79102
0.8285895799717569	12004781869.054659
0.8296253169467216	11957186613.501688
0.830662348592905	11907511203.304853
0.8317006765286461	11827521060.273426
0.8327403023743069	11680710652.330606
0.8337812277522748	11657498842.78854
0.834823454286965	11748380781.340345
0.8358669836048238	11743918915.477293
0.8369118173343297	11679919323.014797
0.8379579571059977	11506877775.96872
0.8390054045523802	11352072614.901539
0.8400541613080706	11488171483.931671
0.8411042290097056	11644668840.468876
0.8421556092959678	11554283338.25531
0.8432083038075878	11362867847.864502
0.8442623141873472	11366076237.48282
0.8453176420800813	11547678050.037342
0.8463742891326813	11574189521.747889
0.8474322569940972	11543985558.611364
0.8484915473153398	11524120201.578175
0.8495521617494839	11250284132.667978
0.8506141019516709	11076986956.85384
0.8516773695791103	11236963562.686094
0.8527419662910842	11227004500.12598
0.853807893748948	10641408244.343111
0.8548751536161342	10336563694.39072
0.8559437475581545	10990683757.590054
0.857013677242602	11541822294.13763
0.8580849443391553	11603627832.443527
0.8591575505195791	11615601699.584133
0.8602314974577286	11608105696.60898
0.8613067868295508	11548531846.979248
0.8623834203130877	11532355317.007816
0.8634613995884791	11568556973.76137
0.8645407263379646	11469362054.451244
0.8656214022458871	10943208583.015707
0.8667034289986943	10474443254.893112
0.8677868082849427	10689670861.79008
0.8688715417952989	10975013256.054356
0.869957631222543	11144002453.665209
0.8710450782615712	11374225310.184713
0.872133884609398	11450337074.275932
0.8732240519651597	11442601776.33429
0.8743155820301162	11433051864.458796
0.8754084765076539	11411858207.279305
0.8765027371032884	11347771628.409624
0.8775983655246675	11317285901.382557
0.8786953634815732	11361531904.863436
0.8797937326859253	11266758016.155529
0.8808934748517826	11052393403.583534
0.8819945916953473	11041729794.282156
0.8830970849349664	11164766554.628527
0.8842009562911352	11283938539.920721
0.8853062074864991	11374532848.65875
0.8864128402458572	11341054884.953808
0.8875208562961645	11287859993.199087
0.8886302573665347	11306215931.985435
0.8897410451882428	11326313324.874128
0.8908532214947281	11316987439.614424
0.8919667880215966	11287501589.084312
0.8930817465066233	11259326774.927023
0.8941980986897567	11235636496.591986
0.8953158463131189	11226246775.61487
0.8964349911210102	11231760223.76927
0.8975555348599115	11211938206.632263
0.8986774792784863	11174123780.897
0.8998008261275845	11088639736.221556
