#wavelength (micron)	surface_flux (erg / (cm2 micron s))
0.7	5858347545.4586935
0.7008749999999999	8765078751.827085
0.70175109375	10412343063.83978
0.7026282826171873	10734112617.826351
0.7035065679704589	11100068674.085127
0.7043859511804219	11595862153.890957
0.7052664336193974	11654764036.216784
0.7061480166614217	11183597367.26878
0.7070307016822485	11004219802.653156
0.7079144900593511	11065690843.362377
0.7087993831719255	10762387993.419754
0.7096853824008903	10416123448.849253
0.7105724891288914	10445751381.262215
0.7114607047403024	10565245206.554176
0.7123500306212278	10306835258.694708
0.7132404681595043	9721559045.975912
0.7141320187447037	9343316777.675539
0.7150246837681346	9314812618.816456
0.7159184646228446	9642897818.943995
0.7168133627036232	10065876617.860077
0.7177093794070027	10273539685.342882
0.7186065161312616	10343494988.685534
0.7195047742764256	10276722483.184324
0.7204041552442711	10087662249.83121
0.7213046604383263	10142816323.07413
0.7222062912638743	10555907307.410418
0.723109049127954	10881787733.857134
0.7240129354393641	10953898813.539267
0.7249179516086632	10959164753.096695
0.725824099048174	11117656563.635338
0.7267313791719842	11353282013.320934
0.7276397933959492	11467702437.86901
0.728549343137694	11536667565.094193
0.7294600298166162	11656342951.466938
0.730371854853887	11764002080.725374
0.7312848196724542	11756734158.623417
0.7321989256970448	11554605173.546715
0.7331141743541661	11499188450.562376
0.7340305670721088	11816568796.485147
0.7349481052809489	11987943921.280916
0.7358667904125501	11876474509.119467
0.7367866239005658	11980357861.973202
0.7377076071804415	12259632605.839773
0.738629741689417	12295667204.259048
0.7395530288665286	12210383515.50676
0.7404774701526119	12225753069.259207
0.7414030669903027	12248330391.764536
0.7423298208240404	12271999436.967615
0.7432577331000705	12338529219.223953
0.7441868052664457	12314569869.235891
0.7451170387730286	12230162025.968405
0.7460484350714948	12262042947.815638
0.7469809956153342	12373275212.997677
0.7479147218598534	12463096875.710228
0.7488496152621781	12420924464.477516
0.7497856772812559	12336207631.886412
0.7507229093778575	12390360291.843185
0.7516613130145797	12474869577.009544
0.7526008896558479	12519413754.953249
0.7535416407679177	12563519703.792423
0.7544835678188776	12605117687.255558
0.7554266722786511	12602405504.721334
0.7563709556189995	12568497966.110453
0.7573164193135232	12546287757.004166
0.758263064837665	12464727151.370043
0.7592108936687122	12327866266.819456
0.760159907285798	12256452110.859703
0.7611101071699052	12212545086.430122
0.7620614948038675	12161522008.939041
0.7630140716723723	12153713795.758581
0.7639678392619629	12137435348.170322
0.7649227990610402	12020059889.849653
0.7658789525598665	11609883033.068375
0.7668363012505663	11229662815.125221
0.7677948466271296	11393261913.20602
0.7687545901854135	11590271394.384314
0.7697155334231451	11421689768.6028
0.7706776778399241	11364487994.6629
0.771641024937224	11530129236.270706
0.7726055762183955	11662722099.649174
0.7735713331886686	11735032469.377392
0.7745382973551542	11650463443.010298
0.7755064702268482	11533013123.489214
0.7764758533146318	11597983726.363857
0.7774464481312751	11666244827.380667
0.7784182561914391	11622032452.83083
0.7793912790116784	11605478221.599796
0.780365518110443	11698950011.062258
0.781340975008081	11807017575.214012
0.782317651226841	11788835185.041319
0.7832955482908746	11634208265.043478
0.7842746677262382	11582879410.104416
0.7852550110608959	11703024562.119675
0.7862365798247221	11817431022.220774
0.7872193755495029	11881371160.612747
0.7882033997689398	11906574402.796879
0.7891886540186509	11917139354.726206
0.7901751398361742	11908135277.240126
0.7911628587609694	11855946567.28761
0.7921518123344207	11841923028.11409
0.7931420020998386	11839833408.367277
0.7941334296024635	11774263543.511526
0.7951260963894664	11788685635.529377
0.7961200040099533	11939509874.098953
0.7971151540149657	12034055698.644827
0.7981115479574844	12021781175.478167
0.7991091873924312	11996727129.496273
0.8001080738766717	11995418436.772673
0.8011082089690176	12063784141.367205
0.8021095942302288	12096029988.883802
0.8031122312230166	12063416417.691769
0.8041161215120453	12060572780.085176
0.8051212666639354	12073555198.893906
0.8061276682472652	12091131866.858744
0.8071353278325744	12054823675.64977
0.808144246992365	12032178390.19899
0.8091544273011054	12062721991.745426
0.8101658703352317	12093667389.013184
0.8111785776731507	12140968543.356693
0.8121925508952421	12178716192.686785
0.8132077915838613	12202408478.984886
0.8142243013233411	12219165247.551195
