#wavelength (micron)	surface_flux (erg / (cm2 micron s))
0.7	5216494639.500433
0.7008749999999999	7781425373.594171
0.70175109375	9184376760.927748
0.7026282826171873	9379852279.194231
0.7035065679704589	9560117217.684347
0.7043859511804219	9754227327.209618
0.7052664336193974	9678785862.937616
0.7061480166614217	9364904331.379042
0.7070307016822485	9257137130.803818
0.7079144900593511	9279646706.446203
0.7087993831719255	9078354694.477964
0.7096853824008903	8848771104.211739
0.7105724891288914	8870958517.709583
0.7114607047403024	8963867727.355715
0.7123500306212278	8797119233.426046
0.7132404681595043	8431132416.764525
0.7141320187447037	8241836012.436347
0.7150246837681346	8283616980.414067
0.7159184646228446	8472170532.359347
0.7168133627036232	8685874470.066938
0.7177093794070027	8817007092.77963
0.7186065161312616	8902430215.235014
0.7195047742764256	8906414323.353195
0.7204041552442711	8814472277.321665
0.7213046604383263	8844837023.825163
0.7222062912638743	9073213613.874496
0.723109049127954	9262263161.718735
0.7240129354393641	9320285481.907166
0.7249179516086632	9343790987.633114
0.725824099048174	9453922700.908415
0.7267313791719842	9599006857.654255
0.7276397933959492	9671839232.417097
0.728549343137694	9721646753.323706
0.7294600298166162	9791874172.033695
0.730371854853887	9853669183.41737
0.7312848196724542	9872221069.795397
0.7321989256970448	9807393589.398386
0.7331141743541661	9792567186.905533
0.7340305670721088	9920533494.180489
0.7349481052809489	9983720981.278664
0.7358667904125501	9943744627.175173
0.7367866239005658	10000346150.340015
0.7377076071804415	10127029384.343128
0.738629741689417	10160914715.702988
0.7395530288665286	10130655188.29558
0.7404774701526119	10129030913.149265
0.7414030669903027	10154599122.477951
0.7423298208240404	10185390491.688957
0.7432577331000705	10212195738.001919
0.7441868052664457	10204417192.839981
0.7451170387730286	10182747325.759575
0.7460484350714948	10180967203.814814
0.7469809956153342	10210820875.734236
0.7479147218598534	10258077694.62098
0.7488496152621781	10247436504.168224
0.7497856772812559	10210223085.370958
0.7507229093778575	10222624089.149157
0.7516613130145797	10254626271.911308
0.7526008896558479	10282963316.571766
0.7535416407679177	10305900817.745195
0.7544835678188776	10321832652.124685
0.7554266722786511	10324477705.617033
0.7563709556189995	10314512451.339518
0.7573164193135232	10302941185.426258
0.758263064837665	10258501004.211884
0.7592108936687122	10190912687.26513
0.760159907285798	10159688007.595522
0.7611101071699052	10146903221.596806
0.7620614948038675	10124691647.595385
0.7630140716723723	10096634491.61104
0.7639678392619629	10066813345.172487
0.7649227990610402	10021399398.703465
0.7658789525598665	9850042586.549881
0.7668363012505663	9660093392.452003
0.7677948466271296	9701557261.558619
0.7687545901854135	9788524740.902311
0.7697155334231451	9723516140.167126
0.7706776778399241	9693321371.566051
0.771641024937224	9761571354.639853
0.7726055762183955	9832068724.458155
0.7735713331886686	9877026827.27328
0.7745382973551542	9836052423.052036
0.7755064702268482	9769334474.51081
0.7764758533146318	9793061941.77395
0.7774464481312751	9833498910.772688
0.7784182561914391	9824009712.464735
0.7793912790116784	9825910403.848124
0.780365518110443	9876419598.463686
0.781340975008081	9927049746.177485
0.782317651226841	9918278142.36589
0.7832955482908746	9862670508.357542
0.7842746677262382	9854178840.158718
0.7852550110608959	9896636792.557743
0.7862365798247221	9931545786.57279
0.7872193755495029	9960014037.50559
0.7882033997689398	9987290528.018476
0.7891886540186509	10010819419.448864
