SOURCE_KEY	NAME	DESIGNATION	RA	DEC	OPT_TYPE	OPTICAL_REFERENCE	NIR_TYPE	NIR_REFERENCE	LIT_SPT	GRAVITY_CLASS	LUMINOSITY_CLASS	METALLICITY_CLASS	NON_VLM	JMAG	JMAG_ERROR	HMAG	HMAG_ERROR	KMAG	KMAG_ERROR	DISCOVERY_REFERENCE	NOTE	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	SBINARY	COMPANION	COMPANION_NAME
10001	SDSS J000013.54+255418.6	J00001354+2554180	0.056416664	25.904999			T4.5	2006ApJ...637.1067B	T4.5					15.063	0.041	14.731	0.074	14.836	0.12	2004AJ....127.3553K								
10002	2MASS J0000286-124515	J00002867-1245153	0.11945834	-12.75425	M8.5	2007AJ....133..439C			M8.5					13.2	0.026	12.445	0.023	11.973	0.023	2007AJ....133..439C								
10003	SDSS J000112.18+153535.5	J00011218+1535355	0.30075002	15.593194			L4 beta	BANYAN7	L4 beta	IG				15.522	0.062	14.505	0.053	13.71	0.044	2004AJ....127.3553K		AB Doradus	BANYAN7	young				
10004	2MASS J00013044+1010146	J00013044+1010146	0.37683335	10.170723			M7	2004AJ....127.2856B	M7					15.826	0.077	15.132	0.1	15.205	0.154	2004AJ....127.2856B								
10005	WISE J000131.93-084126.9	J00013193-084126.9	0.38304168	-8.6905556			L1 pec (blue)	2014ApJ...787..126L	L1 pec (blue)					15.71	0.05	15.71	0.05	15.71	0.05	2014ApJ...787..126L				blue				
10006	SDSS J00015431-09430070	J00015431-09430070	0.47629172	-9.7168608										14.791	0.036	14.168	0.041	13.817	0.056	DHI-NP								
10007	SDSS J00015458-09425809	J00015458-09425809	0.47741666	-9.7161112										14.022	0.041	13.441	0.045	13.143	0.045	DHI-NP								
10008	SDSS J000250.98+245413.8	J00025097+2454141	0.71237504	24.903915			L5.5	2006AJ....131.2722C	L5.5					17.165	0.224	16.06	0.191	15.656	0.217	2006AJ....131.2722C								
10009	2MASS J00034248-2822449	J00034248-2822449	0.92699999	-28.379139										13.068	0.024	12.376	0.028	11.972	0.025		Shkolnik et al. (2012) place age at 0.3-1 Gyr			young companion				
10010	LHS 102B	J00043484-4044058	1.1451666	-40.734943	L5	2001AJ....121.3235K	L4.5	2004AJ....127.3553K	L5					13.109	0.024	12.055	0.026	11.396	0.026	1999A&A...351L...5E	"binary: a=0.087+/-0.006 at 48.1+/-5.2(+/-180)deg (Golimowski et al. 2004), BC located 18.2 at 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)"			binary companion				
