DATA_KEY	SOURCE_KEY	DATA_FILE	OBSERVATION_DATE	OBSERVATION_TIME	JULIAN_DATE	PROGRAM_NUMBER	PROGRAM_PI	OBSERVER	RESOLUTION	AIRMASS	REDUCTION_SPEXTOOL_VERSION	REDUCTION_PERSON	REDUCTION_DATE	QUALITY_FLAG	MEDIAN_SNR	SPEX_TYPE	PUBLISHED	DATA_REFERENCE	NOTE	DATA_KEY	NICMOS_F160W	NICMOS_F160W_UNC	WIRC_CH4S	WIRC_CH4S_UNC	NICMOS_F165M	NICMOS_F165M_UNC	WIRC_BrGamma	WIRC_BrGamma_UNC	NICMOS_F187N	NICMOS_F187N_UNC	NIRC2_Kp	NIRC2_Kp_UNC	NIRC2_Ks	NIRC2_Ks_UNC	NICMOS_F140W	NICMOS_F140W_UNC	NICMOS_F145M	NICMOS_F145M_UNC	NIRC2_J	NIRC2_J_UNC	NICMOS_F190N	NICMOS_F190N_UNC	NIRC2_H	NIRC2_H_UNC	NICMOS_F108N	NICMOS_F108N_UNC	NICMOS_F166N	NICMOS_F166N_UNC	2MASS_H	2MASS_H_UNC	2MASS_J	2MASS_J_UNC	NICMOS_F110M	NICMOS_F110M_UNC	NICMOS_F090M	NICMOS_F090M_UNC	WIRC_Fe2	WIRC_Fe2_UNC	MKO_Kp	MKO_Kp_UNC	MKO_Ks	MKO_Ks_UNC	WIRC_CH4L	WIRC_CH4L_UNC	NICMOS_F170M	NICMOS_F170M_UNC	WIRC_CO	WIRC_CO_UNC	NICMOS_F095N	NICMOS_F095N_UNC	NICMOS_F113N	NICMOS_F113N_UNC	NICMOS_F097N	NICMOS_F097N_UNC	2MASS_Ks	2MASS_Ks_UNC	MKO_K	MKO_K_UNC	MKO_J	MKO_J_UNC	MKO_H	MKO_H_UNC	WIRC_J	WIRC_J_UNC	WIRC_K	WIRC_K_UNC	WIRC_H	WIRC_H_UNC	NICMOS_F164N	NICMOS_F164N_UNC	WIRC_PaBeta	WIRC_PaBeta_UNC	NICMOS_F110W	NICMOS_F110W_UNC	CH4-J	CH4-J_UNC	K-J	K-J_UNC	H2O-K	H2O-K_UNC	CH4-H	CH4-H_UNC	CH4-K	CH4-K_UNC	H2O-H	H2O-H_UNC	H2O-J	H2O-J_UNC	K2	K2_UNC	K1	K1_UNC	H2O-B	H2O-B_UNC	H2O-A	H2O-A_UNC	H2O-1.2	H2O-1.2_UNC	CH4-2.2	CH4-2.2_UNC	H2O-1.5	H2O-1.5_UNC	VO-z	VO-z_UNC	FeH-z	FeH-z_UNC	FeH-J	FeH-J_UNC	H-cont	H-cont_UNC	KI-J	KI-J_UNC	H2O	H2O_UNC	sH2O-H2	sH2O-H2_UNC	sH2O-H1	sH2O-H1_UNC	sH2O-K	sH2O-K_UNC	sH2O-J	sH2O-J_UNC	sHJ	sHJ_UNC	sKJ	sKJ_UNC	FeH	FeH_UNC	H2O-2	H2O-2_UNC	H2O-1	H2O-1_UNC	H2OD	H2OD_UNC	H2O-K2	H2O-K2_UNC
10001	10443	10001_10443.fits	20001106	12 16 5.2351810	51855.011			rayner	0	1.086	3.5be			OK	308	L5.3	Y	CUS-PC		10001	20.85529561	0.005090363	20.5617078	0.003936953	20.5030827	0.003699363	19.90912457	0.004364732	20.90489373	0.034893202	20.1736135	0.00547378	20.09514814	0.005738887	21.45528863	0.00542846	21.40397566	0.0097829	21.368097	0.003426345	20.67592613	0.017330951	20.64363972	0.004210415	22.10867982	0.005712734	20.42998966	0.003536859	20.57797947	0.004274373	21.53407488	0.005128954	22.13189221	0.005436173	23.66689826	0.022592445	20.42166075	0.003770312	20.17595805	0.005087845	20.09746103	0.0055284	20.42606532	0.004205509	20.49763292	0.004168104	20.04793525	0.006574512	22.91179191	0.01243264	21.88787339	0.006076175	22.86658221	0.009064429	20.07565452	0.004619089	20.0257902	0.006091793	21.36502322	0.00425959	20.62489263	0.003730076	21.53187716	0.004748195	19.95273009	0.005513237	20.61817831	0.00420431	20.41047333	0.003807672	21.0857584	0.003312882	22.37936377	0.007736449	0.722879384	0.003365866	0.441664673	0.002741421	0.359883266	0.002897337	1.039616409	0.00539079	0.951862839	0.006250225	0.728977075	0.004112838	0.783010955	0.004926876	-0.086421623	0.005910589	0.305042209	0.007625426	0.650509999	0.004896942	0.584392302	0.002719432	1.311471562	0.007672908	1.049974037	0.007530119	1.570987399	0.01262938	0.996798919	0.006934499	1.370151455	0.018895939	1.09765463	0.005963219	0.834924023	0.004537922	1.139518559	0.004708738	1.359762068	0.00853295	0.574702926	0.00696006	0.483418109	0.007086105	0.365811441	0.008159852	0.247300014	0.006160601	0.266415674	0.00446552	0.733799493	0.004056927	0.830450795	0.003592546	0.820926724	0.006237052	0.550835964	0.003214976	0.766388717	0.007405063	0.728366046	0.007761354
10002	10782	10002_10782.fits	20030521		52780.5				120			Mercado		OK	0	L4.9	Y	2004AJ....127.2856B		10002	-14.19835169	0.007189448	-14.48522819	0.006647639	-14.5540394	0.006629787	-15.23551668	0.010499908	-14.29571331	0.023937553	-14.94958053	0.011107771	-15.02850413	0.010073622	-13.55169226	0.009837213	-13.62565323	0.010143464	-13.60799563	0.011924466	-14.39624665	0.015018494	-14.41310649	0.006621402	-12.83733243	0.012485796	-14.63108554	0.00527423	-14.4825339	0.006963519	-13.44558936	0.01171599	-12.81287064	0.01236653	-11.22191296	0.027478141	-14.62908485	0.004471607	-14.94580603	0.010009122	-15.0286014	0.010342897	-14.64046373	0.006127869	-14.56948103	0.006217491	-15.1080287	0.013283137	-12.01682734	0.018725427	-13.07356274	0.008754046	-12.06200246	0.013373058	-15.05302165	0.010186496	-15.10927312	0.011675124	-13.60997663	0.011458411	-14.43162938	0.006509083	-13.43590246	0.010794949	-15.20279941	0.011730258	-14.42729386	0.006552847	-14.63257764	0.00481058	-13.90323754	0.010272103	-12.57398381	0.013419911	0.729866531	0.012577567	0.490150753	0.007799803	0.359184913	0.004296491	1.048754405	0.008360649	0.996425145	0.014074147	0.721261987	0.008642994	0.784580215	0.014416897	-0.060471449	0.013726119	0.334224616	0.013707999	0.642402564	0.009103899	0.600833952	0.00990025	1.304312697	0.019930599	1.006478549	0.011800941	1.584960794	0.01867897	1.043362985	0.015492844	1.367084889	0.031229786	1.061737068	0.008783588	0.845953212	0.0068613	1.142857152	0.015333766	1.359025367	0.013415531	0.555375347	0.009774478	0.497965671	0.011627461	0.380189136	0.009094345	0.276371302	0.013138116	0.200174273	0.012788915	0.61682314	0.011976814	0.828909291	0.009596778	0.793514961	0.008422925	0.575286645	0.007600003	0.787044707	0.009952374	0.664318682	0.014555455
10003	10830	10003_10830.fits	20030521		52780.5				120			Mercado		POOR	0	M7.4:	Y	2004AJ....127.2856B		10003	-14.06957026	0.054282124	-14.20538385	0.045183681	-14.24284177	0.051514673	-14.62992691	0.078874636	-14.05498562	0.123678954	-14.44368747	0.083641955	-14.5094811	0.078899903	-13.66104347	0.047013172	-13.83633956	0.057044036	-13.70051142	0.03201317	-14.11864073	0.108898226	-14.17489972	0.046443604	-13.32813349	0.022341217	-14.28686508	0.028696748	-14.21548634	0.041746867	-13.64378115	0.03286668	-13.2866412	0.031197041	-12.41147057	0.069853967	-14.29768198	0.030086602	-14.44869492	0.079910965	-14.50532163	0.077482092	-14.30159278	0.041491764	-14.26668159	0.048196947	-14.67244481	0.099140435	-12.87728456	0.036428311	-13.3951313	0.039985266	-12.81678844	0.059475963	-14.51230642	0.076012479	-14.57305706	0.075288115	-13.69093046	0.032943625	-14.20855737	0.056381405	-13.6176291	0.030607669	-14.70215788	0.065859423	-14.17155301	0.04548045	-14.30004562	0.036999421	-13.85765462	0.040849468	-13.05425852	0.042968503	0.754209499	0.03115794	0.303050889	0.025486324	0.474648253	0.047015806	0.980077677	0.057195829	0.969615057	0.093631767	0.966117784	0.06973989	1.065855546	0.059519726	-0.047921192	0.084299645	0.072787406	0.114797611	0.953330247	0.068807119	0.856938079	0.033166079	0.961037822	0.054649041	1.031837282	0.113167295	0.996097592	0.056343063	1.029439219	0.030705023	1.127896057	0.049771805	1.009677429	0.030570892	0.995097459	0.041252405	1.081985481	0.037926563	0.97791423	0.050342058	0.41292105	0.062082524	0.005179246	0.065947068	0.096794245	0.134613771	-0.098043813	0.041892736	0.454544261	0.05531749	1.029100049	0.055110315	0.96400284	0.027863118	0.898137594	0.091024054	0.822550447	0.043391158	1.06823587	0.177217387	0.751592579	0.142701913
10004	10916	10004_10916.fits	20030521		52780.5				120			Mercado		OK	0	T5.7	Y	2004AJ....127.2856B		10004	-12.72610718	0.027160231	-13.45037332	0.017996612	-13.27501789	0.019251956	-12.90172516	0.048380403	-11.60554555	0.225707669	-13.05279127	0.041193843	-13.15269458	0.040718888	-12.67362764	0.017036172	-11.77214961	0.050928371	-13.30146419	0.010182447	-12.27755076	0.085716399	-13.07348123	0.020097315	-12.84635475	0.007193088	-12.93869923	0.017056867	-13.14509954	0.018966531	-12.79662925	0.013783398	-12.23927364	0.015357105	-9.991792833	0.08681713	-12.96573163	0.023187441	-13.0655356	0.04355906	-13.14942772	0.044844637	-12.84671712	0.02580763	-12.81963753	0.029973962	-11.64747047	0.167172968	-10.79277055	0.034652043	-11.6495347	0.021087092	-11.05102419	0.04801278	-13.12948735	0.044131622	-13.01286841	0.050552429	-13.29210089	0.010792108	-13.0924815	0.023292213	-13.10223499	0.009187487	-11.53916241	0.172208879	-13.87442108	0.013789495	-12.95086386	0.030254629	-13.70164176	0.006304531	-12.00230139	0.021870341	0.342272336	0.007519814	0.157724897	0.004714138	0.193485656	0.009625561	0.359523785	0.008960197	0.162069881	0.017387088	0.270617085	0.008009072	0.180735762	0.004794317	-1.345654467	0.056083298	0.447179011	0.055644976	0.196637365	0.009335476	0.112565639	0.005309657	5.240281891	0.152588931	6.220330178	0.673592394	6.785062689	0.310079609	0.895026563	0.010905121	1.111827082	0.02586298	0.977744552	0.014285682	0.25481566	0.006706903	1.013304908	0.011238934	3.291096058	0.115903233	1.167648105	0.049801456	0.969424263	0.04992448	0.798035176	0.054409932	0.981444993	0.018704103	1.306418434	0.013288773	1.529556006	0.011927417	0.592066277	0.006380717	1.08710186	0.053716014	0.09384312	0.004889541	0.305922524	0.020106692	4.640396371	1.500214447
10005	11020	10005_11020.fits	20030521		52780.5				120			Mercado		OK	0	M7.6	Y	2004AJ....127.2856B		10005	-14.05900634	0.025648004	-14.19704121	0.025903601	-14.2594484	0.027898231	-14.63156996	0.034743671	-14.16357746	0.06829648	-14.46052041	0.036867616	-14.50081567	0.036538359	-13.6958867	0.020018522	-13.78547152	0.033810631	-13.75683994	0.017737757	-14.13789984	0.057145701	-14.17486236	0.024334547	-13.38338685	0.022810283	-14.33655426	0.013772046	-14.22070168	0.025184861	-13.67974529	0.020197162	-13.34972439	0.013463092	-12.4697655	0.029299058	-14.31809156	0.020358076	-14.45387762	0.044690421	-14.50191153	0.039266987	-14.34870869	0.028349421	-14.30148496	0.027353986	-14.68705872	0.042214841	-12.94496595	0.035558193	-13.45639886	0.013962338	-12.89600586	0.014842189	-14.52072434	0.034449254	-14.57778769	0.035761001	-13.76002794	0.016922326	-14.18431947	0.032815691	-13.68302739	0.016456831	-14.72731279	0.040069384	-14.14186123	0.029107067	-14.32245586	0.022359257	-13.92962452	0.014067869	-13.11626067	0.018555346	0.724086179	0.019255286	0.281168644	0.010425379	0.490076305	0.025210597	1.045336345	0.029936004	1.023130501	0.041074061	0.943941049	0.029233087	0.997553629	0.032914448	0.002588455	0.040842342	0.019262165	0.047685347	0.948660355	0.030413215	0.756972503	0.018783932	1.000863995	0.034814882	0.979957008	0.037098232	1.036897107	0.038544254	0.996208641	0.016616184	1.050514506	0.018099545	1.050480349	0.023107135	1.03071891	0.025175558	1.024398933	0.027956706	1.044687994	0.038749486	0.39662911	0.041649141	0.055523062	0.039060397	-0.014912977	0.050060915	-0.09583911	0.026387203	0.487313316	0.032257358	1.097758577	0.027925698	0.961754362	0.021839557	0.965143646	0.038934952	0.751405391	0.013051434	1.093011293	0.055997953	0.721274623	0.04725705
10006	11159	10006_11159.fits	20030521		52780.5				120			Mercado		OK	0	M8.0	Y	2004AJ....127.2856B		10006	-13.9849537	0.028386023	-14.15698301	0.022618224	-14.20731676	0.021295403	-14.57749462	0.029064673	-14.05236204	0.092811075	-14.38487539	0.029176745	-14.43268477	0.025694251	-13.64530984	0.018528226	-13.68812326	0.027498767	-13.73795893	0.015228506	-14.02024987	0.042794448	-14.11630376	0.025281988	-13.3897979	0.012917629	-14.2661158	0.018473421	-14.16474004	0.024880302	-13.6438869	0.0161169	-13.31921887	0.014336918	-12.36652842	0.032493008	-14.27910767	0.019113246	-14.37544669	0.032799476	-14.42706324	0.032666857	-14.28052834	0.023519987	-14.23203548	0.028518383	-14.63141956	0.025876014	-12.91461587	0.022231312	-13.4042552	0.011700909	-12.82507923	0.011652823	-14.43479618	0.032630549	-14.49464796	0.034015724	-13.73746361	0.011366664	-14.12339845	0.026068272	-13.66318246	0.014823553	-14.65675326	0.025718065	-14.10017355	0.026901898	-14.28301707	0.020306534	-13.9158272	0.014611101	-13.05881986	0.021747271	0.718837625	0.011488711	0.266368427	0.006755909	0.487646904	0.014832758	1.022943666	0.02608982	1.028907428	0.033571359	0.904185686	0.030664388	1.017054711	0.025168244	0.003827233	0.034202182	0.048099578	0.048471829	0.903606519	0.029480314	0.729271588	0.018170394	0.999738984	0.019913366	0.970739428	0.028740763	1.101507676	0.037319429	1.03331731	0.016760601	1.067050582	0.023088517	0.990353614	0.011199171	0.967708212	0.032886041	1.046562049	0.019564692	1.092232096	0.039403307	0.431641115	0.040192289	0.104224763	0.030098904	0.036096804	0.042692158	-0.088660566	0.019057377	0.514086403	0.022548022	1.121564156	0.023733224	0.973097046	0.018647666	0.939560419	0.040266733	0.715024281	0.019761223	1.084614256	0.048091631	0.730916848	0.044953593
10007	11195	10007_11195.fits	20030521		52780.5				120			Mercado		OK	0	M9.4:	Y	2004AJ....127.2856B		10007	-13.88915546	0.033342244	-14.09319431	0.028517649	-14.14888719	0.02922781	-14.59079944	0.047949188	-13.98638842	0.104004943	-14.34138685	0.054274993	-14.40505116	0.046330103	-13.56022212	0.027193878	-13.51741843	0.051373643	-13.6944559	0.014031073	-14.0088432	0.070576498	-14.03952993	0.033847772	-13.34568819	0.026050305	-14.27383556	0.013332575	-14.09041845	0.035351812	-13.57271551	0.022101624	-13.22964582	0.024964785	-12.15707616	0.056452564	-14.26259387	0.02385951	-14.35326703	0.050444953	-14.40298592	0.046685942	-14.24361173	0.027054689	-14.18372586	0.034783441	-14.62797979	0.048515089	-12.78268591	0.035258215	-13.34956855	0.019176437	-12.76169593	0.044062179	-14.41528691	0.044168182	-14.45792039	0.050208487	-13.69471314	0.014060601	-14.06170497	0.032150222	-13.60539634	0.010855523	-14.67146387	0.037814174	-14.02066237	0.03062717	-14.25997616	0.029910295	-13.90236444	0.019675847	-12.95066351	0.034636142	0.688145473	0.015574268	0.262530149	0.012883813	0.480811619	0.024222781	1.080157609	0.038459959	1.078544833	0.050749989	0.842949397	0.049915786	0.931432516	0.020792985	0.065088023	0.051559603	0.050364844	0.062600833	0.783098477	0.048230761	0.663493412	0.022598933	1.089931651	0.029796869	0.922155682	0.045753537	1.232505192	0.064702362	1.014274454	0.023877067	1.154661168	0.058753137	1.026859803	0.018322273	0.970324081	0.047746459	1.093088406	0.017297115	1.171727174	0.051908736	0.513146808	0.048851858	0.267646762	0.061434232	0.063309339	0.057709156	-0.032055201	0.030108825	0.545939761	0.032038464	1.154964692	0.025297723	0.927485325	0.018141858	0.857484543	0.045527566	0.630479801	0.014727217	0.977541451	0.059293648	0.735052705	0.072054933
10008	11269	10008_11269.fits	20030521		52780.5				120			Mercado		OK	0	M8.2:	Y	2004AJ....127.2856B		10008	-13.92243514	0.032584115	-14.11674198	0.029876337	-14.14374556	0.026181607	-14.39398243	0.036504329	-13.93961136	0.118891335	-14.25107476	0.040221947	-14.3023553	0.044480782	-13.6131182	0.019039068	-13.65577373	0.031958205	-13.73444937	0.015876886	-13.99470888	0.079413202	-14.05062489	0.033701333	-13.36606353	0.01635136	-14.20369101	0.024698471	-14.09008907	0.036676331	-13.63446361	0.020320521	-13.30461507	0.015819365	-12.45210475	0.03550804	-14.20056661	0.022390249	-14.2585431	0.044145898	-14.30242311	0.040402607	-14.18172824	0.034430737	-14.13887256	0.035671584	-14.45304927	0.032548035	-12.96443009	0.018815834	-13.45424531	0.020068145	-12.84419193	0.023171261	-14.31514875	0.037865282	-14.36070245	0.033410374	-13.73685787	0.014252669	-14.07893972	0.027922488	-13.64210816	0.023674491	-14.44340985	0.035561283	-14.0515669	0.026837885	-14.2124376	0.026106239	-13.92848132	0.012915858	-13.06898236	0.022539983	0.718825669	0.016908153	0.253686984	0.011663762	0.450125031	0.023862347	0.995793095	0.037639473	0.928127534	0.04621559	0.924983201	0.034675017	1.044328538	0.028060537	-0.073808678	0.049885588	0.058336204	0.057466085	0.864000316	0.039262069	0.682700138	0.014454164	0.975089901	0.024221281	1.083680906	0.045954679	1.108139755	0.04454194	0.98709869	0.018725743	1.238932011	0.038595329	1.002098559	0.010492825	0.945209776	0.027928803	1.045287429	0.018243392	1.059458827	0.034084151	0.510338495	0.053837303	0.084003981	0.052842231	0.048496682	0.06774482	-0.093313721	0.016419931	0.579500836	0.028777051	1.183600155	0.025955208	0.962901727	0.017006497	0.894109652	0.048484426	0.653988072	0.014268189	1.00581044	0.072094737	0.846789116	0.0683497
10009	11343	10009_11343.fits	20030521		52780.5				120			Mercado		OK	0	M6.7	Y	2004AJ....127.2856B		10009	-14.07634715	0.057629107	-14.22650177	0.052421799	-14.26779595	0.050153492	-14.6189071	0.071979507	-14.21283993	0.123607091	-14.45220486	0.072108907	-14.49232983	0.077459361	-13.6930202	0.041298907	-13.82518873	0.059588364	-13.74970218	0.02759743	-14.2328121	0.064535616	-14.18834064	0.04142331	-13.35663577	0.021784901	-14.34971589	0.047600069	-14.24034585	0.04934802	-13.68030086	0.035078211	-13.33761278	0.02975069	-12.46435217	0.060775083	-14.32961088	0.061595466	-14.45760822	0.060789056	-14.48627914	0.066423952	-14.34623635	0.044888436	-14.31295442	0.046996709	-14.65678228	0.080507302	-12.89390126	0.027057598	-13.40165979	0.054509265	-12.85132635	0.023327543	-14.51321538	0.07018917	-14.55454666	0.070237836	-13.74896126	0.022068996	-14.20770452	0.050274963	-13.69029622	0.041782115	-14.68834236	0.088816131	-14.14410921	0.054069098	-14.33513467	0.060682397	-13.90692743	0.023221314	-13.10887992	0.033114524	0.744080244	0.029005187	0.294279739	0.015872647	0.522044847	0.038397199	1.030716882	0.064024331	1.04879725	0.070108532	0.988094915	0.070131946	1.029322922	0.043057431	0.009982208	0.064802993	-0.067646469	0.086660307	0.94063551	0.095677362	0.789860183	0.024953487	0.992756554	0.039546297	0.957884854	0.057276688	1.004276883	0.075300012	1.00543001	0.034639751	1.07257197	0.036488347	1.021289564	0.028185729	1.045128153	0.050380321	1.036083431	0.031107366	1.005117038	0.047135163	0.364506139	0.088717367	0.015169386	0.069932888	-0.079858358	0.082408199	-0.090601066	0.036834715	0.452836249	0.045550658	1.091854114	0.039476835	0.980254987	0.040159073	1.009775444	0.114822096	0.784064241	0.024853003	1.0934532	0.097602614	0.753864173	0.076883222
10010	11344	10010_11344.fits	20030521		52780.5				120			Mercado		OK	0	L3.3::	Y	2004AJ....127.2856B		10010	-14.07840555	0.028173908	-14.11657758	0.024618194	-14.12904387	0.026831524	-14.24454055	0.060937925	-14.22042121	0.100844461	-14.19632651	0.040704045	-14.20484517	0.043716836	-13.80374938	0.019479678	-13.99559316	0.026387687	-13.79376596	0.012100382	-14.15096614	0.074885022	-14.10681894	0.027998041	-13.57158479	0.013868993	-14.11151856	0.019722052	-14.1225056	0.026220808	-13.77295324	0.015900792	-13.59252434	0.013114054	-13.34198046	0.014028484	-14.13859757	0.036356066	-14.20194797	0.046091902	-14.20386398	0.039885977	-14.14465771	0.031655526	-14.14374339	0.029754985	-14.26510218	0.052891446	-13.48043921	0.009660875	-13.63656763	0.013763885	-13.39468079	0.014798759	-14.22177367	0.042526715	-14.2274251	0.047361748	-13.7911049	0.011438305	-14.11543423	0.030032277	-13.75933151	0.014993894	-14.2507574	0.03383263	-14.12023556	0.025418797	-14.16487398	0.044173386	-13.87374188	0.014557213	-13.52420976	0.015797896	0.729797829	0.017109993	0.244422121	0.008690059	0.627726753	0.029273144	0.876596039	0.033834359	0.824054633	0.043215142	1.127796408	0.032005885	1.214196826	0.027512439	-0.133729147	0.04841914	-0.252419956	0.050447835	1.207924053	0.041048251	0.921320321	0.018147145	0.803060512	0.017881234	1.224016665	0.062553241	0.808623648	0.035962186	1.021325419	0.015801782	1.012838164	0.01540285	1.022407302	0.021816058	1.0366436	0.032236911	1.032306414	0.017665913	0.929055524	0.036599385	0.268058483	0.047518274	-0.309639247	0.042001838	-0.284353053	0.051831235	-0.283950856	0.016544601	0.594332192	0.02676455	1.260276723	0.02181138	1.027728451	0.020208549	1.150070952	0.092690987	0.925363184	0.020621772	1.18674427	0.052738918	1.04835014	0.100301295
