#wavelength	surface_flux
0.6450077295303345	297378448.3465196
0.6472567915916443	424449253.39831585
0.6494921445846558	457394205.8405181
0.6517150402069092	456318170.41141564
0.6539263725280762	494542706.3280986
0.6561272740364075	507681215.08558
0.6583186388015747	499560464.60637236
0.6605015397071838	486669823.36495966
0.6626768708229065	452645114.2173188
0.6648455858230591	410346851.93299925
0.6670085787773132	378801383.4883556
0.6691668033599854	356547622.95790374
0.6713210344314575	337340893.32024074
0.6734722256660461	328108826.1041853
0.6756211519241333	341006926.6819313
0.6777685880661011	363270296.25238305
0.6799154281616211	383162237.8106226
0.6820623278617859	415033552.2921263
0.6842101216316223	449388705.7307801
0.6863595843315125	471452001.60883105
0.688511312007904	504392926.1896114
0.6906660795211792	555182205.4112346
0.6928245425224304	602864176.5668943
0.6949873566627502	662802655.0158807
0.6971551775932312	750744223.0252337
0.6993286609649658	839586020.9419643
0.7015084028244019	930204473.5241241
0.7036949396133423	986830684.7421436
0.7058889269828796	890151090.4111282
0.7080909013748169	707770890.018388
0.710301399230957	590033428.4077426
0.712520956993103	517500401.002687
0.7147500514984131	476502419.53971946
0.7169892191886902	506337973.9467805
0.7192389369010925	563253172.520193
0.7214996814727783	611304756.5284798
0.723771870136261	707261817.3233286
0.7260559797286987	846377946.7131003
0.7283523678779602	988353777.736048
0.7306615710258484	1150387808.443442
0.7329838871955872	1308246349.5646567
0.7353196740150452	1422610363.6666617
0.7376693487167358	1509974578.552983
0.7400332689285278	1549535821.4751499
0.7424117922782898	1540629631.8408997
0.7448052167892456	1521771823.7145822
0.7472138404846191	1520267003.0126505
0.7496379613876343	1556979014.3501585
0.7520779371261597	1624000859.9114652
0.7545340061187744	1717609479.3311646
0.7570064663887024	1754766551.5530162
0.7594954967498779	1660730804.339161
0.7620013952255249	1536685370.332454
0.7645244002342224	1411844008.993286
0.7670646905899048	1240553346.4580154
0.7696225643157959	1137150891.061216
0.7721980810165405	1166402681.7538705
0.7747915983200073	1207368013.3894024
0.7774031162261963	1217064616.9605267
0.7800329327583313	1267513771.6549087
0.7826811671257019	1326082657.0144408
0.7853479981422424	1381454143.7153118
0.7880334854125977	1483523032.8019986
0.7907378077507019	1562509130.7383296
0.7934610247612	1617420385.663786
0.7962033748626709	1714903198.8587372
0.7989648580551147	1807292431.1962476
0.801745593547821	1894598634.3043506
0.8045456409454346	2013170270.055108
0.8073651194572449	2151647607.6119866
0.8102040886878967	2317412529.853908
0.8130625486373901	2497921207.2897606
0.8159406185150146	2609605254.8118663
0.8188382983207703	2562723628.391978
0.8217556476593018	2459609970.745422
0.8246926665306091	2436254700.7847705
0.8276493549346924	2388020822.0058823
0.8306257724761963	2293249042.3896904
0.8336219191551208	2248198072.9225945
0.8366377949714661	2217931355.934998
0.8396733403205872	2168355854.1449466
0.8427285552024841	2014537184.0986762
0.8458034992218018	1768963258.1579156
0.8488980531692505	1646758525.242373
0.8520121574401855	1656574344.179961
0.8551458716392517	1715014594.6362464
0.8582990765571594	1801002947.6133592
0.8614717125892639	1878467941.0575879
0.8646637797355652	1932831255.2722147
0.8678751587867737	1975784421.1334088
0.8711057901382446	2063608133.8538477
0.8743556141853333	2195442794.756095
0.87762451171875	2351015095.8572125
0.8809124231338501	2506692545.3432283
0.8842192888259888	2530999887.966798
0.8875449895858765	2386134997.9687595
0.8908893465995789	2313030716.7865477
0.894252359867096	2360756453.6962714
0.8976338505744934	2437140408.9671936
0.9010337591171265	2558785618.4839535
0.9044519662857056	2685355839.3183923
0.9078882932662964	2816622090.2550216
0.9113426208496094	2953489489.652717
0.914814829826355	3076409584.4395313
0.9183048605918884	3124922623.766046
0.9218124747276306	3023903385.5520754
0.925337553024292	2864911446.8681083
0.9288799166679382	2761467589.732943
0.9324395060539246	2725892755.580827
0.9360161423683167	2748770821.846362
0.9396095871925354	2798296413.7738304
0.943219780921936	2850212873.395756
0.9468464851379395	2916738843.4159136
0.9504896402359009	2989924748.5167813
0.9541489481925964	3047261612.1536922
0.9578243494033813	3099871606.01378
0.9615156054496765	3136775129.5036554
0.9652225375175476	3152618516.3747983
0.9689450263977051	3150098523.5924125
0.9726828336715698	3101134167.3426785
0.9764357805252075	3053004554.022401
0.9802037477493286	3045752436.0023317
0.983986496925354	3058892040.677843
0.9877838492393494	3068296571.453633
0.9915955662727356	3037299101.756732
0.9954215884208679	3039232360.7438855
0.9992615580558777	3071394062.6748495
1.0031154155731201	3062915827.3186064
1.0069829225540161	3062046356.656174
1.0108637809753418	3096587588.403839
1.0147579908370972	3113822439.6004353
1.018665075302124	3116476921.6098843
1.022585153579712	3136202557.3668346
1.0265177488327026	3140303689.0355005
1.0304628610610962	3147901927.99468
1.0344202518463135	3181041791.87735
1.0383895635604858	3217949262.075802
1.0423706769943237	3254441248.6228857
1.0463634729385376	3286563031.795323
1.0503677129745483	3309025667.405102
1.0543830394744873	3326857228.4321785
1.058409333229065	3343886015.108562
1.0624464750289917	3358381079.055104
1.0664942264556885	3363521293.1532865
1.0705522298812866	3365356613.1935143
1.0746204853057861	3373899259.620399
1.0786986351013184	3379339139.2928777
1.0827864408493042	3379767723.8408103
1.086883783340454	3373742413.8337255
1.0909905433654785	3356022662.799741
1.0951062440872192	3327726008.1655846
1.0992310047149658	3276428578.4072094
1.10336434841156	3179724659.1835175
1.1075061559677124	3095381089.038411
1.1116561889648438	3085168674.8177943
1.115814208984375	3099606709.508724
1.1199802160263062	3106004799.4430666
1.124153733253479	3121468507.1246133
1.1283347606658936	3134770260.567759
1.1325229406356812	3124877829.730437
1.1367181539535522	3086966274.2106824
1.1409201622009277	3066596329.6149607
1.145128846168518	3105819833.215401
1.1493438482284546	3150621591.0763583
1.1535650491714478	3160140496.6130424
1.1577922105789185	3150937282.83425
1.1620250940322876	3141418515.685477
1.1662636995315552	3138171450.1328135
1.170507550239563	3131560548.1748896
1.174756646156311	3110781848.155706
1.1790107488632202	3088704558.146329
1.1832695007324219	3088344678.305852
1.1875330209732056	3089821269.8854713
1.191800832748413	3080503816.5040317
1.1960728168487549	3069089042.6550713
1.2003488540649414	3069472650.9195337
1.2046287059783936	3083636893.222541
1.2089121341705322	3091674689.759407
1.2131990194320679	3098149913.0333323
1.2174891233444214	3105964656.9023633
1.2217823266983032	3107866719.3146396
1.2260783910751343	3106567733.142695
1.230377197265625	3101249583.729354
1.2346785068511963	3089256498.9918623
1.238982081413269	3057106346.7700496
1.2432878017425537	3010606897.847883
1.2475954294204712	2992578204.7288265
1.2519049644470215	2991428239.067287
1.256216049194336	2977521759.944028
1.2605286836624146	2966519328.4751987
1.2648425102233887	2965288538.916211
1.2691574096679688	2965219766.81154
1.2734732627868652	2966230774.6718125
1.2777899503707886	2966224071.997837
1.2821072340011597	2956073041.208555
1.2864248752593994	2946567189.939417
1.2907428741455078	2948532521.1864605
1.2950609922409058	2958016249.393019
1.2993791103363037	2963691736.103296
1.303696870803833	2957102259.678625
1.3080145120620728	2932960912.201966
1.3123314380645752	2895185893.7708697
1.3166478872299194	2878689207.4339924
1.3209635019302368	2876467796.1228976
1.3252781629562378	2839738071.612948
1.3295916318893433	2729874197.6854696
1.3339040279388428	2549724594.698296
1.3382149934768677	2406849068.4855037
1.3425244092941284	2351371597.642767
1.3468321561813354	2332283788.8544583
1.3511382341384888	2313878208.033595
1.3554422855377197	2287117435.212204
1.3597444295883179	2259389371.271892
1.3640443086624146	2240108108.645675
1.3683418035507202	2235305463.459009
1.3726370334625244	2237956268.133188
1.3769296407699585	2250402303.7195635
1.381219506263733	2256840898.728552
1.3855066299438477	2229198347.899025
1.3897908926010132	2156452467.437115
1.3940720558166504	2088995716.0602624
1.3983501195907593	2067778569.956142
1.4026249647140503	2066307873.7564757
1.4068963527679443	2050061764.8136098
1.4111642837524414	2008797859.5624912
1.4154287576675415	1967675555.5841231
1.419689416885376	1944336664.3053517
1.4239463806152344	1929750034.1764388
1.4281994104385376	1920542636.3578055
1.4324485063552856	1919120557.599132
1.436693549156189	1918297463.9545932
1.440934419631958	1923114113.680774
1.4451709985733032	1930448890.4439037
1.449403166770935	1933180952.6063929
1.453631043434143	1931879561.415029
1.4578542709350586	1915470347.2065916
1.4620729684829712	1883924947.1732984
1.4662868976593018	1855853051.3230202
1.4704961776733398	1840479469.7717056
1.4747005701065063	1837205300.7689626
1.4788999557495117	1838159574.9845057
1.4830944538116455	1842615586.0562818
1.4872838258743286	1846929481.3229465
1.491468071937561	1850971763.3243062
1.4956470727920532	1861751911.6240027
1.4998208284378052	1861076393.042995
1.5039892196655273	1856610391.1891427
1.5081522464752197	1865318171.7180142
1.5123097896575928	1870901896.3006845
1.5164618492126465	1872419669.0290384
1.5206083059310913	1880892853.063714
1.5247491598129272	1879038026.132549
1.5288842916488647	1870558407.9951627
1.5330137014389038	1869748965.336242
1.5371372699737549	1859599639.7547934
1.541254997253418	1845627479.6800416
1.545366883277893	1853951132.4351084
1.5494728088378906	1868962913.2815883
1.5535727739334106	1866549732.7847948
1.5576666593551636	1863472107.9609528
1.561754584312439	1874828521.9648514
1.5658363103866577	1889647484.3502162
1.5699119567871094	1896343261.1675947
1.5739814043045044	1898252091.5527046
1.5780447721481323	1905818482.2625256
1.582101821899414	1919784499.1141393
1.5861525535583496	1926472817.4657347
1.5901970863342285	1926884322.464081
1.5942351818084717	1940175692.018897
1.5982669591903687	1954336658.662328
1.6022924184799194	1950703210.1302168
1.606311559677124	1946812342.312075
1.6103241443634033	1953850146.0606492
1.6143304109573364	1957638761.0949073
1.6183301210403442	1946630587.632832
1.6223233938217163	1937849421.4468563
1.6263102293014526	1951547407.783844
1.6302905082702637	1971533633.8989546
1.634264349937439	1978940578.6385267
1.638231635093689	1983691893.0126898
1.6421923637390137	1989544064.8358402
1.646146535873413	1996338241.5122628
1.6500942707061768	2005861937.8131223
1.6540353298187256	2016259799.3674343
1.6579699516296387	2021734528.245884
1.661897897720337	2017903973.6752973
1.6658192873001099	2012507695.5870109
1.6697341203689575	2004538739.1996167
1.6736423969268799	1998534483.264064
1.677544116973877	2011309877.0809414
1.6814392805099487	2024445429.621459
1.6853278875350952	2005425599.8502846
1.6892099380493164	1972404636.4304793
1.6930854320526123	1961455351.0442898
1.696954369544983	1957553871.0117173
1.7008168697357178	1939702552.8308566
1.7046726942062378	1904255189.3181148
1.708522081375122	1852174881.6682267
1.712364912033081	1810436863.7642415
1.7162011861801147	1782654736.3442626
1.7200311422348022	1757677449.6939018
1.723854422569275	1743388296.9324114
1.7276713848114014	1732635176.1105945
1.731481909751892	1706009220.315684
1.7352858781814575	1675377409.4325197
1.7390835285186768	1660724904.8072722
1.7428747415542603	1647622924.6015394
1.7466596364974976	1626596042.9364939
1.7504380941390991	1599414955.1628013
1.7542102336883545	1565618521.8267763
1.7579760551452637	1535349144.8990226
1.7617355585098267	1519465184.2234323
1.7654887437820435	1508687279.8684106
1.7692357301712036	1485850482.5085242
1.7729763984680176	1453494622.5516846
1.776710867881775	1422384165.2767637
1.7804391384124756	1400621320.8914213
1.7841613292694092	1384187701.6623092
1.7878772020339966	1368500207.7051752
1.7915871143341064	1355766997.696545
1.7952908277511597	1340963732.8601086
1.7989884614944458	1316897602.7467031
1.8026801347732544	1292422451.8261418
1.806365728378296	1281559441.2221367
1.8100452423095703	1276823231.4535134
1.8137187957763672	1278748109.3193066
1.817386507987976	1269198814.6744208
1.8210482597351074	1250734167.4304023
1.8247040510177612	1248013621.691637
1.828354001045227	1239813718.3615973
1.8319982290267944	1226692891.749359
1.8356364965438843	1221301054.8496053
1.8392690420150757	1208390007.2002008
1.8428958654403687	1178083210.5505552
1.8465168476104736	1147811198.5065384
1.8501322269439697	1142037872.9881747
1.8537418842315674	1135589080.3374736
1.8573459386825562	1098438338.3545632
1.860944390296936	1076753977.8249462
1.864537239074707	1094491467.8521273
1.8681244850158691	1111650232.8697627
1.871706247329712	1107128707.2221715
1.8752825260162354	1094004517.2163646
1.8788533210754395	1095417464.127616
1.8824186325073242	1114395112.6016135
1.8859784603118896	1121448058.371046
1.8895330429077148	1105499908.6954541
1.8930821418762207	1090753032.325981
1.8966259956359863	1098545821.903842
1.9001644849777222	1112670716.77797
1.9036977291107178	1109962543.406636
1.9072256088256836	1100547819.3295372
1.9107483625411987	1096951683.425869
1.9142658710479736	1098049926.0136867
1.9177782535552979	1092671681.3266368
1.9212853908538818	1085832824.0069165
1.9247875213623047	1080458502.1293163
1.9282845258712769	1068291569.468396
1.9317764043807983	1060043319.5222179
1.9352631568908691	1067527077.4525145
1.9387450218200684	1069284274.5853614
1.942221760749817	1056490259.6402749
1.9456936120986938	1045802866.0062021
1.9491604566574097	1043193706.2325205
1.952622413635254	1045193224.7833092
1.956079363822937	1052946079.2042294
1.959531545639038	1059690323.1638558
1.962978720664978	1053343253.3041531
1.966421127319336	1051040510.3231456
1.9698586463928223	1052932341.4089416
1.9732913970947266	1036382125.933351
1.9767193794250488	1007411344.0958697
1.9801424741744995	993802343.0593096
1.9835609197616577	994325705.7438339
1.9869745969772339	991623454.9513963
1.990383505821228	988404401.767452
1.9937876462936401	989696384.2429681
1.9971871376037598	985748268.2809781
2.000581979751587	978045935.842831
2.003972291946411	978293704.7533529
2.007357597351074	977515683.8685251
2.0107386112213135	968196665.0988336
2.0141148567199707	961307984.8177946
2.017486572265625	956656664.7130114
2.0208535194396973	956326183.1319871
2.0242159366607666	957993909.0151677
2.027573823928833	950675888.316053
2.0309269428253174	950074962.4780452
2.034275770187378	951105306.898043
2.0376198291778564	942477434.9469322
2.040959596633911	936258291.9961699
2.044294595718384	933587904.2449685
2.0476250648498535	932144175.5077502
2.0509510040283203	931356955.9436501
2.054272413253784	930032638.1955687
2.057589530944824	931811797.7490622
2.0609018802642822	926038182.2656664
2.0642096996307373	913110262.1115946
2.0675129890441895	914642741.0386624
2.0708119869232178	918947372.3855017
2.074106216430664	913186957.2155014
2.0773961544036865	911533398.8126317
2.080681324005127	912423485.7044089
2.0839622020721436	910020292.7447232
2.087238311767578	908302467.1348712
2.090510129928589	910826740.1247121
2.0937774181365967	911171962.9746866
2.0970399379730225	907551284.4961822
2.1002981662750244	908617251.4168587
2.1035518646240234	909723732.0784761
2.1068007946014404	906740009.1505451
2.1100454330444336	905079431.8641299
2.1132853031158447	907154819.9236689
2.116520881652832	907579009.1891106
2.1197516918182373	907434885.2099175
2.1229779720306396	909685187.7069348
2.12619948387146	906656299.9706408
2.1294167041778564	902780244.9661986
2.132629156112671	906537870.6366533
2.1358368396759033	908402594.6426005
2.139039993286133	905266151.5186657
2.1422386169433594	908973324.1741973
2.145432472229004	915912192.1721765
2.1486217975616455	910895724.9461632
2.151806354522705	904366485.6138256
2.1549863815307617	908061369.807763
2.1581614017486572	912884241.5528945
2.16133189201355	913740591.6591122
2.1644976139068604	914652324.7586997
2.167658567428589	916639287.5472915
2.1708147525787354	914486285.8320785
2.173966407775879	910015470.9394174
2.1771130561828613	906416353.0785365
2.1802549362182617	904856315.3983009
2.183391809463501	906993870.5097111
2.1865241527557373	909918489.5995651
2.1896514892578125	910334299.3542806
2.1927738189697266	910386607.3051076
2.1958916187286377	912924335.8808006
2.1990041732788086	914037318.8648455
2.2021119594573975	908691832.929055
2.2052149772644043	898224041.3282857
2.208312749862671	894730710.9400737
2.2114057540893555	904115366.6268975
2.214493751525879	912635170.0382359
2.217576742172241	910817114.0671716
2.2206547260284424	907706127.0322006
2.2237277030944824	911641810.9526876
