teff	logg	z	fsed	cld	WFC3_F127M	WIRC_PABETA	HAWK_BRG	FOURSTAR_K	WISE_W3	UKIDSS_K	PANSTARRS_G	NIRC2_KS	FOURSTAR_H	MKO_MP	PANSTARRS_Y	NICMOS_F095N	UKIDSS_H	NIRC2_J	PANSTARRS_R	VISTA_Y	MKO_J	VISTA_H	SDSS_Z	NICMOS_F165M	PANSTARRS_W	NICMOS_F145M	UKIDSS_Z	WIRC_FE2	MKO_K	NICMOS_F170M	HAWK_CH4	FOURSTAR_J	NIRC2_LP	WFC3_F167N	NICMOS_F113N	FOURSTAR_KS	MKO_K_ATM	SDSS_U	NIRC2_H	WIRCAM_Y	FOURSTAR_H_LONG	IRAC_CH2	VISTA_J	FOURSTAR_J1	WFCAM_H2	2MASS_Ks	SDSS_I	VISTA_Z	NICMOS_F164N	NICMOS_F166N	WFCAM_H	NIRC2_KCONT	HAWK_J	WFCAM_Z	MKO_H_ATM	WIRC_J	WIRCAM_J	WIRCAM_KCONT	NICMOS_F097N	WIRCAM_H	WIRC_CO	WIRC_CH4S	VISTA_KS	WISE_W4	NICMOS_F108N	WFCAM_K	NIRC2_K	IRAC_CH4	NIRC2_M	2MASS_J	PANSTARRS_Z	HAWK_KS	IRAC_CH3	WIRC_BRGAMMA	WISE_W1	NIRC2_FE2	HAWK_Y	UKIDSS_J	MKO_KP	WIRC_H	NICMOS_F190N	NIRC2_KP	NICMOS_F110M	SDSS_G	HAWK_H2	WIRC_K	WIRCAM_CH4_OFF	NICMOS_F160W	HAWK_NB2090	WIRCAM_CH4_ON	2MASS_K	FOURSTAR_J3	HAWK_H	WFCAM_J	MKO_H	WIRC_CH4L	WIRCAM_KS	PANSTARRS_I	MKO_LP	NICMOS_F110W	FOURSTAR_J2	SDSS_R	IRAC_CH1	FOURSTAR_H_SHORT	HAWK_NB1060	2MASS_KS	2MASS_H	WFC3_F139M	NICMOS_F140W	BESSEL_I	UKIDSS_Y	HAWK_NB1190	WFCAM_Y	MKO_J_ATM	WFCAM_BRG	NICMOS_F090M	NIRC2_HCONT	WFC3_F164N	WISE_W2	NICMOS_F187N
1000.0	4.5	-0.5	nc	nc	-33.92333632365033	-33.902601701866715	-33.41639049844855	-33.235810072691585	-36.896010533740274	-32.999111382334135	-23.311515279726315	-33.11252932473738	-33.447263025073816	-36.00913888005445	-31.72178045433299	-31.511840764131904	-33.45853602362645	-33.563698253117295	-24.576035828874776	-32.5202324265926	-33.57147873100803	-33.460635986906226	-30.99510853508947	-33.67425495416846	-25.374978948544506	-31.88756880288392	-30.889283856312503	-33.702026907279	-33.02886445648139	-33.292795549148096	-33.7872390594589	-33.235810072691585	-35.32530165064564	-33.43532766667878	-31.112349829583398	-33.235810072691585	-33.00441281383331		-33.432829706201794	-32.55506966453416	-33.25398164240342	-36.072592580355554	-33.51724337944917	-32.77767861965856	-33.486779769391816	-33.095118974368546	-26.96108041744526	-30.800147010303323	-33.76631079965158	-33.582884267848165	-33.47112552903034	-31.915930167690675	-33.628023643026275	-30.861534722171182	-33.504000583045894	-33.451076183989095	-33.607883140077455	-32.35422216283011	-31.736369546303965	-33.45373864376426	-32.07712427918153	-33.8461984178968	-33.09797972770716	-37.01005035875869	-33.089754131750084	-32.914543386303144	-33.03483387729908	-35.70743155433568	-36.02439436205921	-33.0175733479026	-30.594447298187436	-33.07163379066418	-34.98000923578247	-32.99269626120491	-33.6747100605969	-33.73858852926706	-32.508713220359496	-33.58534749042655	-32.95713045120258	-34.048018097013305	-31.207793038016934	-32.97442849849448	-32.50580282707316	-23.27660930342311	-33.54631235552331	-31.93153723400127	-33.891809394737294	-33.04980280044201	-33.59174695165679	-33.360794299818004	-33.095118974368546	-33.61776022790677	-33.435867497170634	-33.60074213450081	-33.44061092098861	-33.3857849604767	-33.08519881484494	-26.970149959269488	-35.319442749945225	-32.33140415484606	-32.412314734280926	-24.06238761681621	-34.39125828458884	-33.50160510285727	-32.97259486061071	-33.095118974368546	-33.5185094743437	-29.01395487985952	-32.94444575176889		-32.638042981121124	-32.71598738176434	-32.682814668513764	-33.52422989204512	-33.16649888226372	-30.970319608772108	-34.064232415203925	-33.76159449767604	-35.99318195034212	-30.821982939122815
1000.0	4.5	0.0	nc	nc	-34.04235870502296	-33.9056091241647	-33.98016501368454	-33.27939538481989	-36.95481880613216	-33.515535373330316	-22.99624788404956	-33.63993654573113	-33.49155939288116	-35.77515496807607	-31.368789677421823	-30.940631054462358	-33.506767926167825	-33.63082968771342	-24.418655631381192	-32.4661276837072	-33.639844037135084	-33.50993686706214	-30.68887562108806	-33.762830110684035	-25.257563701160844	-31.675460634282704	-30.579110529098877	-33.9250926041629	-33.55470168296516	-33.42530111450011	-33.798226294591316	-33.27939538481989	-35.23776072073923	-33.63043241860531	-30.611225350640314	-33.27939538481989	-33.519925219682996		-33.47647149862977	-32.53159928238036	-33.39097045956629	-35.94657736514135	-33.579489101755044	-32.84025259038317	-34.157220069615384	-33.620204693565526	-26.848883583857372	-30.49663238660717	-33.98707324488366	-33.81213486241962	-33.52338788358236	-31.769499219116955	-33.69631234720737	-30.553273639919396	-33.566363591401426	-33.531433423950205	-33.67832755175136	-32.34703871709884	-31.243189672982812	-33.49809087903135	-32.01215714693124	-33.93660390803799	-33.624296398312026	-36.97305376538054	-33.32266770891377	-33.41581513463679	-33.56129094667458	-35.69134739500575	-35.78261170297583	-33.0517215579511	-30.3072117300707	-33.590568837114645	-34.8818199018191	-33.358602845812385	-33.52352395086519	-33.96437457161083	-32.45097043354927	-33.65503949132293	-33.46759313315737	-34.08418718531994	-31.05544307366604	-33.483168077003334	-32.48597616120388	-22.960514974000663	-34.26798536083217	-31.792303324369144	-33.93918699271624	-33.08032315116563	-34.31987120532641	-33.513166224502214	-33.620204693565526	-33.70902718427976	-33.479129012784355	-33.670496295733635	-33.483097234836805	-33.533493342257195	-33.60467927424373	-26.8708413826624	-35.231807677276656	-32.31570497780708	-32.356333937328344	-23.955616676200787	-34.25605203296456	-33.48939632579537	-33.09529777801761	-33.620204693565526	-33.57676317520331	-28.53991264998527	-32.978676959997685		-32.64320005534878	-32.51757580378034	-32.70951282521088	-33.57990706965687	-33.601642660130466	-30.589966988839965	-34.126030965655715	-33.985341788227124	-35.859231627913594	-30.5649912267447
1000.0	4.5	0.5	nc	nc	-33.991257668922195	-33.743290005290284	-34.40972503283005	-33.188910071167406	-37.02022387314323	-33.8209859218636	-22.780683683718415	-33.92890289825302	-33.544420194807316	-35.45825560939466	-31.124267032167303	-30.554435972001848	-33.55994236248863	-33.548381903414615	-24.255974065386177	-32.37503267448443	-33.55769360585431	-33.56571888292595	-30.496384867872692	-33.84338412310844	-25.133624810315226	-31.530188499033855	-30.403904284524607	-34.206117788351804	-33.85514516596236	-33.627376313774946	-33.702395539899854	-33.188910071167406	-35.36140000099565	-33.98505220199703	-30.279870439095625	-33.188910071167406	-33.821380206549165		-33.52606150188938	-32.457069487093975	-33.64861270884147	-35.861212065689266	-33.494749175283026	-32.79870134481781	-34.5742451732745	-33.91455433958739	-26.730086953939633	-30.324964408815593	-34.24958737517278	-34.11390491441607	-33.57787054823996	-31.95308798294881	-33.6124988214198	-30.37925095249628	-33.62189897382054	-33.426242902374014	-33.59686791447145	-32.66228196909418	-30.881023194126676	-33.54950108848759	-32.10009196189299	-33.95981401384911	-33.91568907004325	-36.988197080472595	-33.372424222555296	-33.741164317814246	-33.86085771883359	-35.743307192497866	-35.456156503475434	-32.96060309908526	-30.144177055336453	-33.87966949558829	-34.930607187131784	-33.76839206779047	-33.61575171109535	-34.238231501566226	-32.35844075251128	-33.57314294259587	-33.75056593687333	-33.90944925615953	-31.13943205821679	-33.766185208013816	-32.39993522242206	-22.749961205971267	-34.658970371727804	-31.97130102027664	-33.868519101391364	-33.12976968408378	-34.6102809692856	-33.79610780179325	-33.91455433958739	-33.64311751025503	-33.53123249865297	-33.588454011405496	-33.53172788713698	-33.786893054310525	-33.891913458592946	-26.758098498506588	-35.355436002090485	-32.21924956951056	-32.228026418337166	-23.811912678519374	-34.38699555121899	-33.38825070625978	-33.091565072575186	-33.91455433958739	-33.64474572187493	-28.604338138822193	-32.9384601208691		-32.58241351421615	-32.28571547683062	-32.658703883107826	-33.4876817360601	-34.02096110875134	-30.344523748276142	-33.97191339474995	-34.248772077022856	-35.75554110474226	-30.667758031064466
1000.0	4.5	-0.5	nc	f100	-33.8135832918066	-33.79295927626199	-33.47882090556133	-33.16778283011783	-36.836956959600776	-33.06235936267111	-23.265681543181792	-33.17454781837021	-33.51399744960024	-36.025675821146834	-31.635441121026815	-31.417939141214433	-33.52514301385961	-33.48610627082544	-24.763373272623	-32.41936028532685	-33.49323120615283	-33.52716706066253	-30.98335649089097	-33.741174929411606	-25.527044817107726	-31.95446577997607	-30.902004807977246	-33.77231442436196	-33.09189405359056	-33.36169905916621	-33.852123704720384	-33.16778283011783	-35.35699615800744	-33.507310121707825	-31.195449299823274	-33.16778283011783	-33.067043030689604		-33.499412121616444	-32.4465329452496	-33.323307959640175	-36.09337296817651	-33.44212430385006	-32.66208198100332	-33.5483123825481	-33.157162432905004	-27.12308147499475	-30.821676272708572	-33.83680729093221	-33.65250050587897	-33.53765213561221	-31.993864718543747	-33.54890901837986	-30.877902771914524	-33.569910600441276	-33.40182668274246	-33.52913728405497	-32.42626643943409	-31.61822310025481	-33.52033693794013	-32.153042278987726	-33.91246117479676	-33.160110196392075		-32.9144699415315	-32.978754665378574	-33.09780529794513	-35.736252805677296	-36.040332013659665	-32.95515655429564	-30.635367170092714	-33.133855788954776	-35.01545109199762	-33.057597757198714	-33.715286226103345	-33.8086058561958	-32.40499651319831	-33.50609602784181	-33.01922766797021	-34.1110152122404	-31.281713756823244	-33.036580473254425	-32.435925497500506	-23.208068595117584	-33.60719627079325	-32.00947122757619	-33.95682621602906	-33.11666433528903	-33.65130964391852	-33.43099446954251	-33.157162432905004	-33.52587330224405	-33.50256578877975	-33.52132507823404	-33.50720116083511	-33.45546003516426	-33.14738207759185	-27.12948825359267	-35.35114950309998	-32.258174895510535	-32.384476980742704	-24.24732517590375	-34.42770962862766	-33.5668786903993	-32.82759356120319	-33.157162432905004	-33.58464328550032	-29.11152607485217	-32.910523872497485		-32.527024065212515	-32.75258267276238	-32.57012235948829	-33.451219979584636	-33.230037704941545	-30.93379096593917	-34.12796312923125	-33.83170856589939	-36.01355849381479	-30.89787693225948
1000.0	4.5	0.0	nc	f100	-33.75811272334086	-33.671042501232016	-34.11777997188374	-33.08786614511461	-36.924252644152354	-33.63950226656896	-23.009760017915767	-33.75965003008921	-33.636426820691405	-35.80156491385218	-31.351445158045912	-31.012589141103586	-33.65129983866694	-33.42024916595793	-24.7195151078731	-32.29217960814995	-33.42794892729815	-33.65480087140217	-30.76119825354278	-33.90912650128031	-25.510168201060846	-31.81497644816829	-30.69427764687486	-34.088344275851384	-33.677195997210426	-33.58820926504178	-33.92449053867823	-33.08786614511461	-35.32810674482329	-33.8106486511619	-30.824934217573208	-33.08786614511461	-33.6423726818895		-33.620843940574005	-32.330394687469	-33.56262846914958	-35.99675000298986	-33.37495163565049	-32.58935276034993	-34.281462521579016	-33.740742914072676	-27.109722462890694	-30.620093369549345	-34.14752073028432	-33.976255239845024	-33.66776571156461	-31.976234557392797	-33.48457785959771	-30.67200062160367	-33.708394070526495	-33.38668212521026	-33.46589560932835	-32.53933817224801	-31.25989111497536	-33.64267561342898	-32.202221334762896	-34.07252430459792	-33.74449205480951		-32.908623232386304	-33.544364667490626	-33.68357177342175	-35.75798000617705	-35.807322545958755	-32.87098569168087	-30.448085921644456	-33.71111913292887	-34.97536234382651	-33.51235337730437	-33.63490879050731	-34.12543318788879	-32.27482949029605	-33.441602807964884	-33.5876748327526	-34.19742302576764	-31.244068904915565	-33.603476342516124	-32.32318342225507	-22.94091658343932	-34.38324980327466	-31.99816385382936	-34.06628979731755	-33.2258983527639	-34.42223602445902	-33.689158366720406	-33.740742914072676	-33.46516081891633	-33.62397397017404	-33.45701984265735	-33.627462342489586	-33.703970691665496	-33.72499296474221	-27.127350306719826	-35.3221869625414	-32.1476421834552	-32.26014787325564	-24.25014930949086	-34.360387722337784	-33.617019403280246	-32.785875047823666	-33.740742914072676	-33.721974321474285	-28.79660331478143	-32.89114797414613		-32.425840913739464	-32.60585755122562	-32.478909904251864	-33.3822119852112	-33.7490357967731	-30.666440060832944	-34.23942043531976	-34.144962717598666	-35.90740984388552	-30.767803943171078
1000.0	4.5	0.5	nc	f100	-33.59620362102322	-33.47273864410515	-34.588072702858824	-32.917318258787915	-36.99855874986879	-33.96996365145484	-22.79808709268588	-34.069459897643306	-33.69409399077986	-35.46531327664585	-31.11211160055353	-30.702221585831012	-33.70904105979407	-33.25359374678851	-24.608083405272335	-32.11953371677619	-33.26145315050764	-33.71597163336365	-30.592465218914995	-33.9938277574951	-25.425301321309476	-31.68177749706333	-30.551473333948902	-34.33697620490187	-34.00141465249011	-33.78982577454238	-33.828024052325716	-32.917318258787915	-35.496358008348295	-34.15334665055167	-30.537084534436126	-32.917318258787915	-33.96944649331905		-33.67526785941344	-32.1602394777401	-33.820935761104415	-35.918412863716874	-33.208481390359005	-32.43079088035546	-34.722863735606886	-34.05738672461266	-27.03081553607879	-30.48138226121907	-34.373925263905505	-34.25322054434423	-33.72680878059934	-32.262584967856526	-33.318160519897184	-30.53064971947933	-33.76513384025199	-33.23600579691806	-33.300211462038106	-32.97014753207025	-30.965521415042772	-33.69910783249783	-32.33953313532467	-34.08843765168331	-34.05722908492761		-32.77097614824989	-33.89879726258057	-34.00672877371698	-35.82790290041324	-35.461537989463764	-32.6990910038164	-30.318924791987758	-34.0215853698462	-35.05056411236413	-33.98796739124335	-33.77919527520595	-34.36463285108644	-32.100225476625475	-33.275566144554546	-33.89080214055382	-34.028202783966265	-31.371402383507228	-33.90682793926314	-32.145586604885054	-22.725203944524146	-34.788397136836416	-32.2765366041495	-33.99284909041286	-33.28056125207671	-34.711746187986	-33.97616974213982	-34.05738672461266	-33.30343968684508	-33.68097281937291	-33.2909757085737	-33.68127098019252	-33.95747077661942	-34.03296720783019	-27.052929808441803	-35.49044732158476	-31.973611378366332	-32.06534123985826	-24.150014938261823	-34.54799568656814	-33.51621639938966	-32.64223967086841	-34.05738672461266	-33.79447036347164	-28.914676399816386	-32.808741547218		-32.261929940613506	-32.40129759741887	-32.318346495197325	-33.215165417844986	-34.22575546547767	-30.465472708723244	-34.087973801200405	-34.37261685844192	-35.80742750709303	-30.92895876932575
1000.0	5.0	-0.5	nc	nc	-33.85422848248121	-33.89377952146495	-33.129116428954205	-33.217196408381874	-36.838150028692596	-32.75868977621829	-23.247841491297876	-32.848041453272536	-33.425595018008714	-36.114372373660856	-31.790202800047155	-31.654350859326502	-33.432522123057225	-33.52393459174925	-23.98399832199999	-32.49360709408508	-33.53080320497552	-33.433184224757525	-30.950051116956843	-33.61718591821217	-24.87782748885258	-32.043104280679316	-30.768023909954184	-33.597998118495354	-32.77989634098783	-33.23624687213887	-33.75881313134888	-33.217196408381874	-35.42457531652629	-33.36296843061728	-31.457063096775464	-33.217196408381874	-32.759351571951846		-33.41089617499097	-32.51554301040457	-33.203042311736006	-36.15249555486623	-33.48095810839133	-32.6990816361028	-33.15542326842481	-32.83530242964808	-26.447775938110574	-30.667334325803974	-33.66234881561409	-33.47923908496165	-33.4410101083235	-32.02115322480138	-33.58593450978925	-30.73808636522068	-33.470675908555364	-33.382123948508514	-33.56487218213511	-32.350756444677785	-31.84500827628785	-33.43068430804476	-32.12059135232661	-33.780538418697404	-32.83557788381876	-37.04692875783258	-32.92082667476223	-32.69763235036054	-32.784436820074504	-35.71725232456471	-36.13201460438094	-33.00627302169098	-30.44011067369904	-32.81411307600831	-35.083060494129015	-32.795509479762984	-33.83704679257952	-33.63153227283112	-32.48205503960938	-33.543487543017	-32.70523848096995	-33.98136294814622	-31.34715035561763	-32.72385623595449	-32.49741472334001	-23.237042585400793	-33.18809556608714	-32.03193388699977	-33.83947705128341	-33.044655528281424	-33.213434169141735	-33.299314045808075	-32.83530242964808	-33.566753171809154	-33.414950669682554	-33.55846250529381	-33.418880068706635	-33.324036698715325	-32.82637182154576	-26.455704527093808	-35.41875926291113	-32.30772938214345	-32.45057262548101	-23.42613453499315	-34.53868679115534	-33.49847583223753	-32.84352300842206	-32.83530242964808	-33.483965269651094	-29.482726683667625	-32.923311127541915		-32.5849750124032	-32.80481644356141	-32.62090546322441	-33.49138694896163	-32.932128195718086	-30.96354239920796	-33.98576992525234	-33.655285498280556	-36.07892734031863	-31.057040912191386
1000.0	5.0	0.0	nc	nc	-34.04313215256355	-33.9597307098697	-33.755439320436516	-33.30528907114243	-36.908327058220266	-33.30891481991926	-23.16738544161855	-33.42981575565738	-33.49598537060121	-35.93507295048843	-31.3836818791644	-30.98829463770223	-33.51072806347622	-33.64977288816331	-23.84735032114915	-32.45396246054447	-33.65850607179854	-33.51365386313246	-30.605951472829517	-33.75644183156931	-24.787730861030305	-31.75531773826876	-30.42907138017036	-33.85229897946399	-33.3452200736255	-33.39092905226303	-33.827575359559944	-33.30528907114243	-35.27165862124621	-33.558577822586216	-30.834671755266566	-33.30528907114243	-33.314303527268564		-33.48163170321563	-32.510536704163016	-33.34832551544058	-36.02617599527012	-33.600034551228276	-32.8070569609769	-33.88827303973282	-33.411215862618825	-26.34852166260631	-30.33818204042566	-33.917695942238915	-33.732072624254506	-33.52658300519	-31.857631009424445	-33.71583083995321	-30.40145076691996	-33.563348776393106	-33.55823855811017	-33.69635645895637	-32.36967838696059	-31.279302255935374	-33.50296398551254	-32.0670022471712	-33.93523211373391	-33.414401273578896	-36.990960958627674	-33.236494475497786	-33.21329760022277	-33.35163059050907	-35.68594643553185	-35.948452294947174	-33.07889518736392	-30.13305762978749	-33.38331890101459	-34.926815816491086	-33.21185070412565	-33.59079641233037	-33.89124594198004	-32.43716524657326	-33.67338294765195	-33.26308658664282	-34.12136916268022	-31.13295491965296	-33.27932181729701	-32.489118219610866	-23.172281786416477	-33.97900657117987	-31.877312063420487	-33.959435878508806	-33.08875895013108	-34.03549580397032	-33.464019834459805	-33.411215862618825	-33.718782710588336	-33.48404173166816	-33.688840783320366	-33.488822414137395	-33.48869458550111	-33.397383737464075	-26.3682952785841	-35.26574171859786	-32.31920575604518	-32.39635617334874	-23.338969625561884	-34.31126582588177	-33.52335690681808	-33.02508820429596	-33.411215862618825	-33.57715569016052	-28.710550661509977	-32.98847652717827		-32.61671318084257	-32.620962557861425	-32.679308225059124	-33.603606362174496	-33.42704315038957	-30.52098073021487	-34.15278634915247	-33.91400755063701	-35.94430392995083	-30.68745102761448
1000.0	5.0	0.5	nc	nc	-34.064511475160096	-33.882340976403285	-34.19831155309459	-33.27732450832367	-36.977127888669386	-33.7000708299087	-22.449076270326962	-33.81890441429135	-33.5286340379881	-35.67722695255617	-31.128161012404995	-30.591113190676676	-33.544544591144444	-33.634591607096354	-23.89116409381615	-32.384650826849956	-33.64408456886823	-33.54829337054473	-30.400841418273682	-33.81491299558409	-24.810012127400583	-31.61114271712566	-30.233179554993363	-34.07121531676183	-33.738775602730115	-33.52482729748023	-33.78680141390548	-33.27732450832367	-35.25859086114343	-33.78455609757241	-30.44401440156909	-33.27732450832367	-33.70120399844032		-33.51259980171531	-32.472862439297074	-33.50674424338972	-35.916033785926544	-33.58132782682538	-32.82272458512488	-34.40317092540369	-33.80068362713061	-26.418377664725817	-30.14927243617783	-34.13038739419161	-33.96008537241292	-33.562030825356636	-31.796232786132318	-33.70011846054447	-30.20762702745122	-33.608225987452855	-33.53513413200407	-33.682801263470544	-32.41375122050287	-30.919807132656626	-33.53460767072984	-32.03578011023785	-33.975694843965115	-33.804035256878095	-36.97472902136671	-33.40107981175486	-33.606354922836445	-33.74502537067399	-35.70366720933237	-35.681157392515686	-33.0460816286163	-29.960025225325957	-33.768624801829304	-34.89018341641709	-33.52245887590552	-33.53126083115601	-34.10963874070124	-32.36921629331082	-33.65936050624939	-33.64274295801104	-34.05101846107796	-31.072572493527627	-33.65816101224202	-32.44509418233597	-22.418940795546245	-34.51896285797758	-31.819467739119006	-33.94252937862285	-33.11517032880117	-34.537236012705776	-33.6367968167073	-33.80068362713061	-33.72182238583519	-33.51582493764499	-33.6748494177652	-33.51853704847504	-33.64937779406462	-33.78224940087402	-26.44882688993206	-35.25261629465526	-32.27486573082045	-32.32225472442898	-23.441048015518852	-34.27178569092514	-33.473839884607486	-33.12408278726424	-33.80068362713061	-33.61996650144135	-28.52854034346865	-32.98077925979506		-32.59829649120076	-32.409606701772034	-32.67575214861703	-33.57839991205647	-33.78304760021707	-30.256031938230713	-34.10438131777076	-34.12839214539136	-35.824189096144266	-30.574909946953287
1000.0	5.0	-0.5	nc	f100	-33.81879234834997	-33.851570111465634	-33.1510852069257	-33.19745176481346	-36.76041823662131	-32.78154566423592	-23.227519520207164	-32.87069649424876	-33.44997999391831	-36.12155430293339	-31.746258109752127	-31.59953090740702	-33.45684547106757	-33.500512125313435	-24.048146279095917	-32.45426940293763	-33.507111460719045	-33.457456474097974	-30.94088085456763	-33.64147218856657	-24.92661048255207	-32.0680608937498	-30.779848098727083	-33.62234499071995	-32.802723309923564	-33.26009269020388	-33.783434536517184	-33.19745176481346	-35.43518521385192	-33.38745237407827	-31.48143822248448	-33.19745176481346	-32.78208885591406		-33.43521492454747	-32.47438314956983	-33.22668694639614	-36.160281188784	-33.458439138494754	-32.659941340088	-33.177239437776045	-32.85791144047272	-26.503588443684116	-30.682506615713795	-33.68684780011998	-33.50334203465839	-33.46529727578577	-32.04717327872535	-33.56164563910018	-30.751237347895714	-33.49480891530481	-33.37053420436693	-33.54094521764253	-32.375451688240354	-31.77881848299629	-33.455016593094356	-32.14652716788764	-33.8050147422084	-32.85825351617958		-32.86249024767398	-32.720602661962374	-32.80725695472526	-35.72790550718672	-36.1390916083283	-32.98884141777751	-30.462854433337622	-32.836829495691426	-35.09505447340046	-32.818553553139765	-33.85040268849439	-33.6558382753772	-32.4412484978839	-33.519349543755084	-32.727968599288964	-34.00584332743388	-31.37231018477948	-32.74659390098901	-32.47598453273363	-23.21068823121955	-33.20986849160303	-32.05797687574823	-33.86397362181264	-33.06899044352286	-33.2351290648907	-33.32323181724801	-32.85791144047272	-33.53805829310386	-33.4393158158713	-33.534204191062294	-33.44321937162054	-33.34793772979091	-32.84908295455372	-26.51026693959508	-35.42937389040326	-32.28291128248051	-32.44581446282693	-23.48766384233724	-34.55060804068869	-33.52317318250662	-32.79897144244261	-32.85791144047272	-33.508011058795205	-29.51387856296901	-32.91381192735985		-32.5445684156395	-32.8203933917876	-32.581050734806475	-33.46925461787673	-32.95470138374598	-30.940391087528013	-34.01042126210725	-33.67966733628214	-36.08657734770908	-31.08205902719429
