age,mass,luminosity,temperature,gravity,radius,metallicity,cloud
0.003,0.002,-4.698,998,3.389,0.1496,0,nc
0.003,0.003,-4.318,1221,3.534,0.1549,0,nc
0.003,0.004,-4.036,1409,3.627,0.1608,0,nc
0.003,0.005,-3.816,1571,3.692,0.1668,0,nc
0.003,0.006,-3.639,1709,3.741,0.1728,0,nc
0.003,0.007,-3.493,1828,3.779,0.1786,0,nc
0.003,0.008,-3.368,1932,3.808,0.1847,0,nc
0.003,0.009,-3.263,2021,3.833,0.1904,0,nc
0.003,0.01,-3.166,2104,3.852,0.1963,0,nc
0.003,0.011,-3.084,2174,3.868,0.2021,0,nc
0.003,0.012,-3.011,2236,3.881,0.2078,0,nc
0.003,0.013,-2.945,2291,3.892,0.2136,0,nc
0.003,0.014,-2.886,2339,3.901,0.2194,0,nc
0.003,0.015,-2.831,2383,3.908,0.2253,0,nc
0.003,0.016,-2.778,2423,3.912,0.2315,0,nc
0.004,0.002,-4.853,924,3.41,0.1459,0,nc
0.004,0.003,-4.474,1133,3.561,0.1502,0,nc
0.004,0.004,-4.192,1312,3.659,0.155,0,nc
0.004,0.005,-3.969,1470,3.729,0.1598,0,nc
0.004,0.006,-3.788,1607,3.783,0.1646,0,nc
0.004,0.007,-3.636,1728,3.825,0.1694,0,nc
0.004,0.008,-3.505,1837,3.858,0.1744,0,nc
0.004,0.009,-3.396,1930,3.885,0.1792,0,nc
0.004,0.01,-3.298,2015,3.907,0.1841,0,nc
0.004,0.011,-3.208,2094,3.926,0.189,0,nc
0.004,0.012,-3.13,2162,3.941,0.194,0,nc
0.004,0.013,-3.058,2223,3.953,0.1992,0,nc
0.004,0.014,-2.99,2280,3.961,0.2048,0,nc
0.004,0.015,-2.924,2332,3.964,0.2113,0,nc
0.004,0.016,-2.859,2381,3.963,0.2184,0,nc
0.004,0.017,-2.792,2429,3.957,0.2268,0,nc
0.006,0.002,-5.066,830,3.436,0.1417,0,nc
0.006,0.003,-4.689,1020,3.593,0.1448,0,nc
0.006,0.004,-4.409,1184,3.696,0.1484,0,nc
0.006,0.005,-4.185,1331,3.773,0.152,0,nc
0.006,0.006,-3.997,1465,3.832,0.1555,0,nc
0.006,0.007,-3.842,1585,3.88,0.159,0,nc
0.006,0.008,-3.705,1696,3.918,0.1627,0,nc
0.006,0.009,-3.588,1794,3.95,0.1663,0,nc
0.006,0.01,-3.483,1884,3.976,0.17,0,nc
0.006,0.011,-3.391,1964,3.998,0.1739,0,nc
0.006,0.012,-3.307,2040,4.017,0.1778,0,nc
0.006,0.013,-3.216,2119,4.027,0.1828,0,nc
0.006,0.014,-3.125,2194,4.029,0.1893,0,nc
0.006,0.015,-3.029,2270,4.022,0.1976,0,nc
0.006,0.016,-2.93,2342,4.005,0.2081,0,nc
0.006,0.017,-2.841,2403,3.988,0.2188,0,nc
0.008,0.002,-5.226,765,3.453,0.1389,0,nc
0.008,0.003,-4.85,940,3.613,0.1415,0,nc
0.008,0.004,-4.571,1093,3.721,0.1443,0,nc
0.008,0.005,-4.347,1232,3.801,0.1471,0,nc
0.008,0.006,-4.162,1358,3.864,0.1499,0,nc
0.008,0.007,-4,1478,3.916,0.1526,0,nc
0.008,0.008,-3.86,1586,3.958,0.1553,0,nc
0.008,0.009,-3.738,1687,3.994,0.1582,0,nc
0.008,0.01,-3.629,1779,4.023,0.1612,0,nc
0.008,0.011,-3.529,1866,4.047,0.1644,0,nc
0.008,0.012,-3.432,1950,4.064,0.1684,0,nc
0.008,0.013,-3.322,2043,4.07,0.174,0,nc
0.008,0.014,-3.2,2144,4.064,0.1819,0,nc
0.008,0.015,-3.074,2241,4.045,0.1924,0,nc
0.008,0.016,-2.957,2326,4.021,0.2043,0,nc
0.008,0.017,-2.859,2394,3.999,0.2161,0,nc
0.008,0.018,-2.773,2451,3.979,0.2276,0,nc
0.01,0.002,-5.348,718,3.465,0.137,0,nc
0.01,0.003,-4.975,883,3.628,0.1392,0,nc
0.01,0.004,-4.697,1027,3.738,0.1416,0,nc
0.01,0.005,-4.472,1159,3.821,0.1439,0,nc
0.01,0.006,-4.284,1282,3.886,0.1461,0,nc
0.01,0.007,-4.127,1393,3.94,0.1483,0,nc
0.01,0.008,-3.981,1504,3.985,0.1505,0,nc
0.01,0.009,-3.859,1601,4.024,0.1528,0,nc
0.01,0.01,-3.744,1697,4.055,0.1553,0,nc
0.01,0.011,-3.638,1787,4.081,0.1582,0,nc
0.01,0.012,-3.526,1882,4.097,0.1621,0,nc
0.01,0.013,-3.398,1988,4.099,0.1684,0,nc
0.01,0.014,-3.244,2114,4.083,0.1779,0,nc
0.01,0.015,-3.099,2225,4.057,0.1898,0,nc
0.01,0.016,-2.975,2316,4.031,0.202,0,nc
0.01,0.017,-2.877,2384,4.01,0.2134,0,nc
0.01,0.018,-2.793,2441,3.991,0.2243,0,nc
0.015,0.002,-5.561,642,3.484,0.134,0,nc
0.015,0.003,-5.196,787,3.65,0.1357,0,nc
0.015,0.004,-4.914,920,3.764,0.1374,0,nc
0.015,0.005,-4.692,1039,3.85,0.139,0,nc
0.015,0.006,-4.504,1151,3.92,0.1405,0,nc
0.015,0.007,-4.343,1257,3.978,0.142,0,nc
0.015,0.008,-4.203,1356,4.028,0.1434,0,nc
0.015,0.009,-4.073,1453,4.07,0.1449,0,nc
0.015,0.01,-3.954,1547,4.105,0.1466,0,nc
0.015,0.011,-3.833,1645,4.132,0.149,0,nc
0.015,0.012,-3.684,1766,4.144,0.1536,0,nc
0.015,0.013,-3.493,1920,4.132,0.162,0,nc
0.015,0.014,-3.295,2077,4.104,0.1737,0,nc
0.015,0.015,-3.136,2200,4.075,0.1859,0,nc
0.015,0.016,-3.018,2290,4.054,0.1967,0,nc
0.015,0.017,-2.93,2355,4.041,0.2058,0,nc
0.015,0.018,-2.861,2405,4.033,0.2137,0,nc
0.02,0.002,-5.718,591,3.497,0.1321,0,nc
0.02,0.003,-5.362,721,3.664,0.1334,0,nc
0.02,0.004,-5.079,845,3.781,0.1347,0,nc
0.02,0.005,-4.855,957,3.87,0.1359,0,nc
0.02,0.006,-4.67,1060,3.943,0.137,0,nc
0.02,0.007,-4.508,1160,4.003,0.1379,0,nc
0.02,0.008,-4.365,1255,4.055,0.1389,0,nc
0.02,0.009,-4.238,1345,4.1,0.14,0,nc
0.02,0.01,-4.115,1437,4.138,0.1412,0,nc
0.02,0.011,-3.98,1542,4.166,0.1434,0,nc
0.02,0.012,-3.793,1687,4.173,0.1485,0,nc
0.02,0.013,-3.547,1880,4.151,0.1587,0,nc
0.02,0.014,-3.33,2051,4.118,0.171,0,nc
0.02,0.015,-3.177,2173,4.094,0.1818,0,nc
0.02,0.016,-3.075,2254,4.084,0.1901,0,nc
0.02,0.017,-3.011,2307,4.086,0.1953,0,nc
0.02,0.018,-2.983,2336,4.105,0.1968,0,nc
0.02,0.019,-3.001,2336,4.147,0.1926,0,nc
0.02,0.02,-3.035,2326,4.195,0.1869,0,nc
0.02,0.022,-3.047,2337,4.258,0.1825,0,nc
0.02,0.024,-3.02,2374,4.295,0.1825,0,nc
0.02,0.026,-2.989,2413,4.326,0.1832,0,nc
0.03,0.002,-5.928,528,3.513,0.1297,0,nc
0.03,0.003,-5.58,643,3.682,0.1307,0,nc
0.03,0.004,-5.312,747,3.801,0.1316,0,nc
0.03,0.005,-5.083,851,3.894,0.1322,0,nc
0.03,0.006,-4.896,946,3.97,0.1328,0,nc
0.03,0.007,-4.737,1034,4.033,0.1333,0,nc
0.03,0.008,-4.593,1122,4.088,0.1338,0,nc
0.03,0.009,-4.463,1206,4.136,0.1343,0,nc
0.03,0.01,-4.337,1293,4.176,0.1351,0,nc
0.03,0.011,-4.186,1401,4.205,0.137,0,nc
0.03,0.012,-3.935,1585,4.207,0.1429,0,nc
0.03,0.013,-3.616,1829,4.172,0.1548,0,nc
0.03,0.014,-3.405,1996,4.145,0.1657,0,nc
0.03,0.015,-3.293,2092,4.144,0.1717,0,nc
0.03,0.016,-3.27,2121,4.173,0.1715,0,nc
0.03,0.017,-3.334,2086,4.235,0.1646,0,nc
0.03,0.018,-3.365,2075,4.281,0.1607,0,nc
0.03,0.019,-3.369,2083,4.315,0.1587,0,nc
0.03,0.02,-3.36,2100,4.343,0.1577,0,nc
0.03,0.022,-3.318,2150,4.383,0.1579,0,nc
0.03,0.024,-3.27,2205,4.416,0.1587,0,nc
0.03,0.026,-3.214,2263,4.441,0.1606,0,nc
0.03,0.028,-3.162,2318,4.462,0.1626,0,nc
0.03,0.03,-3.109,2371,4.479,0.1651,0,nc
0.03,0.033,-3.042,2442,4.505,0.1681,0,nc
0.04,0.002,-6.077,488,3.524,0.1281,0,nc
0.04,0.003,-5.733,593,3.693,0.129,0,nc
0.04,0.004,-5.473,686,3.814,0.1296,0,nc
0.04,0.005,-5.252,779,3.909,0.1299,0,nc
0.04,0.006,-5.059,869,3.987,0.1302,0,nc
0.04,0.007,-4.898,953,4.052,0.1304,0,nc
0.04,0.008,-4.757,1033,4.109,0.1306,0,nc
0.04,0.009,-4.627,1112,4.158,0.1309,0,nc
0.04,0.01,-4.494,1198,4.2,0.1315,0,nc
0.04,0.011,-4.331,1307,4.23,0.1332,0,nc
0.04,0.012,-4.024,1522,4.226,0.1398,0,nc
0.04,0.013,-3.674,1786,4.189,0.1518,0,nc
0.04,0.014,-3.498,1929,4.178,0.1595,0,nc
0.04,0.015,-3.476,1957,4.212,0.1588,0,nc
0.04,0.016,-3.566,1903,4.28,0.1516,0,nc
0.04,0.017,-3.61,1881,4.33,0.1475,0,nc
0.04,0.018,-3.601,1898,4.362,0.1464,0,nc
0.04,0.019,-3.582,1923,4.389,0.1457,0,nc
0.04,0.02,-3.558,1952,4.413,0.1455,0,nc
0.04,0.022,-3.493,2020,4.449,0.1463,0,nc
0.04,0.024,-3.432,2086,4.482,0.1471,0,nc
0.04,0.026,-3.366,2153,4.506,0.149,0,nc
0.04,0.028,-3.306,2216,4.528,0.1507,0,nc
0.04,0.03,-3.244,2278,4.544,0.1532,0,nc
0.04,0.033,-3.17,2357,4.571,0.1558,0,nc
0.04,0.035,-3.124,2406,4.586,0.1577,0,nc
0.06,0.002,-6.273,439,3.537,0.1261,0,nc
0.06,0.003,-5.939,531,3.708,0.1269,0,nc
0.06,0.004,-5.68,615,3.83,0.1273,0,nc
0.06,0.005,-5.473,693,3.927,0.1273,0,nc
0.06,0.006,-5.288,771,4.007,0.1272,0,nc
0.06,0.007,-5.123,848,4.075,0.1271,0,nc
0.06,0.008,-4.979,922,4.133,0.1269,0,nc
0.06,0.009,-4.85,993,4.185,0.1269,0,nc
0.06,0.01,-4.724,1067,4.23,0.127,0,nc
0.06,0.011,-4.536,1182,4.261,0.1286,0,nc
0.06,0.012,-4.157,1431,4.251,0.1358,0,nc
0.06,0.013,-3.801,1693,4.223,0.146,0,nc
0.06,0.014,-3.755,1739,4.255,0.146,0,nc
0.06,0.015,-3.9,1643,4.332,0.1383,0,nc
0.06,0.016,-3.942,1622,4.38,0.1352,0,nc
0.06,0.017,-3.933,1639,4.414,0.1339,0,nc
0.06,0.018,-3.898,1674,4.441,0.1336,0,nc
0.06,0.019,-3.866,1708,4.467,0.1332,0,nc
0.06,0.02,-3.82,1752,4.488,0.1335,0,nc
0.06,0.022,-3.744,1829,4.528,0.1337,0,nc
0.06,0.024,-3.656,1915,4.557,0.135,0,nc
0.06,0.026,-3.584,1989,4.586,0.1358,0,nc
0.06,0.028,-3.511,2063,4.609,0.1374,0,nc
0.06,0.03,-3.446,2130,4.63,0.1389,0,nc
0.06,0.033,-3.358,2223,4.657,0.141,0,nc
0.06,0.035,-3.301,2282,4.671,0.143,0,nc
0.06,0.038,-3.23,2357,4.692,0.1454,0,nc
0.06,0.04,-3.187,2403,4.705,0.147,0,nc
0.08,0.002,-6.415,407,3.547,0.1247,0,nc
0.08,0.003,-6.092,489,3.718,0.1254,0,nc
0.08,0.004,-5.835,566,3.841,0.1256,0,nc
0.08,0.005,-5.629,638,3.939,0.1255,0,nc
0.08,0.006,-5.456,705,4.02,0.1252,0,nc
0.08,0.007,-5.295,775,4.09,0.1249,0,nc
0.08,0.008,-5.149,844,4.15,0.1246,0,nc
0.08,0.009,-5.018,911,4.203,0.1243,0,nc
0.08,0.01,-4.886,983,4.248,0.1243,0,nc
0.08,0.011,-4.688,1095,4.28,0.1257,0,nc
0.08,0.012,-4.254,1366,4.268,0.1331,0,nc
0.08,0.013,-3.947,1588,4.257,0.1404,0,nc
0.08,0.014,-4.046,1528,4.322,0.1352,0,nc
0.08,0.015,-4.172,1450,4.387,0.1299,0,nc
0.08,0.016,-4.175,1457,4.426,0.1282,0,nc
0.08,0.017,-4.153,1482,4.459,0.1271,0,nc
0.08,0.018,-4.101,1527,4.484,0.1272,0,nc
0.08,0.019,-4.056,1568,4.509,0.127,0,nc
0.08,0.02,-4.009,1611,4.531,0.127,0,nc
0.08,0.022,-3.916,1697,4.57,0.1273,0,nc
0.08,0.024,-3.827,1783,4.604,0.1279,0,nc
0.08,0.026,-3.744,1864,4.634,0.1287,0,nc
0.08,0.028,-3.662,1944,4.657,0.1299,0,nc
0.08,0.03,-3.591,2017,4.68,0.131,0,nc
0.08,0.033,-3.498,2116,4.711,0.1327,0,nc
0.08,0.035,-3.439,2178,4.729,0.1338,0,nc
0.08,0.038,-3.361,2262,4.752,0.1358,0,nc
0.08,0.04,-3.314,2312,4.765,0.1372,0,nc
0.08,0.043,-3.247,2382,4.781,0.1397,0,nc
0.08,0.045,-3.208,2423,4.792,0.141,0,nc
0.1,0.002,-6.522,384,3.554,0.1237,0,nc
0.1,0.003,-6.207,459,3.725,0.1244,0,nc
0.1,0.004,-5.954,531,3.849,0.1245,0,nc
0.1,0.005,-5.747,599,3.948,0.1243,0,nc
0.1,0.006,-5.577,661,4.03,0.1239,0,nc
0.1,0.007,-5.425,723,4.1,0.1234,0,nc
0.1,0.008,-5.281,787,4.161,0.123,0,nc
0.1,0.009,-5.148,851,4.215,0.1226,0,nc
0.1,0.01,-5.012,921,4.261,0.1225,0,nc
0.1,0.011,-4.808,1030,4.294,0.1237,0,nc
0.1,0.012,-4.338,1312,4.282,0.131,0,nc
0.1,0.013,-4.101,1480,4.288,0.1354,0,nc
0.1,0.014,-4.283,1367,4.365,0.1287,0,nc
0.1,0.015,-4.371,1318,4.42,0.125,0,nc
0.1,0.016,-4.356,1336,4.457,0.1237,0,nc
0.1,0.017,-4.315,1371,4.487,0.1231,0,nc
0.1,0.018,-4.265,1414,4.514,0.1229,0,nc
0.1,0.019,-4.213,1457,4.539,0.1227,0,nc
0.1,0.02,-4.162,1501,4.561,0.1227,0,nc
0.1,0.022,-4.061,1589,4.602,0.1228,0,nc
0.1,0.024,-3.965,1677,4.636,0.1232,0,nc
0.1,0.026,-3.876,1762,4.667,0.1238,0,nc
0.1,0.028,-3.793,1842,4.694,0.1245,0,nc
0.1,0.03,-3.717,1918,4.718,0.1254,0,nc
0.1,0.033,-3.615,2023,4.75,0.1268,0,nc
0.1,0.035,-3.553,2088,4.769,0.1278,0,nc
0.1,0.038,-3.468,2178,4.793,0.1294,0,nc
0.1,0.04,-3.417,2233,4.808,0.1306,0,nc
0.1,0.043,-3.349,2307,4.827,0.1324,0,nc
0.1,0.045,-3.308,2351,4.839,0.1336,0,nc
0.1,0.048,-3.252,2411,4.855,0.1355,0,nc
0.15,0.002,-6.707,348,3.566,0.1219,0,nc
0.15,0.003,-6.399,414,3.738,0.1226,0,nc
0.15,0.004,-6.158,476,3.862,0.1226,0,nc
0.15,0.005,-5.955,535,3.962,0.1223,0,nc
0.15,0.006,-5.783,592,4.045,0.1217,0,nc
0.15,0.007,-5.636,646,4.116,0.1211,0,nc
0.15,0.008,-5.504,699,4.179,0.1205,0,nc
0.15,0.009,-5.376,755,4.234,0.1199,0,nc
0.15,0.01,-5.244,815,4.282,0.1195,0,nc
0.15,0.011,-5.033,917,4.318,0.1204,0,nc
0.15,0.012,-4.519,1201,4.309,0.127,0,nc
0.15,0.013,-4.454,1249,4.347,0.1266,0,nc
0.15,0.014,-4.651,1140,4.417,0.1211,0,nc
0.15,0.015,-4.665,1139,4.46,0.1194,0,nc
0.15,0.016,-4.633,1165,4.495,0.1184,0,nc
0.15,0.017,-4.581,1203,4.525,0.1179,0,nc
0.15,0.018,-4.531,1240,4.553,0.1174,0,nc
0.15,0.019,-4.464,1290,4.577,0.1174,0,nc
0.15,0.02,-4.413,1330,4.602,0.1171,0,nc
0.15,0.022,-4.301,1419,4.644,0.117,0,nc
0.15,0.024,-4.203,1502,4.682,0.1169,0,nc
0.15,0.026,-4.106,1587,4.716,0.1171,0,nc
0.15,0.028,-4.017,1667,4.745,0.1174,0,nc
0.15,0.03,-3.936,1744,4.772,0.1178,0,nc
0.15,0.033,-3.827,1852,4.809,0.1185,0,nc
0.15,0.035,-3.762,1919,4.831,0.119,0,nc
0.15,0.038,-3.67,2014,4.859,0.12,0,nc
0.15,0.04,-3.614,2073,4.876,0.1208,0,nc
0.15,0.043,-3.534,2158,4.897,0.1222,0,nc
0.15,0.045,-3.488,2208,4.91,0.1231,0,nc
0.15,0.048,-3.425,2277,4.929,0.1245,0,nc
0.15,0.05,-3.385,2320,4.939,0.1255,0,nc
0.15,0.053,-3.332,2379,4.954,0.127,0,nc
0.15,0.055,-3.298,2415,4.964,0.128,0,nc
0.2,0.002,-6.845,323,3.575,0.1207,0,nc
0.2,0.003,-6.539,384,3.746,0.1214,0,nc
0.2,0.004,-6.306,439,3.872,0.1213,0,nc
0.2,0.005,-6.11,493,3.972,0.1209,0,nc
0.2,0.006,-5.939,545,4.055,0.1203,0,nc
0.2,0.007,-5.791,595,4.127,0.1196,0,nc
0.2,0.008,-5.662,643,4.19,0.1189,0,nc
0.2,0.009,-5.542,691,4.246,0.1182,0,nc
0.2,0.01,-5.41,747,4.296,0.1177,0,nc
0.2,0.011,-5.198,842,4.333,0.1183,0,nc
0.2,0.012,-4.679,1109,4.33,0.124,0,nc
0.2,0.013,-4.721,1093,4.382,0.1216,0,nc
0.2,0.014,-4.877,1016,4.443,0.1176,0,nc
0.2,0.015,-4.87,1026,4.483,0.1162,0,nc
0.2,0.016,-4.83,1054,4.518,0.1153,0,nc
0.2,0.017,-4.773,1091,4.548,0.1148,0,nc
0.2,0.018,-4.71,1133,4.576,0.1145,0,nc
0.2,0.019,-4.645,1178,4.601,0.1142,0,nc
0.2,0.02,-4.587,1219,4.625,0.1139,0,nc
0.2,0.022,-4.478,1301,4.67,0.1135,0,nc
