age,mass,luminosity,temperature,gravity,radius,metallicity,cloud
0.08,0.012,-4.325,1333,4.297,0.1288,-0.3,nc
0.08,0.013,-3.99,1577,4.288,0.1354,-0.3,nc
0.08,0.014,-4.142,1477,4.359,0.1295,-0.3,nc
0.08,0.015,-4.242,1416,4.416,0.1256,-0.3,nc
0.08,0.016,-4.242,1425,4.454,0.1241,-0.3,nc
0.08,0.017,-4.202,1462,4.485,0.1235,-0.3,nc
0.08,0.018,-4.156,1503,4.512,0.1231,-0.3,nc
0.08,0.019,-4.114,1542,4.538,0.1227,-0.3,nc
0.08,0.02,-4.057,1593,4.56,0.1228,-0.3,nc
0.08,0.022,-3.955,1688,4.6,0.123,-0.3,nc
0.08,0.024,-3.86,1780,4.635,0.1234,-0.3,nc
0.08,0.026,-3.769,1872,4.665,0.124,-0.3,nc
0.08,0.028,-3.688,1957,4.694,0.1246,-0.3,nc
0.08,0.03,-3.61,2038,4.716,0.1257,-0.3,nc
0.08,0.033,-3.515,2141,4.749,0.1269,-0.3,nc
0.08,0.035,-3.453,2208,4.766,0.1281,-0.3,nc
0.08,0.038,-3.369,2300,4.788,0.1302,-0.3,nc
0.08,0.04,-3.326,2351,4.806,0.1309,-0.3,nc
0.08,0.043,-3.257,2427,4.824,0.1329,-0.3,nc
0.1,0.002,-6.51,389,3.563,0.1224,-0.3,nc
0.1,0.003,-6.222,458,3.734,0.1232,-0.3,nc
0.1,0.004,-6.011,517,3.859,0.1231,-0.3,nc
0.1,0.005,-5.78,591,3.959,0.1227,-0.3,nc
0.1,0.006,-5.597,658,4.042,0.1222,-0.3,nc
0.1,0.007,-5.449,718,4.112,0.1217,-0.3,nc
0.1,0.008,-5.311,779,4.174,0.1211,-0.3,nc
0.1,0.009,-5.183,841,4.229,0.1206,-0.3,nc
0.1,0.01,-5.053,907,4.277,0.1204,-0.3,nc
0.1,0.011,-4.866,1008,4.313,0.121,-0.3,nc
0.1,0.012,-4.424,1270,4.311,0.1267,-0.3,nc
0.1,0.013,-4.155,1458,4.317,0.131,-0.3,nc
0.1,0.014,-4.365,1325,4.393,0.1245,-0.3,nc
0.1,0.015,-4.437,1287,4.444,0.1216,-0.3,nc
0.1,0.016,-4.413,1310,4.48,0.1205,-0.3,nc
0.1,0.017,-4.369,1348,4.51,0.1199,-0.3,nc
0.1,0.018,-4.315,1392,4.537,0.1196,-0.3,nc
0.1,0.019,-4.262,1436,4.563,0.1194,-0.3,nc
0.1,0.02,-4.209,1481,4.586,0.1192,-0.3,nc
0.1,0.022,-4.104,1575,4.628,0.1192,-0.3,nc
0.1,0.024,-4.004,1667,4.665,0.1193,-0.3,nc
0.1,0.026,-3.91,1757,4.697,0.1196,-0.3,nc
0.1,0.028,-3.823,1844,4.726,0.1201,-0.3,nc
0.1,0.03,-3.741,1928,4.751,0.1207,-0.3,nc
0.1,0.033,-3.631,2044,4.785,0.1218,-0.3,nc
0.1,0.035,-3.568,2112,4.804,0.1227,-0.3,nc
0.1,0.038,-3.481,2209,4.83,0.1241,-0.3,nc
0.1,0.04,-3.43,2266,4.845,0.125,-0.3,nc
0.1,0.043,-3.36,2345,4.866,0.1266,-0.3,nc
0.1,0.045,-3.317,2393,4.879,0.1276,-0.3,nc
0.1,0.048,-3.259,2461,4.897,0.1291,-0.3,nc
0.15,0.002,-6.691,353,3.576,0.1206,-0.3,nc
0.15,0.003,-6.393,418,3.746,0.1214,-0.3,nc
0.15,0.004,-6.185,471,3.871,0.1214,-0.3,nc
0.15,0.005,-6.006,523,3.972,0.1209,-0.3,nc
0.15,0.006,-5.815,585,4.056,0.1202,-0.3,nc
0.15,0.007,-5.658,642,4.128,0.1195,-0.3,nc
0.15,0.008,-5.527,695,4.191,0.1189,-0.3,nc
0.15,0.009,-5.404,748,4.246,0.1182,-0.3,nc
0.15,0.01,-5.277,806,4.296,0.1178,-0.3,nc
0.15,0.011,-5.098,893,4.335,0.1181,-0.3,nc
0.15,0.012,-4.628,1146,4.337,0.123,-0.3,nc
0.15,0.013,-4.505,1228,4.368,0.1235,-0.3,nc
0.15,0.014,-4.709,1114,4.437,0.1184,-0.3,nc
0.15,0.015,-4.724,1113,4.479,0.1167,-0.3,nc
0.15,0.016,-4.675,1148,4.512,0.1161,-0.3,nc
0.15,0.017,-4.627,1183,4.543,0.1154,-0.3,nc
0.15,0.018,-4.568,1227,4.571,0.1151,-0.3,nc
0.15,0.019,-4.51,1270,4.597,0.1148,-0.3,nc
0.15,0.02,-4.45,1316,4.621,0.1146,-0.3,nc
0.15,0.022,-4.342,1402,4.665,0.1142,-0.3,nc
0.15,0.024,-4.24,1489,4.704,0.1139,-0.3,nc
0.15,0.026,-4.146,1572,4.74,0.1139,-0.3,nc
0.15,0.028,-4.058,1654,4.772,0.1138,-0.3,nc
0.15,0.03,-3.969,1739,4.8,0.1141,-0.3,nc
0.15,0.033,-3.856,1853,4.839,0.1144,-0.3,nc
0.15,0.035,-3.781,1930,4.861,0.115,-0.3,nc
0.15,0.038,-3.69,2030,4.892,0.1155,-0.3,nc
0.15,0.04,-3.628,2096,4.909,0.1163,-0.3,nc
0.15,0.043,-3.546,2187,4.931,0.1174,-0.3,nc
0.15,0.045,-3.5,2240,4.947,0.118,-0.3,nc
0.15,0.048,-3.432,2316,4.966,0.1193,-0.3,nc
0.15,0.05,-3.393,2362,4.978,0.12,-0.3,nc
0.15,0.053,-3.34,2426,4.996,0.121,-0.3,nc
0.2,0.002,-6.828,328,3.585,0.1193,-0.3,nc
0.2,0.003,-6.526,389,3.755,0.1202,-0.3,nc
0.2,0.004,-6.311,440,3.88,0.1202,-0.3,nc
0.2,0.005,-6.147,485,3.981,0.1197,-0.3,nc
0.2,0.006,-5.987,533,4.065,0.1189,-0.3,nc
0.2,0.007,-5.821,589,4.138,0.1181,-0.3,nc
0.2,0.008,-5.683,639,4.202,0.1174,-0.3,nc
0.2,0.009,-5.565,686,4.258,0.1167,-0.3,nc
0.2,0.01,-5.443,738,4.308,0.1161,-0.3,nc
0.2,0.011,-5.262,818,4.348,0.1162,-0.3,nc
0.2,0.012,-4.796,1052,4.356,0.1203,-0.3,nc
0.2,0.013,-4.762,1078,4.399,0.1192,-0.3,nc
0.2,0.014,-4.924,997,4.459,0.1155,-0.3,nc
0.2,0.015,-4.913,1009,4.499,0.1142,-0.3,nc
0.2,0.016,-4.866,1041,4.532,0.1134,-0.3,nc
0.2,0.017,-4.803,1082,4.563,0.1129,-0.3,nc
0.2,0.018,-4.752,1116,4.592,0.1123,-0.3,nc
0.2,0.019,-4.69,1159,4.618,0.112,-0.3,nc
0.2,0.02,-4.628,1203,4.643,0.1117,-0.3,nc
0.2,0.022,-4.518,1285,4.688,0.1111,-0.3,nc
0.2,0.024,-4.414,1367,4.73,0.1107,-0.3,nc
0.2,0.026,-4.318,1446,4.766,0.1104,-0.3,nc
0.2,0.028,-4.236,1518,4.802,0.11,-0.3,nc
0.2,0.03,-4.143,1602,4.831,0.1101,-0.3,nc
0.2,0.033,-4.029,1711,4.873,0.11,-0.3,nc
0.2,0.035,-3.952,1787,4.897,0.1102,-0.3,nc
0.2,0.038,-3.85,1892,4.93,0.1106,-0.3,nc
0.2,0.04,-3.788,1958,4.95,0.1108,-0.3,nc
0.2,0.043,-3.697,2055,4.975,0.1117,-0.3,nc
0.2,0.045,-3.648,2111,4.993,0.112,-0.3,nc
0.2,0.048,-3.571,2197,5.012,0.113,-0.3,nc
0.2,0.05,-3.528,2247,5.026,0.1136,-0.3,nc
0.2,0.053,-3.471,2315,5.046,0.1143,-0.3,nc
0.2,0.055,-3.434,2358,5.057,0.1149,-0.3,nc
0.2,0.058,-3.382,2419,5.073,0.1159,-0.3,nc
0.3,0.002,-7.019,296,3.597,0.1177,-0.3,nc
0.3,0.003,-6.712,352,3.767,0.1185,-0.3,nc
0.3,0.004,-6.493,399,3.892,0.1185,-0.3,nc
0.3,0.005,-6.323,441,3.993,0.118,-0.3,nc
0.3,0.006,-6.184,479,4.077,0.1173,-0.3,nc
0.3,0.007,-6.048,520,4.151,0.1164,-0.3,nc
0.3,0.008,-5.909,566,4.215,0.1155,-0.3,nc
0.3,0.009,-5.783,611,4.273,0.1147,-0.3,nc
0.3,0.01,-5.665,655,4.324,0.114,-0.3,nc
0.3,0.011,-5.498,722,4.366,0.1139,-0.3,nc
0.3,0.012,-5.068,913,4.382,0.1168,-0.3,nc
0.3,0.013,-5.107,901,4.432,0.1148,-0.3,nc
0.3,0.014,-5.22,854,4.485,0.1121,-0.3,nc
0.3,0.015,-5.182,877,4.522,0.1111,-0.3,nc
0.3,0.016,-5.126,909,4.556,0.1104,-0.3,nc
0.3,0.017,-5.06,946,4.587,0.1098,-0.3,nc
0.3,0.018,-5.001,981,4.616,0.1092,-0.3,nc
0.3,0.019,-4.94,1018,4.643,0.1087,-0.3,nc
0.3,0.02,-4.881,1056,4.669,0.1083,-0.3,nc
0.3,0.022,-4.769,1130,4.717,0.1075,-0.3,nc
0.3,0.024,-4.664,1205,4.76,0.1069,-0.3,nc
0.3,0.026,-4.566,1278,4.799,0.1063,-0.3,nc
0.3,0.028,-4.477,1348,4.836,0.1058,-0.3,nc
0.3,0.03,-4.389,1420,4.868,0.1055,-0.3,nc
0.3,0.033,-4.273,1521,4.913,0.1051,-0.3,nc
0.3,0.035,-4.197,1590,4.94,0.1049,-0.3,nc
0.3,0.038,-4.092,1691,4.977,0.1048,-0.3,nc
0.3,0.04,-4.025,1757,4.999,0.1048,-0.3,nc
0.3,0.043,-3.93,1854,5.029,0.105,-0.3,nc
0.3,0.045,-3.873,1914,5.047,0.1051,-0.3,nc
0.3,0.048,-3.791,2002,5.072,0.1056,-0.3,nc
0.3,0.05,-3.742,2058,5.087,0.1058,-0.3,nc
0.3,0.053,-3.672,2137,5.108,0.1063,-0.3,nc
0.3,0.055,-3.628,2187,5.121,0.1067,-0.3,nc
0.3,0.058,-3.568,2257,5.139,0.1074,-0.3,nc
0.3,0.06,-3.531,2301,5.15,0.1079,-0.3,nc
0.3,0.063,-3.479,2363,5.165,0.1087,-0.3,nc
0.3,0.064,-3.462,2383,5.169,0.109,-0.3,nc
0.3,0.065,-3.444,2403,5.173,0.1093,-0.3,nc
0.4,0.002,-7.159,274,3.606,0.1165,-0.3,nc
0.4,0.003,-6.849,327,3.776,0.1174,-0.3,nc
0.4,0.004,-6.627,371,3.9,0.1174,-0.3,nc
0.4,0.005,-6.455,411,4.001,0.1169,-0.3,nc
0.4,0.006,-6.313,447,4.086,0.1161,-0.3,nc
0.4,0.007,-6.19,482,4.159,0.1153,-0.3,nc
0.4,0.008,-6.068,519,4.224,0.1143,-0.3,nc
0.4,0.009,-5.944,559,4.282,0.1134,-0.3,nc
0.4,0.01,-5.823,602,4.334,0.1127,-0.3,nc
0.4,0.011,-5.66,662,4.377,0.1124,-0.3,nc
0.4,0.012,-5.271,820,4.399,0.1145,-0.3,nc
0.4,0.013,-5.33,800,4.45,0.1124,-0.3,nc
0.4,0.014,-5.402,775,4.498,0.1103,-0.3,nc
0.4,0.015,-5.356,799,4.536,0.1094,-0.3,nc
0.4,0.016,-5.297,830,4.569,0.1087,-0.3,nc
0.4,0.017,-5.23,865,4.601,0.1081,-0.3,nc
0.4,0.018,-5.177,894,4.631,0.1074,-0.3,nc
0.4,0.019,-5.113,930,4.658,0.1069,-0.3,nc
0.4,0.02,-5.048,968,4.684,0.1065,-0.3,nc
0.4,0.022,-4.936,1036,4.733,0.1055,-0.3,nc
0.4,0.024,-4.832,1105,4.777,0.1048,-0.3,nc
0.4,0.026,-4.734,1172,4.818,0.1041,-0.3,nc
0.4,0.028,-4.651,1234,4.856,0.1033,-0.3,nc
0.4,0.03,-4.556,1306,4.889,0.103,-0.3,nc
0.4,0.033,-4.445,1397,4.937,0.1022,-0.3,nc
0.4,0.035,-4.366,1464,4.965,0.1019,-0.3,nc
0.4,0.038,-4.261,1558,5.004,0.1016,-0.3,nc
0.4,0.04,-4.199,1616,5.028,0.1013,-0.3,nc
0.4,0.043,-4.095,1715,5.059,0.1014,-0.3,nc
0.4,0.045,-4.044,1769,5.081,0.1012,-0.3,nc
0.4,0.048,-3.952,1862,5.106,0.1015,-0.3,nc
0.4,0.05,-3.899,1919,5.123,0.1016,-0.3,nc
0.4,0.053,-3.831,1995,5.148,0.1016,-0.3,nc
0.4,0.055,-3.783,2048,5.162,0.1019,-0.3,nc
0.4,0.058,-3.716,2124,5.181,0.1023,-0.3,nc
0.4,0.06,-3.674,2172,5.193,0.1027,-0.3,nc
0.4,0.063,-3.614,2242,5.209,0.1033,-0.3,nc
0.4,0.064,-3.594,2265,5.213,0.1036,-0.3,nc
0.4,0.065,-3.571,2290,5.216,0.1041,-0.3,nc
0.4,0.066,-3.557,2308,5.223,0.1041,-0.3,nc
0.4,0.067,-3.538,2330,5.226,0.1044,-0.3,nc
0.4,0.068,-3.52,2351,5.231,0.1046,-0.3,nc
0.4,0.069,-3.503,2371,5.235,0.1049,-0.3,nc
0.4,0.07,-3.484,2393,5.237,0.1054,-0.3,nc
0.4,0.071,-3.466,2413,5.241,0.1057,-0.3,nc
0.6,0.003,-7.037,295,3.787,0.1158,-0.3,nc
0.6,0.004,-6.812,336,3.912,0.1159,-0.3,nc
0.6,0.005,-6.638,372,4.012,0.1154,-0.3,nc
0.6,0.006,-6.495,405,4.097,0.1147,-0.3,nc
0.6,0.007,-6.372,437,4.17,0.1138,-0.3,nc
0.6,0.008,-6.261,467,4.236,0.1129,-0.3,nc
0.6,0.009,-6.153,499,4.294,0.1119,-0.3,nc
0.6,0.01,-6.04,535,4.346,0.1111,-0.3,nc
0.6,0.011,-5.892,584,4.392,0.1106,-0.3,nc
0.6,0.012,-5.562,702,4.42,0.1118,-0.3,nc
0.6,0.013,-5.619,686,4.47,0.1098,-0.3,nc
0.6,0.014,-5.657,676,4.516,0.1081,-0.3,nc
0.6,0.015,-5.602,700,4.553,0.1073,-0.3,nc
0.6,0.016,-5.542,728,4.587,0.1065,-0.3,nc
0.6,0.017,-5.474,759,4.618,0.1059,-0.3,nc
0.6,0.018,-5.409,790,4.648,0.1053,-0.3,nc
0.6,0.019,-5.352,819,4.677,0.1047,-0.3,nc
0.6,0.02,-5.294,849,4.704,0.1041,-0.3,nc
0.6,0.022,-5.183,910,4.754,0.103,-0.3,nc
0.6,0.024,-5.079,970,4.8,0.1021,-0.3,nc
0.6,0.026,-4.983,1030,4.842,0.1013,-0.3,nc
0.6,0.028,-4.888,1091,4.88,0.1005,-0.3,nc
0.6,0.03,-4.804,1150,4.916,0.0998,-0.3,nc
0.6,0.033,-4.681,1239,4.965,0.099,-0.3,nc
0.6,0.035,-4.611,1294,4.996,0.0984,-0.3,nc
0.6,0.038,-4.498,1384,5.036,0.0979,-0.3,nc
0.6,0.04,-4.435,1439,5.062,0.0975,-0.3,nc
0.6,0.043,-4.343,1521,5.097,0.097,-0.3,nc
0.6,0.045,-4.28,1578,5.119,0.0968,-0.3,nc
0.6,0.048,-4.197,1658,5.149,0.0966,-0.3,nc
