age,mass,luminosity,temperature,gravity,radius,metallicity,cloud
0.003,0.002,-4.721,998,3.411,0.1458,-0.3,nc
0.003,0.003,-4.343,1222,3.561,0.1503,-0.3,nc
0.003,0.004,-4.057,1418,3.658,0.1552,-0.3,nc
0.003,0.005,-3.83,1589,3.727,0.1602,-0.3,nc
0.003,0.006,-3.641,1744,3.778,0.1655,-0.3,nc
0.003,0.007,-3.489,1873,3.818,0.1708,-0.3,nc
0.003,0.008,-3.36,1987,3.848,0.1762,-0.3,nc
0.003,0.009,-3.249,2086,3.873,0.1817,-0.3,nc
0.003,0.01,-3.154,2171,3.893,0.1872,-0.3,nc
0.003,0.011,-3.071,2244,3.91,0.1926,-0.3,nc
0.003,0.012,-2.999,2308,3.923,0.198,-0.3,nc
0.003,0.013,-2.933,2365,3.935,0.2033,-0.3,nc
0.003,0.014,-2.873,2416,3.945,0.2087,-0.3,nc
0.004,0.002,-4.879,922,3.43,0.1426,-0.3,nc
0.004,0.003,-4.502,1131,3.585,0.1461,-0.3,nc
0.004,0.004,-4.218,1314,3.687,0.1501,-0.3,nc
0.004,0.005,-3.99,1478,3.761,0.1541,-0.3,nc
0.004,0.006,-3.801,1627,3.817,0.1582,-0.3,nc
0.004,0.007,-3.638,1763,3.861,0.1624,-0.3,nc
0.004,0.008,-3.505,1879,3.896,0.1668,-0.3,nc
0.004,0.009,-3.388,1983,3.925,0.1712,-0.3,nc
0.004,0.01,-3.286,2076,3.948,0.1757,-0.3,nc
0.004,0.011,-3.197,2157,3.967,0.1804,-0.3,nc
0.004,0.012,-3.118,2228,3.982,0.1851,-0.3,nc
0.004,0.013,-3.045,2293,3.993,0.1902,-0.3,nc
0.004,0.014,-2.974,2354,4,0.1957,-0.3,nc
0.004,0.015,-2.902,2413,4.001,0.2023,-0.3,nc
0.006,0.002,-5.093,826,3.454,0.1388,-0.3,nc
0.006,0.003,-4.717,1015,3.613,0.1415,-0.3,nc
0.006,0.004,-4.438,1180,3.72,0.1444,-0.3,nc
0.006,0.005,-4.211,1331,3.8,0.1473,-0.3,nc
0.006,0.006,-4.022,1470,3.862,0.1502,-0.3,nc
0.006,0.007,-3.859,1600,3.913,0.1531,-0.3,nc
0.006,0.008,-3.714,1721,3.953,0.1562,-0.3,nc
0.006,0.009,-3.591,1829,3.987,0.1594,-0.3,nc
0.006,0.01,-3.483,1927,4.015,0.1627,-0.3,nc
0.006,0.011,-3.384,2017,4.037,0.1663,-0.3,nc
0.006,0.012,-3.293,2101,4.055,0.1702,-0.3,nc
0.006,0.013,-3.2,2184,4.064,0.1753,-0.3,nc
0.006,0.014,-3.098,2271,4.062,0.1824,-0.3,nc
0.006,0.015,-2.986,2360,4.047,0.1921,-0.3,nc
0.006,0.016,-2.88,2440,4.027,0.2029,-0.3,nc
0.008,0.002,-5.256,759,3.47,0.1363,-0.3,nc
0.008,0.003,-4.881,934,3.632,0.1385,-0.3,nc
0.008,0.004,-4.602,1087,3.742,0.1408,-0.3,nc
0.008,0.005,-4.377,1228,3.826,0.1431,-0.3,nc
0.008,0.006,-4.188,1359,3.892,0.1452,-0.3,nc
0.008,0.007,-4.025,1481,3.945,0.1474,-0.3,nc
0.008,0.008,-3.882,1597,3.99,0.1497,-0.3,nc
0.008,0.009,-3.75,1709,4.028,0.1521,-0.3,nc
0.008,0.01,-3.636,1810,4.059,0.1547,-0.3,nc
0.008,0.011,-3.53,1905,4.084,0.1577,-0.3,nc
0.008,0.012,-3.418,2005,4.098,0.1619,-0.3,nc
0.008,0.013,-3.299,2110,4.103,0.1675,-0.3,nc
0.008,0.014,-3.163,2225,4.091,0.1763,-0.3,nc
0.008,0.015,-3.023,2336,4.065,0.188,-0.3,nc
0.008,0.016,-2.905,2425,4.041,0.1998,-0.3,nc
0.01,0.002,-5.378,711,3.48,0.1346,-0.3,nc
0.01,0.003,-5.007,875,3.645,0.1364,-0.3,nc
0.01,0.004,-4.727,1020,3.757,0.1384,-0.3,nc
0.01,0.005,-4.504,1153,3.843,0.1402,-0.3,nc
0.01,0.006,-4.316,1277,3.911,0.142,-0.3,nc
0.01,0.007,-4.152,1394,3.968,0.1437,-0.3,nc
0.01,0.008,-4.009,1505,4.015,0.1454,-0.3,nc
0.01,0.009,-3.879,1612,4.055,0.1473,-0.3,nc
0.01,0.01,-3.758,1717,4.089,0.1494,-0.3,nc
0.01,0.011,-3.644,1816,4.115,0.152,-0.3,nc
0.01,0.012,-3.522,1925,4.131,0.1559,-0.3,nc
0.01,0.013,-3.371,2056,4.129,0.1626,-0.3,nc
0.01,0.014,-3.2,2198,4.107,0.1731,-0.3,nc
0.01,0.015,-3.045,2321,4.077,0.1855,-0.3,nc
0.01,0.016,-2.923,2414,4.051,0.1974,-0.3,nc
0.015,0.002,-5.586,637,3.498,0.1319,-0.3,nc
0.015,0.003,-5.227,780,3.665,0.1333,-0.3,nc
0.015,0.004,-4.949,911,3.781,0.1347,-0.3,nc
0.015,0.005,-4.725,1031,3.87,0.1359,-0.3,nc
0.015,0.006,-4.538,1144,3.942,0.137,-0.3,nc
0.015,0.007,-4.376,1251,4.002,0.1381,-0.3,nc
0.015,0.008,-4.232,1353,4.053,0.1392,-0.3,nc
0.015,0.009,-4.103,1452,4.097,0.1404,-0.3,nc
0.015,0.01,-3.981,1550,4.135,0.1417,-0.3,nc
0.015,0.011,-3.851,1658,4.163,0.1438,-0.3,nc
0.015,0.012,-3.687,1796,4.176,0.148,-0.3,nc
0.015,0.013,-3.465,1982,4.16,0.1569,-0.3,nc
0.015,0.014,-3.249,2162,4.127,0.1691,-0.3,nc
0.015,0.015,-3.09,2290,4.098,0.181,-0.3,nc
0.015,0.016,-2.978,2379,4.08,0.1909,-0.3,nc
0.015,0.017,-2.904,2439,4.076,0.1977,-0.3,nc
0.02,0.002,-5.754,583,3.51,0.1302,-0.3,nc
0.02,0.003,-5.389,716,3.678,0.1313,-0.3,nc
0.02,0.004,-5.114,835,3.796,0.1323,-0.3,nc
0.02,0.005,-4.89,947,3.888,0.1332,-0.3,nc
0.02,0.006,-4.704,1052,3.962,0.1339,-0.3,nc
0.02,0.007,-4.542,1151,4.025,0.1346,-0.3,nc
0.02,0.008,-4.398,1247,4.078,0.1353,-0.3,nc
0.02,0.009,-4.269,1340,4.125,0.136,-0.3,nc
0.02,0.01,-4.145,1434,4.164,0.137,-0.3,nc
0.02,0.011,-4.008,1542,4.194,0.1388,-0.3,nc
0.02,0.012,-3.799,1709,4.202,0.1436,-0.3,nc
0.02,0.013,-3.523,1937,4.178,0.1537,-0.3,nc
0.02,0.014,-3.29,2131,4.143,0.1661,-0.3,nc
0.02,0.015,-3.144,2252,4.123,0.1759,-0.3,nc
0.02,0.016,-3.057,2326,4.12,0.1823,-0.3,nc
0.02,0.017,-3.033,2354,4.144,0.1828,-0.3,nc
0.02,0.018,-3.059,2349,4.191,0.1783,-0.3,nc
0.02,0.019,-3.104,2328,4.244,0.1723,-0.3,nc
0.02,0.02,-3.117,2330,4.28,0.1695,-0.3,nc
0.02,0.022,-3.093,2368,4.325,0.1688,-0.3,nc
0.02,0.024,-3.06,2411,4.362,0.169,-0.3,nc
0.03,0.002,-5.985,514,3.524,0.1281,-0.3,nc
0.03,0.003,-5.602,639,3.694,0.1289,-0.3,nc
0.03,0.004,-5.341,741,3.815,0.1295,-0.3,nc
0.03,0.005,-5.12,840,3.909,0.1299,-0.3,nc
0.03,0.006,-4.933,935,3.987,0.1302,-0.3,nc
0.03,0.007,-4.771,1025,4.052,0.1304,-0.3,nc
0.03,0.008,-4.628,1112,4.108,0.1307,-0.3,nc
0.03,0.009,-4.498,1197,4.157,0.131,-0.3,nc
0.03,0.01,-4.372,1284,4.199,0.1316,-0.3,nc
0.03,0.011,-4.22,1393,4.231,0.1331,-0.3,nc
0.03,0.012,-3.956,1591,4.235,0.1384,-0.3,nc
0.03,0.013,-3.601,1876,4.2,0.1498,-0.3,nc
0.03,0.014,-3.385,2057,4.178,0.1596,-0.3,nc
0.03,0.015,-3.305,2132,4.189,0.163,-0.3,nc
0.03,0.016,-3.344,2114,4.242,0.1585,-0.3,nc
0.03,0.017,-3.421,2065,4.305,0.152,-0.3,nc
0.03,0.018,-3.432,2068,4.342,0.1497,-0.3,nc
0.03,0.019,-3.427,2083,4.373,0.1485,-0.3,nc
0.03,0.02,-3.407,2109,4.397,0.1482,-0.3,nc
0.03,0.022,-3.35,2175,4.435,0.1488,-0.3,nc
0.03,0.024,-3.294,2239,4.467,0.1497,-0.3,nc
0.03,0.026,-3.237,2303,4.494,0.1511,-0.3,nc
0.03,0.028,-3.18,2365,4.515,0.1531,-0.3,nc
0.03,0.03,-3.127,2422,4.533,0.1552,-0.3,nc
0.04,0.002,-6.114,480,3.533,0.1267,-0.3,nc
0.04,0.003,-5.77,584,3.705,0.1273,-0.3,nc
0.04,0.004,-5.495,683,3.827,0.1277,-0.3,nc
0.04,0.005,-5.283,771,3.923,0.1279,-0.3,nc
0.04,0.006,-5.097,858,4.002,0.1279,-0.3,nc
0.04,0.007,-4.935,942,4.069,0.1279,-0.3,nc
0.04,0.008,-4.791,1023,4.127,0.1279,-0.3,nc
0.04,0.009,-4.662,1102,4.177,0.128,-0.3,nc
0.04,0.01,-4.534,1185,4.221,0.1283,-0.3,nc
0.04,0.011,-4.372,1294,4.253,0.1297,-0.3,nc
0.04,0.012,-4.058,1517,4.254,0.1354,-0.3,nc
0.04,0.013,-3.671,1821,4.219,0.1467,-0.3,nc
0.04,0.014,-3.512,1958,4.218,0.1523,-0.3,nc
0.04,0.015,-3.553,1938,4.271,0.1484,-0.3,nc
0.04,0.016,-3.652,1870,4.336,0.1421,-0.3,nc
0.04,0.017,-3.68,1859,4.38,0.1393,-0.3,nc
0.04,0.018,-3.659,1886,4.409,0.1386,-0.3,nc
0.04,0.019,-3.635,1915,4.436,0.1381,-0.3,nc
0.04,0.02,-3.597,1956,4.456,0.1384,-0.3,nc
0.04,0.022,-3.522,2036,4.493,0.1391,-0.3,nc
0.04,0.024,-3.451,2114,4.524,0.1402,-0.3,nc
0.04,0.026,-3.385,2186,4.552,0.1414,-0.3,nc
0.04,0.028,-3.322,2256,4.575,0.1429,-0.3,nc
0.04,0.03,-3.259,2322,4.592,0.1449,-0.3,nc
0.04,0.033,-3.186,2404,4.622,0.147,-0.3,nc
0.06,0.002,-6.279,440,3.546,0.1248,-0.3,nc
0.06,0.003,-5.995,517,3.718,0.1254,-0.3,nc
0.06,0.004,-5.708,609,3.842,0.1255,-0.3,nc
0.06,0.005,-5.496,688,3.94,0.1255,-0.3,nc
0.06,0.006,-5.318,763,4.02,0.1252,-0.3,nc
0.06,0.007,-5.158,838,4.089,0.1249,-0.3,nc
0.06,0.008,-5.016,911,4.149,0.1247,-0.3,nc
0.06,0.009,-4.885,983,4.202,0.1245,-0.3,nc
0.06,0.01,-4.757,1058,4.247,0.1245,-0.3,nc
0.06,0.011,-4.585,1163,4.282,0.1255,-0.3,nc
0.06,0.012,-4.213,1409,4.28,0.1314,-0.3,nc
0.06,0.013,-3.823,1703,4.255,0.1407,-0.3,nc
0.06,0.014,-3.838,1702,4.301,0.1384,-0.3,nc
0.06,0.015,-3.993,1595,4.373,0.1319,-0.3,nc
0.06,0.016,-4.023,1583,4.418,0.1294,-0.3,nc
0.06,0.017,-3.989,1617,4.447,0.1289,-0.3,nc
0.06,0.018,-3.952,1655,4.475,0.1285,-0.3,nc
0.06,0.019,-3.92,1689,4.502,0.1279,-0.3,nc
0.06,0.02,-3.874,1734,4.524,0.128,-0.3,nc
0.06,0.022,-3.78,1828,4.563,0.1284,-0.3,nc
0.06,0.024,-3.691,1918,4.596,0.1291,-0.3,nc
0.06,0.026,-3.605,2008,4.623,0.1302,-0.3,nc
0.06,0.028,-3.527,2089,4.647,0.1315,-0.3,nc
0.06,0.03,-3.463,2159,4.67,0.1325,-0.3,nc
0.06,0.033,-3.37,2260,4.698,0.1346,-0.3,nc
0.06,0.035,-3.318,2319,4.716,0.1358,-0.3,nc
0.06,0.038,-3.241,2402,4.736,0.1382,-0.3,nc
0.08,0.002,-6.409,410,3.556,0.1234,-0.3,nc
0.08,0.003,-6.129,481,3.727,0.1241,-0.3,nc
0.08,0.004,-5.887,553,3.852,0.1241,-0.3,nc
0.08,0.005,-5.651,634,3.951,0.1238,-0.3,nc
0.08,0.006,-5.48,701,4.033,0.1234,-0.3,nc
0.08,0.007,-5.325,767,4.103,0.123,-0.3,nc
0.08,0.008,-5.184,834,4.164,0.1226,-0.3,nc
0.08,0.009,-5.054,900,4.218,0.1222,-0.3,nc
0.08,0.01,-4.922,971,4.264,0.1221,-0.3,nc
0.08,0.011,-4.743,1074,4.3,0.1229,-0.3,nc
