FILENAME,INSTRUMENT,NAME,REFERENCE,OBSERVATION_DATE,OBSERVATION_MJD,SOURCE_KEY,OBSERVATION_TIME,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,QUALITY_FLAG
10147_10105.fits,SPEX-PRISM,2MASSI J0103320+193536,2003AJ....126.2421C,20030919,52901.5,10105,,,,Burgasser,120,,,OK
10144_10004.fits,SPEX-PRISM,2MASS J00013044+1010146,2004AJ....127.2856B,20030919,52901.5,10004,,,,Burgasser,120,,,OK
10130_10025.fits,SPEX-PRISM,2MASS J00115060-1523450,2004AJ....127.2856B,20030918,52900.5,10025,,,,Burgasser,120,,,POOR
10145_10063.fits,SPEX-PRISM,2MASS J00335534-0908247,2004AJ....127.2856B,20030919,52901.5,10063,,,,Burgasser,120,,,OK
10102_10064.fits,SPEX-PRISM,2MASS J00345157+0523050,2004AJ....127.2856B,20030905,52887.5,10064,,,,,75,,,OK
10146_10072.fits,SPEX-PRISM,2MASS J00412179+3547133,2004AJ....127.2856B,20030919,52901.5,10072,,,,Burgasser,120,,,OK
10131_10091.fits,SPEX-PRISM,2MASS J00552554+4130184,2004AJ....127.2856B,20030918,52900.5,10091,,,,Burgasser,120,,,OK
10132_10096.fits,SPEX-PRISM,2MASS J00583814-1747311,2004AJ....127.2856B,20030918,52900.5,10096,,,,Burgasser,120,,,POOR
10133_10107.fits,SPEX-PRISM,2MASS J01045111-3327380,2004AJ....127.2856B,20030918,52900.5,10107,,,,Burgasser,120,,,POOR
10148_10115.fits,SPEX-PRISM,2MASS J01151621+3130061,2004AJ....127.2856B,20030919,52901.5,10115,,,,Burgasser,120,,,OK
10123_10145.fits,SPEX-PRISM,2MASS J01423153+0523285,2004AJ....127.2856B,20030917,52900.048,10145,13 08 32.192383,,,Burgasser,120,1.058,v3.4,OK
10134_10149.fits,SPEX-PRISM,2MASS J01470204+2120242,2004AJ....127.2856B,20030918,52900.5,10149,,,,Burgasser,120,,,POOR
10149_10159.fits,SPEX-PRISM,SDSS J015141.69+124429.6,2004AJ....127.2856B,20030919,52901.5,10159,,,,Burgasser,120,,,OK
10135_10160.fits,SPEX-PRISM,2MASS J01532750+3631482,2004AJ....127.2856B,20030918,52900.5,10160,,,,Burgasser,120,,,OK
10124_10223.fits,SPEX-PRISM,2MASSI J0243137-245329,2004AJ....127.2856B,20030917,52900.072,10223,13 43 52.515803,,,Burgasser,120,1.419,v3.4,OK
10125_10246.fits,SPEX-PRISM,2MASS J03023398-1028223,2004AJ....127.2856B,20030917,52900.096,10246,14 18 1.1027033,,,Burgasser,120,1.178,v3.4,POOR
10150_10336.fits,SPEX-PRISM,2MASS J04035944+1520502,2004AJ....127.2856B,20030919,52901.5,10336,,,,Burgasser,120,,,POOR
10151_10340.fits,SPEX-PRISM,2MASS J04070885+1514565,2004AJ....127.2856B,20030919,52901.5,10340,,,,Burgasser,120,,,OK
10152_10342.fits,SPEX-PRISM,2MASS J04071296+1710474,2004AJ....127.2856B,20030919,52901.5,10342,,,,Burgasser,120,,,OK
10126_10349.fits,SPEX-PRISM,2MASSI J0415195-093506,2004AJ....127.2856B,20030917,52900.132,10349,15 09 53.320598,,,Burgasser,120,1.153,v3.4,OK
10127_10356.fits,SPEX-PRISM,SDSSp J042348.57-041403.5,2004AJ....127.2856B,20030917,52900.145,10356,15 29 17.599163,,,Burgasser,120,1.106,v3.4,OK
10137_10373.fits,SPEX-PRISM,2MASS J04360273+1547536,2004AJ....127.2856B,20030918,52900.5,10373,,,,Burgasser,120,,,OK
10002_10782.fits,SPEX-PRISM,2MASSI J1104012+195921,2004AJ....127.2856B,20030521,52780.5,10782,,,,Burgasser,120,,,OK
10032_10787.fits,SPEX-PRISM,2MASS J11070582+2827226,2004AJ....127.2856B,20030523,52782.732,10787,05 33 50.541640,,,Burgasser,120,1.012,v3.4,POOR
10033_10801.fits,SPEX-PRISM,2MASS J11150577+2520467,2004AJ....127.2856B,20030523,52782.759,10801,06 12 33.575635,,,Burgasser,120,1.018,v3.4,OK
10014_10817.fits,SPEX-PRISM,2MASS J11240487+3808054,2004AJ....127.2856B,20030522,52781.5,10817,,,,,120,,,OK
10003_10830.fits,SPEX-PRISM,2MASS J11323833-1446374,2004AJ....127.2856B,20030521,52780.5,10830,,,,Burgasser,120,,,POOR
10015_10836.fits,SPEX-PRISM,2MASS J11463232+0203414,2004AJ....127.2856B,20030522,52781.5,10836,,,,,120,,,POOR
10034_10874.fits,SPEX-PRISM,2MASS J12095613-1004008,2004AJ....127.2856B,20030523,52782.782,10874,06 46 42.600170,,,Burgasser,120,1.159,v3.4,OK
10016_10874.fits,SPEX-PRISM,2MASS J12095613-1004008,2004AJ....127.2856B,20030522,52781.5,10874,,,,,120,,,POOR
10035_10877.fits,SPEX-PRISM,2MASS J12121714-2253451,2004AJ....127.2856B,20030523,52782.806,10877,07 20 44.329474,,,Burgasser,120,1.404,v3.4,POOR
10036_10903.fits,SPEX-PRISM,2MASS J12255432-2739466,2004AJ....127.2856B,20030523,52782.829,10903,07 54 20.413974,,,Burgasser,120,1.572,v3.4,OK
10004_10916.fits,SPEX-PRISM,2MASS J12314753+0847331,2004AJ....127.2856B,20030521,52780.5,10916,,,,Burgasser,120,,,OK
10017_10945.fits,SPEX-PRISM,SDSSp J125453.90-012247.4,2004AJ....127.2856B,20030522,52781.5,10945,,,,,120,,,OK
10037_10987.fits,SPEX-PRISM,2MASS J13272391+0946446,2004AJ....127.2856B,20030523,52782.849,10987,08 22 48.758814,,,Burgasser,120,1.03,v3.4,POOR
10005_11020.fits,SPEX-PRISM,2MASS J13593574+3031039,2004AJ....127.2856B,20030521,52780.5,11020,,,,Burgasser,120,,,OK
10019_11040.fits,SPEX-PRISM,2MASS J14171672-0407311,2004AJ....127.2856B,20030522,52781.5,11040,,,,,120,,,POOR
10038_11075.fits,SPEX-PRISM,2MASSW J1439284+192915,2004AJ....127.2856B,20030523,52782.867,11075,08 48 11.811934,,,Burgasser,120,1.001,v3.4,OK
10020_11100.fits,SPEX-PRISM,Gliese 570D,2004AJ....127.2856B,20030522,52781.5,11100,,,,,120,,,OK
10021_11106.fits,SPEX-PRISM,2MASS J15031961+2525196,2004AJ....127.2856B,20030522,52781.5,11106,,,,,120,,,OK
10022_11137.fits,SPEX-PRISM,2MASS J15243203+0934386,2004AJ....127.2856B,20030522,52781.5,11137,,,,,120,,,POOR
10039_11138.fits,SPEX-PRISM,2MASSI J1526140+204341,2004AJ....127.2856B,20030523,52782.963,11138,11 06 6.7538945,,,Burgasser,120,1.06,v3.4,OK
10006_11159.fits,SPEX-PRISM,2MASS J15412408+5425598,2004AJ....127.2856B,20030521,52780.5,11159,,,,Burgasser,120,,,OK
10040_11190.fits,SPEX-PRISM,2MASS J15561873+1300527,2004AJ....127.2856B,20030523,52782.944,11190,10 38 54.683804,,,Burgasser,120,1.014,v3.4,OK
10007_11195.fits,SPEX-PRISM,2MASS J15590462-0356280,2004AJ....127.2856B,20030521,52780.5,11195,,,,Burgasser,120,,,OK
10023_11236.fits,SPEX-PRISM,SDSSp J162414.37+002915.6,2004AJ....127.2856B,20030522,52781.5,11236,,,,,120,,,POOR
10024_11252.fits,SPEX-PRISM,2MASS J16304206-0232224,2004AJ....127.2856B,20030522,52781.5,11252,,,,,120,,,POOR
10025_11254.fits,SPEX-PRISM,2MASSW J1632291+190441,2004AJ....127.2856B,20030522,52781.5,11254,,,,,120,,,POOR
10041_11267.fits,SPEX-PRISM,2MASS J16390818+2839015,2004AJ....127.2856B,20030523,52782.975,11267,11 23 18.166827,,,Burgasser,120,1.019,v3.4,OK
10008_11269.fits,SPEX-PRISM,2MASS J16403197+1231068,2004AJ....127.2856B,20030521,52780.5,11269,,,,Burgasser,120,,,OK
10026_11270.fits,SPEX-PRISM,2MASS J16403561+2922225,2004AJ....127.2856B,20030522,52781.5,11270,,,,,120,,,OK
10044_11326.fits,SPEX-PRISM,2MASS J17252029-0024508,2004AJ....127.2856B,20030523,52783.049,11326,13 11 4.8848490,,,Burgasser,120,1.154,v3.4,OK
10009_11343.fits,SPEX-PRISM,2MASS J17330480+0041270,2004AJ....127.2856B,20030521,52780.5,11343,,,,Burgasser,120,,,OK
10010_11344.fits,SPEX-PRISM,2MASS J17331764+1529116,2004AJ....127.2856B,20030521,52780.5,11344,,,,Burgasser,120,,,OK
10011_11349.fits,SPEX-PRISM,LP 508-14,2004AJ....127.2856B,20030521,52780.5,11349,,,,Burgasser,120,,,OK
10045_11350.fits,SPEX-PRISM,2MASS J17364839+0220426,2004AJ....127.2856B,20030523,52783.061,11350,13 28 3.5745223,,,Burgasser,120,1.145,v3.4,OK
10046_11368.fits,SPEX-PRISM,SDSSp J175032.96+175903.9,2004AJ....127.2856B,20030523,52783.077,11368,13 50 37.341067,,,Burgasser,120,1.101,v3.4,OK
10027_11387.fits,SPEX-PRISM,2MASS J18112466+3748513,2004AJ....127.2856B,20030522,52781.5,11387,,,,,120,,,POOR
10047_11392.fits,SPEX-PRISM,2MASS J18244344+2937133,2004AJ....127.2856B,20030523,52783.096,11392,14 18 11.109925,,,Burgasser,120,1.097,v3.4,OK
10012_11393.fits,SPEX-PRISM,LSR 1826+3014,2004AJ....127.2856B,20030521,52780.5,11393,,,,Burgasser,120,,,OK
10138_11396.fits,SPEX-PRISM,2MASS J18283572-4849046,2004AJ....127.2856B,20030918,52900.76,11396,06 13 41.973993,,,Burgasser,120,2.984,v3.4,OK
10139_11407.fits,SPEX-PRISM,2MASS J18411320-4000124,2004AJ....127.2856B,20030918,52900.5,11407,,,,Burgasser,120,,,POOR
10140_11413.fits,SPEX-PRISM,2MASS J18530004-4133275,2004AJ....127.2856B,20030918,52900.5,11413,,,,Burgasser,120,,,OK
10013_11416.fits,SPEX-PRISM,2MASS J19010601+4718136,2004AJ....127.2856B,20030521,52780.5,11416,,,,Burgasser,120,,,OK
10154_11423.fits,SPEX-PRISM,VB 10,2004AJ....127.2856B,20030919,52901.5,11423,,,,Burgasser,120,,,OK
10028_11425.fits,SPEX-PRISM,V 1451 Aql,2004AJ....127.2856B,20030522,52781.5,11425,,,,,120,,,OK
12005_11442.fits,SPEX-PRISM,2MASS J19445221-0831036,2004AJ....127.2856B,20030917,52899.813,11442,07 30 24.617183,,,Burgasser,120,1.195,v3.4,OK
10048_11471.fits,SPEX-PRISM,SDSS J202820.32+005226.5,2004AJ....127.2856B,20030523,52783.109,11471,14 36 27.511540,,,Burgasser,120,1.058,v3.4,OK
10141_11478.fits,SPEX-PRISM,LSR 2036+5059,2004AJ....127.2856B,20030918,52900.5,11478,,,,Burgasser,120,,,OK
10029_11479.fits,SPEX-PRISM,LHS 3566,2004AJ....127.2856B,20030522,52781.5,11479,,,,,120,,,OK
10155_11487.fits,SPEX-PRISM,2MASS J20491972-1944324,2004AJ....127.2856B,20030919,52901.5,11487,,,,Burgasser,120,,,OK
12006_11488.fits,SPEX-PRISM,2MASS J20494090+1140068,2004AJ....127.2856B,20030917,52899.838,11488,08 06 37.297245,,,Burgasser,120,1.026,v3.4,OK
10049_11495.fits,SPEX-PRISM,2MASSI J2057540-025230,2004AJ....127.2856B,20030523,52783.131,11495,15 08 31.490712,,,Burgasser,120,1.085,v3.4,OK
10050_11504.fits,SPEX-PRISM,2MASSI J2107316-030733,2004AJ....127.2856B,20030523,52783.122,11504,14 55 39.623902,,,Burgasser,120,1.095,v3.4,OK
12007_11506.fits,SPEX-PRISM,2MASS J21100889+2132483,2004AJ....127.2856B,20030917,52899.857,11506,08 33 45.194250,,,Burgasser,120,1.021,v3.4,OK
10030_11507.fits,SPEX-PRISM,V Z Cep,2004AJ....127.2856B,20030522,52781.5,11507,,,,,120,,,OK
10142_11517.fits,SPEX-PRISM,LSR 2122+3656,2004AJ....127.2856B,20030918,52900.5,11517,,,,Burgasser,120,,,OK
10031_11571.fits,SPEX-PRISM,SV P 2312,2004AJ....127.2856B,20030522,52781.5,11571,,,,,120,,,OK
10156_11584.fits,SPEX-PRISM,2MASS J22120345+1641093,2004AJ....127.2856B,20030919,52901.5,11584,,,,Burgasser,120,,,OK
12008_11599.fits,SPEX-PRISM,2MASS J22270083-1231482,2004AJ....127.2856B,20030917,52899.878,11599,09 03 46.980094,,,Burgasser,120,1.184,v3.4,OK
10128_11602.fits,SPEX-PRISM,2MASS J22282889-4310262,2004AJ....127.2856B,20030917,52899.927,11602,10 15 9.3879305,,,Burgasser,120,2.376,v3.4,OK
10157_11607.fits,SPEX-PRISM,2MASS J22341394+2359559,2004AJ....127.2856B,20030919,52901.5,11607,,,,Burgasser,120,,,OK
12009_11623.fits,SPEX-PRISM,2MASS J22453832-0722060,2004AJ....127.2856B,20030917,52899.896,11623,09 30 4.0275225,,,Burgasser,120,1.125,v3.4,OK
12010_11626.fits,SPEX-PRISM,2MASS J22465014-0643357,2004AJ....127.2856B,20030917,52899.91,11626,09 50 2.9830555,,,Burgasser,120,1.127,v3.4,OK
10143_11632.fits,SPEX-PRISM,2MASSI J2254188+312349,2004AJ....127.2856B,20030918,52900.5,11632,,,,Burgasser,120,,,OK
12011_11666.fits,SPEX-PRISM,2MASS J23270985+2341364,2004AJ....127.2856B,20030917,52899.997,11666,11 56 23.193952,,,Burgasser,120,1.12,v3.4,OK
10129_11676.fits,SPEX-PRISM,2MASS J23312378-4718274,2004AJ....127.2856B,20030917,52899.951,11676,10 48 54.960590,,,Burgasser,120,2.647,v3.4,OK
12012_11691.fits,SPEX-PRISM,2MASS J23363834+4523306,2004AJ....127.2856B,20030917,52900.017,11691,12 24 20.526235,,,Burgasser,120,1.26,v3.4,OK
