FILENAME,INSTRUMENT,NAME,REFERENCE,OBSERVATION_DATE,OBSERVATION_MJD,SOURCE_KEY,OBSERVATION_TIME,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,QUALITY_FLAG
12013_11705.fits,SPEX-PRISM,2MASS J23480816+4052343,2004AJ....127.2856B,20030917,52900.032,11705,12 45 39.752796,,,Burgasser,120,1.251,v3.4,OK
10091_10356.fits,SPEX-PRISM,SDSSp J042348.57-041403.5,2004ApJ...604L..61C,20030904,52886.5,10356,,,,,75,,,OK
10153_10423.fits,SPEX-PRISM,2MASS J05185995-2828372,2004ApJ...604L..61C,20030919,52901.5,10423,,,,Burgasser,120,,,OK
10188_10700.fits,SPEX-PRISM,SSSPM 1013-1356,2004ApJ...614L..73B,20040312,53076.5,10700,,,,,120,,,OK
10197_11074.fits,SPEX-PRISM,LHS 377,2004ApJ...614L..73B,20040312,53076.5,11074,,,,,120,,,OK
10203_11241.fits,SPEX-PRISM,2MASS J16262034+3925190,2004ApJ...614L..73B,20040723,53209.5,11241,,,,,120,,,OK
10718_11567.fits,SPEX-PRISM,2MASS J21543318+5942187,2004ApJ...614L..73B,20061117,54056.5,11567,,,,,120,,,OK
10001_10443.fits,SPEX-PRISM,SDSSp J053951.99-005902.0,2004PASP..116..362C,20001106,51855.011,10443,12 16 5.2351810,,,Rayner,200,1.086,v3.5b,OK
10107_10315.fits,SPEX-PRISM,2MASP J0345432+254023,2006AJ....131.1007B,20030905,52887.5,10315,,,,,75,,,OK
10196_11058.fits,SPEX-PRISM,LHS 2924,2006AJ....131.1007B,20040312,53076.5,11058,,,,,120,,,OK
10262_11574.fits,SPEX-PRISM,DENIS-P J220002.05-303832.9B,2006AJ....131.1007B,20040907,53255.5,11574,,,,,120,,,OK
10421_10008.fits,SPEX-PRISM,SDSS J000250.98+245413.8,2006AJ....131.2722C,20050813,53595.5,10008,,,,,120,,,POOR
10413_10067.fits,SPEX-PRISM,SDSS J003609.26+241343.3,2006AJ....131.2722C,20050811,53593.5,10067,,,,,120,,,POOR
10416_10120.fits,SPEX-PRISM,SDSS J011912.22+240331.6,2006AJ....131.2722C,20050812,53594.5,10120,,,,,120,,,OK
10349_10173.fits,SPEX-PRISM,SDSS J020608.97+223559.2,2006AJ....131.2722C,20050123,53393.5,10173,,,,,120,,,POOR
10511_10222.fits,SPEX-PRISM,SDSS J024256.98+212319.6,2006AJ....131.2722C,20051105,53679.5,10222,,,,,120,,,POOR
10427_10226.fits,SPEX-PRISM,SDSS J024749.90-163112.6,2006AJ....131.2722C,20050814,53596.5,10226,,,,,120,,,OK
10422_10274.fits,SPEX-PRISM,SDSS J032553.17+042540.1,2006AJ....131.2722C,20050813,53595.5,10274,,,,,120,,,OK
10346_10321.fits,SPEX-PRISM,SDSS J035104.37+481046.8,2006AJ....131.2722C,20050121,53391.5,10321,,,,,120,,,OK
10350_10492.fits,SPEX-PRISM,SDSS J065405.63+652805.4,2006AJ....131.2722C,20050123,53393.5,10492,,,,,120,,,POOR
10382_10522.fits,SPEX-PRISM,SDSS J073922.26+661503.5,2006AJ....131.2722C,20050406,53466.5,10522,,,,,120,,,POOR
10347_10547.fits,SPEX-PRISM,SDSS J080531.84+481233.0,2006AJ....131.2722C,20050122,53392.5,10547,,,,,120,,,POOR
10391_10563.fits,SPEX-PRISM,SDSS J082030.12+103737.0,2006AJ....131.2722C,20050407,53467.5,10563,,,,,120,,,POOR
10351_10583.fits,SPEX-PRISM,SDSS J083506.16+195304.4,2006AJ....131.2722C,20050123,53393.5,10583,,,,,120,,,OK
10383_10607.fits,SPEX-PRISM,SDSS J085116.20+181730.0,2006AJ....131.2722C,20050406,53466.5,10607,,,,,120,,,POOR
10352_10617.fits,SPEX-PRISM,SDSS J085834.42+325627.7,2006AJ....131.2722C,20050123,53393.5,10617,,,,,120,,,POOR
10353_10630.fits,SPEX-PRISM,SDSS J090900.73+652527.2,2006AJ....131.2722C,20050123,53393.5,10630,,,,,120,,,OK
10384_10692.fits,SPEX-PRISM,SDSS J100711.74+193056.2,2006AJ....131.2722C,20050406,53466.5,10692,,,,,120,,,POOR
10354_10717.fits,SPEX-PRISM,SDSS J102552.43+321234.0,2006AJ....131.2722C,20050123,53393.5,10717,,,,,120,,,POOR
10395_10729.fits,SPEX-PRISM,SDSS J103321.92+400549.5,2006AJ....131.2722C,20050408,53468.5,10729,,,,,120,,,POOR
10348_10738.fits,SPEX-PRISM,SDSS J103931.35+325625.5,2006AJ....131.2722C,20050122,53392.5,10738,,,,,120,,,POOR
10396_10799.fits,SPEX-PRISM,SDSS J111320.16+343057.9,2006AJ....131.2722C,20050408,53468.5,10799,,,,,120,,,POOR
10385_10808.fits,SPEX-PRISM,SDSS J112118.57+433246.5,2006AJ....131.2722C,20050406,53466.5,10808,,,,,120,,,POOR
10397_10864.fits,SPEX-PRISM,SDSS J120602.51+281328.7,2006AJ....131.2722C,20050408,53468.5,10864,,,,,120,,,OK
10355_10880.fits,SPEX-PRISM,SDSS J121440.95+631643.4,2006AJ....131.2722C,20050123,53393.5,10880,,,,,120,,,OK
10398_10884.fits,SPEX-PRISM,SDSS J121659.17+300306.3,2006AJ....131.2722C,20050408,53468.5,10884,,,,,120,,,POOR
10386_11003.fits,SPEX-PRISM,SDSS J134203.11+134022.2,2006AJ....131.2722C,20050406,53466.5,11003,,,,,120,,,POOR
10399_11006.fits,SPEX-PRISM,SDSS J134525.57+521634.0,2006AJ....131.2722C,20050408,53468.5,11006,,,,,120,,,POOR
10400_11019.fits,SPEX-PRISM,SDSS J135852.68+374711.9,2006AJ....131.2722C,20050408,53468.5,11019,,,,,120,,,OK
10401_11039.fits,SPEX-PRISM,SDSS J141659.78+500626.4,2006AJ....131.2722C,20050408,53468.5,11039,,,,,120,,,POOR
10387_11048.fits,SPEX-PRISM,SDSS J142227.25+221557.1,2006AJ....131.2722C,20050406,53466.5,11048,,,,,120,,,OK
10392_11068.fits,SPEX-PRISM,SDSS J143553.25+112948.6,2006AJ....131.2722C,20050407,53467.5,11068,,,,,120,,,POOR
10356_11077.fits,SPEX-PRISM,SDSS J143945.86+304220.6,2006AJ....131.2722C,20050123,53393.5,11077,,,,,120,,,OK
10388_11117.fits,SPEX-PRISM,SDSS J151114.66+060742.9,2006AJ....131.2722C,20050406,53466.5,11117,,,,,120,,,POOR
10389_11147.fits,SPEX-PRISM,SDSS J153417.05+161546.1AB,2006AJ....131.2722C,20050406,53466.5,11147,,,,,120,,,OK
10417_11149.fits,SPEX-PRISM,SDSS J153453.33+121949.2,2006AJ....131.2722C,20050812,53594.5,11149,,,,,120,,,POOR
10423_11157.fits,SPEX-PRISM,SDSS J154009.36+374230.3,2006AJ....131.2722C,20050813,53595.5,11157,,,,,120,,,POOR
10390_11172.fits,SPEX-PRISM,SDSS J154849.02+172235.4,2006AJ....131.2722C,20050406,53466.5,11172,,,,,120,,,POOR
10393_11218.fits,SPEX-PRISM,SDSS J161731.65+401859.7,2006AJ....131.2722C,20050407,53467.5,11218,,,,,120,,,POOR
10402_11233.fits,SPEX-PRISM,SDSS J162255.27+115924.1,2006AJ....131.2722C,20050408,53468.5,11233,,,,,120,,,POOR
10418_11259.fits,SPEX-PRISM,SDSS J163359.23-064056.5,2006AJ....131.2722C,20050812,53594.5,11259,,,,,120,,,OK
10424_11279.fits,SPEX-PRISM,SDSS J164916.89+464340.0,2006AJ....131.2722C,20050813,53595.5,11279,,,,,120,,,POOR
10428_11307.fits,SPEX-PRISM,2MASS J17111353+2326333,2006AJ....131.2722C,20050814,53596.5,11307,,,,,120,,,POOR
10394_11339.fits,SPEX-PRISM,SDSS J173101.41+531047.9,2006AJ....131.2722C,20050407,53467.5,11339,,,,,120,,,POOR
10419_11483.fits,SPEX-PRISM,SDSS J204317.69-155103.4,2006AJ....131.2722C,20050812,53594.5,11483,,,,,120,,,POOR
10420_11491.fits,SPEX-PRISM,SDSS J205235.31-160929.8,2006AJ....131.2722C,20050812,53594.5,11491,,,,,120,,,POOR
10429_11499.fits,SPEX-PRISM,2MASSW J2101154+175658,2006AJ....131.2722C,20050814,53596.5,11499,,,,,120,,,POOR
10414_11521.fits,SPEX-PRISM,SDSS J212413.89+010000.3,2006AJ....131.2722C,20050811,53593.5,11521,,,,,120,,,OK
10415_11530.fits,SPEX-PRISM,SDSS J213154.43-011939.3,2006AJ....131.2722C,20050811,53593.5,11530,,,,,120,,,POOR
10425_11532.fits,SPEX-PRISM,SDSS J213240.36+102949.4,2006AJ....131.2722C,20050813,53595.5,11532,,,,,120,,,POOR
10426_11535.fits,SPEX-PRISM,SDSS J213352.72+101841.0,2006AJ....131.2722C,20050813,53595.5,11535,,,,,120,,,POOR
10430_11668.fits,SPEX-PRISM,SDSS J232804.58-103845.7,2006AJ....131.2722C,20050814,53596.5,11668,,,,,120,,,POOR
10375_10696.fits,SPEX-PRISM,2MASSI J1010148-040649,2006AJ....132..891R,20050324,53453.5,10696,,,,,120,,,OK
10322_10601.fits,SPEX-PRISM,2MASSI J0847287-153237,2006AJ....132.2074M,20041108,53317.5,10601,,,,,120,,,OK
10042_11301.fits,SPEX-PRISM,2MASS J17072343-0558249A,2006AJ....132.2074M,20030523,52783.034,11301,12 49 16.361235,,,Burgasser,120,1.193,3.4,OK
10043_11300.fits,SPEX-PRISM,2MASS J17072343-0558249B,2006AJ....132.2074M,20030523,52783.023,11300,12 33 26.020162,,,Burgasser,120,1.167,3.4,OK
10209_10001.fits,SPEX-PRISM,SDSS J000013.54+255418.6,2006ApJ...637.1067B,20040724,53210.5,10001,,,,Burgasser,120,,,OK
10275_10178.fits,SPEX-PRISM,SDSS J020742.48+000056.2,2006ApJ...637.1067B,20040909,53257.5,10178,,,,,120,,,POOR
10268_10237.fits,SPEX-PRISM,DENIS-P J0255-4700,2006ApJ...637.1067B,20040908,53256.5,10237,,,,,120,,,OK
10166_10459.fits,SPEX-PRISM,2MASS J05591914-1404488,2006ApJ...637.1067B,20040311,53075.5,10459,,,,,120,,,OK
10160_10538.fits,SPEX-PRISM,2MASSI J0755480+221218,2006ApJ...637.1067B,20040310,53074.5,10538,,,,,120,,,OK
10162_10591.fits,SPEX-PRISM,SDSSp J083717.22-000018.3,2006ApJ...637.1067B,20040310,53074.5,10591,,,,,120,,,POOR
10183_10591.fits,SPEX-PRISM,SDSSp J083717.22-000018.3,2006ApJ...637.1067B,20040312,53076.5,10591,,,,,120,,,POOR
10163_10665.fits,SPEX-PRISM,2MASS J09393548-2448279,2006ApJ...637.1067B,20040310,53074.5,10665,,,,,120,,,POOR
10186_10672.fits,SPEX-PRISM,2MASS J09490860-1545485,2006ApJ...637.1067B,20040312,53076.5,10672,,,,,120,,,OK
10164_10672.fits,SPEX-PRISM,2MASS J09490860-1545485,2006ApJ...637.1067B,20040310,53074.5,10672,,,,,120,,,POOR
10189_10711.fits,SPEX-PRISM,SDSS J102109.69-030420.1,2006ApJ...637.1067B,20040312,53076.5,10711,,,,,120,,,OK
10191_10810.fits,SPEX-PRISM,2MASS J11220826-3512363,2006ApJ...637.1067B,20040312,53076.5,10810,,,,,120,,,OK
10282_11366.fits,SPEX-PRISM,SDSS J175024.01+422237.8,2006ApJ...637.1067B,20040909,53257.5,11366,,,,,120,,,OK
10208_11521.fits,SPEX-PRISM,SDSS J212413.89+010000.3,2006ApJ...637.1067B,20040723,53209.5,11521,,,,,120,,,OK
10081_11543.fits,SPEX-PRISM,2MASS J21392676+0220226,2006ApJ...637.1067B,20030903,52885.5,11543,,,,,75,,,OK
10245_11543.fits,SPEX-PRISM,2MASS J21392676+0220226,2006ApJ...637.1067B,20040906,53254.5,11543,,,,,120,,,OK
10246_11562.fits,SPEX-PRISM,2MASS J21513839-4853542,2006ApJ...637.1067B,20040906,53254.5,11562,,,,,120,,,OK
10218_11694.fits,SPEX-PRISM,2MASSI J2339101+135230,2006ApJ...637.1067B,20040724,53210.5,11694,,,,Burgasser,120,,,OK
10219_11718.fits,SPEX-PRISM,2MASSI J2356547-155310,2006ApJ...637.1067B,20040724,53210.5,11718,,,,Burgasser,120,,,OK
10240_11359.fits,SPEX-PRISM,CXOGC J174516.1-290315,2006ApJ...638..183M,20040906,53254.5,11359,,,,,120,,,OK
10241_11360.fits,SPEX-PRISM,CXOGC J174528.6-285605,2006ApJ...638..183M,20040906,53254.5,11360,,,,,120,,,OK
10250_10082.fits,SPEX-PRISM,2MASS J00501994-3322402,2006ApJ...639.1095B,20040907,53255.5,10082,,,,,120,,,OK
10159_10513.fits,SPEX-PRISM,2MASSI J0727182+171001,2006ApJ...639.1095B,20040310,53074.5,10513,,,,,120,,,OK
10171_10662.fits,SPEX-PRISM,2MASSI J0937347+293142,2006ApJ...639.1095B,20040311,53075.5,10662,,,,,120,,,OK
10185_10665.fits,SPEX-PRISM,2MASS J09393548-2448279,2006ApJ...639.1095B,20040312,53076.5,10665,,,,,120,,,OK
10175_10791.fits,SPEX-PRISM,SDSSp J111010.01+011613.1,2006ApJ...639.1095B,20040311,53075.5,10791,,,,,120,,,POOR
10190_10800.fits,SPEX-PRISM,2MASS J11145133-2618235,2006ApJ...639.1095B,20040312,53076.5,10800,,,,,120,,,OK
10176_10886.fits,SPEX-PRISM,2MASSI J1217110-031113,2006ApJ...639.1095B,20040311,53075.5,10886,,,,,120,,,OK
10194_11007.fits,SPEX-PRISM,SDSSp J134646.45-003150.4,2006ApJ...639.1095B,20040312,53076.5,11007,,,,,120,,,OK
10200_11236.fits,SPEX-PRISM,SDSSp J162414.37+002915.6,2006ApJ...639.1095B,20040312,53076.5,11236,,,,,120,,,OK
10205_11377.fits,SPEX-PRISM,SDSS J175805.46+463311.9,2006ApJ...639.1095B,20040723,53209.5,11377,,,,,120,,,OK
10261_11573.fits,SPEX-PRISM,DENIS-P J220002.05-303832.9A,2006ApJ...639.1095B,20040907,53255.5,11573,,,,,120,,,OK
10637_10170.fits,SPEX-PRISM,2MASSW J0205034+125142,2006ApJ...639.1114R,20060820,53967.5,10170,,,,,120,,,OK
