# MKO H-band filter including atmospheric transmission
# Wavelength	Transmission
  1.443300   0.000000
  1.455500   1.130662
  1.462700   3.382868
  1.468900   8.159169
  1.480000  24.612747
  1.497800  77.004608
  1.500000  82.073036
  1.504500  82.314682
  1.513500  83.788208
  1.518000  84.677483
  1.529200  88.575111
  1.535700  88.291664
  1.549200  85.996643
  1.553500  85.995949
  1.571900  86.520782
  1.592100  87.283333
  1.609000  87.399727
  1.620200  89.966148
  1.642700  81.513557
  1.653300  81.709839
  1.673300  87.528709
  1.683600  87.424072
  1.700000  86.596039
  1.712700  86.861832
  1.719800  85.054771
  1.737100  78.558357
  1.744400  78.208626
  1.754900  79.980522
  1.758900  81.229370
  1.765900  74.677246
  1.772500  68.908279
  1.787900  19.099644
  1.794500   6.466859
  1.802600   2.021544
  1.808900   0.566167
  1.822200   0.000000
