# MKO K-band filter including atmospheric transmission
# Wavelength	Transmission
  1.962500   0.000000
  1.983800   0.787641
  2.000000   1.958967
  2.007500   4.547612
  2.015800  10.947986
  2.030000  58.313885
  2.035000  68.592232
  2.045000  77.532722
  2.055000  64.455177
  2.062500  72.375771
  2.080000  86.587502
  2.089000  88.620926
  2.100000  92.280205
  2.112500  92.903427
  2.139500  88.789703
  2.152500  88.196770
  2.185000  91.462334
  2.210000  91.947006
  2.235000  94.770317
  2.257500  93.438721
  2.290000  95.959778
  2.323800  93.058548
  2.332500  94.249901
  2.343800  93.387123
  2.348800  89.938362
  2.357500  67.043968
  2.369500  18.038059
  2.376300   9.573532
  2.382500   3.788256
  2.390000   1.881710
  2.400000   0.487001
  2.413800   0.000000
