# Vega spectrum from Kurucz intensity models, resolution 500
# corrected to 10 pc distance assuming R = 2.5 Rsun
# flux units of erg/s/cm2/micron
Wavelength	Flux
0.687710	1.84222e-05
0.688400	1.83656e-05
0.689090	1.83091e-05
0.689781	1.82525e-05
0.690472	1.81959e-05
0.691164	1.81394e-05
0.691857	1.80828e-05
0.692551	1.80182e-05
0.693245	1.79697e-05
0.693940	1.79131e-05
0.694636	1.78566e-05
0.695332	1.78000e-05
0.696029	1.77435e-05
0.696727	1.76869e-05
0.697425	1.76384e-05
0.698125	1.75819e-05
0.698824	1.75253e-05
0.699525	1.74687e-05
0.700226	1.73960e-05
0.700928	1.73475e-05
0.701631	1.72991e-05
0.702334	1.72425e-05
0.703038	1.71940e-05
0.703743	1.71455e-05
0.704449	1.70890e-05
0.705155	1.70405e-05
0.705862	1.69840e-05
0.706569	1.69355e-05
0.707278	1.68789e-05
0.707987	1.68304e-05
0.708697	1.67820e-05
0.709407	1.67254e-05
0.710118	1.66688e-05
0.710830	1.65800e-05
0.711543	1.64830e-05
0.712256	1.64588e-05
0.712970	1.64507e-05
0.713685	1.64103e-05
0.714400	1.63537e-05
0.715116	1.63052e-05
0.715833	1.62487e-05
0.716551	1.62002e-05
0.717269	1.61517e-05
0.717988	1.61032e-05
0.718708	1.60467e-05
0.719429	1.59982e-05
0.720150	1.59578e-05
0.720872	1.59012e-05
0.721595	1.58528e-05
0.722318	1.57962e-05
0.723042	1.57477e-05
0.723767	1.57073e-05
0.724492	1.56508e-05
0.725219	1.56023e-05
0.725946	1.55538e-05
0.726674	1.55053e-05
0.727402	1.54649e-05
0.728131	1.54084e-05
0.728861	1.53599e-05
0.729592	1.53114e-05
0.730323	1.52629e-05
0.731056	1.52064e-05
0.731788	1.51660e-05
0.732522	1.51175e-05
0.733256	1.50771e-05
0.733991	1.50367e-05
0.734727	1.49882e-05
0.735464	1.49397e-05
0.736201	1.48913e-05
0.736939	1.48428e-05
0.737678	1.48024e-05
0.738418	1.47458e-05
0.739158	1.46973e-05
0.739899	1.46569e-05
0.740641	1.46085e-05
0.741383	1.45600e-05
0.742126	1.45034e-05
0.742870	1.44630e-05
0.743615	1.44226e-05
