LIBRARY,FILENAME,INSTRUMENT,SOURCE_KEY,OBSERVATION_DATE,OBSERVATION_TIME,JULIAN_DATE,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,REDUCTION_PERSON,REDUCTION_DATE,QUALITY_FLAG,MEDIAN_SNR,SPEX_TYPE,SPEX_GRAVITY_CLASSIFICATION,PUBLISHED,DATA_REFERENCE,NOTE
SPL,10209_10001.fits,SPEX-PRISM,10001,20040724,,53210.5,,,Burgasser,120,,,Mercado,,OK,70,T4.0,,Y,2006ApJ...637.1067B,
SPL,11855_10002.fits,SPEX-PRISM,10002,20130814,14 07 20.791417,56519.088,,,Burgasser,120,1.265,v3.4,,,OK,187,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10144_10004.fits,SPEX-PRISM,10004,20030919,,52901.5,,,Burgasser,120,,,Tomoki,,OK,59,M6.0,,Y,2004AJ....127.2856B,
SPL,11982_10005.fits,SPEX-PRISM,10005,20130826,09 46 32.478766,56530.907,,,,75,1.375,v3.4,,,OK,38,L1.0,INT-G,Y,2014ApJ...787..126L,
SPL,10421_10008.fits,SPEX-PRISM,10008,20050813,,53595.5,,,,120,,,,,POOR,18,L2.0,FLD-G,Y,2006AJ....131.2722C,
SPL,10247_10010.fits,SPEX-PRISM,10010,20040907,,53255.5,,,,120,,,,,OK,270,L4.0,FLD-G,Y,2007ApJ...659..655B,
SPL,10857_10012.fits,SPEX-PRISM,10012,20071012,10 52 12.8668,54385.953,,,,120,1.145,v3.3,,,OK,97,M4.0,,Y,2010ApJS..190..100K,
SPL,10698_10013.fits,SPEX-PRISM,10013,20060903,,53981.5,,,,120,,,,,OK,229,M8.0,INT-G,Y,2014ApJ...794..143B,
SPL,11141_10014.fits,SPEX-PRISM,10014,20080908,,54717.5,,,,120,,,,,OK,96,L2.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11983_10015.fits,SPEX-PRISM,10015,20130103,06 03 33.259302,56295.752,,,,75,1.556,v3.4,,,POOR,20,L8.0,,Y,2014ApJ...787..126L,
SPL,11267_10016.fits,SPEX-PRISM,10016,20090630,14 41 18.045730,55013.112,,,Vervack,120,1.049,v3.4,,,OK,56,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11294_10018.fits,SPEX-PRISM,10018,20091104,08 08 43.782665,55139.839,,,Burgasser,120,1.155,v3.4,,,OK,125,M8.0,FLD-G,Y,2012ApJ...757..110B,
SPL,11892_10019.fits,SPEX-PRISM,10019,20131023,07 10 46.530018,56588.799,,,Burgasser,120,1.487,v3.4,,,OK,203,M8.0,INT-G,Y,2014ApJ...794..143B,
SPL,11800_10021.fits,SPEX-PRISM,10021,20121231,05 18 19.018691,56292.721,,,Burgasser,120,1.081,v3.4,,,OK,262,M8.0,FLD-G,Y,BURGASSER-NP,
SPL,11074_10022.fits,SPEX-PRISM,10022,20080714,,54661.5,,,,120,,,,,OK,181,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10130_10025.fits,SPEX-PRISM,10025,20030918,,52900.5,,,Burgasser,120,,,Tomoki,,POOR,46,M7.0,VL-G,Y,2004AJ....127.2856B,
SPL,11295_10026.fits,SPEX-PRISM,10026,20091104,09 07 30.671410,55139.88,,,Burgasser,120,1.482,v3.4,,,OK,56,L5.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11984_10027.fits,SPEX-PRISM,10027,20131228,07 41 46.186689,56654.821,,,Burgasser,150,2.025,v3.4,,,OK,48.2,M7.0,INT-G,Y,2014ApJ...787..126L,
SPL,12278_10027.fits,SPEX-PRISM,10027,20150720,,57223,,,,150,,,,,OK,66.30925792,M7.0,FLD-G,Y,2016ApJS..224...36K,
SPL,10700_10028.fits,SPEX-PRISM,10028,20060903,,53981.5,,,,120,,,,,OK,91,L3.0,FLD-G,Y,2008ApJ...689.1295K,
SPL,10492_10029.fits,SPEX-PRISM,10029,20051018,09 54 51.365877,53661.913,,,,120,1.065,v3.2,,,POOR,36,L8.0,,Y,2010ApJS..190..100K,
SPL,11142_10030.fits,SPEX-PRISM,10030,20080908,,54717.5,,,,120,,,,,OK,179,L2.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11880_10031.fits,SPEX-PRISM,10031,20130903,12 46 30.134321,56539.032,,,"Bardalez Gagliuffi, Burgasser",120,1.108,v3.4,,,OK,70,L3.0,INT-G,Y,2014ApJ...794..143B,
SPL,10451_10032.fits,SPEX-PRISM,10032,20050909,13 48 21.580138,53623.075,,,Kirkpatrick,120,1.258,v3.2,,,OK,72,M8.0,FLD-G,Y,2010ApJS..190..100K,
SPL,11296_10033.fits,SPEX-PRISM,10033,20091104,08 39 58.877117,55139.861,,,Burgasser,120,1.202,v3.4,,,OK,47,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11129_10034.fits,SPEX-PRISM,10034,20080907,,54716.5,,,,120,,,,,OK,85,L4.0,FLD-G,Y,2010ApJ...710.1142B,
SPL,11312_10036.fits,SPEX-PRISM,10036,20091107,08 10 54.965497,55142.841,,,Burgasser,120,1.074,v3.4,,,OK,100,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10084_10037.fits,SPEX-PRISM,10037,20030904,,52886.5,,,,75,,,,,OK,30,L3.0,INT-G,Y,2010ApJ...710.1142B,
