LIBRARY,FILENAME,INSTRUMENT,SOURCE_KEY,OBSERVATION_DATE,OBSERVATION_TIME,JULIAN_DATE,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,REDUCTION_PERSON,REDUCTION_DATE,QUALITY_FLAG,MEDIAN_SNR,SPEX_TYPE,SPEX_GRAVITY_CLASSIFICATION,PUBLISHED,DATA_REFERENCE,NOTE
SPL,10864_10039.fits,SPEX-PRISM,10039,20071110,08 22 58.1820,54414.849,,,Looper,120,2.404,v3.3,,,OK,41,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10648_10040.fits,SPEX-PRISM,10040,20060828,11 38 9.79680,53975.985,,,Kirkpatrick,120,2.212,v3.3,,,OK,114,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11712_10041.fits,SPEX-PRISM,10041,20120927,09 34 33.253519,56197.899,,,,120,1.088,v3.4,,,OK,75,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10817_10043.fits,SPEX-PRISM,10043,20070704,14 05 28.5202,54286.087,,,Kirkpatrick,120,1.218,v3.3,,,OK,156,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11075_10043.fits,SPEX-PRISM,10043,20080714,,54661.5,,,,120,,,,,OK,218,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10265_10045.fits,SPEX-PRISM,10045,20040908,,53256.5,,,,120,,,,,OK,104,M4.0,,Y,2014ApJ...794..143B,
SPL,10701_10048.fits,SPEX-PRISM,10048,20060903,,53981.5,,,,120,,,,,OK,209,M8.0,INT-G,Y,2014ApJ...794..143B,
SPL,11694_10049.fits,SPEX-PRISM,10049,20120920,12 28 44.360348,56191.02,,,Allers,120,1.141,v3.4,,,OK,57,L0.0,VL-G,Y,2013ApJ...772...79A,
SPL,10071_10051.fits,SPEX-PRISM,10051,20030903,,52885.5,,,,75,,,,,OK,34,L6.0,INT-G,Y,2010ApJ...710.1142B,
SPL,11343_10052.fits,SPEX-PRISM,10052,20091207,06 17 28.783812,55172.762,,,Burgasser,120,1.014,v3.4,,,OK,63,L6.0,INT-G,Y,2014ApJ...794..143B,
SPL,11297_10053.fits,SPEX-PRISM,10053,20091104,09 39 4.4197985,55139.902,,,Burgasser,120,1.463,v3.4,,,OK,75,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10828_10054.fits,SPEX-PRISM,10054,20070728,,54309.5,,,,120,,,,,POOR,31,L6.0,FLD-G,Y,2010ApJ...710.1142B,
SPL,10858_10054.fits,SPEX-PRISM,10054,20071012,,54385.5,,,,120,,,,,OK,56,L7.0,VL-G,Y,2010ApJ...710.1142B,
SPL,11144_10055.fits,SPEX-PRISM,10055,20080908,,54717.5,,,,120,,,,,OK,77,L2.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11698_10056.fits,SPEX-PRISM,10056,20120924,10 17 0.83236140,56194.928,,,,75,1.273,v3.4,,,OK,58,L9.0,,Y,2013ApJ...777...84B,
SPL,10649_10057.fits,SPEX-PRISM,10057,20060828,12 40 3.16721,53976.028,,,Kirkpatrick,120,1.918,v3.3,,,OK,83,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11484_10057.fits,SPEX-PRISM,10057,20101117,,55517.5,,,,120,,,,,OK,71,L1.0,FLD-G,Y,2011ApJS..197...19K,
SPL,11268_10058.fits,SPEX-PRISM,10058,20090630,15 06 8.6412402,55013.129,,,Vervack,120,1.101,v3.4,,,OK,112,L0.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11313_10058.fits,SPEX-PRISM,10058,20091107,08 41 33.106269,55142.862,,,Burgasser,120,1.081,v3.4,,,OK,187,L2.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11344_10059.fits,SPEX-PRISM,10059,20091207,05 33 55.612981,55172.732,,,Burgasser,120,1.356,v3.4,,,OK,75,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11121_10060.fits,SPEX-PRISM,10060,20080815,13 36 0.88901580,54694.067,,,Allers,120,2.29,v3.4,,,OK,72,L2.0,INT-G,Y,2013ApJ...772...79A,
SPL,11130_10060.fits,SPEX-PRISM,10060,20080907,,54716.5,,,,120,,,,,OK,111,L2.0,INT-G,Y,2014ApJ...794..143B,
SPL,10873_10061.fits,SPEX-PRISM,10061,20071111,,54415.5,,,,120,,,,,POOR,31,L9.0,,Y,2010ApJ...710.1142B,
SPL,11053_10061.fits,SPEX-PRISM,10061,20080713,,54660.5,,,,120,,,,,OK,43,L9.0,,Y,2010ApJ...710.1142B,
SPL,11197_10062.fits,SPEX-PRISM,10062,20081129,05 34 46.271138,54799.732,,,Allers,120,1.249,v3.4,,,OK,79,L2.0,FLD-G,Y,2013ApJ...772...79A,
SPL,10145_10063.fits,SPEX-PRISM,10063,20030919,,52901.5,,,Burgasser,120,,,Tomoki,,OK,52,M7.0,INT-G,Y,2004AJ....127.2856B,
SPL,10102_10064.fits,SPEX-PRISM,10064,20030905,,52887.5,,,,75,,,,,OK,43,T7.0,,Y,2004AJ....127.2856B,
SPL,11314_10065.fits,SPEX-PRISM,10065,20091107,09 06 0.96139438,55142.879,,,Burgasser,120,1.193,v3.4,,,OK,96,L3.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10413_10067.fits,SPEX-PRISM,10067,20050811,,53593.5,,,,120,,,,,POOR,4,L5.0,FLD-G,Y,2006AJ....131.2722C,
SPL,10249_10068.fits,SPEX-PRISM,10068,20040907,,53255.5,,,,120,,,,,OK,274,L2.0,FLD-G,Y,2008ApJ...681..579B,
SPL,11713_10069.fits,SPEX-PRISM,10069,20120927,10 03 41.353771,56197.919,,,,120,1.013,v3.4,,,OK,75,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10703_10070.fits,SPEX-PRISM,10070,20060903,,53981.5,,,,120,,,,,OK,9,T8.0,,Y,2007ApJ...658..617B,
SPL,11599_10071.fits,SPEX-PRISM,10071,20111130,,55895.5,,,,120,,,,,OK,14,T7.0,,Y,2013ApJS..205....6M,
SPL,10146_10072.fits,SPEX-PRISM,10072,20030919,,52901.5,,,Burgasser,120,,,Tomoki,,OK,44,M8.0,FLD-G,Y,2004AJ....127.2856B,
SPL,11214_10073.fits,SPEX-PRISM,10073,20090124,05 18 47.428364,54855.721,,,Looper,120,1.247,v3.4,,,OK,65,L1.0,INT-G,Y,2014ApJ...794..143B,
SPL,11326_10073.fits,SPEX-PRISM,10073,20091108,07 53 34.580169,55143.829,,,Burgasser,120,1.006,v3.4,,,OK,72,L1.0,INT-G,Y,2014ApJ...794..143B,
SPL,10211_10074.fits,SPEX-PRISM,10074,20040724,,53210.5,,,,120,,,Mercado,,OK,209,M5.0,,Y,2014ApJ...794..143B,
SPL,10650_10075.fits,SPEX-PRISM,10075,20060828,12 07 43.0745,53976.005,,,Kirkpatrick,120,1.017,v3.3,,,POOR,43,M9.0,FLD-G,Y,2010ApJS..190..100K,
SPL,10841_10076.fits,SPEX-PRISM,10076,20070916,,54359.5,,,,120,,,,,OK,113,L6.0,VL-G,Y,2014ApJ...794..143B,
SPL,11577_10077.fits,SPEX-PRISM,10077,20110825,,55798.5,,,,120,,,,,OK,27,T5.0,,Y,2013ApJS..205....6M,
SPL,11054_10078.fits,SPEX-PRISM,10078,20080713,,54660.5,,,,120,,,,,OK,151,L1.0,VL-G,Y,2014ApJ...794..143B,
SPL,11567_10079.fits,SPEX-PRISM,10079,20110721,13 44 59.706761,55764.073,,,,120,1.56,v3.4,,,OK,77,L7.0,INT-G,Y,2012AJ....144...94G,
SPL,11481_10080.fits,SPEX-PRISM,10080,20100914,,55453.5,,,,120,,,,,OK,63,L9.0,,Y,2011ApJS..197...19K,
SPL,11578_10081.fits,SPEX-PRISM,10081,20110825,,55798.5,,,,120,,,,,OK,9,T8.0,,Y,2013ApJS..205....6M,
SPL,10250_10082.fits,SPEX-PRISM,10082,20040907,,53255.5,,,,120,,,,,OK,15,T6.0,,Y,2006ApJ...639.1095B,
SPL,11145_10083.fits,SPEX-PRISM,10083,20080908,,54717.5,,,,120,,,,,OK,147,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11146_10084.fits,SPEX-PRISM,10084,20080908,,54717.5,,,,120,,,,,OK,123,L6.0,INT-G,Y,2010ApJ...710.1142B,
SPL,10748_10085.fits,SPEX-PRISM,10085,20061220,07 28 27.9425,54089.811,,,Looper,120,1.267,v3.4,,,OK,26,L5.0,FLD-G,Y,2008ApJ...676.1281M,
SPL,11179_10086.fits,SPEX-PRISM,10086,20081012,10 13 52.3247,54751.926,,,Looper,120,1.007,v3.4,,,OK,21,M3.0,,Y,2010ApJS..190..100K,
SPL,11131_10087.fits,SPEX-PRISM,10087,20080907,,54716.5,,,,120,,,,,OK,123,L4.0,FLD-G,Y,2010ApJ...710.1142B,
SPL,11699_10088.fits,SPEX-PRISM,10088,20120925,11 27 23.509897,56195.977,,,Burgasser,120,1.076,v3.4,,,OK,84,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11774_10089.fits,SPEX-PRISM,10089,20121227,05 44 16.846856,56288.739,,,Burgasser,120,1.629,v3.4,,,OK,270,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10086_10090.fits,SPEX-PRISM,10090,20030904,,52886.5,,,,75,,,,,OK,39,L6.0,VL-G,Y,2016ApJS..225...10F,
SPL,10131_10091.fits,SPEX-PRISM,10091,20030918,,52900.5,,,Burgasser,120,,,Tomoki,,OK,57,M8.0,FLD-G,Y,2004AJ....127.2856B,
SPL,10749_10092.fits,SPEX-PRISM,10092,20061220,06 46 25.4986,54089.782,,,Looper,120,1.076,v3.3,,,OK,43,M6.0,,Y,2010ApJS..190..100K,
SPL,10251_10093.fits,SPEX-PRISM,10093,20040907,,53255.5,,,,120,,,,,OK,172,M4.0,,Y,2014ApJ...794..143B,
SPL,11700_10094.fits,SPEX-PRISM,10094,20120925,11 48 11.099928,56195.992,,,Burgasser,120,1.167,v3.4,,,OK,68,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11971_10095.fits,SPEX-PRISM,10095,20131125,,56621.5,,,,120,,,,,OK,83,T1.0,,Y,2014ApJ...783..122K,
SPL,11985_10095.fits,SPEX-PRISM,10095,20131228,07 12 51.928879,56654.801,,,,75,1.208,v3.4,,,OK,30,T0.0,,Y,2014ApJ...787..126L,
SPL,10132_10096.fits,SPEX-PRISM,10096,20030918,,52900.5,,,Burgasser,120,,,Tomoki,,POOR,41,M6.0,,Y,2004AJ....127.2856B,
SPL,11076_10097.fits,SPEX-PRISM,10097,20080714,,54661.5,,,,120,,,,,OK,162,L0.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11055_10099.fits,SPEX-PRISM,10099,20080713,,54660.5,,,,120,,,,,OK,130,M1.0,,Y,2010ApJS..190..100K,
SPL,11132_10101.fits,SPEX-PRISM,10101,20080907,,54716.5,,,,120,,,,,OK,351,M8.0,INT-G,Y,2014ApJ...794..143B,
SPL,11898_10103.fits,SPEX-PRISM,10103,20131029,10 14 36.541145,56594.927,,,Burgasser,120,1.141,v3.4,,,OK,130,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10829_10104.fits,SPEX-PRISM,10104,20070728,15 39 34.4902,54310.152,,,Lynch,120,1.369,v3.3,,,OK,326,M5.0,,Y,2010ApJS..190..100K,
SPL,10147_10105.fits,SPEX-PRISM,10105,20030919,,52901.5,,,Burgasser,120,,,Tomoki,,OK,23,L7.0,VL-G,Y,2003AJ....126.2421C,
SPL,10678_10105.fits,SPEX-PRISM,10105,20060902,11 20 31.2430,53980.973,,,Looper,120,1.053,v3.3,,,OK,77,L7.0,INT-G,Y,2014ApJ...794..143B,
SPL,11316_10106.fits,SPEX-PRISM,10106,20091107,09 37 41.877957,55142.901,,,Burgasser,120,1.141,v3.4,,,OK,35,L3.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10133_10107.fits,SPEX-PRISM,10107,20030918,,52900.5,,,Burgasser,120,,,Tomoki,,POOR,31,M8.0,INT-G,Y,2004AJ....127.2856B,
SPL,11482_10109.fits,SPEX-PRISM,10109,20100914,,55453.5,,,,120,,,,,OK,103,M8.0,FLD-G,Y,2011ApJS..197...19K,
SPL,11881_10109.fits,SPEX-PRISM,10109,20130903,12 10 37.807800,56539.007,,,"Bardalez Gagliuffi, Burgasser",120,1.009,v3.4,,,OK,185,M8.0,INT-G,Y,2014ApJ...794..143B,
SPL,11775_10110.fits,SPEX-PRISM,10110,20121227,06 00 48.266109,56288.751,,,Burgasser,120,1.265,v3.4,,,OK,216,M7.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10499_10111.fits,SPEX-PRISM,10111,20051019,09 49 41.638238,53662.91,,,,120,1.065,v3.2,,,OK,65,L7.0,VL-G,Y,2014ApJ...794..143B,
SPL,10842_10111.fits,SPEX-PRISM,10111,20070916,,54359.5,,,,120,,,,,POOR,53,L7.0,VL-G,Y,2010ApJ...710.1142B,
SPL,10859_10111.fits,SPEX-PRISM,10111,20071012,,54385.5,,,,120,,,,,OK,110,L7.0,VL-G,Y,2010ApJ...710.1142B,
SPL,11714_10112.fits,SPEX-PRISM,10112,20120927,10 41 27.955093,56197.945,,,,120,1.01,v3.4,,,OK,53,M8.0,INT-G,Y,2014ApJ...794..143B,
SPL,10148_10115.fits,SPEX-PRISM,10115,20030919,,52901.5,,,Burgasser,120,,,Tomoki,,OK,38,M7.0,FLD-G,Y,2004AJ....127.2856B,
SPL,11327_10117.fits,SPEX-PRISM,10117,20091108,08 33 43.530684,55143.857,,,Burgasser,120,1.203,v3.4,,,OK,70,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10443_10118.fits,SPEX-PRISM,10118,20050908,12 27 12.646653,53622.019,,,Kirkpatrick,120,1.002,v3.2,,,OK,244,M8.0,FLD-G,Y,2010ApJS..190..100K,
SPL,11298_10118.fits,SPEX-PRISM,10118,20091104,10 00 13.452287,55139.917,,,Burgasser,120,1.055,v3.4,,,OK,122,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10640_10119.fits,SPEX-PRISM,10119,20060821,,53968.5,,,,120,,,,,OK,75,L2.0,INT-G,Y,2008ApJ...681..579B,
SPL,10416_10120.fits,SPEX-PRISM,10120,20050812,,53594.5,,,,120,,,,,OK,24,T2.0,,Y,2006AJ....131.2722C,
SPL,11133_10121.fits,SPEX-PRISM,10121,20080907,,54716.5,,,,120,,,,,OK,174,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10665_10122.fits,SPEX-PRISM,10122,20060901,13 42 27.4780,53980.071,,,Looper,120,2.473,v3.3,,,OK,58,,,Y,2010ApJS..190..100K,
SPL,11134_10123.fits,SPEX-PRISM,10123,20080907,,54716.5,,,,120,,,,,OK,85,L2.0,INT-G,Y,2014ApJ...794..143B,
SPL,10720_10124.fits,SPEX-PRISM,10124,20061208,06 49 38.2862,54077.784,,,Sears,120,1.006,v3.3,,,OK,30,L7.0,VL-G,Y,2008ApJ...676.1281M,
SPL,11856_10125.fits,SPEX-PRISM,10125,20130814,15 24 29.732409,56519.142,,,Burgasser,120,1.05,v3.4,,,OK,125,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11701_10126.fits,SPEX-PRISM,10126,20120925,12 22 11.710898,56196.015,,,Burgasser,120,1.031,v3.4,,,OK,48,L6.0,INT-G,Y,2014ApJ...794..143B,
SPL,11317_10127.fits,SPEX-PRISM,10127,20091107,10 26 23.630825,55142.935,,,Burgasser,120,1.132,v3.4,,,OK,40,L4.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11345_10128.fits,SPEX-PRISM,10128,20091207,07 04 30.989991,55172.795,,,Burgasser,120,2.325,v3.4,,,OK,99,M8.0,INT-G,Y,2011AJ....141....7D,
SPL,11352_10129.fits,SPEX-PRISM,10129,20091228,04 57 22.977611,55193.707,,,Looper,120,2.337,v3.4,,,POOR,20,L8.0,,Y,2011AJ....141....7D,
SPL,10072_10132.fits,SPEX-PRISM,10132,20030903,,52885.5,,,,75,,,,,OK,87,L2.0,FLD-G,Y,2010ApJ...710.1142B,
SPL,10504_10133.fits,SPEX-PRISM,10133,20051020,08 57 30.269901,53663.873,,,,120,1.237,v3.2,,,OK,55,M8.0,FLD-G,Y,2010ApJS..190..100K,
SPL,11215_10134.fits,SPEX-PRISM,10134,20090124,06 13 0.33612133,54855.759,,,Looper,120,1.356,v3.4,,,OK,30,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11685_10134.fits,SPEX-PRISM,10134,20120818,12 29 52.475426,56158.021,,,Burgasser,120,1.155,v3.4,,,OK,55,M8.0,FLD-G,Y,BURGASSER-NP,
SPL,10721_10135.fits,SPEX-PRISM,10135,20061208,08 02 21.8199,54077.835,,,Sears,120,1.092,v3.3,,,OK,60,L1.0,FLD-G,Y,2010ApJS..190..100K,
SPL,11077_10136.fits,SPEX-PRISM,10136,20080714,,54661.5,,,,120,,,,,OK,70,M4.0,,Y,2014ApJ...794..143B,
SPL,11579_10137.fits,SPEX-PRISM,10137,20110825,,55798.5,,,,120,,,,,OK,4,T6.0,,Y,2013ApJS..205....6M,
SPL,11300_10138.fits,SPEX-PRISM,10138,20091104,11 12 38.769174,55139.967,,,Burgasser,120,1.187,v3.4,,,OK,97,L2.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10704_10139.fits,SPEX-PRISM,10139,20060903,,53981.5,,,,120,,,,,OK,227,T2.0,,Y,2008ApJ...681..579B,
SPL,11471_10140.fits,SPEX-PRISM,10140,20100817,,55425.5,,,,120,,,,,OK,39,T3.0,,Y,2011ApJS..197...19K,
SPL,10632_10141.fits,SPEX-PRISM,10141,20060817,14 59 17.1033,53965.125,,,,120,1.052,v3.3,,,OK,62,M6.0,,Y,2010ApJS..190..100K,
SPL,11135_10142.fits,SPEX-PRISM,10142,20080907,,54716.5,,,,120,,,,,OK,156,L2.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10494_10143.fits,SPEX-PRISM,10143,20051018,10 37 09.259579,53661.942,,,,120,1.249,v3.2,,,POOR,21,L5.0,INT-G,Y,2010ApJS..190..100K,
SPL,10228_10144.fits,SPEX-PRISM,10144,20040905,,53253.5,,,,120,,,,,OK,137,L2.0,VL-G,Y,2006ApJ...639.1120K,
SPL,10123_10145.fits,SPEX-PRISM,10145,20030917,13 08 32.192383,52900.048,,,Burgasser,120,1.058,v3.4,Aganze,,OK,37,M5.0,,Y,2004AJ....127.2856B,
SPL,10404_10146.fits,SPEX-PRISM,10146,20050810,,53592.5,,,,120,,,,,OK,143,L3.0,FLD-G,Y,2008ApJ...681..579B,
SPL,10512_10146.fits,SPEX-PRISM,10146,20051231,,53735.5,,,,120,,,,,OK,191,L6.0,FLD-G,Y,2008ApJ...681..579B,
SPL,11180_10147.fits,SPEX-PRISM,10147,20081012,11 07 42.5669,54751.964,,,Looper,120,2.429,v3.4,,,OK,37,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11346_10147.fits,SPEX-PRISM,10147,20091207,07 47 34.235928,55172.825,,,Burgasser,120,2.481,v3.4,,,OK,91,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10134_10149.fits,SPEX-PRISM,10149,20030918,,52900.5,,,Burgasser,120,,,Tomoki,,POOR,50,M8.0,INT-G,Y,2004AJ....127.2856B,
SPL,10651_10150.fits,SPEX-PRISM,10150,20060828,13 48 46.5232,53976.076,,,Kirkpatrick,120,1.131,v3.3,,,OK,67,L2.0,FLD-G,Y,2010ApJS..190..100K,
SPL,11147_10151.fits,SPEX-PRISM,10151,20080908,,54717.5,,,,120,,,,,OK,111,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10861_10154.fits,SPEX-PRISM,10154,20071012,,54385.5,,,,120,,,,,OK,204,,,Y,2010ApJS..190..100K,
SPL,10860_10155.fits,SPEX-PRISM,10155,20071012,12 38 23.5703,54386.027,,,,120,1.13,v3.3,,,OK,204,M1.0,,Y,2010ApJS..190..100K,
SPL,11136_10157.fits,SPEX-PRISM,10157,20080907,,54716.5,,,,120,,,,,OK,222,L1.0,FLD-G,Y,2014ApJ...794..143B,
SPL,11476_10158.fits,SPEX-PRISM,10158,20100912,,55451.5,,,,120,,,,,OK,72,L9.0,,Y,2011ApJS..197...19K,
SPL,12313_10158.fits,SPEX-PRISM,10158,20080302,,54527,,,,150,1.57,,,,OK,26.29257965,L9.0,FLD-G,Y,2016arXiv160706117R,
SPL,10149_10159.fits,SPEX-PRISM,10159,20030919,,52901.5,,,Burgasser,120,,,Tomoki,,OK,46,L9.0,,Y,2004AJ....127.2856B,
SPL,10135_10160.fits,SPEX-PRISM,10160,20030918,,52900.5,,,Burgasser,120,,,Tomoki,,OK,54,M6.0,,Y,2004AJ....127.2856B,
SPL,11715_10161.fits,SPEX-PRISM,10161,20120927,11 07 17.253944,56197.963,,,,120,1.019,v3.4,,,OK,92,M9.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10087_10162.fits,SPEX-PRISM,10162,20030904,,52886.5,,,,75,,,,,OK,53,L4.0,FLD-G,Y,2010ApJ...710.1142B,
SPL,10229_10163.fits,SPEX-PRISM,10163,20040905,,53253.5,,,,120,,,,,OK,155,M3.0,,Y,2006ApJ...645.1485B,
SPL,10452_10164.fits,SPEX-PRISM,10164,20050909,14 40 40.437499,53623.112,,,Kirkpatrick,120,1.333,v3.2,,,OK,44,L1.0,INT-G,Y,2010ApJS..190..100K,
SPL,11917_10169.fits,SPEX-PRISM,10169,20131205,07 33 36.888155,56631.815,,,Burgasser,120,1.798,v3.4,,,OK,120,M8.0,FLD-G,Y,2014ApJ...794..143B,
SPL,10637_10170.fits,SPEX-PRISM,10170,20060820,,53967.5,,,,120,,,,,OK,124,L6.0,FLD-G,Y,2006ApJ...639.1114R,
SPL,10051_10171.fits,SPEX-PRISM,10171,20030811,,52862.5,,,,75,,,,,OK,39,L9.0,,Y,2010ApJ...710.1142B,
SPL,10434_10171.fits,SPEX-PRISM,10171,20050907,,53620.5,,,,120,,,,,POOR,45,L5.0,INT-G,Y,2010ApJ...710.1142B,
SPL,10444_10172.fits,SPEX-PRISM,10172,20050908,13 14 54.477593,53622.052,,,Kirkpatrick,120,1.133,v3.2,,,OK,67,L2.0,INT-G,Y,2010ApJS..190..100K,
