FILENAME,FOLDER,INSTRUMENT,NAME,REFERENCE,OBSERVATION_DATE,OBSERVATION_TIME,OBSERVATION_MJD,PROGRAM,OBSERVER,AIRMASS,INTEGRATION,CONDITIONS
lris_0415-0935_001226.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0415-0935,2003ApJ...594..510B,20001226,,,,,,,
lris_0415-0935_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0415-0935,2003ApJ...594..510B,20010220,,,,,,,
lris_0532+8246_b03.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0532+8246,2003ApJ...592.1186B,,,,,,,,
lris_0559-1404_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0559-1404,2003ApJ...594..510B,20000305,,,,,,,
lris_0727+1710_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0727+1710,2003ApJ...594..510B,20000305,,,,,,,
lris_0755+2212_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0755+2212,2003ApJ...594..510B,20010220,,,,,,,
lris_0937+2931_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0937+2931,2003ApJ...594..510B,20000305,,,,,,,
lris_1047+2124_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1047+2124,2003ApJ...594..510B,20010220,,,,,,,
lris_1217-0311_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1217-0311,2003ApJ...594..510B,20000305,,,,,,,
lris_1225-2739_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1225-2739,2003ApJ...594..510B,20000305,,,,,,,
lris_1237+6526_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,20000305,,,,,,,
lris_1237+6526_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,20010220,,,,,,,
lris_1237+6526_990716a.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,19990716,,,,,,,
lris_1237+6526_990716b.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,19990716,,,,,,,
lris_1237+6526_990716c.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,19990716,,,,,,,
lris_1237+6526_990717.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,20990717,,,,,,,
lris_1237+6526_990718.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,20990718,,,,,,,
lris_1237+6526_9907tot.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1237+6526,2003ApJ...594..510B,19990716,,,,,,,
lris_1457-2121_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,Gliese 570D,2003ApJ...594..510B,20000305,,,,,,,
lris_1457-2121_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1457-2121,2003ApJ...594..510B,20010220,,,,,,,
lris_1503+2525_030103.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1503+2525,2003ApJ...594..510B,20030103,,,,,,,
lris_1534-2952_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J1534-2952,2003ApJ...594..510B,20010220,,,,,,,
lris_denis0255-4700_001226.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0255-4700,2003ApJ...594..510B,20001226,,,,,,,
lris_gliese229b_op98.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,Gliese 229B,1998ApJ...502..932O,,,,,,,,
lris_gliese337c_001226.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,Gliese 337C,2003ApJ...594..510B,,,,,,,,
lris_gliese570d_000305.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,Gliese 570D,2003ApJ...594..510B,,,,,,,,
lris_gliese570d_010220.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,Gliese 570D,2003ApJ...594..510B,,,,,,,,
lris_J0004-4044_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0004-4044,1999ApJ...519..802K,,,,,,,,
lris_J0015+3516_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0015+3516,1999ApJ...519..802K,,,,,,,,
lris_J0028+1501_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0028+1501,1999ApJ...519..802K,,,,,,,,
lris_J0030-1450_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0030-1450,1999ApJ...519..802K,,,,,,,,
lris_J0030+3139_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0030+3139,1999ApJ...519..802K,,,,,,,,
lris_J0036+1821_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0036+1821,1999ApJ...519..802K,,,,,,,,
lris_J0041+3547_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0041+3547,1999ApJ...519..802K,,,,,,,,
lris_J0051-1544_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0051-1544,1999ApJ...519..802K,,,,,,,,
lris_J0058-0651_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0058-0651,1999ApJ...519..802K,,,,,,,,
lris_J0103+1935_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0103+1935,1999ApJ...519..802K,,,,,,,,
lris_J0129+3517_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0129+3517,1999ApJ...519..802K,,,,,,,,
lris_J0135+1205_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0135+1205,1999ApJ...519..802K,,,,,,,,
lris_J0147+3453_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0147+3453,1999ApJ...519..802K,,,,,,,,
lris_J0205-1159_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0205-1159,1999ApJ...519..802K,,,,,,,,
lris_J0205+1251_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0205+1251,1999ApJ...519..802K,,,,,,,,
lris_J0208+2500_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0208+2500,1999ApJ...519..802K,,,,,,,,
lris_J0208+2542_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0208+2542,1999ApJ...519..802K,,,,,,,,
lris_J0208+2737_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0208+2737,1999ApJ...519..802K,,,,,,,,
lris_J0224+2537_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0224+2537,1999ApJ...519..802K,,,,,,,,
lris_J0235-2331_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0235-2331,1999ApJ...519..802K,,,,,,,,
lris_J0242+1607_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0242+1607,1999ApJ...519..802K,,,,,,,,
lris_J0255-4700_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0255-4700,1999ApJ...519..802K,,,,,,,,
lris_J0302+1358_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0302+1358,1999ApJ...519..802K,,,,,,,,
lris_J0306+1545_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0306+1545,1999ApJ...519..802K,,,,,,,,
lris_J0309-1949_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0309-1949,1999ApJ...519..802K,,,,,,,,
lris_J0310+1648_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0310+1648,1999ApJ...519..802K,,,,,,,,
lris_J0326+2950_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0326+2950,1999ApJ...519..802K,,,,,,,,
lris_J0328+2302_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0328+2302,1999ApJ...519..802K,,,,,,,,
lris_J0337-1758_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0337-1758,1999ApJ...519..802K,,,,,,,,
lris_J0345+2540_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0345+2540,1999ApJ...519..802K,,,,,,,,
lris_J0355+2257_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0355+2257,1999ApJ...519..802K,,,,,,,,
lris_J0409+2104_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0409+2104,1999ApJ...519..802K,,,,,,,,
lris_J0532+8246_kirkpatrick1999-2000.txt,/Users/adam/projects/splat/code/splat//resources/Data/Public/LRIS-RED/,LRIS-RED,J0532+8246,1999ApJ...519..802K,,,,,,,,
