teff	logg	z	fsed	cld	WISE_W1	NICMOS_F108N	HAWK_KS	WIRC_H	WIRC_CH4S	MKO_J_ATM	NIRC2_HCONT	SDSS_G	NICMOS_F166N	WFCAM_H	VISTA_Y	WFCAM_Z	WIRC_CO	WIRCAM_Y	NICMOS_F190N	WIRCAM_KCONT	NIRC2_M	SDSS_Z	FOURSTAR_J	NIRC2_H	2MASS_KS	NICMOS_F145M	NICMOS_F113N	WFCAM_H2	NIRC2_KS	WIRCAM_CH4_ON	FOURSTAR_J3	HAWK_NB1190	SDSS_U	WFCAM_J	NIRC2_KP	MKO_K	WIRC_J	2MASS_J	MKO_H	NICMOS_F110W	WIRCAM_J	FOURSTAR_J2	WISE_W4	WIRC_BRGAMMA	UKIDSS_Y	VISTA_KS	NICMOS_F187N	MKO_KP	SDSS_I	NICMOS_F095N	WFC3_F127M	NICMOS_F110M	WIRCAM_KS	UKIDSS_K	UKIDSS_H	MKO_H_ATM	NIRC2_FE2	FOURSTAR_H_LONG	HAWK_H	VISTA_H	UKIDSS_Z	HAWK_NB1060	WISE_W3	BESSEL_I	WFCAM_BRG	WFCAM_Y	HAWK_BRG	NIRC2_K	IRAC_CH2	IRAC_CH1	PANSTARRS_R	WFC3_F139M	NIRC2_KCONT	NICMOS_F097N	NICMOS_F090M	FOURSTAR_H_SHORT	NICMOS_F170M	IRAC_CH4	NICMOS_F140W	MKO_MP	HAWK_J	VISTA_J	FOURSTAR_KS	2MASS_H	PANSTARRS_I	UKIDSS_J	IRAC_CH3	MKO_LP	WFCAM_K	WFC3_F167N	HAWK_NB2090	NIRC2_LP	NICMOS_F164N	WISE_W2	FOURSTAR_K	NICMOS_F160W	VISTA_Z	WIRCAM_H	NIRC2_J	HAWK_Y	PANSTARRS_W	2MASS_Ks	WIRCAM_CH4_OFF	PANSTARRS_G	FOURSTAR_H	PANSTARRS_Y	WIRC_PABETA	WIRC_K	WIRC_CH4L	SDSS_R	2MASS_K	WFC3_F164N	PANSTARRS_Z	MKO_K_ATM	NICMOS_F165M	MKO_J	HAWK_CH4	HAWK_H2	WIRC_FE2	FOURSTAR_J1
200.0	5.0	0.0	f5	h50	-22.369232489385368	-14.339285879909394	-10.790273817166124	-19.025473290851043	-18.237805665275925	-15.962376349612224	-19.30222371903656	-0.44435199190601626	-12.9805580195344	-17.392311632536906	-16.557231431572074	-16.434777089037247	-7.541029515876623	-16.455456582953193	-9.611998446625531	-7.976500463346551	-30.255057309496813	-16.30516444466721	-15.541528825382587	-17.371140992986238	-10.838680218628596	-12.959458682900022	-7.690800430176649	-11.252950007786728	-10.833679665730644	-13.348609041304467	-16.163104687525408	-11.439196739334465	14.33488085886708	-16.00037464041289	-10.727370074117923	-10.609866186745968	-12.108037141475096	-15.133597291199116	-17.371523634304392	-15.853360600737517	-16.006859452732847	-12.61343182417524	-34.29008982788741	-10.975169958512605	-16.493707755197327	-10.815193114572159	-9.362730721968843	-10.71284945858897	-13.175607890859666	-10.779069356421152	-16.894911879623304	-15.459105345754946	-10.793821959306886	-10.567176153595788	-17.393338837223606	-17.374313112187977	-12.534683475320021	-14.257336710089433	-17.36154096570774	-17.355820141754148	-16.457321453177492	-15.7637043392592	-31.218764924077007		-11.22859776643131	-16.443134153686735	-11.434730270348881	-10.635351749727974	-29.86885709548869	-23.977619412933315	-9.09797399097392	-4.902234004125333	-5.767853870573426	-15.3397702795635	-16.02598745858949	-17.815453446433857	-16.60951160818732	-29.00878639766981	-16.125515786597187	-30.206536321702927	-16.03212365146862	-15.838652764864221	-15.541528825382587	-17.31886964174044	-13.221967354825841	-15.974274368525222	-27.37540262285225	-26.239735798949756	-10.418020883343322	-12.827757424601247	-10.489111253205314	-26.24743490581399	-11.881492564327099	-29.8767064384039	-15.541528825382587	-16.932342207518264	-16.3780349334102	-17.37151047468541	-15.979925228204186	-16.56770234125303	-11.507339361820573	-10.838680218628596	-18.461809223	-1.5183559054223508	-17.318066703393733	-15.941162321835945	-16.27752365671777	-6.18179154649836	-15.382815830248598	-8.777508567525128	-10.838680218628596	-11.76650459693805	-16.242786989350382	-10.603470799795915	-17.74457205374396	-15.988880905232563	-18.211178922309365	-10.723495587646322	-12.84294847138986	-15.693167759722403
200.0	4.0	0.0	f3	h50	-22.329271092838976	-16.37848674179619	-13.003511975715599	-17.648546225710643	-17.097269928415383	-16.38779302050753	-18.368344868150896	-9.670937800981168	-13.138218425431576	-16.260796865002263	-15.885168814121078	-18.34851701879788	-9.5205991895778	-15.996346709362745	-10.7524236223344	-9.718888887658302	-30.465286406679063	-18.179403852387306	-16.148744907288492	-16.473374776854204	-13.14823579806683	-11.647855773059701	-8.996835174867659	-13.86605077464135	-13.094760544762966	-12.691064925346545	-16.79640292005459	-10.978223819252307	5.9201691153540645	-16.607756619496975	-12.94108594600068	-12.988139796789158	-11.815238098158607	-15.702375433271277	-16.41128681274803	-17.05070636838075	-16.798315400937234	-14.492452071017425	-34.29391285369499	-13.02580128578769	-16.144729306446788	-13.127286044173996	-10.544878395638191	-12.913073817639946	-15.656778715760666	-10.51246767788086	-17.519765536625385	-15.505272998810895	-13.066935111410585	-12.937434112892019	-16.480794286126102	-16.16301412685974	-12.953418087204355	-13.646011970647269	-16.4471236034965	-16.22315768054196	-18.361572048228638	-17.265624474450462	-31.29737487345443		-13.343100792892034	-16.13802560181486	-13.622119752032438	-13.008712586569898	-29.87293125372705	-23.917216779723773	-15.224382263680504	-4.377405362066663	-7.4050987332333875	-14.373867946081052	-17.734554109957486	-16.665901750547924	-15.886807240686773	-29.04928962722204	-15.967011598509371	-30.423371965018635	-16.994767965465766	-16.454821242246954	-16.148744907288492	-16.01655110412034	-15.560490840983828	-16.611560902891874	-27.673408907648085	-25.901814773027635	-12.857857732966053	-13.332132771058642	-13.497211066348417	-25.918345579948138	-12.446378591863752	-29.996409719330618	-16.148744907288492	-16.017136265710366	-18.30199607470224	-16.455172039655224	-16.772137656911262	-15.968697193091883	-14.751023208443748	-13.14823579806683	-17.49077058148523	-9.924236950122765	-16.187548523115932	-15.046985059434878	-15.910944878744518	-7.895795331200465	-14.485537392524517	-14.809842095690977	-13.14823579806683	-12.010155680177894	-18.227479454829044	-12.944150876160839	-16.80890858438859	-16.77898534138707	-17.24342659683429	-13.61480144624327	-13.21241392520066	-16.030821483362768
200.0	4.0	0.0	f5	h50	-21.878702409036567	-15.689567404455346	-12.011390665852527	-17.071449632553804	-16.556530553080474	-15.790400551725018	-17.809517547675277	-9.503453250575326	-12.320283299234616	-15.714445425439328	-15.304162678216311	-17.93152714430399	-8.556801066866855	-15.408162377924556	-10.006654249772895	-8.722894047975192	-30.28415610127434	-17.756875459743565	-15.55383195459642	-15.924203902716423	-12.15057150301889	-11.042640863778319	-8.369182397638774	-12.855992811753975	-12.101503070350901	-11.929529113931325	-16.20122335514393	-10.10196791592864	6.123602248874192	-16.01317355051827	-11.949571349965687	-11.984646398828696	-10.997405608970706	-15.084511220881335	-15.8619903444738	-16.597345562233286	-16.21404105336311	-13.80974505068317	-34.35554938096482	-12.097802810124112	-15.55413417240316	-12.131587713597023	-9.810001360009506	-11.92053292651031	-15.468374031959728	-9.86630651813967	-16.927914188985437	-14.8917883322007	-12.070696332382864	-11.933666510090893	-15.934537036714406	-15.641792326433468	-12.103623355967805	-12.946543884847472	-15.903397486216058	-15.67619285480832	-17.943586826963646	-16.679706386781728	-31.333907427422393		-12.407531941476666	-15.538599973920537	-12.658348044072259	-12.0074769408765	-29.689610670255227	-23.522010757639254	-15.209078842199482	-3.5286210500398782	-6.414922460999378	-13.7933897686925	-17.317401920833362	-16.126194371915368	-15.346588308762836	-28.988654402199863	-15.383203198400334	-30.24073778161688	-16.415738441812543	-15.858779273709658	-15.55383195459642	-15.501639753743186	-15.342757361335428	-16.025111025583676	-27.47794604095159	-25.577041008418195	-11.853441266852363	-12.455267704603115	-12.403037328193243	-25.592800449438563	-11.54401918922838	-29.810091100515205	-15.55383195459642	-15.469805828337012	-17.88409803536821	-15.909290939036818	-16.18806912878639	-15.388538117850208	-14.655710814465237	-12.15057150301889	-16.94905418774641	-9.789892346377687	-15.642968116736045	-14.486346716927986	-15.29021267864148	-6.915868425680591	-13.89898036436331	-14.79140785163818	-12.15057150301889	-11.111613430763041	-17.809734113540088	-11.949119608125766	-16.26397938546486	-16.195430007063155	-16.701642092100464	-12.54919667863198	-12.349627370034025	-15.406815514038406
200.0	4.0	0.0	f7	h50	-21.60359642111388	-15.235305385843317	-11.37964015609538	-16.681308419742304	-16.190504737054958	-15.423153339286726	-17.43171866333137	-9.492435890214288	-11.788465977172214	-15.345990047775652	-14.921609886267246	-17.650270933017243	-7.979203093295392	-15.021060674295224	-9.518414603466747	-8.127792490377516	-30.17087007767202	-17.47275710414032	-15.185445264651838	-15.55297206140774	-11.516047928519612	-10.636321310258749	-7.959401201711689	-12.216157315309324	-11.468784028197913	-11.447288735263278	-15.832650638381654	-9.530937694958052	6.154199763476753	-15.645008841351686	-11.317485955644768	-11.346711234406644	-10.479639147921144	-14.701928688888264	-15.491171399660109	-16.297740498746837	-15.852079749429599	-13.359188974807601	-34.39168600516326	-11.515489858245203	-15.165322530385847	-11.497801008463677	-9.334353012678102	-11.287683459256357	-15.35271295407484	-9.433124335445937	-16.561397486540645	-14.488276110882893	-11.43618074665375	-11.296249426828762	-15.566068447972825	-15.283824597133806	-11.552391766477786	-12.505641951752837	-15.535423572467975	-15.307438129342836	-17.661786030733737	-16.29182786383924	-31.358502974726413		-11.819771294671765	-15.144470887078388	-12.050818685195868	-11.370651607684923	-29.574987734576897	-23.27660782140733	-15.224507531962207	-2.9895485761622558	-5.8379724401464035	-13.395800232252608	-17.03629948349928	-15.760582627340778	-14.984474217217796	-28.99220964963156	-15.006717186344469	-30.126811891723197	-16.05741923314914	-15.489595619475839	-15.185445264651838	-15.149838151552446	-15.203098671175555	-15.66208894921479	-27.369947291898175	-25.377042663977726	-11.21895584426159	-11.884766385820946	-11.702885081431933	-25.39224008923844	-10.96173013671563	-29.693685412175213	-15.185445264651838	-15.100791080824912	-17.602215472916615	-15.54096535669938	-15.82626981099828	-15.006660845083298	-14.616546819941988	-11.516047928519612	-16.58195296283313	-9.792036092650417	-15.27530751562869	-14.11142056815844	-14.898709487907894	-6.341263479695075	-13.514014385199218	-14.800183344709918	-11.516047928519612	-10.529211285481509	-17.527858711160004	-11.316037360076578	-15.895758185390402	-15.833970619463464	-16.33452465069954	-11.871446319359517	-11.789797008922786	-14.996019264900703
200.0	3.0	0.0	f5	h50	-21.525472023756784	-15.122128660065178	-12.555799331226211	-14.331800999503699	-14.14617353000445	-12.90045318127099	-15.4003840698654	-7.548024784279295	-11.028621682296304	-13.344013925176066	-13.296574896072809	-16.719772132812995	-8.560742206529175	-13.551888317779452	-10.14918392322751	-9.098188955739147	-30.201078797073766	-16.642535973075702	-13.99230965117473	-13.641778513633396	-12.795675007070628	-8.89652147020329	-7.1633616356330005	-13.635605417475414	-12.690892000486095	-10.34842535491211	-14.652421501036724	-5.96540012543623	8.582620330685272	-14.45537826133748	-12.519009828649565	-12.642755422595249	-8.726880714320455	-13.139137060430151	-13.580181129425554	-15.432720444609444	-14.931415907427183	-13.140441986282681	-34.41626501519967	-12.60328246533467	-13.909006266924546	-12.755703167916824	-9.967532164037458	-12.491379358201772	-14.346492786659645	-8.120250270785355	-15.367589714331867	-13.509730233316839	-12.678542108863676	-12.597507322420105	-13.774600516139158	-11.722138272198016	-11.078152134267814	-11.352560302464719	-13.377228436372263	-13.30818167284751	-16.769517937696612	-15.397447214887727	-31.465108883276834		-12.936864598192528	-14.005928085910359	-13.206071840694594	-12.648758752711853	-29.4425571590916	-23.089094365783325	-13.825439305854179	-2.397787076624118	-6.660681815469486	-12.137798318714758	-16.18023442253568	-13.701327218096331	-13.285395890279627	-29.027447398448448	-13.762603422808382	-30.162405953704038	-15.277168404626805	-14.30566756030958	-13.99230965117473	-12.590550003219395	-14.233639480871258	-14.482680212041446	-27.507202358632004	-25.0258272024378	-12.568611918721517	-11.426548007768393	-13.377161308968395	-25.039164519639876	-11.143146868001617	-29.633581309137277	-13.99230965117473	-13.31282029893794	-16.68439838017868	-13.737454909112028	-15.033706649100873	-13.478110604825904	-13.38637186465365	-12.795675007070628	-14.672620682476978	-7.884347359623856	-13.25813057681506	-12.285300909859302	-13.34831680504671	-7.00152929485177	-11.759064086556407	-13.364504051222774	-12.795675007070628	-10.016225645923427	-16.63399472136655	-12.605683572462752	-14.073598692757749	-14.91129627748375	-14.428451548429384	-13.464346462522041	-11.228263590819514	-14.180642700028441
200.0	4.477121254719663	0.0	f5	h20	-22.232757214665007	-15.802832170563859	-13.33289850245343	-17.770451103408163	-17.113688947425082	-16.51106264762568	-18.297538735719613	-9.427071102360049	-13.130629656076414	-16.285438522808665	-16.503264468973722	-18.168418763770365	-11.140709683910417	-16.488495594025427	-10.65421535281348	-11.389701705616327	-29.486121738416724	-17.967751251440397	-16.14042874543144	-16.37915565660755	-13.46431170690127	-11.685823152716477	-8.734847036271855	-14.190590679143684	-13.392195733942323	-12.963478640651536	-16.777140173127307	-11.810896979963513	5.608576620904877	-16.598943301924034	-13.238422476284509	-13.308967356196113	-12.381512714724236	-15.745756807974818	-16.35167227975438	-16.92185037218477	-16.66963957380694	-13.962843188053611	-34.40736543152688	-13.63037598858131	-16.56625714035052	-13.418488689095856	-10.428812725331454	-13.206379480363706	-15.677772013774563	-11.038909853607068	-17.505364919397692	-15.706324133035434	-13.360491798624262	-13.286022140368157	-16.38194963675855	-16.288617246038463	-12.842166999478247	-13.809455883456636	-16.373915088788635	-16.24913450010618	-18.181208050123885	-16.920863298167987	-31.644169155121325		-13.896140688510716	-16.521854747797036	-14.096359726560138	-13.322927972158102	-28.996767503318726	-23.60035481258501	-15.207231809281064	-4.865067089385677	-9.851214313789177	-14.904529204487591	-17.53553836058174	-16.68433198370132	-15.749656832928935	-29.16065717470385	-16.008727499294665	-29.44615520708411	-16.767602566836647	-16.442140535681848	-16.14042874543144	-16.0977163883683	-15.577237120472196	-16.578760955143437	-27.078814794091777	-25.448327600625728	-13.269048452067434	-13.209267663428681	-13.753897072103458	-25.462669506480484	-12.25638701910168	-29.07814151792227	-16.14042874543144	-15.920978725990977	-18.116072904540918	-16.35769745432629	-16.640786824498203	-16.550013523679713	-14.74469262829305	-13.46431170690127	-17.423585048004817	-9.806736521866057	-16.208044150285666	-15.833996173596319	-16.28689619619966	-10.176096817937735	-14.522708433993756	-14.814466448140786	-13.46431170690127	-12.047005197285912	-18.02276110290636	-13.260268140377267	-16.71208757450796	-16.651104848519637	-17.17496251860001	-13.951451253300284	-13.098774982606894	-16.068474229008945
200.0	4.477121254719663	0.0	f5	h30	-22.44386889042394	-15.750801097786674	-13.174065039139473	-18.091169524097907	-17.42177282174394	-16.466618455119082	-18.596876823222527	-9.692540444745127	-13.270499335517725	-16.586585079956304	-16.481474992139457	-18.25724474318571	-10.034767426064173	-16.465251651620388	-10.827994050406124	-10.277028078036343	-29.92957525127743	-18.05225485776635	-16.086565686403777	-16.671037742940847	-13.275647128318562	-12.00033230223964	-8.687381715003943	-13.942846006797891	-13.2371451151971	-13.08591858554545	-16.723144533457	-11.737319069376928	5.3713435814128125	-16.54509984452649	-13.093742000987778	-13.108163611650257	-12.310722803185802	-15.691221405531168	-16.645946811250848	-16.973173144686875	-16.617946236480716	-13.912375729524884	-34.377515552047996	-13.266081825593453	-16.542115901308936	-13.251014601661872	-10.578473763418849	-13.06689207657084	-15.801695041524958	-11.059577818917411	-17.451858600278996	-15.675802594858286	-13.201869981894896	-13.062945784372415	-16.677864211747565	-16.601055996713537	-12.974363755774185	-13.939821022436963	-16.668938445108413	-16.549735746790745	-18.26979317741484	-16.87995226785162	-31.473463552148875		-13.560532634169407	-16.496878369375537	-13.82651299293963	-13.129528356212266	-29.440635421590805	-23.90908819961334	-15.41580895502241	-4.849642740311728	-8.143946816608034	-14.878660144757221	-17.61789325529463	-16.993482385994536	-16.019694555657992	-29.061241731637168	-16.05451847209047	-29.889929987689207	-16.715978226863776	-16.388161165987285	-16.086565686403777	-16.39860081189487	-15.688309934893947	-16.526205398887413	-27.344464908965136	-25.84018296897478	-12.975092758067056	-13.322403408592251	-13.530312290342831	-25.854176555423237	-12.39402766398046	-29.51778760023788	-16.086565686403777	-16.216290230862032	-18.20443344188768	-16.654062625505823	-16.589511046122777	-16.529616615647907	-14.913512749746726	-13.275647128318562	-17.725311391385826	-10.036589531172641	-16.51107396239726	-15.826310277542415	-16.23282195243853	-8.600829814641013	-14.766843743899594	-15.013266679255569	-13.275647128318562	-12.181103504393153	-18.111177738540917	-13.066636226357236	-17.012307714604468	-16.599469876211533	-17.476623205334405	-13.670139415913722	-13.224242234231616	-16.03286596265988
200.0	4.477121254719663	0.0	f5	h40	-22.259945557349056	-15.648067238638797	-12.203583544174062	-18.28864108899815	-17.628660305064873	-16.4276798289127	-18.789399583942245	-9.815405134612734	-13.16112278581771	-16.78487639716884	-16.437393555488615	-18.288340077093864	-8.883600706028847	-16.417952049799414	-10.172815022442608	-9.097546428298067	-30.170124974606196	-18.079635326960076	-16.04042923896935	-16.862966860017647	-12.288461281153415	-12.169012784240223	-8.604122211857613	-12.90845117745048	-12.26509376542227	-12.973764799872384	-16.676751068649974	-11.60795872926947	5.204558655828429	-16.499107880530563	-12.12754289316554	-12.112396494183919	-12.19879808613097	-15.641415154064575	-16.83978162490993	-16.98104451677275	-16.572035100978503	-13.811919527013552	-34.34391893328019	-12.290000981203486	-16.493344577726887	-12.273285825929861	-9.914158252191253	-12.102653157090442	-15.917546086807864	-11.021445398427579	-17.407064696034134	-15.61634793061499	-12.227289231483791	-12.06273844288544	-16.872060895884506	-16.809285826381725	-12.817234196173482	-13.890693287599483	-16.86293733872819	-16.747278497233452	-18.300566291440653	-16.807104274235684	-31.34907788490488		-12.582989815071372	-16.447043192311366	-12.84055478135704	-12.137957909119717	-29.678231289447975	-23.831555222358677	-15.613815172263807	-4.516323355631878	-6.885901649005972	-14.82220716732705	-17.644573992229628	-17.2014147097363	-16.199122777769425	-28.999170768921903	-16.079334599011148	-30.12655965173154	-16.669530673152362	-16.341527229346344	-16.04042923896935	-16.602428351763287	-15.790405826125937	-16.48140385035592	-27.379699933419907	-25.907666885660994	-11.952930410441727	-13.135219393843414	-12.399755335096586	-25.919954911503474	-12.16125772910804	-29.746313475814198	-16.04042923896935	-16.409326828940202	-18.23497874209991	-16.848737622179218	-16.54387881663669	-16.486638783602487	-15.073966792071671	-12.288461281153415	-17.92759286920886	-10.166064737576884	-16.711969267315613	-15.791848716908659	-16.188116344375242	-7.3655877386748205	-14.896794525625205	-15.204519394663185	-12.288461281153415	-11.94248069613651	-18.141630837435255	-12.071306635291492	-17.210636369691724	-16.55382863207306	-17.678731868815863	-12.557530020597813	-13.069751593679035	-15.965401519770614
200.0	4.477121254719663	0.0	f5	h50	-22.08065502917168	-15.431354841765488	-11.46516252952191	-18.31540922276002	-17.669915423030535	-16.29577371513215	-18.817415691780596	-9.76953828128541	-12.839512238833908	-16.819553085041544	-16.30071308840446	-18.215105595851202	-8.126810868648464	-16.277120208175745	-9.790355425190402	-8.326475920956124	-30.29440204486985	-18.00264117076147	-15.905692618583965	-16.89280737418318	-11.542956107552016	-12.164924917104475	-8.415628488958149	-12.13817584834363	-11.5244118636912	-12.692688218825019	-16.54168921290629	-11.346222050092273	5.142919409591991	-16.364595349848095	-11.390569811257974	-11.358169274746652	-11.96123082046022	-15.50137109019265	-16.87110533833001	-16.888028987960464	-16.43727676580268	-13.597188445528055	-34.32162973748823	-11.588745013681818	-16.350576082220087	-11.529431503041463	-9.55269976231842	-11.366672575947609	-15.992297334933719	-10.872840754445965	-17.27432134364472	-15.458945056539214	-11.48469103266709	-11.308265257946141	-16.903880526340963	-16.849230011937266	-12.445735262628983	-13.686654532535442	-16.894495087171574	-16.781314218476457	-18.227228455974753	-16.633659820147425	-31.266258749154773		-11.875117121329753	-16.302765467864695	-12.113672152510748	-11.386057675641432	-29.803699100500104	-23.702727689025696	-15.763065805001407	-4.140126251079406	-6.066705900216176	-14.671622840701756	-17.567353766751424	-17.243311769311397	-16.223853491664208	-28.980778780260938	-15.997119391423357	-30.246990875659257	-16.534654267826344	-16.206020054786585	-15.905692618583965	-16.642752461683294	-15.851120767192047	-16.348070438100123	-27.423368045411422	-25.882624543467536	-11.19547923290606	-12.728844461716491	-11.54328518699968	-25.893327644434834	-11.74002887678417	-29.86696431014172	-15.905692618583965	-16.440187331931348	-18.16103612942436	-16.880847746729096	-16.409378651724797	-16.350685490708106	-15.189632971886622	-11.542956107552016	-17.96532505370112	-10.166160821150497	-16.74861464589068	-15.663224052639826	-16.052961234309382	-6.55927108660019	-14.877016076508141	-15.351617989555088	-11.542956107552016	-11.490261022148445	-18.06739179095154	-11.324576155662402	-17.24529021765641	-16.419505116391058	-17.716329645961487	-11.729209277077306	-12.705023601769126	-15.79716957347453
200.0	4.477121254719663	0.0	f5	h60	-21.9522964889714	-14.916843611939392	-10.9204166306007	-18.08500459753325	-17.45731396947295	-15.901491348426578	-18.592115360026835	-9.35842560821349	-12.411488480329215	-16.60474716875258	-15.915657949831811	-17.890910297322677	-7.564189201638105	-15.886734672598237	-9.481812415617203	-7.7546857367248245	-30.352961774885667	-17.674323089924243	-15.510969556929693	-16.67390912111502	-10.992353249551421	-11.91903773203131	-7.948994174856917	-11.566227925137305	-10.977915452146165	-12.340772791916581	-16.146531757126013	-10.745109534315871	5.175530822222866	-15.970213068491471	-10.847208381054191	-10.800673799254191	-11.40270673321146	-15.098231586523818	-16.6534143474397	-16.54306460095452	-16.043772347740934	-13.084543305063786	-34.30213227139143	-11.068012178209774	-15.957243095379646	-10.980404351956741	-9.256319787393437	-10.824237803350695	-15.92654397203068	-10.45045464589142	-16.88254622798273	-15.041371194658602	-10.93682192484399	-10.75062133919658	-16.68679759424705	-16.63446468916312	-11.993610931497624	-13.383085556221587	-16.676917884805377	-16.56623177233159	-17.903112928175133	-16.19207296992784	-31.20886608438653		-11.349812327817839	-15.906142130090299	-11.574996580787216	-10.830403766859673	-29.8619256174431	-23.603487943267424	-15.790993387116357	-3.6455794020047554	-5.454938217853654	-14.268236644891372	-17.23953067310409	-17.030869072603828	-16.012621793540077	-28.979434508409156	-15.667171453766475	-30.30467171334032	-16.142459192306454	-15.810036019544382	-15.510969556929693	-16.4332251587264	-15.766811270170091	-15.955383477891555	-27.458025891516638	-25.847814885384302	-10.636252564721843	-12.255268543252031	-10.903953871859908	-25.85755198134628	-11.293093995289908	-29.922079562802438	-15.510969556929693	-16.222591499499362	-17.83587638796763	-16.663808693311093	-16.016262381743843	-15.966605868988328	-15.17714980979366	-10.992353249551421	-17.74990747549203	-9.90568762904431	-16.534546360125727	-15.288265665828702	-15.64955303262291	-5.957931007707529	-14.646790330027308	-15.379879644211954	-10.992353249551421	-11.014610135789466	-17.741728346175922	-10.772332016080313	-17.02864252358552	-16.026733557731056	-17.500853895562763	-11.112126608785877	-12.2598944212847	-15.360930946359204
