mass,age,luminosity,temperature,gravity,radius,metallicity
0.00101,0.056754461,-6.68,350,3.2504,0.1242,0
0.00104,0.041209752,-6.547,375,3.2504,0.1261,0
0.00107,0.030760968,-6.424,400,3.2504,0.1278,0
0.0011,0.023878113,-6.309,425,3.2504,0.1292,0
0.00112,0.019633603,-6.202,450,3.2504,0.1303,0
0.00113,0.016368165,-6.101,475,3.2504,0.1314,0
0.00115,0.013899526,-6.005,500,3.2504,0.1324,0
0.00117,0.011857687,-5.913,525,3.2504,0.1335,0
0.00119,0.010209395,-5.826,550,3.2504,0.1345,0
0.00121,0.008851156,-5.742,575,3.2504,0.1356,0
0.00123,0.007726806,-5.661,600,3.2504,0.1366,0
0.00126,0.006025596,-5.509,650,3.2504,0.1387,0
0.0013,0.004797334,-5.368,700,3.2504,0.1407,0
0.00134,0.003908409,-5.235,750,3.2504,0.1428,0
0.00138,0.003228494,-5.11,800,3.2504,0.1449,0
0.00142,0.002716439,-4.993,850,3.2504,0.147,0
0.00146,0.002322737,-4.881,900,3.2504,0.1491,0
0.0015,0.002018366,-4.775,950,3.2504,0.1512,0
0.00155,0.001745822,-4.673,1000,3.2504,0.1535,0
0.00164,0.001315225,-4.481,1100,3.2504,0.1581,0
0.00174,0.001013911,-4.304,1200,3.2504,0.163,0
0.00186,0.000816582,-4.137,1300,3.2504,0.1682,0
0.00198,0.000680769,-3.981,1400,3.2504,0.1737,0
0.00211,0.000564937,-3.833,1500,3.2504,0.1794,0
0.00225,0.000470977,-3.693,1600,3.2504,0.1853,0
0.00241,0.000403645,-3.559,1700,3.2504,0.1914,0
0.00258,0.000352371,-3.43,1800,3.2504,0.1981,0
0.00277,0.000305492,-3.304,1900,3.2504,0.2055,0
0.003,0.000274789,-3.181,2000,3.2504,0.2136,0
0.00142,0.922571427,-7.756,200,3.4997,0.1102,0
0.00146,0.647142616,-7.537,225,3.4997,0.1121,0
0.00151,0.467735141,-7.34,250,3.4997,0.1139,0
0.00156,0.333426413,-7.16,275,3.4997,0.1158,0
0.00161,0.24266101,-6.996,300,3.4997,0.1175,0
0.00166,0.177827941,-6.844,325,3.4997,0.1193,0
0.00171,0.130617089,-6.703,350,3.4997,0.121,0
0.00175,0.095719407,-6.571,375,3.4997,0.1227,0
0.0018,0.071944898,-6.449,400,3.4997,0.1241,0
0.00183,0.056234133,-6.335,425,3.4997,0.1253,0
0.00186,0.046344692,-6.229,450,3.4997,0.1263,0
0.00189,0.038904514,-6.129,475,3.4997,0.1272,0
0.00191,0.033036954,-6.034,500,3.4997,0.1281,0
0.00194,0.02831392,-5.943,525,3.4997,0.129,0
0.00197,0.024547089,-5.856,550,3.4997,0.1299,0
0.00199,0.021527817,-5.774,575,3.4997,0.1307,0
0.00202,0.019054607,-5.694,600,3.4997,0.1315,0
0.00207,0.014893611,-5.544,650,3.4997,0.1332,0
0.00212,0.011885022,-5.405,700,3.4997,0.1349,0
0.00218,0.00963829,-5.274,750,3.4997,0.1366,0
0.00223,0.007961594,-5.151,800,3.4997,0.1383,0
0.00229,0.006637431,-5.034,850,3.4997,0.1401,0
0.00235,0.005623413,-4.924,900,3.4997,0.1419,0
0.00241,0.004841724,-4.819,950,3.4997,0.1437,0
0.00247,0.00423643,-4.719,1000,3.4997,0.1455,0
0.0026,0.003288516,-4.531,1100,3.4997,0.1494,0
0.00276,0.002606154,-4.355,1200,3.4997,0.1537,0
0.00292,0.002142891,-4.19,1300,3.4997,0.1583,0
0.00311,0.001807174,-4.034,1400,3.4997,0.1634,0
0.00333,0.001545254,-3.884,1500,3.4997,0.1691,0
0.00359,0.00134586,-3.74,1600,3.4997,0.1754,0
0.00387,0.001177606,-3.602,1700,3.4997,0.1822,0
0.0042,0.001047129,-3.467,1800,3.4997,0.1898,0
0.00459,0.00094189,-3.335,1900,3.4997,0.1984,0
0.0051,0.000857038,-3.2,2000,3.4997,0.2091,0
0.00249,2.238721139,-7.762,200,3.7497,0.1095,0
0.00256,1.534616983,-7.545,225,3.7497,0.1111,0
0.00263,1.081433951,-7.35,250,3.7497,0.1126,0
0.0027,0.788860118,-7.173,275,3.7497,0.1141,0
0.00277,0.582103218,-7.011,300,3.7497,0.1155,0
0.00284,0.434510224,-6.861,325,3.7497,0.117,0
0.00291,0.322849412,-6.722,350,3.7497,0.1184,0
0.00298,0.239331576,-6.592,375,3.7497,0.1198,0
0.00304,0.184926862,-6.471,400,3.7497,0.121,0
0.0031,0.139636836,-6.357,425,3.7497,0.1222,0
0.00314,0.112460497,-6.251,450,3.7497,0.1231,0
0.00318,0.093756201,-6.152,475,3.7497,0.1239,0
0.00322,0.080537844,-6.058,500,3.7497,0.1246,0
0.00326,0.06886523,-5.968,525,3.7497,0.1254,0
0.0033,0.059566214,-5.882,550,3.7497,0.1261,0
0.00333,0.052119471,-5.8,575,3.7497,0.1268,0
0.00337,0.046131757,-5.721,600,3.7497,0.1275,0
0.00344,0.03672823,-5.573,650,3.7497,0.1288,0
