age,mass,luminosity,temperature,gravity,radius
0.12,0.0005,-7.586589999999999,207.32299999999998,2.9482,0.12444300000000001
0.12,0.001,-7.16021,265.906,3.25791,0.123207
0.12,0.002,-6.6223399999999994,362.08099999999996,3.5616800000000004,0.12281800000000001
0.12,0.003,-6.30368,434.69,3.73386,0.123373
0.12,0.004,-6.06266,499.673,3.8583199999999995,0.12344000000000001
0.12,0.005,-5.86566,560.559,3.95721,0.12315899999999999
0.12,0.006,-5.69488,620.0459999999999,4.039969999999999,0.122653
0.12,0.007,-5.54344,678.3889999999999,4.11141,0.12202
0.12,0.008,-5.40605,736.3480000000001,4.1738,0.121404
0.12,0.009,-5.28256,792.7560000000001,4.229369999999999,0.120788
0.12,0.01,-5.16887,849.547,4.279,0.12025
0.12,0.012,-4.76515,1052.79,4.34617,0.121925
0.12,0.015,-4.43561,1274.7,4.43347,0.12328199999999999
0.12,0.02,-4.37932,1353.13,4.5994,0.117599
0.12,0.03,-3.9044300000000005,1799.76,4.79576,0.11488699999999999
0.12,0.04,-3.4489400000000003,2308.72,4.897959999999999,0.117933
0.12,0.05,-3.20514,2581.57,4.94479,0.12493299999999999
0.12,0.06,-3.04022,2753.2,4.97119,0.132761
0.12,0.07,-2.91393,2873.55,4.985869999999999,0.140994
0.12,0.072,-2.89158,2893.18,4.98798,0.142647
0.12,0.075,-2.8604,2921.17,4.9911900000000005,0.145052
0.12,0.08,-2.81106,2963.24,4.99445,0.149247
0.12,0.09,-2.72424,3034.19,4.99955,0.157374
0.12,0.1,-2.64778,3092.64,5.00245,0.16533299999999998
0.12,0.11,-2.57821,3140.49,5.00087,0.173719
0.12,0.12,-2.51538,3183.74,5.00018,0.181588
0.12,0.15,-2.36028,3281.7,4.99397,0.204478
0.12,0.2,-2.15446,3401.07,4.97508,0.241304
