# Burrows et al. 1997 models for t=0.00500000 Gyr
#--------------------------------------------------------
# M/Ms      Teff (K)    log L/Ls   log g (cgs)    R/Rs
#--------------------------------------------------------
 0.0005     440.846     -6.03259     2.71073    0.163572
 0.0010     597.827     -5.56762     3.07516    0.152058
 0.0020     887.819     -4.91542     3.41236    0.145856
 0.0030	    1063.07     -4.59456     3.57844    0.147546
 0.0040	    1209.79     -4.35816     3.68923    0.149969
 0.0050	    1330.78     -4.18166     3.77340    0.152186
 0.0060	    1437.71     -4.03790     3.84231    0.153995
 0.0070	    1569.77     -3.86397     3.89605    0.156355
 0.0080	    1753.85     -3.65631     3.93493    0.159832
 0.0090	    1917.53     -3.48689     3.97108    0.162619
 0.0100	    2063.90     -3.34648     3.99846    0.166096
 0.0120	    2242.77     -3.15523     4.03220    0.175016
 0.0150	    2430.45     -2.92190     4.03508    0.195027
 0.0200	    2650.86     -2.54691     3.93477    0.252765
 0.0300	    2803.93     -2.13447     3.79620    0.363120
 0.0400	    2869.48     -1.90097     3.72758    0.453763
 0.0500	    2917.65     -1.74286     3.69515    0.526623
 0.0600	    2965.11     -1.69958     3.75928    0.535822
 0.0700	    3020.66     -1.71207     3.87064    0.509118
 0.0720	    3030.33     -1.71095     3.88754    0.506387
 0.0750	    3045.00     -1.71081     3.91330    0.501730
 0.0800	    3067.06     -1.70653     3.94952    0.497018
 0.0900	    3106.09     -1.68886     4.00511    0.494485
 0.1000	    3141.17     -1.66138     4.04282    0.499089
 0.1100	    3174.09     -1.62815     4.06918    0.507802
 0.1200	    3207.60     -1.59117     4.08877    0.518556
 0.1500	    3309.22     -1.48809     4.13637    0.548843
 0.2000	    3514.87     -1.32026     4.19802    0.590326
#--------------------------------------------------------
