#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	145.92384293436038
6301.3125	214.58392115925224
6302.6252734375	249.48210672273984
6303.938320369467	254.9983185928007
6305.251640852877	261.055822185298
6306.565234944722	261.9430212650246
6307.8791027020025	261.8535571782907
6309.193244181732	268.85439849229977
6310.5076594409375	275.438640955044
6311.822348536654	277.65410963324206
6313.137311525933	281.17167450315674
6314.452548465834	285.065891998992
6315.768059413431	285.79446599965945
6317.083844425809	288.74979190205136
6318.399903560065	291.91858852845445
6319.716236873307	290.8089398711224
6321.032844422655	292.1573207815245
6322.349726265244	288.47746934195584
6323.666882458216	276.2988976961345
6324.984313058728	271.80789632099606
6326.302018123949	274.8811770771815
6327.619997711058	277.19198790907814
6328.938251877249	282.910770997943
6330.256780679723	289.61838051636227
6331.575584175699	289.40359379693956
6332.894662422402	288.8249381904727
6334.214015477073	296.4077450523252
6335.533643396964	302.01160381080365
6336.853546239339	303.37453445302447
6338.173724061472	308.0017175836911
6339.494176920652	315.3654680923012
6340.814904874177	326.82389455061536
6342.135907979359	335.2074826592416
6343.457186293522	340.6866670656976
6344.778739874001	352.8928411696032
6346.100568778142	358.2267705196072
6347.422673063304	353.6169877933648
6348.745052786858	347.67939416249675
6350.067708006189	344.1706870886284
6351.39063877869	349.0942621356863
6352.713845161769	337.96386400336286
6354.037327212845	315.46929518854625
6355.3610849893485	311.07821098235456
6356.685118548721	307.65770465508785
6358.009427948419	302.2142980941579
6359.334013245908	301.9438811468606
6360.658874498668	302.9221132113287
6361.984011764189	305.2678846148719
6363.309425099973	306.6055036281248
6364.635114563535	311.15865588018494
6365.961080212403	316.7590498008731
6367.2873221041145	318.8294062977356
6368.61384029622	320.27544511293485
6369.940634846282	326.7195739685433
6371.267705811875	331.6067615430666
6372.595053250586	330.35841806812067
6373.922677220014	332.2354779432876
6375.250577777768	340.50129577376924
6376.578754981471	350.10658754469523
6377.907208888761	357.458707648153
6379.235939557279	354.7705677220315
6380.564947044686	346.22488489429446
6381.894231408654	342.0741874025215
6383.223792706865	333.7966106649395
6384.553630997012	327.07145884824894
6385.883746336804	324.4370862495905
6387.2141387839565	323.810539795617
6388.544808396204	329.72497876616336
6389.875755231287	335.4587794060391
6391.20697934696	336.9490475326594
6392.53848080099	330.1565311981537
6393.870259651158	339.86121015770436
6395.202315955253	370.06827290740364
6396.534649771077	389.7415994044146
6397.867261156446	398.241000775197
6399.2001501691875	403.5480546280899
6400.533316867139	408.11424393726054
6401.866761308153	401.36727486012614
6403.200483550093	406.07202589349447
6404.534483650832	447.2728383930777
6405.868761668259	483.79945301743135
6407.2033176602745	498.36267174513284
6408.5381516847865	503.8649311847331
6409.873263799722	504.6688586120991
6411.2086540630135	505.79630239429815
6412.544322532611	491.6533461834684
6413.880269266471	468.8661933374017
6415.216494322568	458.85048599928064
6416.552997758886	451.1546343389381
6417.8897796334195	459.7846886861378
6419.226840004177	462.5857923483813
6420.5641789291785	431.46515661245354
6421.9017964664545	402.548598773302
6423.239692674053	384.5951228318793
6424.577867610025	386.46014807245285
6425.9163213324455	402.4709402509044
6427.25505389939	410.879233720266
6428.594065368952	417.2590580427919
6429.933355799238	422.8206516549307
6431.272925248362	422.0792267165798
6432.612773774456	431.94238976499184
6433.9529014356585	453.07265890895457
6435.293308290125	471.54245258046404
6436.63399439602	501.53411702516115
6437.974959811519	522.2156093776828
6439.316204594813	511.93628976352164
6440.657728804104	505.271003881215
6441.999532497605	527.8455918703557
6443.341615733541	564.819868723633
6444.683978570154	597.2614820212445
6446.026621065689	612.6671694446882
6447.369543278411	595.9554246138417
6448.7127452665945	559.4526142577967
6450.056227088525	527.2239323807787
6451.399988802502	522.8401405144474
6452.744030466836	537.7080044322296
6454.088352139851	545.7740161869552
6455.43295387988	538.6528221036989
6456.777835745272	539.4226650638915
6458.122997794385	567.5613196687094
6459.468440085592	573.1804979419546
6460.814162677278	559.2384402331323
6462.160165627836	577.1433798541075
6463.506448995675	600.4623830557772
6464.853012839217	612.1538335446153
