Wave,Flux,Noise
0.45,0.741,0.034
0.5,0.87,0.018
0.55,1.0,0.0
0.6,1.105,0.013
0.65,1.206,0.025
0.7,1.291,0.029
0.75,1.295,0.027
0.8,1.23,0.037
0.85,1.179,0.044
0.9,1.142,0.044
0.95,1.09,0.054
1.0,1.02,0.061
1.05,0.989,0.071
1.1,1.039,0.078
1.15,1.126,0.08
1.2,1.2,0.079
1.25,1.262,0.084
1.3,1.344,0.092
1.35,1.458,0.106
1.4,1.576,0.117
1.45,1.713,0.13
1.5,1.848,0.144
1.55,1.967,0.165
1.6,2.046,0.187
1.65,2.095,0.203
1.7,2.115,0.215
1.75,2.125,0.218
1.8,2.132,0.223
1.85,2.137,0.227
1.9,2.134,0.229
1.95,2.13,0.224
2.0,2.123,0.225
2.05,2.131,0.225
2.1,2.143,0.225
2.15,2.157,0.225
2.2,2.17,0.227
2.25,2.184,0.231
2.3,2.196,0.232
2.35,2.207,0.234
2.4,2.217,0.235
2.45,2.228,0.231
