Wave Flux Noise
0.45 0.937 0.028999999999999998
0.5 0.973 0.009000000000000001
0.55 1.0 0.0
0.6 1.02 0.005
0.65 1.0390000000000001 0.006999999999999999
0.7 1.058 0.006
0.75 1.072 0.006999999999999999
0.8 1.081 0.006999999999999999
0.85 1.087 0.008
0.9 1.094 0.005
0.95 1.1 0.006
1.0 1.107 0.01
1.05 1.113 0.015
1.1 1.119 0.021
1.15 1.127 0.025
1.2 1.135 0.028999999999999998
1.25 1.139 0.035
1.3 1.1440000000000001 0.036000000000000004
1.35 1.151 0.035
1.4 1.157 0.037000000000000005
1.45 1.161 0.038
1.5 1.162 0.038
1.55 1.166 0.040999999999999995
1.6 1.17 0.044000000000000004
1.65 1.176 0.048
1.7 1.179 0.052000000000000005
1.75 1.185 0.055999999999999994
1.8 1.189 0.057
1.85 1.192 0.062
1.9 1.196 0.067
1.95 1.2 0.07200000000000001
2.0 1.202 0.076
2.05 1.205 0.08199999999999999
2.1 1.207 0.08800000000000001
2.15 1.209 0.092
2.2 1.21 0.09699999999999999
2.25 1.2109999999999999 0.102
2.3 1.2109999999999999 0.106
2.35 1.2109999999999999 0.11
2.4 1.209 0.115
2.45 1.207 0.11699999999999999
