Wave,Flux,Noise
0.45,0.811,0.051
0.5,0.908,0.025
0.55,1.0,0.0
0.6,1.077,0.022
0.65,1.15,0.04
0.7,1.212,0.053
0.75,1.204,0.059
0.8,1.06,0.079
0.85,0.878,0.096
0.9,0.764,0.1
0.95,0.771,0.105
1.0,0.911,0.116
1.05,1.117,0.125
1.1,1.287,0.13
1.15,1.392,0.132
1.2,1.455,0.139
1.25,1.509,0.149
1.3,1.561,0.16
1.35,1.595,0.169
1.4,1.601,0.173
1.45,1.582,0.174
1.5,1.531,0.171
1.55,1.456,0.168
1.6,1.365,0.165
1.65,1.274,0.162
1.7,1.188,0.159
1.75,1.116,0.156
1.8,1.058,0.153
1.85,1.018,0.152
1.9,0.994,0.15
1.95,0.986,0.146
2.0,0.997,0.144
2.05,1.029,0.146
2.1,1.078,0.153
2.15,1.142,0.164
2.2,1.212,0.177
2.25,1.282,0.19
2.3,1.348,0.205
2.35,1.412,0.223
2.4,1.474,0.242
2.45,1.527,0.262
