Wave Flux Noise
0.45 0.852 0.023
0.5 0.929 0.006
0.55 1.0 0.0
0.6 1.0590000000000002 0.015
0.65 1.128 0.011000000000000001
0.7 1.195 0.006
0.75 1.232 0.017
0.8 1.216 0.025
0.85 1.148 0.03
0.9 1.09 0.038
0.95 1.111 0.027000000000000003
1.0 1.205 0.001
1.05 1.287 0.002
1.1 1.351 0.006999999999999999
1.15 1.406 0.01
1.2 1.4480000000000002 0.011000000000000001
1.25 1.4709999999999999 0.011000000000000001
1.3 1.4980000000000002 0.01
1.35 1.521 0.013999999999999999
1.4 1.541 0.008
1.45 1.5590000000000002 0.0
1.5 1.561 0.006
1.55 1.555 0.009000000000000001
1.6 1.53 0.021
1.65 1.4969999999999999 0.028999999999999998
1.7 1.455 0.032
1.75 1.4180000000000001 0.031
1.8 1.3880000000000001 0.04
1.85 1.369 0.047
1.9 1.3630000000000002 0.047
1.95 1.364 0.05
2.0 1.368 0.062
2.05 1.3880000000000001 0.063
2.1 1.415 0.06
2.15 1.44 0.064
2.2 1.4569999999999999 0.07200000000000001
2.25 1.472 0.073
2.3 1.482 0.07
2.35 1.484 0.076
2.4 1.4869999999999999 0.084
2.45 1.49 0.09
