Wave,Flux,Noise
0.45,0.827,0.083
0.5,0.926,0.019
0.55,1.0,0.0
0.6,1.06,0.019
0.65,1.118,0.033
0.7,1.163,0.044
0.75,1.174,0.048
0.8,1.123,0.051
0.85,1.045,0.058
0.9,1.002,0.055
0.95,1.015,0.054
1.0,1.065,0.063
1.05,1.117,0.072
1.1,1.17,0.074
1.15,1.222,0.074
1.2,1.263,0.075
1.25,1.293,0.078
1.3,1.321,0.083
1.35,1.353,0.089
1.4,1.379,0.095
1.45,1.401,0.099
1.5,1.411,0.104
1.55,1.411,0.109
1.6,1.396,0.113
1.65,1.372,0.113
1.7,1.344,0.115
1.75,1.321,0.116
1.8,1.302,0.117
1.85,1.291,0.12
1.9,1.285,0.122
1.95,1.282,0.124
2.0,1.285,0.127
2.05,1.298,0.131
2.1,1.315,0.132
2.15,1.332,0.135
2.2,1.346,0.14
2.25,1.358,0.146
2.3,1.369,0.155
2.35,1.379,0.166
2.4,1.391,0.176
2.45,1.401,0.182
