Wave,Flux,Noise
0.45,0.846,0.04
0.5,0.928,0.02
0.55,1.0,0.0
0.6,1.057,0.02
0.65,1.109,0.034
0.7,1.148,0.041
0.75,1.152,0.041
0.8,1.106,0.039
0.85,1.048,0.04
0.9,1.008,0.046
0.95,0.998,0.05
1.0,1.005,0.051
1.05,1.025,0.053
1.1,1.066,0.057
1.15,1.117,0.063
1.2,1.157,0.068
1.25,1.186,0.074
1.3,1.217,0.083
1.35,1.256,0.095
1.4,1.29,0.105
1.45,1.321,0.115
1.5,1.343,0.124
1.55,1.356,0.132
1.6,1.358,0.138
1.65,1.352,0.142
1.7,1.339,0.145
1.75,1.327,0.146
1.8,1.317,0.147
1.85,1.308,0.149
1.9,1.302,0.15
1.95,1.298,0.151
2.0,1.297,0.152
2.05,1.303,0.154
2.1,1.315,0.158
2.15,1.328,0.163
2.2,1.337,0.166
2.25,1.346,0.169
2.3,1.353,0.172
2.35,1.36,0.174
2.4,1.367,0.176
2.45,1.373,0.18
