Wave,Flux,Noise
0.45,0.965,0.022
0.5,0.985,0.01
0.55,1.0,0.0
0.6,1.007,0.01
0.65,1.012,0.015
0.7,1.014,0.018
0.75,1.014,0.019
0.8,1.012,0.02
0.85,1.009,0.024
0.9,1.005,0.025
0.95,1.003,0.028
1.0,1.004,0.032
1.05,1.004,0.036
1.1,1.005,0.04
1.15,1.008,0.044
1.2,1.012,0.048
1.25,1.015,0.05
1.3,1.019,0.053
1.35,1.026,0.055
1.4,1.034,0.057
1.45,1.043,0.061
1.5,1.052,0.064
1.55,1.062,0.068
1.6,1.071,0.07
1.65,1.081,0.074
1.7,1.09,0.077
1.75,1.101,0.081
1.8,1.109,0.083
1.85,1.12,0.086
1.9,1.13,0.09
1.95,1.139,0.092
2.0,1.148,0.095
2.05,1.158,0.099
2.1,1.17,0.102
2.15,1.18,0.107
2.2,1.188,0.109
2.25,1.196,0.112
2.3,1.202,0.115
2.35,1.208,0.116
2.4,1.214,0.118
2.45,1.22,0.12
