Wave,Flux,Noise
0.45,0.906,0.031
0.5,0.961,0.016
0.55,1.0,0.0
0.6,1.01,0.013
0.65,1.005,0.024
0.7,0.998,0.029
0.75,0.999,0.031
0.8,1.01,0.032
0.85,1.018,0.038
0.9,1.023,0.041
0.95,1.033,0.043
1.0,1.047,0.046
1.05,1.057,0.048
1.1,1.064,0.049
1.15,1.074,0.051
1.2,1.087,0.053
1.25,1.1,0.057
1.3,1.113,0.06
1.35,1.125,0.063
1.4,1.132,0.066
1.45,1.138,0.068
1.5,1.141,0.07
1.55,1.146,0.073
1.6,1.149,0.075
1.65,1.153,0.077
1.7,1.154,0.078
1.75,1.158,0.078
1.8,1.16,0.079
1.85,1.161,0.078
1.9,1.163,0.078
1.95,1.165,0.079
2.0,1.167,0.079
2.05,1.169,0.079
2.1,1.17,0.079
2.15,1.17,0.079
2.2,1.169,0.078
2.25,1.165,0.077
2.3,1.16,0.075
2.35,1.157,0.073
2.4,1.156,0.072
2.45,1.153,0.073
