Wave,Flux,Noise
0.45,0.883,0.028
0.5,0.944,0.015
0.55,1.0,0.0
0.6,1.044,0.017
0.65,1.085,0.03
0.7,1.118,0.039
0.75,1.132,0.041
0.8,1.114,0.039
0.85,1.088,0.04
0.9,1.077,0.044
0.95,1.068,0.047
1.0,1.057,0.049
1.05,1.053,0.05
1.1,1.068,0.05
1.15,1.093,0.05
1.2,1.112,0.051
1.25,1.126,0.054
1.3,1.139,0.055
1.35,1.156,0.057
1.4,1.171,0.061
1.45,1.186,0.066
1.5,1.197,0.072
1.55,1.207,0.076
1.6,1.213,0.08
1.65,1.215,0.083
1.7,1.215,0.084
1.75,1.217,0.086
1.8,1.214,0.088
1.85,1.215,0.09
1.9,1.215,0.091
1.95,1.216,0.091
2.0,1.216,0.092
2.05,1.218,0.094
2.1,1.221,0.097
2.15,1.223,0.099
2.2,1.224,0.1
2.25,1.226,0.103
2.3,1.228,0.105
2.35,1.229,0.107
2.4,1.232,0.107
2.45,1.233,0.109
