Wave Flux Noise
0.45 0.7859999999999999 0.003
0.5 0.885 0.004
0.55 1.0 0.0
0.6 1.082 0.013000000000000001
0.65 1.165 0.018000000000000002
0.7 1.224 0.03
0.75 1.202 0.04
0.8 1.109 0.034
0.85 1.0290000000000001 0.016
0.9 1.0 0.001
0.95 0.977 0.017
1.0 0.9570000000000001 0.025
1.05 0.95 0.02
1.1 0.9790000000000001 0.004
1.15 1.028 0.019
1.2 1.07 0.027999999999999997
1.25 1.102 0.042
1.3 1.138 0.054000000000000006
1.35 1.193 0.07400000000000001
1.4 1.252 0.094
1.45 1.319 0.11
1.5 1.3880000000000001 0.114
1.55 1.455 0.11199999999999999
1.6 1.5090000000000001 0.09
1.65 1.547 0.069
1.7 1.567 0.042
1.75 1.58 0.018000000000000002
1.8 1.587 0.005
1.85 1.591 0.021
1.9 1.5919999999999999 0.033
1.95 1.59 0.038
2.0 1.5919999999999999 0.048
2.05 1.6019999999999999 0.057
2.1 1.6159999999999999 0.064
2.15 1.63 0.064
2.2 1.639 0.057999999999999996
2.25 1.6469999999999998 0.042
2.3 1.6540000000000001 0.028999999999999998
2.35 1.666 0.025
2.4 1.681 0.025
2.45 1.693 0.024
