Wave Flux Noise
0.45 1.0090000000000001 0.015
0.5 1.004 0.006999999999999999
0.55 1.0 0.0
0.6 0.998 0.006
0.65 1.002 0.008
0.7 1.0070000000000001 0.005
0.75 1.016 0.005
0.8 1.02 0.011000000000000001
0.85 1.022 0.02
0.9 1.024 0.028999999999999998
0.95 1.028 0.037000000000000005
1.0 1.031 0.046
1.05 1.035 0.051
1.1 1.042 0.055999999999999994
1.15 1.051 0.059000000000000004
1.2 1.06 0.057999999999999996
1.25 1.067 0.057
1.3 1.075 0.057
1.35 1.083 0.055999999999999994
1.4 1.091 0.057
1.45 1.1 0.057
1.5 1.1079999999999999 0.057
1.55 1.1159999999999999 0.057999999999999996
1.6 1.125 0.057999999999999996
1.65 1.133 0.06
1.7 1.141 0.063
1.75 1.15 0.065
1.8 1.16 0.069
1.85 1.17 0.07400000000000001
1.9 1.179 0.078
1.95 1.188 0.08
2.0 1.197 0.08199999999999999
2.05 1.206 0.084
2.1 1.216 0.086
2.15 1.227 0.08900000000000001
2.2 1.236 0.092
2.25 1.246 0.09699999999999999
2.3 1.255 0.102
2.35 1.264 0.106
2.4 1.273 0.109
2.45 1.2819999999999998 0.111
