Wave Flux Noise
0.45 0.8390000000000001 0.037000000000000005
0.5 0.922 0.019
0.55 1.0 0.0
0.6 1.063 0.02
0.65 1.123 0.035
0.7 1.173 0.044000000000000004
0.75 1.193 0.048
0.8 1.162 0.05
0.85 1.11 0.055
0.9 1.079 0.059000000000000004
0.95 1.0859999999999999 0.06
1.0 1.1179999999999999 0.062
1.05 1.15 0.066
1.1 1.19 0.07
1.15 1.236 0.076
1.2 1.271 0.083
1.25 1.296 0.08900000000000001
1.3 1.3219999999999998 0.095
1.35 1.3519999999999999 0.10300000000000001
1.4 1.376 0.111
1.45 1.396 0.12
1.5 1.4080000000000001 0.128
1.55 1.412 0.135
1.6 1.405 0.139
1.65 1.392 0.142
1.7 1.374 0.14300000000000002
1.75 1.358 0.14400000000000002
1.8 1.345 0.14400000000000002
1.85 1.338 0.14400000000000002
1.9 1.3330000000000002 0.14400000000000002
1.95 1.331 0.14400000000000002
2.0 1.3330000000000002 0.14400000000000002
2.05 1.341 0.146
2.1 1.3530000000000002 0.14800000000000002
2.15 1.365 0.151
2.2 1.3730000000000002 0.155
2.25 1.38 0.157
2.3 1.385 0.158
2.35 1.39 0.16
2.4 1.396 0.161
2.45 1.4 0.163
