Wave,Flux,Noise
0.45,0.901,-0.999
0.5,0.957,-0.999
0.55,1.0,-0.999
0.6,1.025,-0.999
0.65,1.034,-0.999
0.7,1.032,-0.999
0.75,1.026,-0.999
0.8,1.019,-0.999
0.85,1.013,-0.999
0.9,1.009,-0.999
0.95,1.007,-0.999
1.0,1.009,-0.999
1.05,1.014,-0.999
1.1,1.018,-0.999
1.15,1.023,-0.999
1.2,1.032,-0.999
1.25,1.038,-0.999
1.3,1.045,-0.999
1.35,1.052,-0.999
1.4,1.062,-0.999
1.45,1.072,-0.999
1.5,1.08,-0.999
1.55,1.089,-0.999
1.6,1.099,-0.999
1.65,1.105,-0.999
1.7,1.11,-0.999
1.75,1.116,-0.999
1.8,1.122,-0.999
1.85,1.127,-0.999
1.9,1.134,-0.999
1.95,1.141,-0.999
2.0,1.146,-0.999
2.05,1.153,-0.999
2.1,1.161,-0.999
2.15,1.168,-0.999
2.2,1.173,-0.999
2.25,1.176,-0.999
2.3,1.178,-0.999
2.35,1.182,-0.999
2.4,1.187,-0.999
2.45,1.192,-0.999
